Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,3,220.00,54820.00,256.00,246.00,246.00
2010-04-20,3,320.00,78421.00,246.00,245.00,246.00
2010-04-27,5,403.00,93754.00,242.00,226.00,226.00
2010-04-29,17,4751.00,1005841.00,222.00,206.00,214.00
2010-05-09,1,110.00,23100.00,210.00,210.00,210.00
2010-05-10,1,181.00,38010.00,210.00,210.00,210.00
2010-05-11,1,77.00,16478.00,214.00,214.00,214.00
2010-05-13,5,479.00,108022.00,230.00,218.00,230.00
2010-05-16,4,520.00,116500.00,226.00,222.00,225.00
2010-05-25,1,20.00,4580.00,229.00,229.00,229.00
2010-05-26,18,5330.00,1275764.00,251.00,233.00,251.00
2010-05-30,3,42.00,10992.00,266.00,256.00,266.00
2010-05-31,27,4509.00,1305674.00,292.00,271.00,292.00
2010-06-01,6,665.00,199934.00,306.00,295.00,306.00
2010-06-03,4,1092.00,334212.00,312.00,306.00,306.00
2010-06-06,2,329.00,100345.00,305.00,305.00,305.00
2010-06-07,2,290.00,86050.00,300.00,295.00,295.00
2010-06-08,2,1100.00,327100.00,299.00,296.00,299.00
2010-06-09,3,686.00,202784.00,296.00,294.00,294.00
2010-06-10,1,77.00,22330.00,290.00,290.00,290.00
2010-06-13,3,510.00,149400.00,295.00,290.00,295.00
2010-06-14,7,1850.00,528450.00,292.00,285.00,285.00
2010-06-20,3,300.00,83100.00,280.00,275.00,275.00
2010-06-21,9,2535.00,675830.00,275.00,260.00,270.00
2010-06-22,4,800.00,209500.00,265.00,260.00,260.00
2010-06-23,1,148.00,38480.00,260.00,260.00,260.00
2010-06-24,1,159.00,42135.00,265.00,265.00,265.00
2010-06-28,1,142.00,36920.00,260.00,260.00,260.00
2010-06-29,1,100.00,25800.00,258.00,258.00,258.00
2010-07-01,7,1518.00,393626.00,263.00,257.00,260.00
2010-07-04,3,243.00,62060.00,260.00,255.00,260.00
2010-07-05,1,300.00,78000.00,260.00,260.00,260.00
2010-07-06,1,30.00,7950.00,265.00,265.00,265.00
2010-07-08,3,500.00,130150.00,261.00,260.00,260.00
2010-07-12,1,300.00,79500.00,265.00,265.00,265.00
2010-07-13,4,1000.00,270500.00,275.00,270.00,275.00
2010-07-14,1,36.00,10080.00,280.00,280.00,280.00
2010-07-15,1,200.00,56000.00,280.00,280.00,280.00
2010-07-18,2,232.00,63960.00,280.00,275.00,280.00
2010-07-20,1,200.00,57000.00,285.00,285.00,285.00
2010-07-21,1,100.00,28500.00,285.00,285.00,285.00
2010-07-22,3,279.00,80010.00,290.00,285.00,285.00
2010-07-25,6,1222.00,339410.00,280.00,275.00,280.00
2010-07-27,1,83.00,23323.00,281.00,281.00,281.00
2010-07-28,3,472.00,131160.00,280.00,275.00,275.00
2010-08-02,1,123.00,33825.00,275.00,275.00,275.00
2010-08-05,2,239.00,65599.00,276.00,271.00,276.00
2010-08-12,2,106.00,28726.00,271.00,271.00,271.00
2010-08-16,1,365.00,97090.00,266.00,266.00,266.00
