Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-08-26,2,40.00,10150.00,255.00,250.00,250.00
2010-08-29,2,20.00,4860.00,245.00,241.00,241.00
2010-08-30,6,60.00,13620.00,237.00,217.00,217.00
2010-08-31,6,60.00,12210.00,213.00,196.00,196.00
2010-09-02,6,60.00,11130.00,193.00,178.00,178.00
2010-09-05,3,30.00,5160.00,175.00,169.00,169.00
2010-09-06,8,100.00,15690.00,166.00,153.00,153.00
2010-09-07,74,3739.00,521762.00,150.00,138.00,138.00
2010-09-08,51,2637.00,331095.00,136.00,125.00,125.00
2010-09-09,228,16348.00,1895632.00,123.00,113.00,122.00
2010-09-12,92,4914.00,575759.00,120.00,115.00,118.00
2010-09-13,87,7300.00,855484.00,119.00,116.00,116.00
2010-09-14,59,2870.00,332967.00,118.00,114.00,116.00
2010-09-15,61,6887.00,798944.00,122.00,115.00,117.00
2010-09-16,69,5280.00,623010.00,122.00,116.00,120.00
2010-09-19,43,2648.00,315171.00,120.00,116.00,118.00
2010-09-20,42,2346.00,274976.00,119.00,116.00,118.00
2010-09-21,101,7160.00,830220.00,118.00,115.00,116.00
2010-09-23,149,8417.00,989808.00,120.00,117.00,120.00
2010-09-26,116,9541.00,1147868.00,122.00,117.00,121.00
2010-09-27,179,10433.00,1244008.00,122.00,116.00,119.00
2010-09-28,46,2682.00,320390.00,120.00,119.00,119.00
2010-09-29,37,2561.00,303913.00,120.00,117.00,119.00
2010-09-30,23,1912.00,227420.00,120.00,117.00,119.00
2010-10-03,120,8420.00,1008915.00,121.00,117.00,119.00
2010-10-05,73,7513.00,937876.00,130.00,121.00,130.00
2010-10-06,100,6423.00,820120.00,130.00,124.00,126.00
2010-10-07,125,9889.00,1283213.00,134.00,126.00,132.00
2010-10-10,65,2830.00,377270.00,136.00,132.00,135.00
2010-10-11,18,4120.00,539510.00,135.00,129.00,130.00
2010-10-12,17,881.00,116141.00,133.00,129.00,133.00
2010-10-13,3,890.00,119080.00,135.00,133.00,134.00
2010-10-21,11,590.00,77860.00,134.00,131.00,134.00
2010-10-24,44,2628.00,349110.00,135.00,130.00,134.00
2010-10-25,57,3285.00,446125.00,137.00,132.00,136.00
2010-10-26,37,3381.00,462856.00,138.00,134.00,135.00
2010-10-27,147,9094.00,1219470.00,135.00,132.00,135.00
2010-10-28,235,21662.00,3083634.00,148.00,135.00,145.00
2010-10-31,178,8172.00,1171563.00,149.00,138.00,145.00
2010-11-02,79,6760.00,984030.00,147.00,142.00,145.00
2010-11-03,142,9278.00,1370838.00,151.00,146.00,149.00
2010-11-04,113,5401.00,812241.00,154.00,147.00,153.00
2010-11-09,90,5893.00,918594.00,159.00,148.00,159.00
2010-11-10,132,7474.00,1196190.00,167.00,151.00,161.00
2010-11-11,91,6535.00,1070702.00,169.00,160.00,166.00
2010-11-14,67,3445.00,572117.00,172.00,162.00,163.00
2010-11-15,66,3983.00,638991.00,162.00,158.00,160.00
2010-11-16,58,2641.00,425761.00,164.00,159.00,162.00
2010-11-18,55,3731.00,606942.00,165.00,160.00,161.00
2010-11-21,205,14538.00,2341662.00,164.00,160.00,162.00
2010-11-22,118,7358.00,1184245.00,165.00,158.00,162.00
2010-11-23,110,10742.00,1762404.00,166.00,160.00,163.00
2010-11-24,85,4943.00,807202.00,166.00,161.00,165.00
2010-11-25,212,11689.00,1939184.00,171.00,160.00,171.00
2010-11-28,87,4635.00,750478.00,168.00,160.00,160.00
2010-11-29,68,2778.00,445990.00,163.00,155.00,156.00
2010-11-30,66,5139.00,809318.00,160.00,153.00,155.00
2010-12-01,106,4971.00,764533.00,157.00,148.00,152.00
2010-12-02,53,2779.00,420695.00,157.00,144.00,144.00
2010-12-05,166,9343.00,1315346.00,144.00,138.00,138.00
2010-12-06,11,1098.00,153720.00,145.00,138.00,145.00
2010-12-07,68,4186.00,565826.00,143.00,131.00,138.00
2010-12-08,67,3925.00,527559.00,136.00,133.00,135.00
2010-12-09,116,5690.00,776550.00,139.00,133.00,137.00
2010-12-12,195,11296.00,1528509.00,138.00,132.00,137.00
2010-12-13,131,7755.00,1053377.00,137.00,134.00,137.00
2010-12-14,81,6063.00,836884.00,139.00,137.00,137.00
2010-12-15,43,3341.00,452814.00,137.00,133.00,134.00
2010-12-16,76,3645.00,491630.00,136.00,132.00,136.00
2010-12-19,88,6516.00,868344.00,136.00,131.00,136.00
2010-12-20,136,8991.00,1233116.00,138.00,134.00,134.00
2010-12-22,16,731.00,98235.00,136.00,133.00,134.00
2010-12-23,54,3227.00,437240.00,137.00,134.00,135.00
2010-12-26,21,2626.00,361614.00,140.00,135.00,140.00
2010-12-27,15,978.00,137180.00,142.00,138.00,140.00
2010-12-28,52,3520.00,493100.00,142.00,139.00,142.00
2010-12-29,20,1534.00,219067.00,144.00,142.00,143.00
2011-01-02,193,10768.00,1516505.00,145.00,134.00,136.00
2011-01-03,99,4292.00,588806.00,140.00,135.00,137.00
2011-01-04,110,5048.00,696161.00,139.00,133.00,139.00
2011-01-05,72,5588.00,763980.00,140.00,132.00,132.00
2011-01-06,13,590.00,80520.00,140.00,132.00,140.00
2011-01-09,12,1532.00,212038.00,140.00,136.00,139.00
2011-01-10,94,7614.00,1054338.00,142.00,137.00,141.00
2011-01-11,57,3488.00,484135.00,142.00,136.00,142.00
2011-01-12,43,3193.00,446698.00,141.00,139.00,141.00
2011-01-13,53,3867.00,540098.00,140.00,138.00,138.00
