Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-10-24,3,30.00,8940.00,304.00,295.00,295.00
2010-10-25,63,1000.00,282970.00,298.00,274.00,274.00
2010-10-26,51,1120.00,278630.00,269.00,247.00,247.00
2010-10-27,14,200.00,45320.00,243.00,223.00,223.00
2010-10-28,13,270.00,57350.00,219.00,201.00,201.00
2010-10-31,55,860.00,156170.00,197.00,181.00,181.00
2010-11-02,86,1330.00,243080.00,189.00,175.00,189.00
2010-11-03,89,2100.00,409030.00,201.00,190.00,195.00
2010-11-04,57,660.00,126870.00,195.00,192.00,192.00
2010-11-09,35,540.00,98650.00,189.00,180.00,183.00
2010-11-10,43,630.00,114000.00,185.00,180.00,180.00
2010-11-11,28,510.00,90910.00,182.00,175.00,175.00
2010-11-14,87,1390.00,237610.00,177.00,170.00,173.00
2010-11-15,58,890.00,154310.00,176.00,171.00,176.00
2010-11-16,45,620.00,109880.00,179.00,175.00,179.00
2010-11-18,11,120.00,21430.00,180.00,176.00,180.00
2010-11-21,47,820.00,143490.00,179.00,171.00,176.00
2010-11-22,41,850.00,149600.00,181.00,173.00,181.00
2010-11-23,95,1590.00,287860.00,183.00,175.00,175.00
2010-11-24,19,360.00,64190.00,182.00,176.00,182.00
2010-11-25,121,3330.00,640480.00,200.00,184.00,188.00
2010-11-28,103,1180.00,212130.00,188.00,176.00,183.00
2010-11-29,40,710.00,124390.00,185.00,170.00,173.00
2010-11-30,17,550.00,94320.00,173.00,170.00,173.00
2010-12-01,52,770.00,131880.00,174.00,170.00,172.00
2010-12-02,24,470.00,80180.00,173.00,170.00,170.00
2010-12-05,73,980.00,165730.00,172.00,167.00,167.00
2010-12-06,86,1430.00,240130.00,170.00,165.00,168.00
2010-12-07,97,1350.00,233030.00,178.00,160.00,178.00
2010-12-08,83,2680.00,497510.00,190.00,177.00,177.00
2010-12-09,100,1530.00,272410.00,180.00,172.00,172.00
2010-12-12,27,340.00,58220.00,175.00,168.00,168.00
2010-12-13,32,420.00,69840.00,170.00,158.00,158.00
2010-12-14,65,740.00,116090.00,159.00,154.00,159.00
2010-12-15,35,580.00,93290.00,163.00,158.00,162.00
2010-12-16,21,380.00,64450.00,177.00,165.00,177.00
2010-12-19,61,750.00,132750.00,177.00,177.00,177.00
2010-12-20,23,360.00,62820.00,177.00,174.00,177.00
2010-12-22,14,720.00,135660.00,191.00,176.00,188.00
2010-12-23,4,40.00,7220.00,185.00,176.00,176.00
2010-12-26,26,620.00,104460.00,173.00,166.00,173.00
2010-12-27,34,480.00,82020.00,174.00,168.00,168.00
2010-12-28,20,230.00,39220.00,179.00,168.00,179.00
2010-12-29,16,480.00,87220.00,184.00,175.00,184.00
2011-01-02,76,930.00,161940.00,181.00,167.00,174.00
2011-01-03,46,790.00,131450.00,171.00,163.00,166.00
2011-01-04,64,1040.00,172710.00,169.00,164.00,167.00
2011-01-05,52,720.00,120170.00,176.00,163.00,164.00
2011-01-06,2,20.00,3300.00,165.00,165.00,165.00
2011-01-09,15,260.00,42490.00,165.00,162.00,163.00
2011-01-10,51,640.00,104380.00,166.00,162.00,162.00
2011-01-11,27,660.00,107160.00,164.00,158.00,163.00
2011-01-12,5,80.00,12920.00,163.00,161.00,161.00
2011-01-13,6,120.00,19080.00,160.00,158.00,158.00
2011-01-16,52,860.00,138290.00,162.00,160.00,160.00
2011-01-17,11,180.00,28630.00,160.00,159.00,160.00
2011-01-18,41,520.00,81550.00,161.00,154.00,160.00
2011-01-19,25,250.00,41160.00,165.00,162.00,162.00
2011-01-20,45,450.00,72900.00,162.00,162.00,162.00
2011-01-23,67,920.00,147880.00,162.00,158.00,160.00
2011-01-24,13,280.00,44570.00,162.00,158.00,159.00
2011-01-31,3,110.00,17600.00,160.00,160.00,160.00
2011-02-01,72,1070.00,176570.00,167.00,163.00,166.00
2011-02-02,109,1360.00,227510.00,171.00,166.00,168.00
2011-02-03,51,1570.00,277710.00,180.00,168.00,180.00
2011-02-06,86,2340.00,433430.00,191.00,180.00,182.00
2011-02-07,57,710.00,130100.00,184.00,182.00,183.00
2011-02-09,30,380.00,67560.00,180.00,171.00,171.00
2011-02-10,69,740.00,126090.00,171.00,166.00,166.00
