Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-12,6,60.00,21010.00,364.00,337.00,337.00
2010-05-20,4,100.00,32020.00,331.00,313.00,313.00
2010-05-23,5,120.00,35210.00,307.00,285.00,285.00
2010-05-24,6,140.00,37150.00,280.00,257.00,257.00
2010-05-25,60,1840.00,427440.00,252.00,232.00,232.00
2010-05-26,30,710.00,148940.00,228.00,209.00,209.00
2010-05-30,40,1400.00,269520.00,205.00,190.00,198.00
2010-05-31,135,5040.00,987120.00,209.00,188.00,188.00
2010-06-01,190,5040.00,976760.00,204.00,185.00,197.00
2010-06-02,114,2770.00,535800.00,198.00,188.00,198.00
2010-06-03,146,4770.00,919080.00,196.00,190.00,194.00
2010-06-06,220,6650.00,1300810.00,199.00,191.00,199.00
2010-06-07,153,6690.00,1328920.00,200.00,196.00,200.00
2010-06-08,389,16790.00,3382510.00,205.00,197.00,202.00
2010-06-09,161,6220.00,1279060.00,217.00,200.00,217.00
2010-06-10,173,7160.00,1566910.00,226.00,207.00,226.00
2010-06-13,296,13110.00,2983860.00,233.00,223.00,226.00
2010-06-14,213,7790.00,1728590.00,229.00,219.00,222.00
2010-06-15,246,9170.00,2056680.00,229.00,218.00,229.00
2010-06-16,218,7550.00,1727770.00,234.00,225.00,231.00
2010-06-17,216,7820.00,1884690.00,248.00,233.00,240.00
2010-06-20,228,7620.00,1872680.00,260.00,239.00,260.00
2010-06-21,228,9650.00,2551960.00,272.00,247.00,270.00
2010-06-22,370,15720.00,4249870.00,274.00,260.00,270.00
2010-06-23,224,9010.00,2385540.00,271.00,251.00,255.00
2010-06-24,199,7000.00,1713310.00,255.00,240.00,243.00
2010-06-28,156,7940.00,1859260.00,245.00,229.00,230.00
2010-06-29,168,6720.00,1536030.00,232.00,221.00,232.00
2010-06-30,311,12830.00,2923390.00,234.00,220.00,225.00
2010-07-01,149,2630.00,615400.00,239.00,229.00,231.00
2010-07-04,198,6420.00,1477040.00,233.00,223.00,232.00
2010-07-05,69,2210.00,513780.00,236.00,230.00,233.00
2010-07-06,105,4580.00,1056260.00,233.00,230.00,233.00
2010-07-07,120,4500.00,1062370.00,240.00,225.00,236.00
2010-07-08,132,6420.00,1527750.00,244.00,230.00,244.00
2010-07-11,103,5520.00,1334000.00,245.00,235.00,242.00
2010-07-12,40,1090.00,259200.00,242.00,232.00,238.00
2010-07-13,97,3440.00,824120.00,242.00,235.00,240.00
2010-07-14,60,2170.00,525770.00,245.00,240.00,245.00
2010-07-15,82,4020.00,1013850.00,257.00,242.00,257.00
2010-07-18,83,3730.00,947150.00,258.00,245.00,249.00
2010-07-19,91,2990.00,745490.00,252.00,246.00,250.00
2010-07-20,66,2290.00,575380.00,253.00,250.00,253.00
2010-07-21,97,3150.00,818460.00,275.00,255.00,270.00
2010-07-22,168,5490.00,1441130.00,265.00,258.00,265.00
2010-07-25,218,6700.00,1748250.00,270.00,250.00,255.00
2010-07-26,108,4180.00,1058860.00,255.00,250.00,251.00
2010-07-27,52,1670.00,417530.00,253.00,248.00,248.00
2010-07-28,14,1050.00,256430.00,250.00,243.00,244.00
2010-07-29,40,1050.00,259640.00,248.00,244.00,245.00
2010-08-01,49,1930.00,471190.00,245.00,243.00,245.00
2010-08-02,28,1450.00,354380.00,250.00,243.00,247.00
2010-08-03,36,1320.00,323420.00,248.00,243.00,243.00
2010-08-04,43,1360.00,329060.00,244.00,240.00,240.00
2010-08-05,61,2230.00,537910.00,244.00,240.00,244.00
2010-08-08,48,1320.00,317680.00,244.00,237.00,240.00
2010-08-09,36,1070.00,250940.00,240.00,233.00,233.00
2010-08-10,84,3250.00,776040.00,240.00,231.00,237.00
2010-08-11,75,3100.00,734500.00,240.00,235.00,237.00
2010-08-12,70,2930.00,702510.00,242.00,235.00,239.00
2010-08-15,114,2200.00,520220.00,241.00,232.00,241.00
2010-08-16,39,1110.00,268590.00,244.00,237.00,242.00
2010-08-17,76,4120.00,987970.00,243.00,237.00,243.00
2010-08-18,52,3150.00,761810.00,244.00,240.00,240.00
2010-08-19,64,2880.00,694590.00,243.00,240.00,243.00
2010-08-22,45,3880.00,937170.00,245.00,240.00,241.00
2010-08-23,35,1880.00,438470.00,237.00,231.00,232.00
2010-08-26,29,1550.00,359140.00,235.00,230.00,230.00
2010-08-29,121,5980.00,1385390.00,232.00,230.00,230.00
2010-08-30,93,3380.00,769790.00,230.00,223.00,227.00
2010-08-31,73,2630.00,587760.00,225.00,220.00,220.00
2010-09-02,74,2700.00,578930.00,217.00,212.00,215.00
2010-09-05,61,2290.00,477240.00,217.00,205.00,205.00
2010-09-06,74,4430.00,963210.00,225.00,206.00,221.00
2010-09-07,102,6170.00,1434210.00,235.00,224.00,233.00
2010-09-08,21,870.00,203770.00,236.00,232.00,235.00
2010-09-09,47,2040.00,473280.00,235.00,227.00,227.00
2010-09-12,30,970.00,217480.00,227.00,221.00,221.00
2010-09-13,21,540.00,121070.00,225.00,223.00,224.00
2010-09-14,41,1350.00,302290.00,225.00,220.00,220.00
2010-09-15,35,1470.00,330990.00,229.00,220.00,226.00
2010-09-16,37,2380.00,535630.00,228.00,222.00,228.00
2010-09-19,11,390.00,86700.00,224.00,220.00,220.00
2010-09-20,30,1260.00,282010.00,225.00,220.00,225.00
2010-09-21,75,2250.00,507100.00,227.00,223.00,225.00
2010-09-23,66,2540.00,570040.00,225.00,222.00,223.00
2010-09-26,17,500.00,112500.00,225.00,225.00,225.00
2010-09-27,50,1390.00,312770.00,227.00,222.00,227.00
2010-09-28,20,2950.00,664750.00,227.00,225.00,226.00
2010-09-29,69,1490.00,333920.00,226.00,223.00,224.00
2010-09-30,39,1200.00,271300.00,232.00,220.00,232.00
2010-10-03,12,850.00,193040.00,232.00,222.00,222.00
