Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-10,1,40.00,10800.00,270.00,270.00,270.00
2010-05-11,1,20.00,5400.00,270.00,270.00,270.00
2010-05-12,1,80.00,21200.00,265.00,265.00,265.00
2010-05-13,1,119.00,30940.00,260.00,260.00,260.00
2010-05-23,4,183.00,45915.00,255.00,250.00,250.00
2010-05-25,1,242.00,61710.00,255.00,255.00,255.00
2010-05-26,2,60.00,15750.00,265.00,260.00,265.00
2010-06-03,1,11.00,2970.00,270.00,270.00,270.00
2010-06-07,1,22.00,6050.00,275.00,275.00,275.00
2010-06-08,1,79.00,21725.00,275.00,275.00,275.00
2010-06-10,3,297.00,78705.00,270.00,260.00,260.00
2010-06-13,6,313.00,78520.00,255.00,245.00,245.00
2010-06-14,5,113.00,27281.00,249.00,233.00,233.00
2010-06-15,3,200.00,45910.00,230.00,229.00,230.00
2010-06-16,2,102.00,23052.00,226.00,226.00,226.00
2010-06-17,6,361.00,78633.00,225.00,212.00,212.00
2010-06-20,8,537.00,113677.00,216.00,208.00,216.00
2010-06-21,1,109.00,23980.00,220.00,220.00,220.00
2010-06-23,6,959.00,214284.00,228.00,220.00,228.00
2010-06-24,4,245.00,56430.00,234.00,230.00,234.00
2010-06-28,6,862.00,193944.00,230.00,223.00,223.00
2010-06-29,1,25.00,5675.00,227.00,227.00,227.00
2010-06-30,2,150.00,34700.00,234.00,230.00,234.00
2010-07-01,7,444.00,107968.00,255.00,238.00,255.00
2010-07-07,1,2000.00,510000.00,255.00,255.00,255.00
2010-07-08,3,128.00,32019.00,251.00,250.00,251.00
2010-07-11,1,100.00,24600.00,246.00,246.00,246.00
2010-07-14,3,47.00,12000.00,260.00,250.00,260.00
2010-07-15,1,20.00,5300.00,265.00,265.00,265.00
2010-07-18,2,55.00,14300.00,260.00,260.00,260.00
2010-08-19,3,241.00,61455.00,255.00,255.00,255.00
2010-08-31,3,101.00,24795.00,250.00,241.00,241.00
2010-09-13,11,410.00,92342.00,237.00,217.00,217.00
2010-09-14,22,2593.00,519785.00,215.00,196.00,196.00
2010-09-15,32,5376.00,1010328.00,196.00,177.00,196.00
2010-09-16,16,2038.00,399241.00,199.00,193.00,196.00
2010-09-19,4,479.00,70892.00,148.00,148.00,148.00
2010-09-20,2,28.00,4242.00,153.00,150.00,153.00
2010-09-23,2,192.00,28842.00,153.00,150.00,153.00
2010-09-27,2,58.00,8985.00,156.00,153.00,153.00
2010-09-28,3,103.00,15526.00,152.00,150.00,150.00
2010-09-30,1,37.00,5550.00,150.00,150.00,150.00
2010-10-27,9,418.00,73060.00,178.00,165.00,178.00
2010-10-28,3,50.00,9060.00,182.00,181.00,182.00
2010-10-31,1,10.00,1840.00,184.00,184.00,184.00
2010-11-03,2,101.00,18483.00,183.00,183.00,183.00
2010-11-09,2,98.00,17601.00,180.00,177.00,177.00
2010-11-11,4,394.00,67437.00,174.00,168.00,171.00
2010-11-14,4,199.00,33746.00,173.00,167.00,167.00
2010-11-15,1,109.00,17985.00,165.00,165.00,165.00
2010-11-16,6,857.00,137478.00,163.00,160.00,163.00
2010-11-21,1,264.00,43824.00,166.00,166.00,166.00
2010-11-22,4,892.00,149392.00,169.00,166.00,166.00
2010-11-23,9,932.00,147843.00,164.00,154.00,155.00
2010-11-24,12,2706.00,428104.00,160.00,158.00,160.00
2010-11-25,4,120.00,20101.00,169.00,163.00,169.00
2010-11-29,7,1343.00,228310.00,170.00,170.00,170.00
2010-12-05,1,10.00,1660.00,166.00,166.00,166.00
2010-12-26,3,109.00,17485.00,163.00,160.00,160.00
2011-01-10,6,160.00,27046.00,175.00,163.00,175.00
2011-01-12,2,27.00,4848.00,181.00,178.00,181.00
2011-02-15,4,133.00,24784.00,193.00,184.00,193.00
2011-02-16,3,60.00,11940.00,202.00,196.00,202.00
2011-04-11,3,282.00,55272.00,198.00,195.00,195.00
2011-04-28,6,398.00,75604.00,195.00,186.00,186.00
2011-05-12,1,20.00,3660.00,183.00,183.00,183.00
2011-07-04,1,10.00,1740.00,174.00,174.00,174.00
2011-07-06,1,618.00,105678.00,171.00,171.00,171.00
2011-07-12,1,219.00,36792.00,168.00,168.00,168.00
2011-08-01,1,386.00,63690.00,165.00,165.00,165.00
2011-08-02,4,2912.00,471744.00,162.00,162.00,162.00
2011-09-07,2,156.00,24804.00,159.00,159.00,159.00
2011-11-06,1,20.00,3120.00,156.00,156.00,156.00
2011-12-11,2,157.00,23580.00,153.00,150.00,150.00
2011-12-27,4,380.00,57000.00,150.00,150.00,150.00
2012-01-03,7,604.00,85906.00,147.00,139.00,139.00
2012-01-04,5,245.00,32515.00,137.00,131.00,131.00
2012-02-23,4,612.00,70254.00,117.00,113.00,113.00
2012-03-11,4,552.00,59796.00,111.00,105.00,105.00
2012-03-12,8,761.00,75114.00,103.00,95.00,95.00
2012-03-14,21,1377.00,121903.00,94.00,86.00,92.00
2012-03-15,2,20.00,1870.00,94.00,93.00,94.00
2012-03-20,2,200.00,18300.00,92.00,91.00,91.00
2012-03-21,1,100.00,9000.00,90.00,90.00,90.00
2012-03-26,1,673.00,59897.00,89.00,89.00,89.00
2012-03-27,8,1860.00,162493.00,89.00,85.00,86.00
2012-03-28,8,1124.00,94092.00,85.00,83.00,85.00
2012-03-29,3,463.00,38192.00,84.00,82.00,82.00
2012-04-02,2,200.00,16600.00,83.00,83.00,83.00
2012-04-03,2,981.00,81623.00,84.00,83.00,83.00
2012-04-04,10,4053.00,345852.00,91.00,84.00,91.00
2012-04-05,16,2484.00,234691.00,100.00,92.00,95.00
2012-04-08,3,134.00,12646.00,96.00,94.00,96.00
2012-04-09,4,110.00,10780.00,100.00,97.00,100.00
2012-04-10,6,1025.00,105440.00,108.00,100.00,108.00
2012-04-11,2,520.00,56720.00,111.00,109.00,111.00
2012-04-12,1,20.00,2180.00,109.00,109.00,109.00
2012-04-15,1,20.00,2180.00,109.00,109.00,109.00
2012-04-16,1,200.00,21400.00,107.00,107.00,107.00
2012-04-17,1,109.00,11445.00,105.00,105.00,105.00
2012-04-19,2,181.00,18561.00,103.00,101.00,101.00
2012-04-22,2,251.00,25049.00,100.00,99.00,100.00
2012-04-24,1,108.00,10800.00,100.00,100.00,100.00
2012-04-30,3,460.00,47194.00,104.00,102.00,102.00
2012-05-08,1,93.00,9486.00,102.00,102.00,102.00
2012-05-10,1,140.00,14000.00,100.00,100.00,100.00
2012-05-13,2,136.00,13600.00,100.00,100.00,100.00
2012-05-14,5,592.00,58938.00,100.00,97.00,97.00
2012-05-17,1,515.00,50470.00,98.00,98.00,98.00
2012-05-21,11,3437.00,343188.00,107.00,98.00,107.00
2012-05-22,4,215.00,22487.00,105.00,103.00,105.00
2012-06-05,1,23.00,2369.00,103.00,103.00,103.00
2012-06-06,1,56.00,5656.00,101.00,101.00,101.00
2012-06-07,5,62.00,5993.00,99.00,95.00,95.00
2012-06-10,3,30.00,2790.00,94.00,92.00,92.00
2012-06-11,5,157.00,14026.00,91.00,89.00,90.00
2012-06-12,9,123.00,11019.00,90.00,88.00,88.00
2012-06-13,9,1178.00,106895.00,92.00,89.00,91.00
2012-06-14,2,418.00,37502.00,90.00,89.00,89.00
2012-06-17,4,707.00,61819.00,88.00,87.00,87.00
2012-06-18,5,520.00,44200.00,86.00,84.00,84.00
2012-06-19,4,404.00,33128.00,83.00,81.00,81.00
2012-06-20,1,48.00,3936.00,82.00,82.00,82.00
2012-06-21,5,100.00,8500.00,87.00,83.00,87.00
2012-06-25,3,66.00,5868.00,90.00,88.00,90.00
2012-06-26,12,1489.00,138020.00,94.00,91.00,94.00
2012-06-27,3,60.00,5760.00,97.00,95.00,97.00
2012-06-28,8,336.00,30487.00,96.00,90.00,90.00
2012-07-01,12,680.00,63551.00,95.00,91.00,94.00
2012-07-02,10,486.00,46666.00,100.00,95.00,100.00
2012-07-03,1,30.00,3030.00,101.00,101.00,101.00
2012-07-04,1,59.00,6077.00,103.00,103.00,103.00
2012-07-08,1,20.00,2100.00,105.00,105.00,105.00
2012-07-09,22,4274.00,458252.00,113.00,105.00,113.00
2012-07-10,3,2495.00,276989.00,113.00,111.00,113.00
2012-07-11,4,107.00,11649.00,111.00,107.00,107.00
2012-07-17,2,782.00,80742.00,105.00,103.00,103.00
2012-07-22,14,944.00,95685.00,106.00,98.00,106.00
2012-07-23,2,114.00,12340.00,110.00,108.00,110.00
2013-12-23,7,1442.00,169528.00,121.00,112.00,121.00
2013-12-24,13,954.00,124390.00,133.00,123.00,133.00
2013-12-26,24,7842.00,1085547.00,146.00,135.00,146.00
2013-12-29,76,13516.00,2161176.00,160.00,148.00,160.00
2013-12-31,174,45754.00,8008534.00,176.00,163.00,176.00
2014-01-01,436,33161.00,6024179.00,193.00,160.00,169.00
2014-01-02,75,10392.00,1671420.00,172.00,153.00,163.00
2014-01-05,92,11098.00,1757385.00,169.00,148.00,164.00
2014-01-06,75,8191.00,1238496.00,160.00,148.00,152.00
2014-01-07,89,11743.00,1693684.00,147.00,141.00,143.00
2014-01-09,150,23075.00,3542728.00,160.00,148.00,151.00
2014-01-08,195,25899.00,3875593.00,159.00,143.00,145.00
2014-01-12,65,24290.00,3771256.00,163.00,151.00,154.00
2014-01-13,109,14355.00,2250281.00,161.00,155.00,160.00
2014-01-16,29,5329.00,828953.00,160.00,154.00,155.00
2014-01-14,40,3121.00,496349.00,163.00,156.00,163.00
2014-01-19,37,8096.00,1233305.00,154.00,147.00,153.00
2014-01-20,84,12104.00,1838154.00,158.00,150.00,150.00
2014-01-21,81,15820.00,2300562.00,149.00,143.00,146.00
2014-01-23,57,9255.00,1318740.00,147.00,140.00,147.00
2014-01-22,91,21360.00,3016904.00,145.00,139.00,142.00
2014-01-26,103,10622.00,1507562.00,147.00,141.00,144.00
2014-01-27,125,7458.00,1098100.00,150.00,143.00,150.00
2014-01-28,86,11152.00,1696240.00,157.00,148.00,151.00
2014-02-02,23,2071.00,304441.00,149.00,145.00,145.00
2014-01-29,61,3939.00,581835.00,150.00,145.00,149.00
2014-02-03,38,4840.00,701299.00,146.00,143.00,145.00
2014-02-04,20,1530.00,218067.00,145.00,141.00,145.00
2014-02-05,94,12601.00,1779584.00,143.00,140.00,143.00
2014-02-06,21,3757.00,535902.00,145.00,141.00,141.00
2014-02-09,52,2236.00,313808.00,142.00,136.00,142.00
2014-02-10,15,2003.00,289055.00,148.00,142.00,142.00
2014-02-11,73,6243.00,889046.00,146.00,140.00,143.00
2014-02-12,73,8394.00,1179786.00,144.00,138.00,141.00
2014-02-13,12,893.00,125268.00,142.00,139.00,142.00
2014-02-16,35,5179.00,701750.00,140.00,134.00,135.00
2014-02-17,22,3502.00,475151.00,139.00,133.00,137.00
2014-02-18,30,1651.00,232970.00,143.00,139.00,140.00
2014-02-20,26,5459.00,767822.00,142.00,139.00,142.00
2014-02-23,25,4052.00,558884.00,140.00,136.00,138.00
2014-02-24,60,3112.00,435816.00,142.00,138.00,142.00
2014-02-25,37,6831.00,953836.00,142.00,136.00,142.00
2014-02-26,45,6122.00,863841.00,144.00,139.00,139.00
2014-03-03,63,10325.00,1352474.00,137.00,129.00,133.00
2014-03-04,25,5238.00,651619.00,134.00,120.00,123.00
2014-03-05,72,9769.00,1238009.00,133.00,123.00,129.00
2014-03-06,31,6574.00,837807.00,131.00,125.00,127.00
2014-03-09,37,5911.00,762641.00,133.00,124.00,133.00
2014-03-10,114,7785.00,1003368.00,132.00,128.00,129.00
2014-03-11,54,4025.00,519366.00,132.00,125.00,130.00
2014-03-12,37,2517.00,320037.00,129.00,125.00,126.00
2014-03-13,25,1661.00,210734.00,130.00,124.00,130.00
2014-03-17,31,1814.00,225394.00,128.00,123.00,123.00
2014-03-18,39,2380.00,286920.00,123.00,120.00,120.00
2014-03-19,34,2978.00,352885.00,128.00,108.00,118.00
2014-03-20,24,4902.00,580587.00,120.00,116.00,120.00
2014-03-23,46,2615.00,311399.00,120.00,117.00,119.00
2014-03-24,21,968.00,115626.00,120.00,117.00,119.00
2014-03-25,34,3000.00,360960.00,122.00,119.00,122.00
2014-03-26,33,1143.00,136112.00,122.00,117.00,120.00
2014-03-27,31,1494.00,179649.00,122.00,117.00,122.00
2014-03-31,55,3836.00,456520.00,124.00,117.00,122.00
2014-04-01,14,3264.00,413053.00,130.00,124.00,130.00
2014-04-02,14,2996.00,391831.00,132.00,127.00,131.00
2014-04-03,30,1176.00,154096.00,133.00,129.00,131.00
2014-04-06,32,6573.00,875113.00,135.00,130.00,130.00
2014-04-07,1,30.00,3840.00,128.00,128.00,128.00
2014-04-09,5,250.00,31100.00,126.00,124.00,124.00
2014-04-10,11,409.00,50146.00,124.00,122.00,124.00
2014-04-13,12,433.00,52176.00,122.00,118.00,118.00
2014-04-15,29,2430.00,293431.00,122.00,114.00,121.00
2014-04-16,3,339.00,40600.00,120.00,118.00,120.00
2014-04-17,47,3207.00,394638.00,126.00,120.00,126.00
2014-04-20,2,50.00,6140.00,124.00,122.00,122.00
2014-04-21,2,613.00,73560.00,120.00,120.00,120.00
2014-04-22,120,3957.00,469922.00,122.00,114.00,120.00
2014-04-23,19,2632.00,311586.00,120.00,118.00,119.00
2014-04-27,34,5632.00,676125.00,124.00,118.00,124.00
2014-04-28,26,775.00,95107.00,124.00,122.00,122.00
2014-04-29,31,1495.00,179642.00,122.00,118.00,118.00
2014-04-30,47,1953.00,237220.00,124.00,118.00,120.00
2014-05-04,21,1768.00,210222.00,122.00,118.00,122.00
2014-05-05,9,1187.00,147014.00,126.00,122.00,126.00
2014-05-06,10,2766.00,351231.00,131.00,124.00,127.00
2014-05-07,8,1758.00,216216.00,125.00,121.00,121.00
2014-05-08,31,5696.00,670432.00,120.00,115.00,119.00
2014-05-11,67,6778.00,790226.00,120.00,115.00,118.00
2014-05-12,33,3532.00,428801.00,124.00,116.00,122.00
2014-05-13,28,3588.00,433724.00,126.00,120.00,126.00
2014-05-19,16,10633.00,1230503.00,118.00,114.00,116.00
2014-05-18,32,2020.00,240638.00,122.00,116.00,118.00
2014-05-15,7,214.00,26536.00,124.00,124.00,124.00
2014-05-20,24,1900.00,229919.00,124.00,118.00,124.00
2014-05-21,45,12343.00,1576732.00,130.00,122.00,127.00
2014-05-22,42,5697.00,734183.00,131.00,125.00,131.00
2014-05-25,22,4293.00,551346.00,130.00,127.00,130.00
2014-05-26,10,1722.00,219044.00,129.00,123.00,123.00
2014-05-27,24,4285.00,534414.00,127.00,122.00,125.00
2014-05-28,20,2542.00,324989.00,130.00,126.00,128.00
2014-06-01,5,700.00,88156.00,126.00,124.00,126.00
2014-06-02,18,1372.00,172925.00,128.00,125.00,127.00
2014-06-03,25,904.00,112635.00,126.00,123.00,123.00
2014-06-08,24,3606.00,450435.00,128.00,121.00,126.00
2014-06-05,19,3376.00,419787.00,127.00,123.00,123.00
2014-06-04,16,2345.00,288004.00,131.00,121.00,129.00
2014-06-09,15,5898.00,752723.00,130.00,125.00,129.00
2014-06-10,28,3149.00,405892.00,131.00,126.00,128.00
2014-06-11,29,5725.00,740747.00,132.00,126.00,126.00
2014-06-12,34,4830.00,629542.00,132.00,126.00,130.00
2014-06-18,27,1716.00,224474.00,133.00,126.00,130.00
2014-06-17,39,8351.00,1096304.00,133.00,130.00,0.00
2014-06-16,29,5366.00,713640.00,135.00,131.00,131.00
2014-06-15,27,4675.00,611658.00,134.00,128.00,132.00
2014-06-24,52,2882.00,372925.00,131.00,128.00,129.00
2014-06-23,35,1934.00,249778.00,132.00,128.00,130.00
2014-06-19,55,5044.00,653760.00,132.00,126.00,129.00
2014-06-25,12,3034.00,397125.00,133.00,128.00,131.00
2014-06-26,37,13909.00,1898017.00,144.00,129.00,144.00
2014-06-30,33,6252.00,918348.00,149.00,144.00,144.00
2014-06-29,46,21050.00,3176761.00,154.00,146.00,149.00
2014-07-01,50,5152.00,754473.00,149.00,144.00,147.00
2014-07-02,13,1471.00,215912.00,149.00,144.00,144.00
2014-07-03,40,9149.00,1352934.00,151.00,145.00,148.00
2014-07-06,14,3180.00,466430.00,149.00,144.00,148.00
2014-07-07,22,6527.00,968636.00,153.00,146.00,147.00
2014-07-08,63,16836.00,2629127.00,161.00,145.00,159.00
2014-07-09,14,3963.00,623504.00,160.00,155.00,155.00
2014-07-10,51,16525.00,2598805.00,164.00,150.00,164.00
2014-07-13,35,4139.00,670910.00,164.00,160.00,162.00
2014-07-14,26,4619.00,724254.00,160.00,152.00,156.00
2014-07-15,17,2147.00,327309.00,155.00,150.00,154.00
2014-07-16,40,6661.00,1075611.00,165.00,153.00,162.00
2014-07-17,26,5640.00,889704.00,160.00,154.00,154.00
