Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-07-14,2,31.00,4701.00,153.00,150.00,153.00
2015-07-15,10,778.00,113454.00,150.00,145.00,145.00
2015-07-16,30,1960.00,267035.00,144.00,131.00,132.00
2015-07-22,17,784.00,103798.00,142.00,128.00,142.00
2015-07-23,17,1016.00,141920.00,144.00,134.00,144.00
2015-07-26,3,160.00,23518.00,150.00,146.00,150.00
2015-07-27,8,926.00,138745.00,153.00,148.00,148.00
2015-07-28,8,871.00,124789.00,147.00,142.00,142.00
2015-07-29,16,1750.00,236956.00,140.00,134.00,138.00
2015-07-30,13,966.00,129327.00,137.00,132.00,133.00
2015-08-02,4,171.00,23645.00,141.00,135.00,141.00
2015-08-03,7,345.00,47834.00,140.00,137.00,137.00
2015-08-04,21,5565.00,746525.00,139.00,131.00,137.00
2015-08-05,7,2609.00,352215.00,135.00,135.00,135.00
2015-08-06,19,1939.00,261989.00,136.00,134.00,134.00
2015-08-09,8,191.00,25355.00,135.00,130.00,135.00
2015-08-10,14,784.00,102243.00,134.00,130.00,132.00
2015-08-12,3,84.00,10982.00,132.00,130.00,130.00
2015-08-13,12,972.00,123174.00,128.00,124.00,125.00
2015-08-16,16,1302.00,157100.00,123.00,120.00,120.00
2015-08-18,3,1679.00,202040.00,122.00,120.00,120.00
2015-08-19,5,87.00,10788.00,126.00,122.00,124.00
2015-08-20,9,432.00,54199.00,126.00,124.00,126.00
2015-08-23,1,28.00,3472.00,124.00,124.00,124.00
2015-08-24,1,140.00,17640.00,126.00,126.00,126.00
2015-08-25,29,1335.00,163664.00,126.00,120.00,122.00
2015-08-26,39,2810.00,350066.00,132.00,122.00,130.00
2015-08-27,44,2875.00,371631.00,130.00,128.00,129.00
2015-08-31,14,605.00,75603.00,127.00,123.00,125.00
2015-09-01,19,2372.00,298186.00,127.00,125.00,126.00
2015-09-02,19,857.00,108478.00,129.00,126.00,128.00
2015-09-03,10,188.00,23862.00,128.00,126.00,126.00
2015-09-06,17,1429.00,186364.00,132.00,128.00,128.00
2015-09-07,11,1054.00,136775.00,132.00,128.00,130.00
2015-09-08,40,4193.00,548303.00,132.00,126.00,132.00
2015-09-09,9,401.00,52192.00,132.00,130.00,132.00
2015-09-10,8,698.00,95257.00,138.00,133.00,136.00
2015-09-13,5,443.00,59124.00,135.00,133.00,135.00
2015-09-14,26,5300.00,726381.00,141.00,130.00,130.00
2015-09-15,4,476.00,61040.00,130.00,128.00,130.00
2015-09-16,8,1783.00,235258.00,132.00,130.00,131.00
2015-09-17,2,350.00,46620.00,134.00,133.00,134.00
2015-09-22,5,138.00,18180.00,133.00,131.00,131.00
2015-09-23,17,616.00,80696.00,131.00,131.00,131.00
2015-09-24,2,199.00,25870.00,130.00,130.00,130.00
2015-09-29,5,172.00,21909.00,128.00,127.00,128.00
2015-09-30,9,168.00,21392.00,128.00,126.00,128.00
