Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,1,50.00,39250.00,785.00,785.00,785.00
2010-04-20,4,74.00,58320.00,800.00,770.00,800.00
2010-04-22,3,120.00,94510.00,813.00,784.00,813.00
2010-04-25,1,30.00,24000.00,800.00,800.00,800.00
2010-04-27,5,160.00,121840.00,784.00,739.00,739.00
2010-04-28,1,30.00,21750.00,725.00,725.00,725.00
2010-04-29,1,20.00,14600.00,730.00,730.00,730.00
2010-04-15,3,146.00,119218.00,833.00,801.00,801.00
2010-05-10,1,200.00,144000.00,720.00,720.00,720.00
2010-05-11,1,350.00,247100.00,706.00,706.00,706.00
2010-05-17,4,460.00,329840.00,734.00,715.00,734.00
2010-05-18,1,10000.00,7340000.00,734.00,734.00,734.00
2010-05-20,1,20.00,14960.00,748.00,748.00,748.00
2010-05-23,1,10200.00,7629600.00,748.00,748.00,748.00
2010-05-24,2,50.00,38450.00,775.00,760.00,775.00
2010-05-25,1,30.00,23700.00,790.00,790.00,790.00
2010-05-26,1,20.00,16100.00,805.00,805.00,805.00
2010-05-30,1,20.00,16420.00,821.00,821.00,821.00
2010-05-31,2,150.00,123950.00,837.00,821.00,821.00
2010-06-01,4,750.00,594600.00,805.00,789.00,804.00
2010-06-02,3,560.00,443750.00,820.00,790.00,820.00
2010-06-03,2,450.00,356200.00,804.00,790.00,790.00
2010-06-06,1,10.00,8020.00,802.00,802.00,802.00
2010-06-08,2,1040.00,832400.00,810.00,800.00,800.00
2010-06-09,4,2196.00,1707570.00,802.00,775.00,802.00
2010-06-15,1,236.00,187620.00,795.00,795.00,795.00
2010-06-21,1,10.00,8100.00,810.00,810.00,810.00
2010-06-22,3,390.00,315700.00,820.00,804.00,804.00
2010-06-24,1,200.00,163000.00,815.00,815.00,815.00
2010-06-30,1,1000.00,815000.00,815.00,815.00,815.00
2010-07-01,6,1280.00,1049650.00,863.00,815.00,863.00
2010-07-04,9,316.00,285700.00,930.00,880.00,930.00
2010-07-06,3,150.00,135900.00,912.00,894.00,894.00
2010-07-07,4,1210.00,1044000.00,877.00,860.00,877.00
2010-07-08,4,184.00,167946.00,928.00,894.00,928.00
2010-07-11,4,1484.00,1349228.00,920.00,902.00,902.00
2010-07-12,2,104.00,96652.00,938.00,920.00,938.00
2010-07-14,11,749.00,759434.00,1031.00,955.00,1031.00
2010-07-15,4,310.00,328500.00,1090.00,1050.00,1090.00
2010-07-21,2,104.00,111176.00,1069.00,1069.00,1069.00
2010-07-22,4,200.00,203600.00,1048.00,988.00,988.00
2010-08-02,6,1050.00,1003250.00,969.00,913.00,913.00
2010-08-04,1,50.00,44750.00,895.00,895.00,895.00
2010-08-05,2,100.00,87800.00,878.00,878.00,878.00
2010-08-08,2,104.00,89980.00,870.00,860.00,860.00
2010-08-11,2,100.00,83500.00,843.00,827.00,827.00
2010-08-15,3,450.00,368700.00,830.00,815.00,815.00
2010-08-17,1,54.00,43146.00,799.00,799.00,799.00
2010-08-18,2,150.00,122900.00,830.00,814.00,830.00
2010-08-19,1,100.00,81400.00,814.00,814.00,814.00
2010-08-22,5,530.00,431720.00,825.00,794.00,825.00
2010-09-09,2,500.00,401800.00,810.00,794.00,794.00
2010-09-14,4,200.00,152560.00,779.00,749.00,749.00
2010-09-15,5,205.00,156075.00,780.00,750.00,780.00
2010-09-16,2,100.00,80550.00,810.00,795.00,810.00
2010-09-19,1,20.00,16520.00,826.00,826.00,826.00
2010-09-23,5,318.00,261228.00,842.00,810.00,842.00
2010-09-30,1,200.00,168400.00,842.00,842.00,842.00
2010-10-20,1,50.00,41300.00,826.00,826.00,826.00
2010-11-18,1,50.00,40500.00,810.00,810.00,810.00
2010-11-21,3,300.00,241000.00,810.00,800.00,800.00
2010-11-25,1,100.00,78500.00,785.00,785.00,785.00
2010-12-02,3,540.00,416700.00,800.00,770.00,800.00
2010-12-16,2,1020.00,775500.00,775.00,760.00,775.00
2010-12-19,1,1500.00,1140000.00,760.00,760.00,760.00
2011-01-12,1,48.00,33792.00,704.00,704.00,704.00
2011-02-10,4,350.00,246600.00,710.00,696.00,696.00
2011-02-13,1,61.00,42700.00,700.00,700.00,700.00
2011-02-17,1,100.00,68700.00,687.00,687.00,687.00
2011-03-01,1,50.00,33700.00,674.00,674.00,674.00
2011-03-03,2,150.00,99150.00,661.00,661.00,661.00
2011-04-05,1,20.00,13420.00,671.00,671.00,671.00
2011-04-10,6,152.00,103410.00,724.00,671.00,724.00
2011-04-11,1,10.00,7590.00,759.00,759.00,759.00
2011-04-13,1,10.00,7960.00,796.00,796.00,796.00
2011-05-15,4,150.00,111600.00,781.00,736.00,736.00
2011-05-18,5,170.00,116870.00,722.00,668.00,668.00
2011-05-19,6,80.00,49890.00,655.00,602.00,602.00
2011-05-22,5,210.00,118840.00,590.00,546.00,546.00
2011-05-23,8,883.00,451536.00,536.00,496.00,497.00
2011-05-24,6,583.00,281691.00,497.00,479.00,479.00
2011-05-25,20,3710.00,1716266.00,479.00,447.00,447.00
2011-05-26,6,900.00,398900.00,445.00,436.00,436.00
2011-05-30,21,2020.00,841490.00,435.00,408.00,409.00
2011-05-31,11,2110.00,871920.00,415.00,410.00,413.00
2011-06-02,5,2920.00,1183100.00,410.00,400.00,410.00
2011-06-05,12,2710.00,1116480.00,419.00,405.00,410.00
2011-06-06,4,2310.00,938420.00,411.00,402.00,411.00
2011-06-07,9,840.00,357130.00,443.00,419.00,420.00
2011-06-08,2,220.00,94160.00,428.00,428.00,428.00
2011-06-09,5,1300.00,546100.00,421.00,420.00,420.00
2011-06-12,3,400.00,171200.00,428.00,428.00,428.00
2011-06-13,3,433.00,182574.00,428.00,420.00,428.00
2011-06-14,9,1269.00,536453.00,428.00,420.00,421.00
2011-06-15,4,608.00,261992.00,432.00,428.00,432.00
2011-06-16,1,21.00,9240.00,440.00,440.00,440.00
2011-06-19,5,1760.00,817387.00,474.00,448.00,474.00
2011-06-20,1,10.00,4830.00,483.00,483.00,483.00
2011-06-21,1,21.00,10185.00,485.00,485.00,485.00
2011-06-23,8,400.00,209810.00,533.00,494.00,533.00
2011-06-26,7,2130.00,1132490.00,543.00,523.00,523.00
2011-06-27,2,190.00,97870.00,523.00,513.00,523.00
2011-06-29,10,412.00,226986.00,571.00,530.00,571.00
2011-06-30,11,470.00,250930.00,560.00,514.00,550.00
2011-07-03,4,265.00,143217.00,550.00,539.00,550.00
2011-07-04,1,220.00,118800.00,540.00,540.00,540.00
2011-07-05,3,105.00,56680.00,550.00,530.00,530.00
2011-07-06,4,160.00,90020.00,570.00,540.00,570.00
2011-07-07,2,40.00,23220.00,586.00,575.00,586.00
2011-07-10,1,100.00,59000.00,590.00,590.00,590.00
2011-07-11,13,674.00,410370.00,630.00,579.00,630.00
2011-07-12,10,422.00,283330.00,687.00,641.00,687.00
2011-07-13,4,1766.00,1194544.00,700.00,674.00,686.00
2011-07-14,42,1693.00,1142094.00,739.00,645.00,739.00
2011-07-21,5,322.00,224502.00,725.00,671.00,671.00
2011-07-24,6,330.00,207820.00,658.00,609.00,609.00
2011-07-25,5,500.00,287500.00,597.00,553.00,553.00
2011-07-27,4,936.00,505912.00,542.00,532.00,542.00
2011-07-28,2,161.00,86262.00,542.00,532.00,542.00
2011-07-31,4,260.00,135420.00,532.00,518.00,518.00
2011-08-02,2,640.00,337920.00,528.00,528.00,528.00
2011-08-03,9,4492.00,2289480.00,538.00,505.00,505.00
2011-08-07,1,61529.00,30764500.00,500.00,500.00,500.00
2011-08-08,2,200.00,102100.00,511.00,510.00,511.00
2011-08-09,1,3552.00,1779552.00,501.00,501.00,501.00
2011-08-11,1,3872.00,1901152.00,491.00,491.00,491.00
2011-08-17,10,1576.00,796100.00,520.00,500.00,500.00
2011-08-23,1,22.00,11220.00,510.00,510.00,510.00
2011-09-04,1,34.00,17340.00,510.00,510.00,510.00
2011-09-05,1,200.00,102000.00,510.00,510.00,510.00
2011-09-07,1,50.00,26000.00,520.00,520.00,520.00
2011-09-18,2,550.00,280800.00,516.00,510.00,516.00
