Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-09-05,1,10.00,3950.00,395.00,395.00,395.00
2011-09-15,1,20.00,7760.00,388.00,388.00,388.00
2011-10-02,5,100.00,36980.00,381.00,360.00,360.00
2011-10-30,2,20.00,7060.00,353.00,353.00,353.00
2012-01-08,13,240.00,83040.00,346.00,346.00,346.00
2012-02-05,3,60.00,19380.00,329.00,317.00,317.00
2012-02-08,3,60.00,17780.00,302.00,291.00,291.00
2012-02-09,4,80.00,22280.00,286.00,271.00,271.00
2012-02-12,4,80.00,20680.00,266.00,251.00,251.00
2012-02-13,12,320.00,76480.00,239.00,239.00,239.00
2012-02-14,3,60.00,13440.00,228.00,220.00,220.00
2012-02-15,1,20.00,4320.00,216.00,216.00,216.00
2012-02-16,2,40.00,8400.00,212.00,208.00,208.00
2012-02-21,2,20.00,4080.00,204.00,204.00,204.00
2012-02-27,1,20.00,3880.00,194.00,194.00,194.00
2012-03-13,2,30.00,5490.00,185.00,182.00,182.00
2012-03-14,4,80.00,13960.00,179.00,170.00,170.00
2012-03-15,1,20.00,3340.00,167.00,167.00,167.00
2012-03-27,1,20.00,3280.00,164.00,164.00,164.00
2012-03-29,1,50.00,8050.00,161.00,161.00,161.00
2012-04-01,5,150.00,22710.00,158.00,149.00,149.00
2012-04-02,5,100.00,14300.00,147.00,139.00,139.00
2012-04-03,8,270.00,35530.00,137.00,129.00,129.00
2012-04-04,5,130.00,16030.00,127.00,119.00,119.00
2012-04-05,6,140.00,15860.00,117.00,109.00,109.00
2012-04-08,7,210.00,21390.00,107.00,99.00,99.00
2012-04-10,22,660.00,65340.00,99.00,99.00,99.00
2012-04-11,30,920.00,90160.00,98.00,98.00,98.00
2012-04-12,23,460.00,45080.00,98.00,98.00,98.00
2012-04-18,2,40.00,3860.00,97.00,96.00,96.00
2012-04-19,25,520.00,49560.00,96.00,95.00,95.00
2012-04-22,14,350.00,32480.00,94.00,91.00,92.00
2012-04-24,14,580.00,53400.00,93.00,91.00,92.00
2012-04-25,8,200.00,18660.00,95.00,92.00,95.00
2012-04-26,29,930.00,89570.00,97.00,95.00,95.00
2012-04-29,12,330.00,31680.00,96.00,96.00,96.00
2012-04-30,25,650.00,61200.00,95.00,94.00,94.00
2012-05-10,12,520.00,47540.00,93.00,91.00,91.00
2012-05-16,2,40.00,3600.00,90.00,90.00,90.00
2012-05-17,1,120.00,10680.00,89.00,89.00,89.00
2012-05-20,5,130.00,11350.00,88.00,87.00,87.00
2012-05-21,13,700.00,60180.00,87.00,85.00,85.00
2012-05-22,26,660.00,54950.00,85.00,81.00,81.00
2012-05-23,3,100.00,8000.00,80.00,80.00,80.00
2012-05-24,22,800.00,59470.00,79.00,72.00,74.00
2012-05-27,25,690.00,49580.00,74.00,70.00,74.00
2012-05-29,25,810.00,55370.00,73.00,67.00,67.00
2012-05-30,45,1280.00,84040.00,67.00,64.00,65.00
2012-05-31,13,310.00,20270.00,66.00,65.00,66.00
2012-06-03,36,1630.00,110750.00,69.00,65.00,69.00
2012-06-04,41,1190.00,80170.00,68.00,66.00,68.00
2012-06-05,91,2290.00,156020.00,70.00,66.00,68.00
2012-06-06,147,3600.00,245620.00,70.00,65.00,70.00
2012-06-07,60,1860.00,132670.00,72.00,70.00,72.00
2012-06-10,31,1160.00,85510.00,76.00,69.00,75.00
2012-06-11,38,1700.00,129890.00,78.00,73.00,75.00
2012-06-12,69,2470.00,185060.00,77.00,73.00,75.00
2012-06-13,27,870.00,65210.00,75.00,74.00,75.00
2012-06-14,123,3050.00,222700.00,76.00,72.00,72.00
2012-06-17,42,860.00,61920.00,72.00,72.00,72.00
2012-06-18,88,1950.00,141080.00,74.00,71.00,72.00
2012-06-19,37,780.00,56570.00,74.00,71.00,74.00
2012-06-20,61,1630.00,118680.00,74.00,72.00,73.00
2012-06-21,21,730.00,53220.00,74.00,71.00,73.00
2012-06-25,28,700.00,50230.00,73.00,71.00,73.00
2012-06-26,72,2640.00,189880.00,72.00,71.00,72.00
2012-06-27,16,400.00,28800.00,72.00,72.00,72.00
2012-06-28,12,350.00,25200.00,72.00,72.00,72.00
2012-07-01,10,310.00,22320.00,72.00,72.00,72.00
2012-07-02,9,190.00,13400.00,71.00,70.00,70.00
2012-07-03,29,1450.00,104980.00,73.00,70.00,72.00
2012-07-04,20,410.00,29660.00,73.00,71.00,71.00
2012-07-05,20,460.00,32650.00,73.00,70.00,70.00
2012-07-08,13,410.00,29010.00,71.00,70.00,71.00
2012-07-09,9,210.00,14970.00,72.00,71.00,72.00
2012-07-10,132,2710.00,189910.00,71.00,70.00,71.00
2012-07-11,4,80.00,5600.00,70.00,70.00,70.00
2012-07-15,5,100.00,7220.00,73.00,71.00,73.00
2012-07-16,80,1770.00,130980.00,76.00,73.00,76.00
2012-07-17,42,1790.00,136600.00,77.00,76.00,77.00
2012-07-18,6,120.00,9220.00,77.00,76.00,77.00
2012-07-19,8,160.00,12480.00,78.00,78.00,78.00
2012-07-22,6,340.00,26440.00,79.00,77.00,78.00
2012-07-23,3,120.00,9240.00,77.00,77.00,77.00
2012-07-24,28,1250.00,94730.00,76.00,75.00,76.00
2012-07-25,6,220.00,16300.00,75.00,73.00,73.00
2012-07-26,5,140.00,10360.00,74.00,74.00,74.00
2012-07-29,74,1630.00,119370.00,76.00,71.00,71.00
2012-07-30,38,890.00,65230.00,75.00,71.00,75.00
2012-07-31,74,2840.00,212900.00,75.00,74.00,74.00
