Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-03-18,1,100.00,20000.00,200.00,200.00,200.00
2014-04-13,1,73.00,14308.00,196.00,196.00,196.00
2014-04-16,3,42.00,7980.00,193.00,187.00,187.00
2014-04-22,9,98.00,17189.00,184.00,169.00,169.00
2014-04-23,23,230.00,37280.00,166.00,160.00,160.00
2014-05-13,1,10.00,1570.00,157.00,157.00,157.00
2014-05-19,3,30.00,4650.00,156.00,153.00,153.00
2014-05-18,1,10.00,1540.00,154.00,154.00,154.00
2014-05-20,10,286.00,42372.00,150.00,141.00,141.00
2014-05-21,13,402.00,52481.00,139.00,127.00,127.00
2014-05-22,3,160.00,20565.00,129.00,128.00,129.00
2014-05-25,7,358.00,45244.00,127.00,125.00,126.00
2014-05-26,5,129.00,16658.00,132.00,128.00,130.00
2014-05-28,6,461.00,59018.00,129.00,128.00,129.00
2014-06-01,3,148.00,18796.00,127.00,127.00,127.00
2014-06-08,3,159.00,20339.00,129.00,127.00,129.00
2014-06-05,3,30.00,3750.00,125.00,125.00,125.00
2014-06-04,1,10.00,1250.00,125.00,125.00,125.00
2014-06-09,1,73.00,9563.00,131.00,131.00,131.00
2014-06-10,1,73.00,9417.00,129.00,129.00,129.00
2014-06-11,1,147.00,19257.00,131.00,131.00,131.00
2014-06-12,2,72.00,9576.00,133.00,133.00,133.00
2014-06-18,5,263.00,35271.00,135.00,133.00,135.00
2014-06-17,1,73.00,9855.00,135.00,135.00,0.00
2014-06-25,3,48.00,6264.00,131.00,130.00,130.00
2014-06-26,15,855.00,105393.00,128.00,120.00,123.00
2014-06-30,3,438.00,53436.00,122.00,122.00,122.00
2014-07-06,1,59.00,7316.00,124.00,124.00,124.00
2014-07-07,6,269.00,36065.00,135.00,126.00,135.00
2014-07-08,8,701.00,99889.00,147.00,137.00,147.00
2014-07-09,1,80.00,11920.00,149.00,149.00,149.00
2014-07-13,5,186.00,28524.00,154.00,151.00,154.00
2014-07-14,1,10.00,1570.00,157.00,157.00,157.00
2014-07-15,17,872.00,143042.00,169.00,157.00,169.00
2014-07-16,6,621.00,105661.00,172.00,167.00,167.00
2014-07-17,12,526.00,90584.00,178.00,169.00,178.00
2014-07-20,1,30.00,5250.00,175.00,175.00,175.00
