Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,28,1840.00,748320.00,413.00,405.00,408.00
2010-04-20,8,550.00,223530.00,409.00,405.00,405.00
2010-04-21,13,880.00,341290.00,405.00,383.00,384.00
2010-04-22,13,770.00,299010.00,397.00,380.00,397.00
2010-04-25,5,240.00,94680.00,397.00,390.00,395.00
2010-04-26,30,890.00,341400.00,388.00,380.00,380.00
2010-04-27,40,1630.00,610980.00,384.00,355.00,355.00
2010-04-28,37,1390.00,482740.00,358.00,330.00,358.00
2010-04-29,6,280.00,100610.00,361.00,351.00,361.00
2010-04-15,4,180.00,73750.00,415.00,406.00,406.00
2010-05-09,22,1570.00,562330.00,361.00,357.00,360.00
2010-05-10,12,770.00,276380.00,370.00,351.00,370.00
2010-05-11,1,20.00,7280.00,364.00,364.00,364.00
2010-05-12,6,240.00,91720.00,400.00,371.00,400.00
2010-05-13,23,1700.00,743800.00,440.00,408.00,439.00
2010-05-16,42,1880.00,783890.00,441.00,409.00,418.00
2010-05-17,8,550.00,225590.00,415.00,402.00,415.00
2010-05-18,15,850.00,364070.00,453.00,412.00,453.00
2010-05-19,13,890.00,401660.00,457.00,444.00,450.00
2010-05-20,11,690.00,312530.00,459.00,450.00,455.00
2010-05-23,38,2620.00,1186410.00,461.00,449.00,450.00
2010-05-24,20,740.00,340710.00,468.00,450.00,467.00
2010-05-25,52,3930.00,1931110.00,504.00,467.00,504.00
2010-05-26,15,1030.00,549070.00,554.00,510.00,525.00
2010-05-30,6,420.00,227880.00,559.00,535.00,559.00
2010-05-31,46,2680.00,1459300.00,592.00,517.00,527.00
2010-06-01,31,2010.00,1003420.00,517.00,495.00,508.00
2010-06-02,17,1190.00,596010.00,504.00,498.00,502.00
2010-06-03,18,1380.00,708540.00,517.00,509.00,513.00
2010-06-06,21,910.00,459950.00,515.00,501.00,505.00
2010-06-07,30,1230.00,619640.00,510.00,500.00,510.00
2010-06-08,11,730.00,375080.00,520.00,510.00,515.00
2010-06-09,14,710.00,370920.00,526.00,516.00,522.00
2010-06-10,37,1470.00,758810.00,521.00,514.00,518.00
2010-06-13,42,2230.00,1143360.00,518.00,510.00,511.00
2010-06-14,36,1290.00,650520.00,515.00,496.00,500.00
2010-06-15,16,830.00,410290.00,500.00,490.00,495.00
2010-06-16,9,370.00,182880.00,495.00,490.00,490.00
2010-06-17,7,310.00,153040.00,495.00,490.00,495.00
2010-06-20,30,760.00,375140.00,500.00,490.00,490.00
2010-06-21,12,395.00,195790.00,497.00,494.00,495.00
2010-06-22,23,620.00,306900.00,496.00,490.00,495.00
2010-06-23,20,1320.00,659830.00,505.00,490.00,500.00
2010-06-24,35,2190.00,1116450.00,516.00,505.00,507.00
2010-06-28,26,2020.00,1069750.00,540.00,510.00,535.00
2010-06-29,36,2230.00,1194750.00,546.00,520.00,530.00
2010-06-30,51,1930.00,1019040.00,534.00,524.00,530.00
2010-07-01,41,2000.00,1063600.00,540.00,525.00,532.00
2010-07-04,25,1730.00,906740.00,529.00,519.00,529.00
2010-07-05,35,1450.00,746580.00,538.00,507.00,509.00
2010-07-06,21,1030.00,521500.00,510.00,501.00,506.00
2010-07-07,35,1530.00,777750.00,511.00,506.00,510.00
2010-07-08,37,1620.00,828480.00,523.00,505.00,512.00
2010-07-11,26,1290.00,656050.00,515.00,505.00,509.00
2010-07-12,36,1620.00,807150.00,505.00,490.00,501.00
2010-07-13,44,1940.00,959520.00,501.00,490.00,500.00
2010-07-14,70,2430.00,1204920.00,503.00,489.00,491.00
2010-07-22,12,900.00,263470.00,300.00,289.00,300.00
2010-07-25,6,500.00,145550.00,294.00,289.00,292.00
2010-07-26,16,600.00,174440.00,292.00,290.00,292.00
