Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,45,1804.00,2490871.00,1449.00,1350.00,1400.00
2010-04-20,7,179.00,245205.00,1380.00,1353.00,1380.00
2010-04-21,83,2870.00,3584693.00,1353.00,1242.00,1242.00
2010-04-22,19,1333.00,1615806.00,1295.00,1180.00,1295.00
2010-04-25,18,607.00,737114.00,1275.00,1200.00,1220.00
2010-04-26,26,1973.00,2269446.00,1196.00,1140.00,1190.00
2010-04-27,27,1694.00,1834907.00,1167.00,1071.00,1100.00
2010-04-28,9,428.00,469064.00,1122.00,1078.00,1100.00
2010-04-29,19,655.00,775222.00,1210.00,1120.00,1210.00
2010-04-15,7,330.00,465581.00,1430.00,1402.00,1410.00
2010-05-09,12,652.00,738648.00,1186.00,1105.00,1159.00
2010-05-10,12,496.00,563628.00,1232.00,1118.00,1232.00
2010-05-11,15,503.00,631880.00,1304.00,1210.00,1304.00
2010-05-12,18,964.00,1288114.00,1365.00,1280.00,1355.00
2010-05-13,22,1317.00,1780770.00,1395.00,1328.00,1342.00
2010-05-16,28,781.00,1019188.00,1404.00,1248.00,1404.00
2010-05-17,2,20.00,27250.00,1376.00,1349.00,1349.00
2010-05-18,27,1544.00,2014977.00,1402.00,1275.00,1402.00
2010-05-19,24,879.00,1185892.00,1457.00,1300.00,1457.00
2010-05-20,7,198.00,289028.00,1480.00,1423.00,1470.00
2010-05-23,13,691.00,976362.00,1445.00,1394.00,1445.00
2010-05-24,11,554.00,784290.00,1442.00,1389.00,1442.00
2010-05-25,16,985.00,1441392.00,1523.00,1440.00,1523.00
2010-05-26,13,533.00,822773.00,1611.00,1488.00,1505.00
2010-05-30,8,388.00,623895.00,1654.00,1500.00,1630.00
2010-05-31,17,1114.00,1772505.00,1660.00,1477.00,1566.00
2010-06-01,27,936.00,1386113.00,1590.00,1410.00,1590.00
2010-06-02,7,242.00,377402.00,1575.00,1519.00,1548.00
2010-06-03,10,667.00,1008500.00,1578.00,1470.00,1560.00
2010-06-06,24,1432.00,2168324.00,1591.00,1470.00,1591.00
2010-06-07,2,30.00,48400.00,1615.00,1610.00,1615.00
2010-06-09,15,664.00,1007918.00,1600.00,1475.00,1600.00
2010-06-10,3,77.00,122625.00,1599.00,1568.00,1595.00
2010-06-13,15,1107.00,1686947.00,1588.00,1510.00,1588.00
2010-06-15,5,187.00,288775.00,1557.00,1525.00,1530.00
2010-06-16,17,1431.00,2122814.00,1529.00,1470.00,1514.00
2010-06-17,4,205.00,306325.00,1515.00,1490.00,1515.00
2010-06-20,9,380.00,562480.00,1520.00,1466.00,1520.00
2010-06-21,3,118.00,176158.00,1494.00,1490.00,1490.00
2010-06-22,11,795.00,1159787.00,1489.00,1446.00,1446.00
2010-06-23,12,477.00,692742.00,1475.00,1443.00,1475.00
2010-06-24,15,1093.00,1577555.00,1480.00,1430.00,1480.00
2010-06-28,3,52.00,78275.00,1525.00,1500.00,1525.00
2010-06-29,12,245.00,362180.00,1555.00,1430.00,1495.00
2010-06-30,10,524.00,780083.00,1530.00,1465.00,1530.00
2010-07-01,4,60.00,94660.00,1600.00,1560.00,1600.00
2010-07-04,7,285.00,428969.00,1568.00,1470.00,1499.00
2010-07-05,3,60.00,90360.00,1528.00,1498.00,1498.00
2010-07-06,13,351.00,546602.00,1600.00,1520.00,1600.00
2010-07-08,12,463.00,695297.00,1568.00,1471.00,1500.00
2010-07-11,8,582.00,859588.00,1500.00,1470.00,1497.00
2010-07-12,13,961.00,1420805.00,1528.00,1470.00,1528.00
