Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-09,1,60.00,25320.00,422.00,422.00,422.00
2010-07-07,1,30.00,12420.00,414.00,414.00,414.00
2010-08-11,7,140.00,56840.00,406.00,406.00,406.00
2010-09-27,1,50.00,20000.00,400.00,400.00,400.00
2010-10-31,1,100.00,40000.00,400.00,400.00,400.00
2010-12-12,1,30.00,11760.00,392.00,392.00,392.00
2010-12-29,2,30.00,11550.00,385.00,385.00,385.00
2011-03-22,10,400.00,128400.00,321.00,321.00,321.00
2011-04-25,2,90.00,16470.00,185.00,182.00,182.00
2011-05-19,1,50.00,8950.00,179.00,179.00,179.00
2011-05-25,3,30.00,5190.00,176.00,170.00,170.00
2011-10-10,2,54.00,8916.00,167.00,164.00,164.00
2011-10-13,2,100.00,15920.00,161.00,158.00,158.00
2011-10-17,3,98.00,15040.00,155.00,152.00,152.00
2011-10-18,3,95.00,13955.00,149.00,145.00,145.00
2011-11-09,1,30.00,4290.00,143.00,143.00,143.00
2011-11-10,1,30.00,4230.00,141.00,141.00,141.00
2011-12-01,31,1650.00,223270.00,139.00,127.00,127.00
2011-12-04,7,528.00,64968.00,125.00,120.00,120.00
2011-12-06,3,252.00,29736.00,118.00,118.00,118.00
2011-12-07,5,1160.00,132490.00,116.00,113.00,114.00
2011-12-08,8,666.00,76986.00,118.00,114.00,115.00
2011-12-11,4,172.00,19864.00,116.00,115.00,116.00
2011-12-13,2,224.00,26232.00,118.00,117.00,117.00
2011-12-18,2,220.00,25980.00,119.00,118.00,119.00
2011-12-19,2,570.00,68420.00,121.00,120.00,120.00
2011-12-20,2,362.00,42116.00,118.00,116.00,116.00
2011-12-21,4,1210.00,135230.00,115.00,111.00,113.00
2011-12-22,2,360.00,40440.00,114.00,112.00,112.00
2011-12-26,2,320.00,37080.00,116.00,114.00,116.00
2011-12-27,6,870.00,99080.00,117.00,112.00,112.00
2011-12-29,1,50.00,5700.00,114.00,114.00,114.00
2012-01-01,7,460.00,54440.00,120.00,116.00,118.00
2012-01-26,1,48.00,5760.00,120.00,120.00,120.00
2012-01-29,3,135.00,15930.00,118.00,118.00,118.00
2012-01-31,2,100.00,11600.00,116.00,116.00,116.00
2012-02-27,12,336.00,38976.00,116.00,116.00,116.00
2012-04-04,2,108.00,12636.00,117.00,117.00,117.00
2012-04-22,1,20.00,2380.00,119.00,119.00,119.00
2012-04-26,2,40.00,4880.00,123.00,121.00,123.00
2012-04-29,1,80.00,9680.00,121.00,121.00,121.00
2012-05-10,5,1600.00,195600.00,124.00,122.00,122.00
2012-05-14,3,212.00,24980.00,120.00,116.00,116.00
2012-05-22,7,600.00,70074.00,119.00,115.00,115.00
2012-05-24,1,150.00,17550.00,117.00,117.00,117.00
2012-06-03,1,110.00,13090.00,119.00,119.00,119.00
2012-06-04,1,5000.00,575000.00,115.00,115.00,115.00
2012-06-14,2,134.00,14982.00,113.00,111.00,111.00
2012-06-17,5,326.00,34606.00,109.00,103.00,103.00
2012-06-19,4,192.00,19584.00,102.00,102.00,102.00
2012-06-20,1,54.00,5616.00,104.00,104.00,104.00
2012-06-21,4,304.00,31724.00,106.00,104.00,104.00
2012-07-05,5,144.00,14736.00,103.00,102.00,103.00
2012-07-08,1,160.00,16480.00,103.00,103.00,103.00
2012-07-09,1,24.00,2472.00,103.00,103.00,103.00
2012-07-10,3,256.00,25992.00,102.00,101.00,102.00
2012-07-11,1,100.00,10100.00,101.00,101.00,101.00
2012-07-15,1,100.00,10100.00,101.00,101.00,101.00
2012-07-16,2,200.00,20400.00,102.00,102.00,102.00
2012-07-31,1,24.00,2400.00,100.00,100.00,100.00
2012-08-06,1,150.00,15300.00,102.00,102.00,102.00
2012-08-12,1,48.00,4896.00,102.00,102.00,102.00
2012-08-23,2,991.00,98830.00,100.00,98.00,98.00
2012-08-28,1,90.00,8730.00,97.00,97.00,97.00
2012-09-05,1,48.00,4608.00,96.00,96.00,96.00
2012-10-08,2,360.00,34190.00,95.00,94.00,94.00
2012-10-30,1,200.00,18600.00,93.00,93.00,93.00
2012-11-04,1,200.00,18400.00,92.00,92.00,92.00
2012-11-18,1,80.00,7280.00,91.00,91.00,91.00
2013-01-09,1,54.00,4860.00,90.00,90.00,90.00
2013-02-13,1,24.00,2136.00,89.00,89.00,89.00
2013-07-23,2,330.00,29040.00,88.00,88.00,88.00
2013-09-02,9,1514.00,140392.00,94.00,89.00,93.00
2013-09-03,8,754.00,71760.00,102.00,94.00,102.00
2013-09-04,8,1271.00,123078.00,100.00,96.00,96.00
2013-09-05,3,580.00,55960.00,97.00,96.00,96.00
2013-09-08,2,470.00,45070.00,96.00,95.00,95.00
2013-09-09,5,2018.00,193728.00,97.00,95.00,97.00
2013-09-10,3,570.00,56290.00,100.00,98.00,100.00
2013-09-11,1,384.00,37632.00,98.00,98.00,98.00
2013-09-15,5,250.00,24950.00,100.00,99.00,99.00
2013-09-16,2,366.00,35904.00,99.00,98.00,98.00
2013-09-17,1,240.00,23760.00,99.00,99.00,99.00
2013-09-19,2,130.00,12900.00,100.00,99.00,99.00
2013-09-22,5,372.00,37300.00,101.00,100.00,101.00
2013-12-01,1,48.00,4272.00,89.00,89.00,89.00
2013-12-09,2,20.00,1810.00,91.00,90.00,91.00
2013-12-10,4,40.00,3740.00,95.00,92.00,95.00
2013-12-11,8,130.00,13020.00,104.00,96.00,104.00
2013-12-12,2,20.00,2140.00,108.00,106.00,108.00
2013-12-15,2,20.00,2220.00,112.00,110.00,112.00
2013-12-16,1,500.00,55000.00,110.00,110.00,110.00
2013-12-18,1,195.00,21840.00,112.00,112.00,112.00
2013-12-19,2,236.00,26744.00,114.00,112.00,114.00
2013-12-26,1,20.00,2320.00,116.00,116.00,116.00
2014-01-05,2,70.00,8220.00,118.00,116.00,118.00
2014-01-27,1,10.00,1180.00,118.00,118.00,118.00
2014-01-29,6,74.00,9296.00,129.00,120.00,129.00
2014-02-05,1,68.00,8704.00,128.00,128.00,128.00
2014-02-20,1,68.00,8840.00,130.00,130.00,130.00
2014-02-25,7,408.00,55228.00,138.00,132.00,136.00
2014-02-26,1,40.00,5520.00,138.00,138.00,138.00
2014-05-19,11,2950.00,520900.00,181.00,169.00,169.00
2014-05-18,7,560.00,92660.00,166.00,154.00,166.00
2014-05-15,7,468.00,68532.00,151.00,140.00,151.00
2014-05-20,1,148.00,25160.00,170.00,170.00,170.00
2014-05-26,2,4030.00,67175.60,173.00,173.00,16.28
2014-05-28,10,1243.00,201207.00,170.00,156.00,156.00
2014-06-01,1,100.00,15300.00,153.00,153.00,153.00
2014-06-09,3,416.00,62310.00,150.00,147.00,147.00
2014-06-10,4,435.00,62595.00,145.00,141.00,141.00
2014-06-11,5,576.00,80963.00,143.00,139.00,143.00
2014-06-12,1,55.00,7755.00,141.00,141.00,141.00
2014-06-17,3,30.00,4890.00,166.00,160.00,0.00
2014-06-16,5,50.00,7580.00,157.00,147.00,157.00
2014-06-15,2,65.00,9315.00,145.00,143.00,145.00
2014-06-19,1,10.00,1690.00,169.00,169.00,169.00
2014-07-01,1,10.00,1720.00,172.00,172.00,172.00
2014-07-07,3,648.00,108012.00,169.00,166.00,169.00
2014-07-08,1,62.00,10292.00,166.00,166.00,166.00
2014-07-09,5,272.00,44006.00,163.00,160.00,160.00
2014-07-10,5,297.00,46963.00,160.00,157.00,157.00
2014-07-13,1,27.00,4158.00,154.00,154.00,154.00
2014-07-14,2,254.00,38192.00,151.00,148.00,148.00
2014-07-16,7,1659.00,256977.00,160.00,150.00,160.00
2014-07-17,7,1694.00,294803.00,176.00,163.00,176.00
2014-07-20,8,274.00,52482.00,193.00,179.00,193.00
2014-07-21,15,3058.00,647726.00,212.00,196.00,212.00
2014-07-22,12,2596.00,590751.00,233.00,216.00,233.00
2014-07-23,10,3969.00,969912.00,249.00,237.00,237.00
2014-07-24,4,700.00,168100.00,241.00,236.00,236.00
