Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-09-18,2,43.00,15625.00,365.00,358.00,365.00
2014-10-09,4,63.00,22344.00,358.00,344.00,344.00
2014-10-13,13,130.00,42800.00,338.00,326.00,326.00
2014-10-19,18,203.00,62444.00,320.00,294.00,294.00
2014-10-20,8,235.00,64119.00,289.00,265.00,265.00
2014-10-21,12,212.00,51591.00,260.00,239.00,239.00
2014-10-22,109,4613.00,1006462.00,235.00,216.00,216.00
2014-10-26,271,12370.00,2516502.00,214.00,195.00,206.00
2014-10-27,356,14742.00,3112204.00,217.00,200.00,209.00
2014-10-30,50,6858.00,1305104.00,199.00,187.00,187.00
2014-10-28,148,4456.00,896987.00,207.00,200.00,200.00
2014-11-02,30,802.00,146552.00,186.00,181.00,183.00
2014-11-03,58,5422.00,990385.00,185.00,178.00,181.00
2014-11-04,15,1133.00,204039.00,183.00,177.00,180.00
2014-11-05,41,1326.00,238662.00,181.00,178.00,178.00
2014-11-06,66,2141.00,382846.00,181.00,174.00,177.00
2014-11-09,12,1636.00,286701.00,176.00,172.00,175.00
2014-11-10,30,2425.00,426425.00,177.00,174.00,174.00
2014-11-11,60,2215.00,393968.00,184.00,171.00,184.00
2014-11-12,43,1272.00,231358.00,187.00,178.00,182.00
2014-11-13,5,155.00,28375.00,184.00,181.00,184.00
2014-11-16,5,734.00,135367.00,186.00,182.00,186.00
2014-11-17,54,2669.00,499695.00,190.00,183.00,185.00
2014-11-18,48,1250.00,221758.00,183.00,171.00,180.00
2014-11-19,29,714.00,128652.00,182.00,179.00,180.00
2014-11-20,11,326.00,59268.00,183.00,180.00,183.00
2014-11-23,27,408.00,74598.00,183.00,182.00,183.00
2014-11-24,18,579.00,105913.00,184.00,181.00,184.00
2014-11-25,83,2227.00,406628.00,184.00,181.00,182.00
2014-11-30,16,603.00,108937.00,182.00,179.00,179.00
2014-12-01,30,4169.00,744914.00,182.00,172.00,179.00
2014-12-02,48,1463.00,260456.00,180.00,175.00,178.00
2014-12-03,25,1015.00,182547.00,183.00,176.00,176.00
2014-12-04,24,544.00,97931.00,182.00,179.00,180.00
2014-12-07,7,439.00,78386.00,179.00,177.00,178.00
2014-12-08,26,1275.00,232964.00,186.00,179.00,186.00
2014-12-09,39,3872.00,701074.00,184.00,178.00,180.00
2014-12-10,30,6350.00,1146849.00,182.00,180.00,180.00
2014-12-11,29,4783.00,872970.00,190.00,180.00,190.00
2014-12-14,10,1108.00,210485.00,193.00,189.00,193.00
2014-12-15,8,3096.00,573650.00,190.00,183.00,184.00
2014-12-16,19,194.00,35988.00,188.00,182.00,186.00
2014-12-17,28,1114.00,204486.00,187.00,183.00,187.00
2014-12-18,20,806.00,149897.00,190.00,184.00,186.00
2014-12-21,6,172.00,31191.00,184.00,180.00,181.00
2014-12-22,6,198.00,35838.00,184.00,178.00,184.00
2014-12-23,43,1421.00,255035.00,181.00,175.00,178.00
2014-12-24,66,8625.00,1554394.00,184.00,177.00,182.00
2014-12-28,43,1416.00,257316.00,184.00,173.00,183.00
2014-12-29,21,655.00,120154.00,185.00,179.00,184.00
2014-12-31,8,240.00,44748.00,190.00,184.00,185.00
2015-01-01,56,4444.00,870109.00,200.00,185.00,197.00
2015-01-04,32,3204.00,661440.00,212.00,194.00,205.00
2015-01-05,28,2833.00,579677.00,212.00,200.00,203.00
2015-01-06,101,5212.00,1059839.00,213.00,196.00,205.00
2015-01-07,60,3381.00,713646.00,220.00,202.00,219.00
2015-01-08,49,7551.00,1698206.00,233.00,217.00,227.00
2015-01-11,32,3421.00,766609.00,228.00,219.00,221.00
2015-01-12,40,1638.00,360630.00,223.00,215.00,220.00
2015-01-13,43,8448.00,1841374.00,228.00,215.00,228.00
2015-01-14,66,14947.00,3481277.00,239.00,228.00,239.00
2015-01-18,44,3204.00,744014.00,239.00,228.00,232.00
2015-01-19,18,2118.00,494350.00,240.00,231.00,236.00
2015-01-20,13,1228.00,292171.00,240.00,232.00,236.00
2015-01-22,32,2429.00,555312.00,240.00,226.00,227.00
2015-01-25,35,3723.00,870733.00,238.00,225.00,237.00
2015-01-26,41,6520.00,1571703.00,245.00,234.00,234.00
2015-01-27,42,3198.00,794822.00,257.00,237.00,244.00
2015-01-28,25,7929.00,1935859.00,258.00,239.00,253.00
2015-01-29,17,2226.00,562990.00,261.00,244.00,248.00
2015-02-01,23,4596.00,1152511.00,266.00,247.00,261.00
2015-02-02,61,6627.00,1722684.00,269.00,247.00,269.00
2015-02-03,31,4378.00,1150352.00,270.00,255.00,269.00
2015-02-04,23,3294.00,868455.00,274.00,260.00,265.00
2015-02-05,35,2772.00,719069.00,265.00,250.00,262.00
2015-02-08,51,4446.00,1146151.00,262.00,254.00,262.00
2015-02-09,11,1295.00,336599.00,262.00,258.00,258.00
2015-02-10,25,1376.00,358697.00,266.00,249.00,266.00
2015-02-11,30,5506.00,1482488.00,275.00,260.00,275.00
2015-02-12,23,4237.00,1187463.00,285.00,278.00,279.00
2015-02-15,31,4517.00,1273664.00,284.00,279.00,284.00
2015-02-16,65,14014.00,4137233.00,305.00,289.00,290.00
2015-02-18,24,3995.00,1176971.00,298.00,290.00,292.00
2015-02-22,17,3284.00,932362.00,297.00,278.00,284.00
2015-02-23,21,3937.00,1087080.00,282.00,269.00,282.00
2015-02-24,31,1596.00,449419.00,283.00,274.00,283.00
2015-02-25,12,2954.00,829416.00,283.00,278.00,279.00
2015-02-26,23,3716.00,1063166.00,290.00,275.00,290.00
2015-03-01,20,1874.00,526711.00,289.00,280.00,283.00
2015-03-02,50,3533.00,1007518.00,289.00,282.00,285.00
2015-03-03,37,2980.00,845120.00,289.00,280.00,282.00
2015-03-04,16,2978.00,856747.00,292.00,277.00,285.00
2015-03-09,8,978.00,282340.00,297.00,285.00,285.00
2015-03-10,14,430.00,122671.00,293.00,283.00,293.00
2015-03-11,8,136.00,39254.00,293.00,288.00,288.00
2015-03-12,22,842.00,241778.00,290.00,283.00,285.00
2015-03-15,1,500.00,140000.00,280.00,280.00,280.00
2015-03-16,23,1227.00,337775.00,285.00,272.00,273.00
2015-03-17,31,4133.00,1188234.00,299.00,271.00,288.00
2015-03-18,25,3791.00,1106545.00,295.00,288.00,294.00
2015-03-19,17,2356.00,687869.00,295.00,288.00,288.00
2015-03-22,7,701.00,201035.00,288.00,285.00,288.00
2015-03-23,7,2190.00,635135.00,293.00,288.00,290.00
2015-03-24,9,4675.00,1341198.00,291.00,285.00,286.00
2015-03-25,8,150.00,42216.00,283.00,281.00,283.00
2015-03-26,3,617.00,172722.00,285.00,278.00,285.00
2015-03-29,37,5407.00,1546272.00,290.00,280.00,289.00
2015-03-30,16,685.00,195542.00,293.00,280.00,282.00
2015-03-31,21,3793.00,1105005.00,295.00,278.00,285.00
2015-04-01,22,1216.00,352317.00,299.00,281.00,286.00
2015-04-02,39,3516.00,1021751.00,295.00,275.00,290.00
2015-04-05,5,456.00,133860.00,295.00,290.00,290.00
2015-04-06,2,1923.00,550860.00,289.00,286.00,289.00
2015-04-08,4,347.00,100514.00,290.00,289.00,289.00
2015-04-07,1,500.00,145000.00,290.00,290.00,290.00
2015-04-09,7,895.00,257055.00,294.00,284.00,294.00
2015-04-12,12,319.00,91810.00,292.00,281.00,292.00
2015-04-13,8,171.00,49956.00,295.00,290.00,290.00
2015-04-15,13,1179.00,341790.00,290.00,289.00,290.00
2015-04-16,4,7518.00,2180055.00,290.00,285.00,290.00
2015-04-19,1,20.00,5800.00,290.00,290.00,290.00
2015-04-20,13,645.00,187903.00,293.00,290.00,293.00
2015-04-21,20,3660.00,1057654.00,293.00,286.00,288.00
2015-04-22,21,2404.00,692205.00,292.00,285.00,292.00
2015-04-23,8,623.00,181268.00,292.00,289.00,289.00
2015-05-31,1,20.00,5680.00,284.00,284.00,284.00
2015-06-02,13,1723.00,467723.00,279.00,264.00,279.00
2015-06-03,12,999.00,280019.00,283.00,276.00,280.00
2015-06-04,8,790.00,225999.00,294.00,283.00,294.00
2015-06-07,31,1964.00,556117.00,290.00,281.00,283.00
2015-06-08,3,197.00,57556.00,293.00,288.00,293.00
2015-06-09,13,1023.00,305773.00,303.00,292.00,297.00
2015-06-10,7,1749.00,508750.00,293.00,290.00,290.00
2015-06-11,8,1567.00,438815.00,285.00,275.00,280.00
2015-06-14,16,367.00,101762.00,280.00,273.00,276.00
2015-06-15,54,540.00,150390.00,285.00,276.00,277.00
2015-06-16,16,238.00,66449.00,285.00,275.00,282.00
2015-06-17,9,1065.00,297309.00,285.00,276.00,279.00
2015-06-18,9,334.00,93434.00,284.00,277.00,281.00
2015-06-21,26,865.00,245570.00,287.00,280.00,287.00
2015-06-22,34,2118.00,612380.00,295.00,282.00,293.00
2015-06-23,14,496.00,140534.00,288.00,278.00,285.00
2015-06-24,13,658.00,190089.00,290.00,283.00,290.00
2015-06-25,11,588.00,170987.00,294.00,286.00,290.00
2015-06-28,9,3797.00,1097812.00,293.00,285.00,293.00
2015-06-29,10,2648.00,769231.00,293.00,288.00,290.00
2015-06-30,20,2341.00,674255.00,289.00,286.00,288.00
2015-07-01,4,132.00,37983.00,289.00,287.00,287.00
2015-07-02,10,317.00,89110.00,285.00,279.00,281.00
2015-07-05,23,4241.00,1204915.00,287.00,279.00,286.00
2015-07-06,1,500.00,143000.00,286.00,286.00,286.00
2015-07-07,9,1436.00,410824.00,288.00,284.00,284.00
2015-07-08,5,138.00,38831.00,283.00,280.00,283.00
2015-07-09,11,562.00,160316.00,287.00,285.00,285.00
2015-07-12,15,3109.00,903084.00,292.00,280.00,291.00
2015-07-13,5,526.00,152291.00,290.00,285.00,286.00
2015-07-14,1,324.00,93960.00,290.00,290.00,290.00
2015-07-15,9,784.00,228084.00,292.00,290.00,291.00
2015-07-16,26,4250.00,1244136.00,301.00,290.00,297.00
2015-07-22,42,3877.00,1183400.00,316.00,299.00,310.00
2015-07-23,24,2392.00,750150.00,321.00,308.00,318.00
2015-07-26,4,63.00,21186.00,342.00,324.00,342.00
2015-07-27,16,1800.00,584170.00,348.00,309.00,309.00
2015-07-28,22,4633.00,1463983.00,327.00,300.00,300.00
2015-07-29,14,1111.00,338853.00,310.00,295.00,310.00
2015-07-30,18,1170.00,362156.00,316.00,304.00,312.00
2015-08-02,15,790.00,243218.00,310.00,301.00,310.00
2015-08-03,23,1583.00,495707.00,316.00,310.00,315.00
2015-08-04,36,2286.00,717706.00,319.00,300.00,310.00
2015-08-05,17,1917.00,587621.00,314.00,304.00,310.00
2015-08-06,21,4667.00,1482965.00,322.00,315.00,316.00
2015-08-09,24,4304.00,1325391.00,312.00,305.00,309.00
2015-08-10,24,9452.00,2846600.00,309.00,300.00,308.00
2015-08-11,29,738.00,221375.00,302.00,297.00,300.00
2015-08-12,16,473.00,140858.00,300.00,290.00,290.00
2015-08-13,31,2180.00,635989.00,295.00,290.00,290.00
2015-08-16,62,3331.00,971935.00,301.00,265.00,299.00
2015-08-17,16,4334.00,1338650.00,312.00,304.00,305.00
2015-08-18,15,1172.00,352988.00,307.00,296.00,296.00
2015-08-19,27,3598.00,1059128.00,301.00,291.00,295.00
2015-08-20,16,1366.00,398488.00,296.00,290.00,293.00
2015-08-23,36,1051.00,306027.00,295.00,287.00,294.00
2015-08-24,21,2105.00,635719.00,308.00,295.00,305.00
2015-08-25,7,352.00,105600.00,300.00,300.00,300.00
2015-08-26,46,1489.00,450889.00,309.00,300.00,302.00
2015-08-27,34,1297.00,390668.00,304.00,300.00,300.00
2015-08-31,6,769.00,234455.00,306.00,295.00,306.00
2015-09-01,31,5135.00,1572471.00,314.00,301.00,307.00
2015-09-02,16,1600.00,491304.00,313.00,304.00,304.00
2015-09-03,33,2823.00,848514.00,304.00,296.00,301.00
2015-09-06,10,8748.00,2705406.00,316.00,295.00,316.00
