Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-06-10,11,950.00,131604.00,141.00,136.00,141.00
2012-06-11,21,2898.00,437702.00,155.00,143.00,147.00
2012-06-12,32,12254.00,1778789.00,147.00,138.00,138.00
2012-06-13,35,10961.00,1531733.00,144.00,136.00,140.00
2012-06-14,22,3464.00,483681.00,141.00,137.00,140.00
2012-06-17,8,1720.00,234741.00,138.00,136.00,136.00
2012-06-18,3,208.00,28407.00,138.00,136.00,138.00
2012-06-19,2,98.00,13720.00,140.00,140.00,140.00
2012-06-20,2,724.00,101598.00,142.00,140.00,140.00
2012-06-21,5,2405.00,329590.00,138.00,136.00,136.00
2012-06-25,11,3945.00,534220.00,137.00,135.00,135.00
2012-06-26,10,3293.00,443311.00,138.00,134.00,138.00
2012-06-27,1,475.00,64600.00,136.00,136.00,136.00
2012-06-28,6,2074.00,287169.00,141.00,138.00,141.00
2012-07-01,5,4050.00,556875.00,140.00,137.00,137.00
2012-07-02,3,825.00,113865.00,139.00,137.00,137.00
2012-07-03,1,810.00,110970.00,137.00,137.00,137.00
2012-07-04,1,49.00,6811.00,139.00,139.00,139.00
2012-07-05,2,148.00,20868.00,141.00,141.00,141.00
2012-07-08,10,619.00,86237.00,140.00,139.00,140.00
2012-07-09,1,49.00,6860.00,140.00,140.00,140.00
2012-07-10,1,198.00,27324.00,138.00,138.00,138.00
2012-07-12,1,1655.00,228390.00,138.00,138.00,138.00
2012-07-16,2,98.00,13524.00,138.00,138.00,138.00
2012-07-17,14,1226.00,177872.00,150.00,140.00,145.00
2012-07-18,9,1639.00,246286.00,153.00,147.00,153.00
2012-07-19,2,98.00,15435.00,159.00,156.00,159.00
2012-07-22,3,246.00,39261.00,160.00,159.00,159.00
2012-07-24,5,295.00,45677.00,157.00,150.00,150.00
2012-07-26,1,49.00,7252.00,148.00,148.00,148.00
2012-07-29,1,49.00,7154.00,146.00,146.00,146.00
2012-08-01,4,827.00,120524.00,146.00,145.00,146.00
2012-08-05,2,249.00,36256.00,146.00,144.00,146.00
2012-08-06,3,1786.00,260854.00,148.00,146.00,148.00
2012-08-07,5,1972.00,294105.00,152.00,147.00,152.00
2012-08-08,2,40.00,6260.00,158.00,155.00,158.00
2012-08-12,1,247.00,38285.00,155.00,155.00,155.00
2012-08-13,2,198.00,29967.00,153.00,150.00,150.00
2012-08-14,3,795.00,116865.00,147.00,147.00,147.00
2012-08-15,1,109.00,16023.00,147.00,147.00,147.00
2012-08-19,10,851.00,123219.00,147.00,143.00,147.00
2012-08-21,2,98.00,14406.00,147.00,147.00,147.00
2012-08-22,1,109.00,16241.00,149.00,149.00,149.00
2012-08-28,7,532.00,78500.00,150.00,146.00,146.00
2012-08-29,9,751.00,110930.00,148.00,147.00,148.00
2012-08-30,9,587.00,86819.00,150.00,147.00,148.00
2012-09-02,2,128.00,19151.00,150.00,149.00,150.00
2012-09-03,15,1538.00,245225.00,165.00,150.00,165.00
2012-09-04,8,473.00,82713.00,180.00,168.00,180.00
2012-09-10,18,2891.00,470412.00,177.00,162.00,162.00
2012-09-11,47,17222.00,2639765.00,160.00,150.00,159.00
2012-09-12,26,21357.00,3615965.00,171.00,158.00,170.00
2012-09-13,7,10038.00,1646301.00,167.00,162.00,165.00
2012-09-16,8,14390.00,2447159.00,171.00,168.00,171.00
2012-09-17,4,4226.00,742368.00,179.00,174.00,179.00
2012-09-18,7,5895.00,1066125.00,181.00,180.00,181.00
2012-09-19,15,8811.00,1585871.00,180.00,179.00,180.00
2012-09-20,5,534.00,95744.00,180.00,177.00,180.00
2012-09-23,6,3242.00,574238.00,179.00,174.00,178.00
2012-09-24,7,1868.00,332042.00,187.00,177.00,187.00
2012-09-25,5,634.00,115368.00,189.00,177.00,177.00
2012-09-26,8,18052.00,3249093.00,180.00,177.00,177.00
2012-10-08,3,879.00,151731.00,174.00,171.00,174.00
2012-10-11,3,12413.00,2159862.00,174.00,174.00,174.00
2012-10-15,2,2925.00,508950.00,174.00,174.00,174.00
2012-11-08,1,49.00,8379.00,171.00,171.00,171.00
2012-11-11,1,49.00,8232.00,168.00,168.00,168.00
2012-11-26,1,109.00,18203.00,167.00,167.00,167.00
2013-01-09,1,49.00,8085.00,165.00,165.00,165.00
2013-01-13,17,10656.00,1811104.00,173.00,165.00,166.00
2013-01-15,1,494.00,80522.00,163.00,163.00,163.00
2013-01-17,2,603.00,96084.00,160.00,158.00,158.00
2013-01-23,1,500.00,78000.00,156.00,156.00,156.00
2013-01-24,2,794.00,121779.00,156.00,153.00,153.00
2013-02-03,1,148.00,22348.00,151.00,151.00,151.00
2013-02-04,1,148.00,22200.00,150.00,150.00,150.00
2013-02-13,1,148.00,22200.00,150.00,150.00,150.00
2013-02-20,2,593.00,90729.00,153.00,153.00,153.00
2013-02-27,1,59.00,8968.00,152.00,152.00,152.00
2013-03-13,2,838.00,124862.00,149.00,149.00,149.00
2013-03-14,1,49.00,7350.00,150.00,150.00,150.00
2013-03-18,2,158.00,23700.00,150.00,150.00,150.00
2013-03-21,3,347.00,52050.00,150.00,150.00,150.00
2013-04-01,1,89.00,13617.00,153.00,153.00,153.00
2013-04-07,6,344.00,51897.00,153.00,150.00,153.00
2013-04-25,6,294.00,43365.00,150.00,147.00,147.00
2013-04-29,3,218.00,32164.00,149.00,147.00,149.00
2013-04-30,8,662.00,97561.00,148.00,145.00,148.00
2013-05-02,1,49.00,7154.00,146.00,146.00,146.00
2013-05-12,3,444.00,63936.00,144.00,144.00,144.00
2013-06-02,1,15.00,2190.00,146.00,146.00,146.00
2013-06-19,1,2925.00,424125.00,145.00,145.00,145.00
