Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-11-06,1,50.00,5100.00,102.00,102.00,102.00
2015-01-06,1,35.00,3325.00,95.00,95.00,95.00
2015-02-03,1,10.00,990.00,99.00,99.00,99.00
2015-02-04,1,10.00,1030.00,103.00,103.00,103.00
2015-02-08,1,10.00,1080.00,108.00,108.00,108.00
2015-02-09,1,10.00,1130.00,113.00,113.00,113.00
2015-02-12,1,10.00,1180.00,118.00,118.00,118.00
2015-02-15,1,10.00,1230.00,123.00,123.00,123.00
2015-02-16,2,510.00,66790.00,131.00,129.00,131.00
2015-02-18,1,10.00,1370.00,137.00,137.00,137.00
2015-03-01,1,10.00,1430.00,143.00,143.00,143.00
2015-03-02,1,10.00,1500.00,150.00,150.00,150.00
2015-03-04,2,27.00,4290.00,160.00,157.00,160.00
2015-03-10,1,10.00,1680.00,168.00,168.00,168.00
2015-03-11,1,10.00,1760.00,176.00,176.00,176.00
2015-04-08,4,40.00,7900.00,202.00,193.00,202.00
2015-04-07,3,30.00,5610.00,190.00,184.00,190.00
2015-04-09,3,37.00,8020.00,220.00,212.00,220.00
2015-05-25,1,203.00,45472.00,224.00,224.00,224.00
2015-06-21,3,64.00,14848.00,236.00,228.00,236.00
2015-06-22,2,40.00,9680.00,244.00,240.00,244.00
2015-06-23,2,40.00,10000.00,252.00,248.00,252.00
2015-06-24,1,20.00,5140.00,257.00,257.00,257.00
2015-06-25,2,40.00,10580.00,267.00,262.00,267.00
2015-06-28,2,40.00,10980.00,277.00,272.00,277.00
2015-06-29,1,20.00,5640.00,282.00,282.00,282.00
2015-07-01,2,44.00,12748.00,292.00,287.00,292.00
2015-07-05,3,60.00,18140.00,308.00,297.00,308.00
2015-07-06,2,40.00,12680.00,320.00,314.00,320.00
2015-07-09,3,140.00,46540.00,338.00,326.00,338.00
2015-07-12,4,400.00,140100.00,357.00,344.00,357.00
2015-07-14,2,200.00,73500.00,371.00,364.00,371.00
2015-07-15,2,200.00,76300.00,385.00,378.00,385.00
2015-07-16,5,153.00,60977.00,422.00,392.00,422.00
2015-07-22,2,200.00,86800.00,438.00,430.00,438.00
2015-07-23,1,450.00,200700.00,446.00,446.00,446.00
2015-07-29,2,650.00,293400.00,459.00,450.00,459.00
2015-07-30,3,394.00,184750.00,470.00,460.00,470.00
2015-08-03,1,26.00,12220.00,470.00,470.00,470.00
2015-08-04,1,20.00,9580.00,479.00,479.00,479.00
2015-08-05,1,54.00,26352.00,488.00,488.00,488.00
2015-08-09,2,287.00,136573.00,479.00,470.00,470.00
2015-08-10,2,89.00,41830.00,470.00,470.00,470.00
2015-08-11,1,11.00,5170.00,470.00,470.00,470.00
2015-08-20,3,180.00,86039.00,480.00,475.00,480.00
2015-09-01,1,11.00,5379.00,489.00,489.00,489.00
