Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-01-03,21,450.00,154270.00,359.00,340.00,340.00
2011-01-19,4,40.00,12570.00,323.00,306.00,306.00
2011-01-20,4,40.00,11340.00,291.00,276.00,276.00
2011-01-23,4,40.00,10230.00,263.00,249.00,249.00
2011-01-24,7,70.00,16590.00,249.00,225.00,225.00
2011-01-31,5,50.00,10650.00,221.00,205.00,205.00
2011-02-01,6,60.00,11560.00,201.00,185.00,185.00
2011-02-02,45,900.00,150540.00,176.00,167.00,167.00
2011-02-03,188,7580.00,1267090.00,173.00,151.00,169.00
2011-02-06,129,3170.00,546640.00,181.00,163.00,171.00
2011-02-07,190,6280.00,1064020.00,171.00,165.00,169.00
2011-02-08,165,4230.00,713800.00,170.00,166.00,167.00
2011-02-09,54,1500.00,251390.00,169.00,166.00,169.00
2011-02-10,187,4650.00,779970.00,169.00,165.00,168.00
2011-02-13,148,3680.00,614900.00,170.00,164.00,165.00
2011-02-14,39,920.00,150190.00,166.00,160.00,162.00
2011-02-15,226,5320.00,866920.00,165.00,161.00,162.00
2011-02-16,311,9130.00,1483780.00,167.00,160.00,160.00
2011-02-17,253,6620.00,1065700.00,163.00,155.00,159.00
2011-02-20,260,7560.00,1182290.00,159.00,154.00,156.00
2011-02-21,202,8450.00,1326210.00,163.00,153.00,163.00
2011-02-22,76,2220.00,368160.00,166.00,163.00,163.00
2011-02-23,74,2140.00,337800.00,163.00,147.00,155.00
2011-02-24,197,5200.00,800890.00,157.00,149.00,152.00
2011-02-27,220,6340.00,971850.00,156.00,149.00,156.00
2011-02-28,157,4030.00,615050.00,154.00,150.00,154.00
2011-03-01,68,1830.00,279440.00,154.00,151.00,153.00
2011-03-03,46,1180.00,186640.00,161.00,154.00,158.00
2011-03-07,159,5860.00,900400.00,163.00,148.00,148.00
2011-03-09,136,3110.00,475940.00,155.00,150.00,154.00
2011-03-10,130,3050.00,466840.00,156.00,150.00,151.00
2011-03-13,104,2590.00,391670.00,152.00,150.00,151.00
2011-03-14,83,2540.00,382150.00,151.00,148.00,150.00
2011-03-15,258,5680.00,804340.00,150.00,138.00,140.00
2011-03-16,175,5180.00,733190.00,145.00,136.00,145.00
2011-03-17,197,6100.00,878740.00,145.00,140.00,144.00
2011-03-20,127,2910.00,418460.00,145.00,139.00,141.00
2011-03-21,208,4340.00,625050.00,145.00,141.00,145.00
2011-03-22,122,3440.00,488100.00,144.00,138.00,143.00
2011-03-23,131,4790.00,686040.00,144.00,138.00,140.00
