Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-11,1,50.00,24150.00,483.00,483.00,483.00
2010-05-17,1,100.00,47400.00,474.00,474.00,474.00
2010-06-14,5,500.00,232500.00,465.00,465.00,465.00
2010-08-10,1,160.00,74400.00,465.00,465.00,465.00
2010-08-26,2,80.00,22040.00,278.00,273.00,273.00
2010-10-06,5,200.00,52000.00,268.00,253.00,253.00
2010-10-20,1,60.00,14880.00,248.00,248.00,248.00
2010-11-03,2,460.00,112160.00,244.00,240.00,240.00
2010-11-10,1,130.00,30680.00,236.00,236.00,236.00
2010-11-23,1,60.00,13920.00,232.00,232.00,232.00
2010-11-24,1,70.00,15960.00,228.00,228.00,228.00
2010-12-06,5,660.00,142240.00,224.00,208.00,208.00
2010-12-09,1,10.00,2050.00,205.00,205.00,205.00
2010-12-13,1,300.00,60300.00,201.00,201.00,201.00
2010-12-19,2,210.00,40920.00,197.00,194.00,194.00
2010-12-20,3,70.00,13370.00,191.00,191.00,191.00
2011-01-10,4,160.00,30880.00,193.00,193.00,193.00
2011-01-16,2,80.00,15200.00,190.00,190.00,190.00
2011-01-17,1,40.00,7520.00,188.00,188.00,188.00
2011-01-23,1,280.00,51800.00,185.00,185.00,185.00
2011-02-22,1,200.00,37600.00,188.00,188.00,188.00
2011-02-23,1,100.00,18500.00,185.00,185.00,185.00
2011-03-30,2,370.00,66380.00,182.00,179.00,179.00
2011-04-05,5,100.00,17600.00,176.00,176.00,176.00
2011-04-19,1,140.00,23520.00,168.00,168.00,168.00
2011-05-19,1,20.00,3300.00,165.00,165.00,165.00
2011-07-05,1,20.00,3360.00,168.00,168.00,168.00
2011-07-06,1,10.00,1710.00,171.00,171.00,171.00
2011-08-03,3,100.00,16620.00,168.00,162.00,162.00
2011-08-24,1,80.00,12720.00,159.00,159.00,159.00
2011-09-04,1,30.00,4680.00,156.00,156.00,156.00
2011-09-13,1,30.00,4650.00,155.00,155.00,155.00
2011-09-15,3,70.00,10580.00,152.00,149.00,149.00
2011-10-16,1,80.00,11760.00,147.00,147.00,147.00
2011-10-19,1,200.00,29800.00,149.00,149.00,149.00
2011-10-20,1,300.00,45000.00,150.00,150.00,150.00
2011-11-02,3,30.00,4680.00,159.00,153.00,159.00
2011-11-03,5,70.00,11490.00,168.00,162.00,168.00
2011-11-08,1,50.00,8500.00,170.00,170.00,170.00
2011-11-10,3,30.00,5280.00,179.00,173.00,179.00
2011-11-13,4,240.00,43860.00,191.00,182.00,191.00
2011-11-14,1,10.00,1940.00,194.00,194.00,194.00
2011-11-17,2,30.00,5850.00,197.00,194.00,194.00
2011-11-21,1,10.00,1970.00,197.00,197.00,197.00
2011-11-24,1,110.00,21340.00,194.00,194.00,194.00
2011-12-22,3,270.00,50790.00,191.00,188.00,188.00
2011-12-27,1,400.00,74000.00,185.00,185.00,185.00
2012-01-29,1,160.00,26880.00,168.00,168.00,168.00
2012-02-15,7,1070.00,168440.00,165.00,152.00,152.00
2012-03-01,2,130.00,19130.00,149.00,147.00,147.00
2012-03-11,2,100.00,14340.00,145.00,143.00,143.00
2012-03-19,2,40.00,5190.00,130.00,129.00,129.00
2012-04-04,6,170.00,20550.00,127.00,117.00,117.00
2012-04-05,1,20.00,2300.00,115.00,115.00,115.00
2012-04-10,1,100.00,11300.00,113.00,113.00,113.00
2012-04-15,1,2830.00,314130.00,111.00,111.00,111.00
2012-04-17,1,180.00,20340.00,113.00,113.00,113.00
2012-04-18,1,180.00,20340.00,113.00,113.00,113.00
2012-04-19,4,800.00,95000.00,121.00,115.00,121.00
2012-04-22,1,20.00,2460.00,123.00,123.00,123.00
2012-04-25,1,200.00,25000.00,125.00,125.00,125.00
2012-04-26,2,70.00,9010.00,129.00,127.00,129.00
2012-04-29,1,30.00,3930.00,131.00,131.00,131.00
2012-04-30,5,150.00,20390.00,137.00,133.00,137.00
2012-05-13,1,40.00,5480.00,137.00,137.00,137.00
2012-05-14,3,480.00,65520.00,139.00,135.00,135.00
2012-05-15,7,380.00,50140.00,133.00,131.00,133.00
2012-05-17,2,232.00,31320.00,135.00,135.00,135.00
2012-05-22,1,200.00,26600.00,133.00,133.00,133.00
2012-06-21,1,2000.00,262000.00,131.00,131.00,131.00
2012-06-25,2,200.00,25800.00,129.00,129.00,129.00
2012-07-08,15,2070.00,255440.00,131.00,121.00,121.00
2012-07-12,5,845.00,98402.00,119.00,115.00,115.00
2012-07-15,2,120.00,14120.00,119.00,117.00,119.00
2012-07-18,10,1237.00,152529.00,127.00,117.00,125.00
2012-07-19,3,400.00,50200.00,126.00,125.00,125.00
2012-07-22,2,268.00,33860.00,127.00,125.00,127.00
2012-07-30,8,254.00,31978.00,127.00,125.00,127.00
2012-07-31,1,80.00,10000.00,125.00,125.00,125.00
2012-08-12,1,10.00,1250.00,125.00,125.00,125.00
2012-08-22,1,80.00,10000.00,125.00,125.00,125.00
2012-08-23,1,100.00,12300.00,123.00,123.00,123.00
2012-08-26,8,740.00,96064.00,135.00,125.00,135.00
2012-08-29,1,10.00,1350.00,135.00,135.00,135.00
2012-09-10,6,228.00,30780.00,136.00,134.00,136.00
2012-09-11,1,100.00,13400.00,134.00,134.00,134.00
2012-09-13,8,1295.00,177890.00,140.00,136.00,140.00
2012-09-16,2,180.00,25760.00,144.00,142.00,144.00
2012-09-17,12,892.00,129704.00,148.00,144.00,144.00
2012-09-19,1,250.00,35500.00,142.00,142.00,142.00
2012-09-20,1,100.00,14000.00,140.00,140.00,140.00
2012-09-24,1,100.00,13800.00,138.00,138.00,138.00
2012-09-25,9,1203.00,167417.00,145.00,137.00,145.00
2012-09-26,1,22.00,3146.00,143.00,143.00,143.00
2012-09-30,1,15.00,2130.00,142.00,142.00,142.00
2012-10-01,1,20.00,2880.00,144.00,144.00,144.00
2012-10-02,5,400.00,56480.00,142.00,140.00,140.00
2012-10-03,3,40.00,5630.00,142.00,140.00,140.00
2012-10-04,2,192.00,26496.00,138.00,138.00,138.00
2012-10-11,1,14.00,1904.00,136.00,136.00,136.00
2012-11-05,6,544.00,73908.00,138.00,134.00,136.00
2012-11-06,1,80.00,10720.00,134.00,134.00,134.00
2012-11-07,5,158.00,21892.00,142.00,136.00,142.00
2012-11-08,2,130.00,18780.00,146.00,144.00,146.00
2012-11-18,1,80.00,11840.00,148.00,148.00,148.00
2012-11-21,1,56.00,8176.00,146.00,146.00,146.00
2012-11-22,1,20.00,2920.00,146.00,146.00,146.00
2012-11-26,1,80.00,11600.00,145.00,145.00,145.00
2012-11-27,1,440.00,62920.00,143.00,143.00,143.00
2012-12-09,3,370.00,52290.00,145.00,141.00,145.00
2012-12-11,2,20.00,2960.00,149.00,147.00,149.00
2012-12-12,5,292.00,43898.00,153.00,149.00,153.00
2012-12-13,1,80.00,12080.00,151.00,151.00,151.00
2012-12-19,1,10.00,1540.00,154.00,154.00,154.00
2012-12-24,1,20.00,3140.00,157.00,157.00,157.00
2012-12-31,1,20.00,3200.00,160.00,160.00,160.00
2013-01-31,2,520.00,80140.00,157.00,154.00,154.00
2013-02-06,1,150.00,22650.00,151.00,151.00,151.00
2013-02-28,1,10.00,1540.00,154.00,154.00,154.00
2013-04-17,1,330.00,49830.00,151.00,151.00,151.00
2013-06-24,2,80.00,12200.00,154.00,151.00,154.00
2013-06-25,2,80.00,12360.00,156.00,153.00,153.00
2013-07-02,6,2430.00,363300.00,150.00,147.00,147.00
2013-07-17,4,424.00,46262.00,113.00,108.00,108.00
2013-07-18,2,160.00,17760.00,112.00,110.00,112.00
2013-07-21,12,538.00,63824.00,123.00,110.00,121.00
2013-07-22,3,320.00,38500.00,121.00,119.00,119.00
2013-07-25,2,40.00,4880.00,123.00,121.00,123.00
2013-07-31,3,410.00,49630.00,123.00,120.00,120.00
2013-08-01,3,274.00,32480.00,120.00,118.00,120.00
2013-08-04,3,360.00,42160.00,118.00,116.00,116.00
2013-08-05,1,45.00,5130.00,114.00,114.00,114.00
2013-08-06,1,240.00,27120.00,113.00,113.00,113.00
2013-08-07,6,444.00,49640.00,112.00,110.00,112.00
2013-08-12,1,66.00,7524.00,114.00,114.00,114.00
2013-08-13,2,210.00,23530.00,113.00,112.00,112.00
2013-08-14,2,232.00,25984.00,112.00,112.00,112.00
2013-08-15,1,150.00,16800.00,112.00,112.00,112.00
2013-09-01,2,210.00,24340.00,116.00,114.00,116.00
2013-09-04,1,17.00,2006.00,118.00,118.00,118.00
2013-09-05,5,130.00,16140.00,126.00,120.00,126.00
2013-09-08,2,32.00,4096.00,128.00,128.00,128.00
2013-09-11,5,678.00,86384.00,130.00,126.00,127.00
2013-09-12,6,825.00,101200.00,125.00,121.00,121.00
2013-09-15,2,295.00,35740.00,122.00,120.00,122.00
2013-09-16,1,200.00,24000.00,120.00,120.00,120.00
2013-09-17,1,18.00,2160.00,120.00,120.00,120.00
2013-09-19,1,41.00,4838.00,118.00,118.00,118.00
2013-09-22,1,100.00,11800.00,118.00,118.00,118.00
2013-10-07,1,250.00,29000.00,116.00,116.00,116.00
2013-10-22,1,345.00,39330.00,114.00,114.00,114.00
2013-12-04,1,10.00,1160.00,116.00,116.00,116.00
2013-12-05,2,20.00,2380.00,120.00,118.00,120.00
2013-12-09,6,60.00,7620.00,132.00,122.00,132.00
2013-12-10,2,20.00,2700.00,136.00,134.00,136.00
2013-12-12,1,66.00,9108.00,138.00,138.00,138.00
2013-12-15,6,60.00,8700.00,150.00,140.00,150.00
2013-12-16,3,30.00,4650.00,156.00,153.00,156.00
2013-12-18,2,20.00,3210.00,162.00,159.00,162.00
2013-12-22,1,200.00,33000.00,165.00,165.00,165.00
2013-12-23,5,546.00,92478.00,171.00,168.00,171.00
2013-12-24,6,2515.00,442695.00,179.00,174.00,179.00
2013-12-26,8,1766.00,320566.00,185.00,177.00,183.00
2013-12-29,10,1270.00,245078.00,201.00,186.00,201.00
2013-12-31,1,200.00,39400.00,197.00,197.00,197.00
2014-01-02,1,340.00,65960.00,194.00,194.00,194.00
2014-01-05,3,774.00,147264.00,191.00,190.00,191.00
2014-01-08,1,160.00,30240.00,189.00,189.00,189.00
2014-01-20,2,1180.00,219480.00,186.00,186.00,186.00
2014-01-21,12,3327.00,654959.00,199.00,189.00,199.00
2014-01-23,12,1478.00,352542.00,239.00,222.00,239.00
2014-01-22,10,228.00,48912.00,218.00,202.00,218.00
2014-01-26,8,1849.00,449267.00,247.00,241.00,241.00
2014-02-02,1,368.00,87216.00,237.00,237.00,237.00
2014-02-03,3,100.00,23300.00,233.00,233.00,233.00
2014-02-05,1,100.00,22900.00,229.00,229.00,229.00
2014-02-06,4,2840.00,632280.00,226.00,222.00,222.00
2014-02-09,3,550.00,117900.00,218.00,214.00,214.00
2014-02-12,4,1390.00,290340.00,210.00,206.00,206.00
2014-02-17,2,1073.00,213386.00,202.00,198.00,198.00
2014-02-18,5,1656.00,317952.00,195.00,189.00,192.00
2014-02-23,5,1500.00,296100.00,198.00,195.00,198.00
2014-02-26,4,1018.00,205490.00,205.00,201.00,201.00
2014-03-06,2,1096.00,213992.00,197.00,194.00,194.00
2014-03-09,3,153.00,28431.00,191.00,185.00,185.00
2014-03-17,2,695.00,128185.00,185.00,183.00,183.00
2014-03-18,3,320.00,57240.00,180.00,177.00,177.00
2014-03-19,1,250.00,43500.00,174.00,174.00,174.00
2014-03-20,1,14.00,2478.00,177.00,177.00,177.00
2014-03-23,1,384.00,66816.00,174.00,174.00,174.00
2014-03-24,3,419.00,74730.00,180.00,177.00,180.00
2014-03-26,4,510.00,96480.00,192.00,183.00,192.00
2014-03-27,5,1018.00,198810.00,196.00,195.00,195.00
2014-03-31,1,128.00,24576.00,192.00,192.00,192.00
2014-04-06,2,538.00,101202.00,189.00,186.00,186.00
2014-04-10,1,200.00,37800.00,189.00,189.00,189.00
2014-04-13,2,220.00,42240.00,192.00,192.00,192.00
2014-04-21,1,29.00,5481.00,189.00,189.00,189.00
2014-04-22,2,235.00,43510.00,186.00,185.00,185.00
2014-04-27,1,23.00,4186.00,182.00,182.00,182.00
2014-05-06,6,1400.00,262474.00,200.00,185.00,200.00
2014-05-07,8,813.00,178060.00,220.00,204.00,220.00
2014-05-08,23,4684.00,1093829.00,242.00,220.00,220.00
2014-05-11,2,1100.00,242400.00,224.00,220.00,220.00
2014-05-12,4,1374.00,300280.00,224.00,216.00,216.00
2014-05-13,1,80.00,16960.00,212.00,212.00,212.00
2014-05-19,6,853.00,188017.00,225.00,217.00,221.00
2014-05-18,3,600.00,129790.00,220.00,216.00,217.00
2014-05-15,5,638.00,134850.00,212.00,210.00,212.00
2014-05-20,2,220.00,49900.00,229.00,225.00,229.00
2014-05-21,4,969.00,220305.00,233.00,225.00,225.00
2014-05-22,4,1430.00,323750.00,229.00,225.00,229.00
2014-05-26,2,688.00,154800.00,225.00,225.00,225.00
2014-05-27,2,1130.00,249730.00,221.00,221.00,221.00
2014-06-02,1,640.00,139520.00,218.00,218.00,218.00
2014-06-03,7,1621.00,355500.00,224.00,216.00,220.00
2014-06-08,10,2338.00,530824.00,238.00,222.00,238.00
2014-06-05,2,32.00,7040.00,220.00,220.00,220.00
2014-06-09,6,2099.00,493287.00,242.00,234.00,238.00
2014-06-10,2,1478.00,345700.00,234.00,230.00,230.00
2014-06-17,5,622.00,141600.00,228.00,227.00,0.00
2014-06-30,5,1989.00,447661.00,229.00,224.00,225.00
2014-07-01,4,292.00,65332.00,225.00,221.00,225.00
2014-07-06,6,1709.00,408017.00,245.00,229.00,245.00
2014-07-07,4,953.00,229033.00,241.00,237.00,241.00
2014-07-08,3,3260.00,792580.00,245.00,241.00,241.00
2014-07-09,2,212.00,51940.00,245.00,245.00,245.00
2014-07-10,4,140.00,35424.00,260.00,249.00,260.00
2014-07-13,5,1225.00,330190.00,276.00,265.00,271.00
2014-07-14,1,81.00,21546.00,266.00,266.00,266.00
2014-07-15,7,1398.00,375448.00,271.00,266.00,266.00
2014-07-16,4,2042.00,548625.00,271.00,267.00,268.00
2014-07-17,4,260.00,69930.00,273.00,268.00,273.00
2014-07-20,2,514.00,142962.00,283.00,278.00,283.00
2014-07-21,7,1096.00,324539.00,304.00,288.00,304.00
2014-07-22,14,2370.00,759955.00,325.00,310.00,325.00
2014-07-23,14,3618.00,1196751.00,341.00,325.00,340.00
2014-07-24,14,8495.00,3001882.00,363.00,341.00,355.00
2014-07-27,6,820.00,289100.00,359.00,350.00,350.00
2014-07-30,14,3336.00,1221480.00,371.00,357.00,364.00
2014-07-31,3,260.00,95640.00,369.00,366.00,369.00
2014-08-03,3,398.00,147370.00,376.00,365.00,365.00
2014-08-04,8,1366.00,505421.00,372.00,365.00,365.00
2014-08-05,1,83.00,29714.00,358.00,358.00,358.00
2014-08-06,4,482.00,168138.00,352.00,345.00,345.00
2014-08-07,3,428.00,146160.00,345.00,340.00,340.00
2014-08-14,9,2889.00,942250.00,334.00,316.00,320.00
2014-08-18,6,986.00,309636.00,315.00,312.00,315.00
2014-08-27,1,350.00,108500.00,310.00,310.00,310.00
2014-08-31,21,2223.00,637957.00,304.00,279.00,279.00
2014-09-01,16,7420.00,2071459.00,289.00,278.00,278.00
2014-09-03,3,300.00,84750.00,285.00,280.00,285.00
2014-09-04,1,224.00,62720.00,280.00,280.00,280.00
2014-09-09,3,1146.00,330400.00,290.00,280.00,290.00
2014-09-10,6,983.00,285720.00,295.00,290.00,290.00
2014-09-11,2,152.00,43320.00,285.00,285.00,285.00
2014-09-15,1,44.00,12320.00,280.00,280.00,280.00
2014-09-16,1,100.00,27500.00,275.00,275.00,275.00
2014-09-18,1,35.00,9450.00,270.00,270.00,270.00
2014-09-23,2,172.00,44780.00,265.00,260.00,260.00
2014-09-28,2,264.00,69960.00,265.00,265.00,265.00
2014-09-29,1,300.00,81000.00,270.00,270.00,270.00
2014-09-30,1,500.00,135000.00,270.00,270.00,270.00
2014-10-14,1,28.00,6748.00,241.00,241.00,241.00
2014-11-09,1,10.00,2450.00,245.00,245.00,245.00
2014-11-24,2,115.00,27335.00,241.00,237.00,237.00
2014-12-01,2,40.00,9640.00,241.00,241.00,241.00
2014-12-07,1,30.00,7110.00,237.00,237.00,237.00
2014-12-10,1,100.00,23500.00,235.00,235.00,235.00
2014-12-15,1,330.00,77220.00,234.00,234.00,234.00
2014-12-16,1,166.00,38180.00,230.00,230.00,230.00
2014-12-17,11,3608.00,815463.00,234.00,224.00,230.00
2014-12-18,2,315.00,71450.00,230.00,226.00,230.00
2014-12-21,2,513.00,115886.00,226.00,222.00,222.00
2014-12-23,7,413.00,91079.00,225.00,217.00,218.00
2014-12-24,6,5445.00,1111066.00,214.00,204.00,204.00
2015-01-06,6,2100.00,437200.00,212.00,208.00,212.00
2015-01-07,8,181.00,41501.00,233.00,216.00,233.00
2015-01-08,5,1631.00,391177.00,240.00,237.00,240.00
2015-01-11,12,1154.00,277813.00,249.00,238.00,242.00
2015-01-13,8,586.00,141192.00,246.00,238.00,246.00
2015-01-14,1,16.00,3936.00,246.00,246.00,246.00
2015-01-18,4,770.00,195650.00,263.00,250.00,263.00
2015-01-19,12,1964.00,533270.00,275.00,268.00,275.00
2015-01-20,1,200.00,54000.00,270.00,270.00,270.00
2015-01-25,6,1140.00,319100.00,285.00,275.00,280.00
2015-01-26,7,630.00,183935.00,295.00,285.00,295.00
2015-01-27,1,200.00,58000.00,290.00,290.00,290.00
2015-01-29,14,2681.00,803640.00,306.00,290.00,290.00
2015-02-01,4,696.00,204053.00,295.00,290.00,295.00
2015-02-02,5,747.00,223350.00,300.00,294.00,294.00
2015-02-03,2,200.00,57400.00,289.00,285.00,285.00
