Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-21,3,225.00,95850.00,426.00,426.00,426.00
2010-04-15,6,170.00,70020.00,426.00,402.00,426.00
2010-05-09,6,120.00,51120.00,426.00,426.00,426.00
2010-05-10,2,120.00,51120.00,426.00,426.00,426.00
2010-05-11,13,541.00,227434.00,434.00,410.00,426.00
2010-05-12,1,41.00,17138.00,418.00,418.00,418.00
2010-05-13,6,206.00,84220.00,418.00,402.00,408.00
2010-05-24,5,150.00,58615.00,400.00,378.00,378.00
2010-05-25,43,2427.00,834710.00,371.00,341.00,342.00
2010-05-26,38,2393.00,801094.00,345.00,325.00,341.00
2010-05-30,10,644.00,229077.00,370.00,347.00,370.00
2010-05-31,1,131.00,49125.00,375.00,375.00,375.00
2010-06-13,3,132.00,47673.00,368.00,354.00,354.00
2010-06-14,14,829.00,295403.00,361.00,347.00,361.00
2010-06-15,3,100.00,35400.00,354.00,354.00,354.00
2010-07-01,5,205.00,71135.00,347.00,347.00,347.00
2010-07-05,20,851.00,292755.00,366.00,335.00,366.00
2010-07-06,6,339.00,121737.00,361.00,359.00,359.00
2010-07-11,17,340.00,122060.00,359.00,359.00,359.00
2010-07-12,12,1207.00,427580.00,362.00,352.00,362.00
2010-07-13,36,2824.00,1038397.00,397.00,355.00,397.00
2010-07-14,1,30.00,12090.00,403.00,403.00,403.00
2010-07-20,21,2071.00,828463.00,422.00,395.00,422.00
2010-07-22,1,50.00,20700.00,414.00,414.00,414.00
2010-08-03,25,1122.00,431454.00,406.00,369.00,369.00
2010-08-04,48,4156.00,1425341.00,362.00,333.00,333.00
2010-08-05,120,9937.00,3026949.00,330.00,300.00,307.00
2010-08-08,50,3134.00,943433.00,307.00,296.00,301.00
2010-08-09,23,2340.00,703830.00,307.00,295.00,307.00
2010-08-10,18,852.00,256472.00,313.00,294.00,313.00
2010-08-11,20,1119.00,343475.00,321.00,301.00,321.00
2010-08-12,31,2897.00,885232.00,315.00,298.00,315.00
2010-08-15,3,180.00,58280.00,327.00,321.00,327.00
2010-08-16,12,688.00,225328.00,337.00,315.00,337.00
2010-08-17,36,2190.00,689650.00,337.00,304.00,304.00
2010-08-18,33,3065.00,913887.00,316.00,289.00,316.00
2010-08-19,6,544.00,172380.00,322.00,310.00,322.00
2010-08-23,1,10.00,3160.00,316.00,316.00,316.00
2010-08-26,26,2778.00,873616.00,327.00,298.00,327.00
2010-08-29,17,1301.00,422243.00,340.00,321.00,340.00
2010-09-08,1,41.00,13694.00,334.00,334.00,334.00
2010-09-09,33,2318.00,713808.00,328.00,301.00,301.00
2010-09-12,6,100.00,29700.00,297.00,297.00,297.00
2010-09-15,26,1603.00,436168.00,292.00,268.00,285.00
2010-09-16,84,5448.00,1412386.00,285.00,257.00,257.00
2010-09-19,7,353.00,88991.00,255.00,250.00,254.00
2010-09-20,21,1314.00,333506.00,254.00,249.00,249.00
2010-09-21,9,357.00,87545.00,253.00,241.00,253.00
2010-09-23,15,1389.00,356549.00,268.00,253.00,268.00
2010-09-26,20,1528.00,381974.00,270.00,246.00,250.00
2010-09-27,17,750.00,181820.00,253.00,237.00,253.00
2010-09-28,8,338.00,87389.00,264.00,255.00,264.00
2010-09-30,27,1641.00,425679.00,264.00,259.00,264.00
2010-10-03,2,78.00,19922.00,259.00,254.00,254.00
2010-10-05,13,1400.00,310460.00,225.00,220.00,220.00
2010-10-06,7,440.00,95519.00,220.00,212.00,216.00
2010-10-07,19,900.00,196280.00,236.00,216.00,236.00
2010-10-10,12,796.00,195816.00,255.00,236.00,255.00
2010-10-11,5,1100.00,292600.00,274.00,260.00,274.00
2010-10-12,5,300.00,79464.00,269.00,264.00,265.00
2010-10-13,6,757.00,201170.00,280.00,260.00,280.00
2010-10-24,2,82.00,22480.00,275.00,270.00,270.00
2010-10-25,1,20.00,5300.00,265.00,265.00,265.00
2010-10-26,1,62.00,16120.00,260.00,260.00,260.00
2010-10-27,3,712.00,181020.00,260.00,250.00,250.00
2010-10-28,5,100.00,25000.00,250.00,250.00,250.00
2010-10-31,77,1685.00,400607.00,245.00,229.00,229.00
2010-11-02,24,1036.00,242466.00,239.00,230.00,234.00
2010-11-03,48,2853.00,689109.00,256.00,235.00,256.00
2010-11-04,3,81.00,21260.00,265.00,260.00,265.00
2010-11-09,5,110.00,28950.00,270.00,260.00,260.00
2010-11-10,3,148.00,38380.00,260.00,255.00,255.00
2010-11-11,13,884.00,231377.00,270.00,255.00,265.00
2010-11-18,2,65.00,16900.00,260.00,260.00,260.00
2010-11-21,1,41.00,10865.00,265.00,265.00,265.00
2010-11-22,14,1584.00,423250.00,284.00,260.00,284.00
2010-11-23,1,25.00,7000.00,280.00,280.00,280.00
