Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-04-27,1,10.00,3290.00,329.00,329.00,329.00
2011-05-05,2,20.00,6400.00,323.00,317.00,317.00
2011-05-15,2,20.00,6160.00,311.00,305.00,305.00
2011-05-18,1,120.00,35880.00,299.00,299.00,299.00
2011-06-21,3,30.00,8720.00,294.00,289.00,289.00
2011-06-23,7,360.00,96300.00,284.00,261.00,261.00
2011-07-06,1,10.00,2480.00,248.00,248.00,248.00
2011-07-10,1,10.00,2360.00,236.00,236.00,236.00
2011-07-11,1,20.00,4640.00,232.00,232.00,232.00
2011-07-19,1,10.00,2210.00,221.00,221.00,221.00
2011-07-21,1,10.00,2100.00,210.00,210.00,210.00
2011-08-22,9,160.00,31720.00,206.00,189.00,189.00
2011-08-29,3,170.00,31140.00,186.00,183.00,183.00
2011-09-12,2,20.00,3600.00,180.00,180.00,180.00
2011-09-13,7,80.00,14130.00,177.00,174.00,174.00
2011-09-14,1,10.00,1660.00,166.00,166.00,166.00
2011-10-13,3,30.00,4650.00,158.00,152.00,152.00
2011-10-17,3,30.00,4290.00,145.00,141.00,141.00
2011-10-18,6,270.00,35850.00,139.00,129.00,129.00
2011-10-20,8,290.00,34710.00,127.00,119.00,119.00
2011-10-23,39,1130.00,122320.00,114.00,108.00,108.00
2011-10-24,345,12310.00,1255260.00,104.00,99.00,102.00
2011-10-25,307,11240.00,1137280.00,103.00,100.00,101.00
2011-10-30,376,13420.00,1379730.00,107.00,100.00,105.00
2011-10-31,349,9880.00,1041190.00,108.00,101.00,106.00
2011-11-02,27,2440.00,281360.00,116.00,108.00,116.00
2011-11-03,77,5160.00,558940.00,114.00,105.00,108.00
2011-11-06,355,14960.00,1614710.00,109.00,107.00,108.00
2011-11-08,294,11430.00,1223610.00,109.00,106.00,108.00
2011-11-09,110,6420.00,689000.00,109.00,106.00,107.00
2011-11-10,483,21310.00,2281040.00,108.00,106.00,107.00
2011-11-13,235,8140.00,858560.00,107.00,103.00,104.00
2011-11-14,253,7960.00,827220.00,105.00,102.00,104.00
2011-11-15,285,14980.00,1556520.00,105.00,103.00,104.00
2011-11-16,141,6740.00,700940.00,105.00,103.00,103.00
2011-11-17,74,4240.00,438220.00,104.00,102.00,104.00
2011-11-20,156,5770.00,598190.00,105.00,102.00,104.00
2011-11-21,92,1560.00,161310.00,104.00,103.00,103.00
2011-11-22,175,7740.00,809510.00,105.00,103.00,104.00
2011-11-23,123,3910.00,408110.00,105.00,103.00,104.00
2011-11-24,178,8410.00,868010.00,104.00,103.00,103.00
2011-11-27,280,10440.00,1075250.00,104.00,102.00,103.00
2011-11-28,69,4330.00,441790.00,104.00,101.00,101.00
2011-11-29,45,1380.00,140720.00,102.00,101.00,102.00
2011-11-30,56,2800.00,286400.00,103.00,102.00,102.00
2011-12-01,63,3700.00,372840.00,102.00,100.00,102.00
2011-12-04,56,2900.00,292770.00,102.00,100.00,101.00
2011-12-05,62,4590.00,463690.00,102.00,101.00,101.00
2011-12-06,94,3680.00,371000.00,102.00,100.00,101.00
2011-12-07,111,4510.00,451010.00,101.00,99.00,99.00
2011-12-08,68,3820.00,380790.00,101.00,98.00,99.00
2011-12-11,136,4360.00,432830.00,100.00,98.00,98.00
2011-12-12,216,13560.00,1345290.00,102.00,98.00,99.00
2011-12-13,86,3870.00,395790.00,104.00,98.00,104.00
2011-12-14,186,10250.00,1034520.00,102.00,98.00,102.00
2011-12-15,61,2010.00,196970.00,101.00,97.00,97.00
2011-12-18,86,3130.00,311620.00,102.00,97.00,100.00
2011-12-19,52,2030.00,200350.00,100.00,98.00,100.00
2011-12-20,80,1970.00,198010.00,101.00,99.00,101.00
2011-12-21,149,6430.00,636590.00,100.00,98.00,99.00
2011-12-22,54,2500.00,249650.00,102.00,99.00,100.00
2011-12-26,6,370.00,36790.00,100.00,99.00,100.00
2011-12-27,126,4720.00,471300.00,100.00,99.00,100.00
2011-12-28,33,1510.00,149260.00,100.00,98.00,99.00
2011-12-29,67,960.00,95120.00,100.00,98.00,98.00
2012-01-01,250,7160.00,714580.00,101.00,98.00,99.00
2012-01-02,114,4490.00,451270.00,102.00,99.00,102.00
2012-01-03,80,1940.00,196000.00,103.00,99.00,99.00
2012-01-04,56,2780.00,276790.00,100.00,97.00,99.00
2012-01-05,89,3430.00,337610.00,99.00,97.00,99.00
2012-01-08,141,6780.00,662940.00,99.00,97.00,97.00
2012-01-09,99,4240.00,417100.00,99.00,97.00,98.00
2012-01-10,66,2230.00,218100.00,99.00,97.00,97.00
2012-01-11,54,550.00,53350.00,97.00,97.00,97.00
2012-01-12,118,2330.00,226220.00,98.00,96.00,97.00
2012-01-16,188,3690.00,358460.00,98.00,96.00,97.00
2012-01-17,52,1890.00,181930.00,97.00,96.00,97.00
2012-01-18,176,6870.00,659520.00,97.00,95.00,96.00
2012-01-19,38,1890.00,183520.00,98.00,96.00,98.00
2012-01-22,110,3840.00,367760.00,98.00,95.00,97.00
2012-01-23,100,5240.00,505110.00,97.00,95.00,96.00
2012-01-25,104,1960.00,188900.00,97.00,96.00,96.00
2012-01-26,80,3330.00,316950.00,97.00,94.00,95.00
2012-01-29,85,3900.00,369480.00,96.00,94.00,94.00
2012-01-31,60,2780.00,261890.00,95.00,94.00,94.00
