Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,1,87.00,20793.00,239.00,239.00,239.00
2010-04-20,1,30.00,7260.00,242.00,242.00,242.00
2010-04-25,4,244.00,57790.00,238.00,235.00,235.00
2010-04-26,3,158.00,36158.00,231.00,223.00,223.00
2010-04-27,18,2724.00,583676.00,219.00,213.00,213.00
2010-04-28,7,1819.00,379610.00,212.00,208.00,212.00
2010-04-29,2,166.00,36118.00,219.00,215.00,219.00
2010-04-15,3,4283.00,1075088.00,256.00,250.00,250.00
2010-05-09,1,67.00,14941.00,223.00,223.00,223.00
2010-05-10,4,388.00,86688.00,227.00,220.00,220.00
2010-05-11,4,252.00,58008.00,232.00,224.00,230.00
2010-05-12,8,919.00,224150.00,251.00,234.00,249.00
2010-05-13,15,1881.00,481214.00,263.00,249.00,249.00
2010-05-16,2,206.00,49750.00,245.00,241.00,241.00
2010-05-17,1,25.00,5925.00,237.00,237.00,237.00
2010-05-18,17,2570.00,589487.00,233.00,221.00,230.00
2010-05-19,9,1566.00,365411.00,239.00,230.00,230.00
2010-05-20,15,1457.00,346655.00,242.00,234.00,239.00
2010-05-23,7,757.00,179745.00,240.00,235.00,239.00
2010-05-24,10,2333.00,577242.00,250.00,240.00,248.00
2010-05-25,14,3275.00,881570.00,272.00,252.00,270.00
2010-05-26,13,3976.00,1122793.00,292.00,275.00,276.00
2010-05-30,8,514.00,153670.00,303.00,281.00,303.00
2010-05-31,14,1680.00,496948.00,310.00,276.00,276.00
2010-06-01,12,1340.00,346953.00,271.00,256.00,261.00
2010-06-02,5,465.00,119421.00,261.00,256.00,260.00
2010-06-03,7,1106.00,292063.00,275.00,262.00,275.00
2010-06-06,6,380.00,105967.00,283.00,277.00,278.00
2010-06-07,12,3255.00,842547.00,273.00,257.00,265.00
2010-06-08,8,1304.00,353520.00,280.00,265.00,275.00
2010-06-09,13,344.00,98184.00,295.00,280.00,295.00
2010-06-10,11,1310.00,367367.00,290.00,276.00,276.00
2010-06-13,11,1086.00,298745.00,280.00,270.00,270.00
2010-06-14,7,1090.00,286048.00,265.00,260.00,260.00
2010-06-15,3,199.00,52885.00,270.00,265.00,270.00
2010-06-16,7,1552.00,412490.00,275.00,261.00,262.00
2010-06-17,3,333.00,89886.00,272.00,267.00,272.00
2010-06-20,7,891.00,243091.00,275.00,270.00,270.00
2010-06-21,6,900.00,241750.00,275.00,265.00,270.00
2010-06-23,3,418.00,109734.00,265.00,261.00,262.00
2010-06-24,3,411.00,106538.00,260.00,258.00,259.00
2010-06-28,3,55.00,14448.00,264.00,262.00,263.00
2010-06-29,3,384.00,100140.00,263.00,260.00,260.00
2010-06-30,3,451.00,117260.00,260.00,260.00,260.00
2010-07-01,19,3324.00,883947.00,274.00,260.00,269.00
2010-07-04,1,370.00,97680.00,264.00,264.00,264.00
2010-07-05,18,2781.00,698667.00,260.00,245.00,245.00
2010-07-06,1,35.00,8680.00,248.00,248.00,248.00
2010-07-07,2,486.00,122128.00,252.00,248.00,252.00
2010-07-08,14,2142.00,536150.00,253.00,250.00,253.00
2010-07-11,7,2706.00,679238.00,258.00,250.00,250.00
2010-07-12,3,663.00,167065.00,255.00,250.00,255.00
2010-07-13,3,294.00,75770.00,260.00,255.00,260.00
2010-07-18,7,1616.00,409145.00,255.00,250.00,255.00
2010-07-19,2,139.00,35165.00,255.00,251.00,255.00
2010-07-20,3,510.00,128606.00,255.00,251.00,255.00
2010-07-21,4,375.00,96573.00,260.00,255.00,258.00
2010-07-22,4,204.00,52940.00,260.00,259.00,259.00
2010-07-25,7,565.00,141908.00,254.00,250.00,250.00
2010-07-26,6,1095.00,277015.00,255.00,250.00,254.00
2010-07-27,12,1740.00,434305.00,250.00,247.00,250.00
2010-08-01,3,297.00,72824.00,248.00,244.00,244.00
2010-08-02,12,1671.00,406040.00,250.00,240.00,243.00
2010-08-03,3,505.00,121841.00,244.00,239.00,244.00
2010-08-04,10,2108.00,506520.00,242.00,237.00,240.00
2010-08-05,7,1859.00,451304.00,245.00,241.00,244.00
2010-08-09,4,651.00,155557.00,240.00,237.00,237.00
2010-08-10,7,372.00,88164.00,237.00,237.00,237.00
2010-08-11,5,1032.00,243136.00,237.00,234.00,236.00
2010-08-12,12,1395.00,331832.00,244.00,236.00,242.00
2010-08-15,2,915.00,217770.00,238.00,238.00,238.00
2010-08-17,3,621.00,148231.00,242.00,238.00,238.00
2010-08-18,5,651.00,151929.00,238.00,231.00,231.00
2010-08-19,6,388.00,90356.00,235.00,231.00,235.00
2010-08-22,3,360.00,84320.00,235.00,233.00,233.00
2010-08-23,3,259.00,61217.00,237.00,235.00,237.00
2010-08-26,2,185.00,44500.00,241.00,240.00,241.00
2010-08-29,3,515.00,120803.00,237.00,233.00,233.00
2010-08-30,13,2383.00,542175.00,230.00,225.00,225.00
2010-08-31,7,509.00,112697.00,223.00,221.00,221.00
2010-09-02,3,265.00,59280.00,226.00,222.00,223.00
2010-09-05,6,962.00,206474.00,219.00,211.00,218.00
2010-09-06,8,1427.00,312506.00,224.00,214.00,222.00
