Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-15,1,40.00,10520.00,263.00,263.00,263.00
2010-05-16,1,40.00,10320.00,258.00,258.00,258.00
2010-05-18,1,30.00,7590.00,253.00,253.00,253.00
2010-05-25,4,420.00,110410.00,263.00,258.00,263.00
2010-05-26,14,1530.00,412940.00,278.00,263.00,268.00
2010-05-31,10,850.00,230400.00,274.00,270.00,270.00
2010-06-01,2,120.00,32400.00,270.00,270.00,270.00
2010-06-02,1,240.00,63600.00,265.00,265.00,265.00
2010-06-03,1,100.00,27000.00,270.00,270.00,270.00
2010-06-06,2,60.00,16100.00,270.00,265.00,265.00
2010-06-09,1,100.00,27000.00,270.00,270.00,270.00
2010-06-10,1,150.00,39750.00,265.00,265.00,265.00
2010-06-20,4,680.00,176800.00,260.00,260.00,260.00
2010-06-23,12,960.00,249600.00,260.00,260.00,260.00
2010-06-24,9,960.00,249600.00,260.00,260.00,260.00
2010-06-29,1,25.00,6500.00,260.00,260.00,260.00
2010-07-01,7,540.00,142600.00,270.00,260.00,260.00
2010-07-04,4,360.00,89260.00,255.00,245.00,245.00
2010-07-05,4,280.00,67640.00,245.00,237.00,237.00
2010-07-06,2,450.00,104850.00,233.00,233.00,233.00
2010-07-07,9,940.00,221490.00,239.00,231.00,239.00
2010-07-08,4,444.00,107892.00,243.00,243.00,243.00
2010-07-11,4,140.00,34880.00,255.00,244.00,255.00
2010-07-12,20,1290.00,336760.00,275.00,255.00,275.00
2010-07-13,3,170.00,45400.00,270.00,265.00,270.00
2010-07-14,5,280.00,75450.00,275.00,265.00,275.00
2010-07-15,2,80.00,21750.00,275.00,270.00,270.00
2010-07-18,9,560.00,150940.00,271.00,266.00,266.00
2010-07-19,11,730.00,185130.00,261.00,246.00,246.00
2010-07-20,4,280.00,68060.00,246.00,241.00,241.00
2010-07-21,4,200.00,48360.00,245.00,241.00,245.00
2010-07-22,7,572.00,137406.00,243.00,240.00,240.00
2010-07-25,63,5944.00,1309162.00,236.00,216.00,216.00
2010-07-26,20,2648.00,584012.00,237.00,214.00,237.00
2010-07-27,25,2920.00,707960.00,253.00,233.00,253.00
2010-07-28,68,9342.00,2349574.00,277.00,228.00,272.00
2010-07-29,42,10706.00,2658186.00,287.00,245.00,249.00
2010-08-22,1,80.00,12560.00,157.00,157.00,157.00
2010-09-05,2,60.00,9510.00,160.00,157.00,157.00
2010-09-06,7,1224.00,178630.00,154.00,143.00,143.00
2010-09-07,6,336.00,47464.00,142.00,141.00,141.00
2010-09-08,31,2976.00,395370.00,141.00,130.00,135.00
2010-09-09,9,886.00,118382.00,135.00,132.00,134.00
2010-09-12,17,2524.00,332992.00,134.00,130.00,134.00
2010-09-13,24,2015.00,260908.00,132.00,128.00,132.00
2010-09-14,19,2821.00,368260.00,132.00,128.00,130.00
2010-09-15,9,2582.00,335102.00,131.00,129.00,130.00
2010-09-16,4,320.00,42152.00,134.00,130.00,134.00
2010-09-19,6,861.00,116979.00,137.00,135.00,137.00
2010-09-20,22,2039.00,277965.00,138.00,135.00,137.00
2010-09-21,4,1522.00,206740.00,137.00,135.00,135.00
2010-09-23,6,2576.00,353464.00,140.00,136.00,140.00
2010-09-26,4,960.00,134340.00,141.00,139.00,140.00
2010-09-27,28,2804.00,383414.00,140.00,135.00,138.00
2010-09-28,10,1132.00,156156.00,141.00,136.00,141.00
2010-09-29,2,750.00,105150.00,141.00,139.00,141.00
2010-09-30,8,676.00,95352.00,143.00,139.00,143.00
2010-10-03,12,606.00,86160.00,143.00,140.00,142.00
