Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-07-17,1,38.00,7638.00,201.00,201.00,201.00
2012-07-22,6,60.00,11370.00,197.00,182.00,182.00
2012-07-26,1,50.00,8950.00,179.00,179.00,179.00
2012-07-31,2,48.00,8334.00,176.00,173.00,173.00
2012-08-06,6,60.00,9760.00,170.00,156.00,156.00
2012-08-07,6,60.00,8790.00,153.00,141.00,141.00
2012-08-08,19,1616.00,213472.00,139.00,127.00,127.00
2012-08-12,20,1125.00,130229.00,125.00,115.00,115.00
2012-08-13,64,9132.00,959114.00,113.00,104.00,104.00
2012-08-14,73,20463.00,2001977.00,102.00,97.00,97.00
2012-08-15,35,7296.00,706908.00,100.00,96.00,100.00
2012-08-16,22,7553.00,729406.00,102.00,95.00,102.00
2012-08-19,15,3447.00,336703.00,100.00,97.00,97.00
2012-08-21,33,5990.00,573886.00,98.00,94.00,97.00
2012-08-22,14,4841.00,463298.00,97.00,95.00,97.00
2012-08-23,17,3698.00,354872.00,97.00,94.00,94.00
2012-08-26,23,6003.00,566083.00,96.00,93.00,96.00
2012-08-27,27,6848.00,639232.00,95.00,92.00,93.00
2012-08-28,24,6966.00,641408.00,94.00,90.00,92.00
2012-08-29,5,1048.00,97264.00,93.00,92.00,92.00
2012-08-30,8,2050.00,191170.00,94.00,93.00,94.00
2012-09-02,20,3438.00,312846.00,93.00,90.00,91.00
2012-09-03,10,5529.00,499732.00,95.00,90.00,95.00
2012-09-04,20,8110.00,747394.00,94.00,90.00,91.00
2012-09-05,2,40.00,3700.00,93.00,92.00,93.00
2012-09-06,17,18012.00,1621370.00,94.00,89.00,94.00
2012-09-09,12,4356.00,405108.00,93.00,93.00,93.00
2012-09-10,2,206.00,19196.00,94.00,93.00,93.00
2012-09-11,8,2538.00,230561.00,92.00,90.00,90.00
2012-09-12,18,3968.00,358845.00,92.00,90.00,90.00
2012-09-13,6,1368.00,124716.00,92.00,91.00,92.00
2012-09-16,19,5820.00,525158.00,92.00,90.00,90.00
2012-09-17,9,3423.00,309292.00,92.00,90.00,92.00
2012-09-18,10,6127.00,565487.00,95.00,91.00,93.00
2012-09-19,5,6600.00,621000.00,95.00,94.00,95.00
2012-09-20,3,756.00,70564.00,94.00,93.00,93.00
2012-09-26,4,1188.00,110274.00,93.00,92.00,93.00
2012-09-27,7,2049.00,185580.00,92.00,90.00,91.00
2012-09-30,1,168.00,15288.00,91.00,91.00,91.00
2012-10-01,8,3980.00,359090.00,91.00,90.00,91.00
2012-10-02,6,3468.00,312120.00,90.00,90.00,90.00
2012-10-03,12,5518.00,497940.00,92.00,90.00,90.00
2012-10-04,8,2336.00,210240.00,90.00,90.00,90.00
2012-10-07,6,4209.00,379278.00,91.00,90.00,91.00
2012-10-08,7,2046.00,183966.00,92.00,89.00,91.00
2012-10-09,14,3665.00,341557.00,94.00,92.00,94.00
2012-10-10,11,7335.00,685318.00,94.00,92.00,92.00
2012-10-11,2,656.00,59076.00,91.00,90.00,90.00
2012-10-14,1,76.00,6840.00,90.00,90.00,90.00
2012-10-15,1,929.00,84539.00,91.00,91.00,91.00
2012-10-17,2,7965.00,719815.00,91.00,90.00,91.00
2012-10-18,1,620.00,57040.00,92.00,92.00,92.00
2012-10-31,10,1981.00,186778.00,96.00,93.00,94.00
2012-11-01,2,900.00,85230.00,95.00,94.00,95.00
2012-11-06,26,9959.00,977872.00,104.00,95.00,104.00
2012-11-07,20,4704.00,503956.00,109.00,105.00,105.00
2012-11-08,30,20567.00,2056082.00,108.00,97.00,107.00
2012-11-11,8,1531.00,159523.00,107.00,101.00,103.00
2012-11-12,9,2188.00,231098.00,107.00,103.00,106.00
2012-11-20,16,8926.00,926298.00,106.00,103.00,103.00
2012-11-21,9,3939.00,407007.00,105.00,102.00,103.00
2012-11-22,15,7050.00,713816.00,105.00,99.00,103.00
2012-11-25,16,11836.00,1218612.00,105.00,102.00,104.00
2012-11-26,11,2816.00,292742.00,113.00,102.00,113.00
2012-11-27,3,140.00,15460.00,112.00,110.00,110.00
2012-11-28,13,5374.00,557087.00,108.00,102.00,104.00
2012-11-29,11,5747.00,610578.00,108.00,102.00,106.00
2012-12-02,8,3011.00,313512.00,106.00,104.00,106.00
2012-12-03,9,1981.00,207554.00,108.00,104.00,104.00
2012-12-04,17,17275.00,1831577.00,110.00,105.00,108.00
2012-12-05,16,9549.00,1069997.00,115.00,108.00,108.00
2012-12-06,19,6282.00,691060.00,111.00,108.00,111.00
2012-12-09,5,868.00,94712.00,110.00,109.00,109.00
2012-12-10,3,735.00,79187.00,108.00,107.00,108.00
2012-12-11,21,17074.00,1859329.00,114.00,108.00,114.00
2012-12-12,14,7930.00,868738.00,113.00,108.00,108.00
2012-12-13,10,4546.00,495490.00,110.00,108.00,110.00
2012-12-16,8,2218.00,245388.00,112.00,110.00,111.00
2012-12-17,16,11255.00,1249827.00,114.00,110.00,113.00
2012-12-18,29,18057.00,2046365.00,117.00,110.00,117.00
2012-12-19,20,5965.00,717225.00,125.00,116.00,117.00
2012-12-20,28,18337.00,2104692.00,118.00,113.00,115.00
2012-12-23,8,6172.00,716808.00,119.00,115.00,115.00
2012-12-24,1,38.00,4294.00,113.00,113.00,113.00
2012-12-26,13,10438.00,1263990.00,124.00,115.00,124.00
2012-12-27,13,4349.00,581604.00,136.00,126.00,136.00
2012-12-31,60,29485.00,4386595.00,149.00,138.00,149.00
2013-01-01,46,11954.00,1736341.00,157.00,135.00,140.00
2013-01-02,33,5568.00,772096.00,148.00,136.00,146.00
2013-01-03,20,6089.00,845432.00,146.00,137.00,137.00
2013-01-07,15,2553.00,338662.00,136.00,132.00,136.00
2013-01-08,3,955.00,125550.00,134.00,130.00,130.00
2013-01-09,6,746.00,96688.00,132.00,128.00,128.00
2013-01-10,5,1361.00,171569.00,129.00,124.00,125.00
2013-01-13,2,541.00,67701.00,127.00,125.00,127.00
