Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-03-24,2,20.00,2160.00,108.00,108.00,108.00
2013-04-23,1,177.00,19470.00,110.00,110.00,110.00
2013-04-25,2,265.00,28974.00,110.00,108.00,110.00
2013-05-19,2,928.00,98456.00,108.00,106.00,106.00
2013-06-06,1,141.00,14664.00,104.00,104.00,104.00
2013-06-12,2,40.00,4040.00,102.00,100.00,100.00
2013-07-23,6,881.00,86338.00,98.00,98.00,98.00
2013-08-29,1,159.00,15582.00,98.00,98.00,98.00
2013-09-04,9,250.00,23180.00,97.00,89.00,89.00
2013-12-05,3,1888.00,172123.00,92.00,90.00,92.00
2013-12-08,6,3624.00,341355.00,95.00,93.00,94.00
2013-12-09,19,4872.00,486180.00,103.00,95.00,103.00
2013-12-10,17,7806.00,820406.00,109.00,102.00,102.00
2013-12-11,2,538.00,53606.00,100.00,98.00,98.00
2013-12-12,5,2491.00,241909.00,98.00,97.00,97.00
2013-12-15,5,1298.00,123787.00,97.00,95.00,97.00
2013-12-16,6,802.00,79160.00,99.00,98.00,99.00
2013-12-18,1,884.00,88400.00,100.00,100.00,100.00
2013-12-19,3,1414.00,144758.00,104.00,102.00,104.00
2013-12-22,10,3614.00,369714.00,106.00,100.00,100.00
2013-12-23,3,1015.00,100882.00,100.00,98.00,98.00
2013-12-24,2,981.00,96235.00,99.00,98.00,99.00
2013-12-26,3,1237.00,123259.00,100.00,99.00,99.00
2013-12-29,6,820.00,80678.00,100.00,97.00,98.00
2013-12-31,4,3518.00,342264.00,98.00,97.00,97.00
2014-01-01,6,8620.00,826911.00,97.00,94.00,95.00
2014-01-02,16,6147.00,590457.00,99.00,94.00,99.00
2014-01-05,35,11261.00,1169044.00,108.00,100.00,102.00
2014-01-06,9,1682.00,174010.00,105.00,101.00,105.00
2014-01-07,12,9022.00,939218.00,107.00,103.00,107.00
2014-01-09,27,7258.00,770329.00,110.00,102.00,108.00
2014-01-08,12,13809.00,1451188.00,108.00,103.00,103.00
2014-01-12,15,11411.00,1237276.00,112.00,106.00,106.00
2014-01-13,14,3018.00,329143.00,115.00,102.00,115.00
2014-01-16,5,679.00,75369.00,111.00,111.00,111.00
2014-01-14,4,839.00,94807.00,113.00,113.00,113.00
2014-01-19,4,2733.00,297455.00,109.00,107.00,109.00
2014-01-20,5,2899.00,301711.00,107.00,103.00,103.00
2014-01-21,8,2101.00,219280.00,106.00,104.00,104.00
2014-01-23,10,2694.00,300931.00,114.00,109.00,114.00
2014-01-22,6,4404.00,464774.00,107.00,105.00,107.00
2014-01-26,10,3162.00,347812.00,112.00,108.00,110.00
2014-01-27,18,9323.00,1033255.00,115.00,108.00,115.00
2014-01-28,20,10610.00,1229570.00,119.00,113.00,115.00
2014-02-02,22,14536.00,1659137.00,118.00,113.00,118.00
2014-01-29,8,890.00,102676.00,117.00,115.00,115.00
2014-02-03,40,31452.00,3995267.00,129.00,120.00,129.00
2014-02-04,25,38890.00,5056367.00,136.00,128.00,133.00
2014-02-05,16,5358.00,720428.00,136.00,130.00,136.00
2014-02-06,15,12767.00,1747598.00,140.00,136.00,140.00
2014-02-09,5,1468.00,205714.00,142.00,140.00,140.00
2014-02-10,7,7055.00,986076.00,142.00,138.00,138.00
2014-02-11,2,707.00,94826.00,136.00,134.00,134.00
2014-02-12,2,274.00,35814.00,132.00,130.00,130.00
2014-02-13,5,1704.00,216168.00,128.00,126.00,126.00
2014-02-16,6,1069.00,132928.00,128.00,124.00,124.00
2014-02-17,7,3720.00,451986.00,124.00,120.00,122.00
2014-02-18,7,5609.00,680069.00,123.00,120.00,122.00
2014-02-20,10,2798.00,353874.00,128.00,124.00,126.00
2014-02-23,9,2068.00,267146.00,130.00,126.00,126.00
2014-02-24,10,1897.00,237290.00,130.00,123.00,125.00
2014-02-25,2,494.00,62068.00,126.00,124.00,126.00
2014-02-26,5,5115.00,662317.00,130.00,128.00,130.00
2014-03-03,8,3161.00,421138.00,136.00,130.00,131.00
2014-03-04,6,1924.00,246536.00,130.00,128.00,128.00
2014-03-05,3,1760.00,228806.00,133.00,129.00,133.00
2014-03-06,9,6653.00,858431.00,133.00,127.00,131.00
2014-03-09,11,1659.00,218922.00,135.00,129.00,135.00
2014-03-10,9,2342.00,308452.00,133.00,129.00,129.00
2014-03-11,11,3202.00,423530.00,134.00,130.00,131.00
2014-03-12,21,17282.00,2198385.00,131.00,126.00,131.00
2014-03-13,5,635.00,82965.00,131.00,130.00,131.00
2014-03-17,5,503.00,64366.00,129.00,127.00,127.00
2014-03-18,5,5229.00,693459.00,133.00,129.00,133.00
2014-03-19,4,1164.00,150261.00,132.00,128.00,128.00
2014-03-20,8,3848.00,482374.00,128.00,125.00,128.00
2014-03-23,11,2254.00,282234.00,126.00,125.00,125.00
2014-03-24,1,88.00,11176.00,127.00,127.00,127.00
2014-03-25,4,644.00,84188.00,133.00,129.00,131.00
2014-03-26,3,539.00,69407.00,130.00,128.00,130.00
2014-03-27,14,8364.00,1102846.00,133.00,130.00,133.00
2014-03-31,15,2777.00,395605.00,146.00,135.00,146.00
2014-04-01,8,3747.00,537575.00,146.00,142.00,146.00
2014-04-02,13,6619.00,966113.00,148.00,144.00,147.00
2014-04-03,7,2223.00,319110.00,145.00,142.00,144.00
2014-04-06,5,567.00,79980.00,142.00,140.00,140.00
2014-04-07,8,7258.00,1054362.00,148.00,142.00,148.00
2014-04-09,7,2670.00,406136.00,156.00,148.00,156.00
2014-04-10,7,5907.00,915854.00,159.00,152.00,152.00
2014-04-13,2,362.00,53938.00,149.00,149.00,149.00
2014-04-15,3,1299.00,191589.00,149.00,147.00,149.00
2014-04-16,16,8054.00,1207446.00,153.00,147.00,151.00
2014-04-17,14,3769.00,572395.00,154.00,149.00,149.00
2014-04-20,5,1653.00,242709.00,147.00,145.00,147.00
2014-04-21,3,716.00,102617.00,145.00,143.00,143.00
2014-04-22,6,1676.00,241607.00,147.00,142.00,145.00
2014-04-23,8,10621.00,1539779.00,147.00,143.00,143.00
2014-04-27,4,1533.00,214969.00,141.00,139.00,139.00
2014-04-29,1,44.00,6028.00,137.00,137.00,137.00
2014-05-04,6,3286.00,429826.00,135.00,129.00,129.00
2014-05-05,3,1387.00,183589.00,133.00,131.00,133.00
2014-05-06,1,441.00,57771.00,131.00,131.00,131.00
2014-05-07,4,714.00,93384.00,134.00,130.00,134.00
2014-05-08,2,1034.00,142568.00,138.00,136.00,138.00
2014-05-12,4,1744.00,243548.00,142.00,136.00,142.00
2014-05-13,5,1281.00,179534.00,142.00,140.00,140.00
2014-05-19,6,2503.00,349670.00,141.00,137.00,139.00
2014-05-18,1,487.00,67206.00,138.00,138.00,138.00
2014-05-15,1,44.00,6160.00,140.00,140.00,140.00
2014-05-20,2,221.00,30586.00,140.00,138.00,138.00
2014-05-21,2,176.00,23804.00,136.00,135.00,135.00
2014-05-22,1,106.00,14522.00,137.00,137.00,137.00
2014-05-26,3,573.00,77443.00,137.00,135.00,137.00
2014-05-27,3,707.00,95445.00,135.00,135.00,135.00
2014-05-28,5,873.00,117661.00,135.00,134.00,135.00
2014-06-01,4,2354.00,314258.00,135.00,133.00,135.00
2014-06-02,5,882.00,120534.00,137.00,136.00,137.00
2014-06-03,4,979.00,133585.00,137.00,136.00,137.00
2014-06-08,2,8831.00,1201192.00,138.00,136.00,136.00
2014-06-05,6,910.00,125926.00,140.00,134.00,140.00
2014-06-04,7,1342.00,181214.00,136.00,135.00,136.00
2014-06-09,2,221.00,29968.00,136.00,134.00,136.00
2014-06-10,5,3040.00,426450.00,142.00,136.00,140.00
2014-06-11,6,2553.00,370589.00,151.00,141.00,151.00
2014-06-12,10,5950.00,886515.00,153.00,146.00,150.00
2014-06-18,8,1469.00,235936.00,163.00,158.00,160.00
2014-06-17,12,13097.00,2056772.00,164.00,154.00,0.00
2014-06-16,5,2906.00,462244.00,161.00,155.00,161.00
2014-06-15,16,5935.00,946994.00,164.00,153.00,155.00
2014-06-19,6,2943.00,464757.00,160.00,154.00,154.00
2014-06-24,9,11191.00,1680200.00,151.00,148.00,150.00
2014-06-25,2,485.00,73720.00,152.00,152.00,152.00
2014-06-26,8,5759.00,923788.00,161.00,155.00,158.00
2014-06-30,8,2190.00,347365.00,163.00,155.00,155.00
2014-06-29,11,15341.00,2498476.00,166.00,160.00,162.00
2014-07-01,5,2424.00,379891.00,163.00,156.00,163.00
2014-07-02,6,936.00,157029.00,170.00,162.00,170.00
2014-07-03,3,3015.00,518887.00,173.00,169.00,173.00
2014-07-06,4,460.00,80030.00,175.00,171.00,175.00
2014-07-07,3,2246.00,387284.00,173.00,172.00,172.00
2014-07-08,8,1033.00,176979.00,174.00,167.00,170.00
2014-07-09,9,7168.00,1221615.00,176.00,167.00,167.00
2014-07-10,1,141.00,23406.00,166.00,166.00,166.00
2014-07-13,12,9355.00,1660603.00,182.00,166.00,182.00
2014-07-14,7,2986.00,556628.00,191.00,185.00,191.00
2014-07-15,10,4891.00,961081.00,200.00,192.00,196.00
2014-07-16,7,2294.00,438764.00,193.00,190.00,190.00
2014-07-17,20,4621.00,896581.00,196.00,192.00,194.00
2014-07-20,15,7860.00,1611315.00,213.00,195.00,210.00
2014-07-21,17,8211.00,1801116.00,230.00,214.00,230.00
2014-07-22,28,12927.00,3111147.00,250.00,234.00,234.00
2014-07-23,14,4798.00,1125530.00,238.00,232.00,238.00
2014-07-24,9,1699.00,402604.00,243.00,232.00,232.00
2014-07-27,6,3338.00,765840.00,230.00,225.00,230.00
2014-07-28,2,706.00,158496.00,226.00,222.00,222.00
2014-07-30,27,12303.00,2882858.00,241.00,225.00,241.00
2014-07-31,12,3437.00,802944.00,239.00,231.00,235.00
2014-08-03,4,1291.00,294552.00,231.00,226.00,226.00
2014-08-04,4,856.00,189240.00,228.00,220.00,220.00
2014-08-05,7,2093.00,468266.00,226.00,222.00,222.00
2014-08-06,7,2199.00,488884.00,226.00,220.00,220.00
2014-08-07,6,1997.00,429604.00,219.00,214.00,214.00
2014-08-12,1,44.00,9416.00,214.00,214.00,214.00
2014-08-13,8,621.00,129613.00,214.00,207.00,210.00
2014-08-14,4,1482.00,308644.00,213.00,206.00,206.00
2014-08-18,4,1941.00,390748.00,202.00,198.00,201.00
