Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-07-15,8,641.00,88645.00,190.00,116.00,187.00
2012-07-17,6,230.00,40520.00,184.00,169.00,169.00
2012-07-19,5,50.00,8000.00,166.00,154.00,154.00
2012-07-22,7,80.00,11490.00,151.00,139.00,139.00
2012-07-23,274,51945.00,6950535.00,138.00,126.00,135.00
2012-07-24,279,46765.00,6192404.00,137.00,130.00,135.00
2012-07-25,208,26669.00,3612935.00,138.00,134.00,138.00
2012-07-26,131,21788.00,2970876.00,138.00,134.00,137.00
2012-07-29,114,17089.00,2301667.00,137.00,132.00,133.00
2012-07-30,76,12361.00,1641667.00,135.00,131.00,134.00
2012-07-31,72,14516.00,1904707.00,135.00,130.00,132.00
2012-08-01,72,6364.00,835947.00,134.00,130.00,132.00
2012-08-05,74,8410.00,1100121.00,134.00,130.00,131.00
2012-08-06,88,16427.00,2167786.00,133.00,131.00,132.00
2012-08-07,65,13067.00,1740468.00,135.00,132.00,134.00
2012-08-08,76,12812.00,1701584.00,135.00,132.00,132.00
2012-08-12,49,8250.00,1077085.00,133.00,129.00,131.00
2012-08-13,57,9263.00,1184051.00,130.00,127.00,128.00
2012-08-14,114,16698.00,2098645.00,129.00,124.00,126.00
2012-08-15,38,3893.00,489119.00,127.00,124.00,127.00
2012-08-16,43,5686.00,712652.00,127.00,125.00,125.00
2012-08-19,38,4683.00,579184.00,125.00,122.00,124.00
2012-08-21,40,4876.00,596879.00,125.00,121.00,122.00
2012-08-22,64,7259.00,888662.00,124.00,121.00,124.00
2012-08-23,52,5559.00,674929.00,123.00,120.00,121.00
2012-08-26,32,5276.00,643793.00,125.00,119.00,123.00
2012-08-27,36,1748.00,215574.00,126.00,121.00,126.00
2012-08-28,60,5779.00,727310.00,127.00,125.00,126.00
2012-08-29,41,5128.00,644125.00,126.00,125.00,125.00
2012-08-30,30,20214.00,2501652.00,127.00,123.00,127.00
2012-09-02,9,4671.00,578150.00,127.00,121.00,123.00
2012-09-03,33,9094.00,1158576.00,131.00,125.00,130.00
2012-09-04,112,21267.00,2754691.00,132.00,126.00,131.00
2012-09-05,197,22053.00,2790669.00,132.00,124.00,127.00
2012-09-06,64,31918.00,3984367.00,126.00,124.00,125.00
2012-09-09,45,12421.00,1570817.00,128.00,125.00,128.00
2012-09-10,87,8681.00,1101468.00,131.00,125.00,131.00
2012-09-11,48,9013.00,1143881.00,129.00,126.00,128.00
2012-09-12,63,20005.00,2523234.00,128.00,124.00,127.00
2012-09-13,37,7730.00,974093.00,127.00,126.00,126.00
2012-09-16,20,10609.00,1333972.00,128.00,125.00,127.00
2012-09-17,75,16304.00,2072134.00,131.00,125.00,129.00
2012-09-18,81,15370.00,1952665.00,130.00,126.00,127.00
2012-09-19,129,18819.00,2387443.00,128.00,126.00,127.00
2012-09-20,128,16938.00,2134502.00,129.00,125.00,129.00
2012-09-23,169,19681.00,2428720.00,127.00,121.00,125.00
2012-09-24,331,30792.00,3750551.00,126.00,119.00,126.00
2012-09-25,6,1778.00,220994.00,126.00,123.00,124.00
2012-09-26,22,6515.00,784218.00,122.00,119.00,120.00
2012-09-27,5,571.00,67953.00,120.00,118.00,120.00
2012-09-30,9,685.00,82204.00,122.00,119.00,122.00
2012-10-01,39,3216.00,387243.00,122.00,120.00,122.00
2012-10-02,18,1173.00,141103.00,121.00,120.00,120.00
2012-10-03,23,2568.00,308357.00,121.00,119.00,121.00
2012-10-04,17,4543.00,544957.00,121.00,119.00,120.00
2012-10-07,11,1781.00,218417.00,127.00,121.00,123.00
2012-10-08,26,6619.00,809542.00,125.00,121.00,125.00
2012-10-09,25,3413.00,426591.00,125.00,124.00,125.00
2012-10-10,55,12818.00,1603455.00,134.00,124.00,134.00
2012-10-11,8,1117.00,149052.00,137.00,132.00,137.00
2012-10-14,9,737.00,96477.00,139.00,129.00,129.00
2012-10-15,24,2952.00,368622.00,127.00,123.00,126.00
2012-10-17,46,16609.00,2159192.00,132.00,126.00,131.00
2012-10-18,32,5359.00,699896.00,133.00,129.00,133.00
2012-10-30,20,2386.00,320614.00,137.00,131.00,136.00
2012-10-31,24,6295.00,864397.00,141.00,136.00,141.00
2012-11-01,40,12366.00,1668119.00,139.00,134.00,139.00
2012-11-04,32,6209.00,855780.00,141.00,136.00,141.00
2012-11-05,74,18005.00,2566633.00,149.00,138.00,140.00
2012-11-06,126,49514.00,6981058.00,144.00,137.00,143.00
2012-11-07,73,26070.00,3780943.00,149.00,139.00,145.00
2012-11-08,108,25286.00,3721145.00,151.00,143.00,147.00
2012-11-11,101,32299.00,4627648.00,149.00,140.00,144.00
2012-11-12,57,11087.00,1602745.00,150.00,140.00,145.00
2012-11-18,88,29288.00,4335069.00,151.00,141.00,148.00
2012-11-20,117,31548.00,4883182.00,161.00,150.00,161.00
2012-11-21,104,23629.00,3647927.00,164.00,148.00,164.00
2012-11-22,71,33217.00,5237757.00,167.00,155.00,159.00
2012-11-25,112,28777.00,4594596.00,163.00,156.00,159.00
2012-11-26,90,18633.00,2888664.00,159.00,149.00,156.00
2012-11-27,47,6874.00,1068178.00,159.00,154.00,159.00
2012-11-28,45,9060.00,1384602.00,156.00,151.00,152.00
2012-11-29,75,19625.00,2953773.00,153.00,149.00,150.00
2012-12-02,31,4643.00,683621.00,150.00,145.00,149.00
2012-12-03,54,14462.00,2106165.00,150.00,144.00,146.00
2012-12-04,53,15324.00,2309930.00,156.00,144.00,152.00
2012-12-05,71,15463.00,2430407.00,161.00,153.00,160.00
2012-12-06,36,29192.00,4421966.00,160.00,150.00,152.00
2012-12-09,36,7801.00,1169059.00,154.00,147.00,151.00
2012-12-10,48,15683.00,2345803.00,154.00,148.00,154.00
2012-12-11,24,7364.00,1116364.00,153.00,151.00,153.00
2012-12-12,34,9543.00,1458739.00,155.00,150.00,153.00
2012-12-13,40,19889.00,3023124.00,154.00,150.00,153.00
2012-12-16,142,53110.00,8536044.00,166.00,156.00,162.00
2012-12-17,123,30706.00,5025224.00,171.00,154.00,164.00
2012-12-18,78,28896.00,4650918.00,165.00,157.00,164.00
2012-12-19,94,34449.00,5731836.00,170.00,165.00,167.00
2012-12-20,181,74541.00,12652817.00,175.00,165.00,172.00
2012-12-23,175,63014.00,11209919.00,180.00,173.00,179.00
2012-12-24,128,44231.00,8145512.00,191.00,174.00,190.00
2012-12-26,129,39489.00,7648072.00,199.00,187.00,194.00
2012-12-27,119,35798.00,6859640.00,196.00,189.00,190.00
2012-12-31,70,17122.00,3075971.00,192.00,178.00,180.00
2013-01-01,89,19675.00,3492234.00,183.00,174.00,177.00
2013-01-02,84,25658.00,4447396.00,183.00,170.00,183.00
2013-01-03,53,11924.00,2165608.00,186.00,179.00,181.00
2013-01-07,53,12364.00,2143907.00,176.00,171.00,172.00
2013-01-08,34,3498.00,596319.00,173.00,169.00,171.00
2013-01-09,63,19212.00,3257703.00,172.00,168.00,170.00
2013-01-10,65,21655.00,3698063.00,177.00,168.00,175.00
2013-01-13,29,6606.00,1143058.00,175.00,171.00,173.00
2013-01-15,57,18691.00,3235603.00,176.00,171.00,175.00
2013-01-16,33,8431.00,1449870.00,173.00,171.00,172.00
2013-01-17,74,13902.00,2349336.00,173.00,166.00,169.00
2013-01-20,63,16200.00,2610000.00,167.00,160.00,162.00
2013-01-21,48,8241.00,1388687.00,174.00,161.00,168.00
2013-01-22,40,7823.00,1337998.00,174.00,169.00,174.00
2013-01-23,44,6337.00,1080369.00,174.00,168.00,168.00
2013-01-24,43,6290.00,1058425.00,171.00,165.00,169.00
2013-01-27,73,26361.00,4390116.00,170.00,164.00,168.00
2013-01-28,29,5320.00,893060.00,169.00,167.00,169.00
2013-01-30,32,6286.00,1036557.00,171.00,162.00,164.00
2013-01-31,43,7673.00,1253773.00,165.00,160.00,165.00
2013-02-03,46,16759.00,2866309.00,174.00,168.00,169.00
2013-02-04,13,4496.00,762055.00,172.00,166.00,171.00
2013-02-05,12,4557.00,766404.00,169.00,166.00,167.00
2013-02-06,19,5098.00,850090.00,169.00,165.00,166.00
2013-02-07,39,4213.00,707642.00,170.00,164.00,168.00
2013-02-10,45,4786.00,798723.00,171.00,165.00,167.00
2013-02-12,98,32916.00,5715642.00,182.00,168.00,177.00
2013-02-13,43,8104.00,1420340.00,177.00,174.00,175.00
2013-02-14,49,14125.00,2513506.00,182.00,175.00,176.00
2013-02-17,12,5131.00,983645.00,193.00,179.00,193.00
2013-02-19,132,40334.00,7707789.00,210.00,186.00,186.00
2013-02-20,72,20776.00,3763635.00,185.00,179.00,183.00
2013-02-21,100,25321.00,4670628.00,188.00,180.00,188.00
2013-02-24,45,8825.00,1598139.00,185.00,180.00,182.00
2013-02-25,79,14290.00,2646982.00,194.00,181.00,185.00
2013-02-26,43,36308.00,6492244.00,196.00,176.00,196.00
2013-02-27,22,2996.00,556474.00,194.00,183.00,194.00
2013-02-28,84,22777.00,4161174.00,193.00,180.00,183.00
2013-03-03,75,20374.00,3759867.00,187.00,182.00,185.00
2013-03-04,63,16767.00,3094213.00,187.00,183.00,186.00
2013-03-05,25,3829.00,697039.00,184.00,180.00,183.00
2013-03-07,35,13024.00,2386051.00,193.00,180.00,183.00
2013-03-11,60,12229.00,2251344.00,190.00,182.00,183.00
2013-03-13,50,7341.00,1367309.00,194.00,184.00,194.00
2013-03-14,52,13418.00,2532769.00,200.00,186.00,190.00
2013-03-17,37,10918.00,1981308.00,188.00,180.00,183.00
2013-03-18,38,10739.00,1932931.00,185.00,178.00,182.00
2013-03-19,56,8265.00,1518318.00,185.00,182.00,185.00
2013-03-21,37,7822.00,1402617.00,182.00,176.00,180.00
2013-03-24,31,4721.00,827272.00,180.00,174.00,176.00
2013-03-25,31,8667.00,1533386.00,182.00,175.00,180.00
2013-03-27,19,7724.00,1373137.00,180.00,177.00,177.00
2013-03-28,8,1695.00,299872.00,178.00,176.00,176.00
2013-04-01,20,4484.00,760703.00,174.00,165.00,174.00
2013-04-03,40,13292.00,2379795.00,181.00,177.00,179.00
2013-04-04,38,13617.00,2396531.00,178.00,174.00,178.00
2013-04-07,19,1569.00,277110.00,178.00,175.00,178.00
2013-04-08,32,7959.00,1410418.00,181.00,175.00,178.00
2013-04-11,45,9109.00,1641286.00,182.00,179.00,180.00
2013-04-15,66,10338.00,1868691.00,182.00,179.00,179.00
2013-04-16,16,2623.00,470197.00,180.00,178.00,179.00
2013-04-17,16,3461.00,613082.00,180.00,176.00,180.00
2013-04-18,18,2211.00,394379.00,180.00,178.00,178.00
2013-04-21,13,2146.00,369070.00,175.00,170.00,172.00
2013-04-22,32,6353.00,1071882.00,171.00,166.00,170.00
2013-04-23,18,1686.00,291660.00,176.00,172.00,172.00
2013-04-25,25,4423.00,749399.00,172.00,168.00,169.00
2013-04-28,51,13918.00,2304126.00,168.00,164.00,164.00
2013-04-29,20,2839.00,467318.00,167.00,161.00,165.00
2013-04-30,4,486.00,79980.00,166.00,164.00,165.00
2013-05-02,7,1240.00,203095.00,166.00,163.00,165.00
2013-05-05,21,3086.00,509227.00,168.00,163.00,164.00
2013-05-06,19,3545.00,561798.00,166.00,156.00,164.00
2013-05-07,22,4293.00,717792.00,173.00,158.00,170.00
2013-05-08,10,5675.00,944291.00,169.00,165.00,168.00
2013-05-09,18,2397.00,402780.00,170.00,167.00,167.00
2013-05-12,11,2648.00,435921.00,168.00,164.00,168.00
2013-05-13,35,7665.00,1281533.00,170.00,165.00,168.00
2013-05-14,19,2311.00,389124.00,170.00,167.00,169.00
2013-05-15,15,4788.00,818895.00,173.00,170.00,170.00
2013-05-16,10,1574.00,266038.00,170.00,168.00,168.00
2013-05-19,12,2454.00,413192.00,171.00,168.00,168.00
2013-05-20,7,604.00,100726.00,171.00,165.00,167.00
2013-05-21,11,2101.00,351271.00,169.00,166.00,169.00
2013-05-22,13,2242.00,375174.00,175.00,166.00,169.00
2013-05-23,20,3293.00,546609.00,170.00,165.00,169.00
2013-05-26,14,1488.00,248928.00,170.00,166.00,170.00
2013-05-27,7,819.00,138010.00,170.00,167.00,170.00
2013-05-28,10,2256.00,382091.00,174.00,168.00,168.00
2013-05-30,12,2961.00,491159.00,168.00,165.00,166.00
2013-06-02,28,3520.00,582176.00,167.00,163.00,165.00
2013-06-03,10,2232.00,366620.00,168.00,162.00,165.00
2013-06-04,15,3398.00,560836.00,168.00,162.00,168.00
2013-06-05,37,15908.00,2615803.00,167.00,164.00,164.00
2013-06-06,12,3072.00,506077.00,167.00,162.00,167.00
2013-06-09,21,3845.00,647465.00,170.00,164.00,169.00
2013-06-10,8,557.00,93113.00,170.00,167.00,167.00
2013-06-11,13,2082.00,345178.00,168.00,165.00,167.00
2013-06-12,24,4354.00,719322.00,166.00,163.00,166.00
2013-06-13,21,3565.00,586182.00,166.00,163.00,165.00
2013-06-16,17,2681.00,441868.00,167.00,164.00,165.00
2013-06-17,3,667.00,108831.00,164.00,163.00,164.00
2013-06-18,36,3579.00,581987.00,163.00,162.00,163.00
2013-06-19,25,6334.00,1013761.00,163.00,159.00,161.00
2013-06-20,23,8421.00,1346298.00,162.00,159.00,162.00
2013-06-23,17,2833.00,454821.00,162.00,160.00,161.00
2013-06-24,14,5862.00,945912.00,165.00,160.00,165.00
2013-06-25,14,3807.00,635786.00,170.00,165.00,167.00
2013-06-26,21,4252.00,715106.00,170.00,165.00,165.00
2013-06-27,4,548.00,90420.00,165.00,165.00,165.00
2013-06-30,31,8391.00,1357289.00,163.00,161.00,161.00
2013-07-01,12,1516.00,245464.00,163.00,160.00,163.00
2013-07-02,26,10632.00,1711667.00,164.00,160.00,163.00
2013-07-03,19,2683.00,432494.00,162.00,161.00,161.00
2013-07-04,10,4274.00,690979.00,163.00,160.00,163.00
2013-07-07,10,1074.00,176139.00,166.00,163.00,164.00
2013-07-08,15,1580.00,258991.00,165.00,163.00,165.00
2013-07-09,15,2026.00,342879.00,171.00,167.00,170.00
2013-07-10,4,359.00,60565.00,170.00,167.00,169.00
2013-07-11,6,946.00,159569.00,170.00,168.00,168.00
2013-07-14,4,670.00,112993.00,172.00,168.00,168.00
2013-07-15,9,2216.00,374734.00,170.00,168.00,168.00
2013-07-16,7,1272.00,210185.00,166.00,165.00,166.00
2013-07-17,5,332.00,55942.00,169.00,168.00,169.00
2013-07-18,12,4489.00,759321.00,172.00,168.00,168.00
2013-07-21,28,11721.00,2016054.00,175.00,170.00,172.00
2013-07-22,25,5874.00,1012437.00,175.00,168.00,171.00
2013-07-23,15,2854.00,484315.00,171.00,168.00,168.00
2013-07-24,24,4074.00,679503.00,168.00,165.00,167.00
2013-07-25,41,4517.00,751646.00,169.00,165.00,166.00
2013-07-28,24,5953.00,989517.00,168.00,166.00,166.00
2013-07-29,18,6614.00,1101588.00,170.00,165.00,167.00
2013-07-30,14,3016.00,505002.00,169.00,167.00,168.00
2013-07-31,32,13692.00,2303775.00,171.00,167.00,169.00
2013-08-01,17,4546.00,769971.00,170.00,168.00,170.00
2013-08-04,31,10262.00,1734224.00,170.00,167.00,170.00
2013-08-05,23,3435.00,577334.00,170.00,167.00,169.00
2013-08-06,17,4777.00,791202.00,169.00,163.00,168.00
2013-08-07,21,4285.00,722984.00,170.00,168.00,170.00
2013-08-08,23,4867.00,821809.00,170.00,168.00,169.00
2013-08-11,19,3428.00,580218.00,170.00,168.00,169.00
2013-08-12,28,8773.00,1485659.00,172.00,168.00,170.00
2013-08-13,25,4303.00,725625.00,170.00,167.00,169.00
