Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-10-17,12,1188.00,124740.00,105.00,105.00,105.00
2013-10-27,1,45.00,4725.00,105.00,105.00,105.00
2013-10-29,1,64.00,6720.00,105.00,105.00,105.00
2014-02-18,2,744.00,77376.00,105.00,103.00,105.00
2014-03-05,1,3361.00,352905.00,105.00,105.00,105.00
2014-03-31,1,372.00,39804.00,107.00,107.00,107.00
2014-04-06,1,99.00,10791.00,109.00,109.00,109.00
2014-04-28,1,135.00,14985.00,111.00,111.00,111.00
2014-07-06,2,888.00,100344.00,113.00,113.00,113.00
2014-07-08,1,10.00,1180.00,118.00,118.00,118.00
2014-07-09,1,10.00,1230.00,123.00,123.00,123.00
2014-07-10,3,30.00,3810.00,129.00,125.00,129.00
2014-07-13,6,60.00,8160.00,141.00,131.00,141.00
2014-07-15,5,50.00,7350.00,151.00,143.00,151.00
2014-07-16,3,30.00,4710.00,160.00,154.00,160.00
2014-07-17,1,10.00,1630.00,163.00,163.00,163.00
2014-07-20,5,50.00,8600.00,178.00,166.00,178.00
2014-07-21,3,30.00,5520.00,187.00,181.00,187.00
2014-07-23,4,49.00,9838.00,205.00,196.00,205.00
2014-07-24,2,244.00,51916.00,213.00,209.00,213.00
2014-07-27,5,50.00,11250.00,233.00,217.00,233.00
2014-07-28,3,30.00,7230.00,245.00,237.00,245.00
2014-07-30,4,40.00,10430.00,267.00,257.00,267.00
2014-07-31,4,414.00,115713.00,287.00,272.00,287.00
2014-08-03,5,150.00,46530.00,314.00,292.00,314.00
2014-08-04,8,1188.00,405924.00,344.00,320.00,344.00
2014-08-05,5,753.00,261453.00,348.00,342.00,342.00
2014-08-06,2,120.00,42420.00,354.00,348.00,354.00
2014-09-04,1,10.00,3470.00,347.00,347.00,347.00
2014-09-14,5,50.00,16450.00,341.00,317.00,317.00
2014-10-16,4,180.00,55980.00,311.00,311.00,311.00
2014-10-20,3,774.00,236070.00,305.00,305.00,305.00
2014-12-22,6,1088.00,326400.00,300.00,300.00,300.00
2015-01-19,3,30.00,8010.00,272.00,262.00,272.00
2015-01-22,1,363.00,100551.00,277.00,277.00,277.00
2015-01-25,4,75.00,21975.00,297.00,282.00,297.00
2015-01-27,7,464.00,150556.00,326.00,302.00,326.00
2015-01-28,5,50.00,17210.00,357.00,332.00,357.00
2015-01-29,3,30.00,11130.00,378.00,364.00,378.00
2015-02-02,2,20.00,7770.00,392.00,385.00,392.00
2015-02-03,1,20.00,7980.00,399.00,399.00,399.00
2015-02-11,6,240.00,100860.00,437.00,403.00,437.00
2015-02-12,2,65.00,27525.00,429.00,421.00,421.00
2015-02-16,2,175.00,73355.00,421.00,413.00,413.00
2015-02-18,2,55.00,22470.00,410.00,402.00,402.00
2015-02-22,2,200.00,80600.00,403.00,403.00,403.00
2015-02-24,1,10.00,3950.00,395.00,395.00,395.00
2015-03-04,1,500.00,195000.00,390.00,390.00,390.00
2015-03-09,1,10.00,3970.00,397.00,397.00,397.00
2015-03-11,1,91.00,35945.00,395.00,395.00,395.00
2015-03-12,9,1088.00,450962.00,424.00,400.00,424.00
2015-03-15,4,140.00,62840.00,454.00,430.00,454.00
2015-03-16,1,300.00,133500.00,445.00,445.00,445.00
2015-03-30,1,275.00,123200.00,448.00,448.00,448.00
2015-07-13,2,40.00,17440.00,440.00,432.00,432.00
2015-07-15,9,871.00,348129.00,424.00,392.00,400.00
2015-07-16,3,725.00,290188.00,402.00,400.00,400.00
2015-07-22,1,10.00,4080.00,408.00,408.00,408.00
2015-07-23,6,1001.00,432048.00,440.00,416.00,440.00
2015-07-29,1,107.00,47080.00,440.00,440.00,440.00
2015-09-15,1,234.00,104832.00,448.00,448.00,448.00
2015-10-28,2,120.00,53160.00,448.00,440.00,448.00
2015-12-20,1,455.00,203840.00,448.00,448.00,448.00
2016-01-06,2,519.00,192030.00,370.00,370.00,370.00
2016-01-13,2,90.00,33930.00,377.00,377.00,377.00
2016-01-14,1,45.00,17280.00,384.00,384.00,384.00
