Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-12-10,10,590.00,237510.00,419.00,381.00,419.00
2015-12-17,10,100.00,45070.00,460.00,427.00,460.00
2016-03-23,8,190.00,92670.00,492.00,483.00,492.00
2016-03-24,44,440.00,237590.00,541.00,516.00,541.00
2016-03-27,3,30.00,17040.00,568.00,568.00,568.00
2016-03-28,5,50.00,29800.00,596.00,596.00,596.00
2016-03-31,1,10.00,5280.00,528.00,528.00,528.00
2016-05-03,1,10.00,5380.00,538.00,538.00,538.00
2016-05-10,1,10.00,5480.00,548.00,548.00,548.00
2016-05-15,1,10.00,5580.00,558.00,558.00,558.00
2016-05-18,1,10.00,5850.00,585.00,585.00,585.00
2016-05-31,2,20.00,12030.00,607.00,596.00,607.00
2016-06-09,1,10.00,6190.00,619.00,619.00,619.00
2016-06-20,1,10.00,6490.00,649.00,649.00,649.00
2016-06-26,1,10.00,6610.00,661.00,661.00,661.00
2016-07-05,1,10.00,6940.00,694.00,694.00,694.00
