Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,3,90.00,20060.00,224.00,220.00,223.00
2010-04-20,12,640.00,144680.00,229.00,224.00,225.00
2010-04-21,10,510.00,113110.00,225.00,217.00,221.00
2010-04-22,9,580.00,130670.00,230.00,223.00,230.00
2010-04-25,9,470.00,109100.00,234.00,230.00,234.00
2010-04-26,7,340.00,80350.00,238.00,234.00,234.00
2010-04-27,16,1700.00,399900.00,238.00,234.00,236.00
2010-04-28,6,430.00,100490.00,236.00,232.00,233.00
2010-04-29,2,450.00,104850.00,233.00,233.00,233.00
2010-04-15,8,810.00,174280.00,221.00,212.00,221.00
2010-05-09,2,300.00,68100.00,229.00,225.00,225.00
2010-05-10,18,540.00,123420.00,229.00,225.00,225.00
2010-05-11,6,230.00,51490.00,225.00,221.00,224.00
2010-05-12,2,180.00,40500.00,225.00,225.00,225.00
2010-05-13,4,220.00,50500.00,233.00,225.00,233.00
2010-05-16,3,30.00,6870.00,229.00,229.00,229.00
2010-05-17,3,40.00,9320.00,233.00,233.00,233.00
2010-05-18,8,300.00,69690.00,235.00,230.00,235.00
2010-05-19,1,60.00,14340.00,239.00,239.00,239.00
2010-05-23,6,160.00,38080.00,240.00,236.00,240.00
2010-05-24,2,70.00,17240.00,248.00,244.00,248.00
2010-05-25,1,20.00,5040.00,252.00,252.00,252.00
2010-05-30,2,700.00,181700.00,262.00,257.00,262.00
2010-05-31,13,1110.00,294260.00,268.00,262.00,265.00
2010-06-01,4,220.00,57230.00,265.00,257.00,257.00
2010-06-02,3,320.00,84400.00,265.00,260.00,265.00
2010-06-03,6,380.00,101700.00,270.00,260.00,270.00
2010-06-06,3,110.00,29550.00,270.00,265.00,270.00
2010-06-07,6,290.00,77600.00,270.00,265.00,265.00
2010-06-08,10,400.00,110450.00,280.00,270.00,280.00
2010-06-09,3,70.00,19740.00,282.00,282.00,282.00
2010-06-10,13,490.00,139930.00,287.00,285.00,286.00
2010-06-13,10,290.00,80940.00,281.00,276.00,276.00
2010-06-14,2,60.00,16260.00,271.00,271.00,271.00
2010-06-15,13,1770.00,491330.00,281.00,266.00,278.00
2010-06-16,1,50.00,14150.00,283.00,283.00,283.00
2010-06-17,2,120.00,33810.00,283.00,278.00,278.00
2010-06-20,5,130.00,36020.00,278.00,275.00,275.00
2010-06-21,5,140.00,37590.00,271.00,266.00,266.00
2010-06-23,5,340.00,91800.00,270.00,270.00,270.00
2010-06-24,11,240.00,62940.00,266.00,261.00,261.00
2010-06-28,3,90.00,23400.00,260.00,260.00,260.00
2010-06-29,8,470.00,122920.00,265.00,260.00,260.00
2010-06-30,2,120.00,31200.00,260.00,260.00,260.00
2010-07-01,1,50.00,13250.00,265.00,265.00,265.00
2010-07-04,4,190.00,51870.00,275.00,269.00,275.00
2010-07-06,1,40.00,10800.00,270.00,270.00,270.00
2010-07-07,1,50.00,13500.00,270.00,270.00,270.00
2010-07-08,7,250.00,68030.00,273.00,272.00,272.00
2010-07-12,1,40.00,10680.00,267.00,267.00,267.00
2010-07-14,1,60.00,15720.00,262.00,262.00,262.00
2010-07-19,2,130.00,33530.00,261.00,257.00,261.00
2010-07-20,9,360.00,92310.00,261.00,256.00,261.00
2010-07-21,10,520.00,136750.00,265.00,262.00,263.00
2010-07-25,4,100.00,26200.00,264.00,259.00,261.00
2010-07-26,6,660.00,182040.00,278.00,266.00,278.00
2010-07-27,9,380.00,104670.00,278.00,270.00,270.00
2010-07-28,5,240.00,62820.00,265.00,260.00,261.00
2010-07-29,4,100.00,26140.00,265.00,261.00,265.00
2010-08-01,3,720.00,194130.00,270.00,265.00,266.00
2010-08-02,2,110.00,29750.00,271.00,268.00,271.00
2010-08-03,4,270.00,73530.00,273.00,272.00,273.00
2010-08-04,1,60.00,16680.00,278.00,278.00,278.00
2010-08-05,2,260.00,73200.00,282.00,280.00,282.00
2010-08-08,2,120.00,33930.00,285.00,282.00,285.00
2010-08-09,4,130.00,36580.00,283.00,280.00,280.00
2010-08-10,9,490.00,132130.00,275.00,265.00,265.00
2010-08-11,5,250.00,66510.00,270.00,261.00,270.00
