Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-11-24,12,300.00,64972.00,221.00,201.00,221.00
2014-11-25,30,6470.00,1571346.00,243.00,225.00,243.00
2014-11-30,75,6648.00,1647315.00,267.00,219.00,219.00
2014-12-01,89,3051.00,614969.00,216.00,198.00,198.00
2014-12-02,61,3458.00,622192.00,195.00,179.00,179.00
2014-12-03,49,1870.00,329203.00,182.00,172.00,175.00
2014-12-04,29,777.00,135056.00,179.00,171.00,179.00
2014-12-07,9,545.00,97555.00,179.00,179.00,179.00
2014-12-08,21,589.00,100977.00,176.00,167.00,171.00
2014-12-09,36,1001.00,168739.00,175.00,166.00,175.00
2014-12-10,27,375.00,65024.00,180.00,169.00,169.00
2014-12-11,21,278.00,47379.00,173.00,170.00,170.00
2014-12-14,7,84.00,15063.00,187.00,172.00,187.00
2014-12-15,15,739.00,141717.00,196.00,186.00,193.00
2014-12-16,38,749.00,140664.00,192.00,184.00,185.00
2014-12-17,5,203.00,36980.00,183.00,182.00,183.00
2014-12-21,14,224.00,39029.00,180.00,170.00,170.00
2014-12-22,9,802.00,136116.00,173.00,165.00,170.00
2014-12-23,23,605.00,102644.00,174.00,165.00,173.00
2014-12-24,4,107.00,18241.00,173.00,170.00,173.00
2014-12-28,16,328.00,59083.00,186.00,171.00,186.00
2014-12-29,43,2199.00,390709.00,183.00,171.00,173.00
2014-12-31,73,4660.00,808609.00,176.00,170.00,175.00
2015-01-01,34,4097.00,707762.00,179.00,172.00,176.00
2015-01-04,56,1067.00,187415.00,179.00,173.00,176.00
2015-01-05,8,670.00,116102.00,176.00,173.00,175.00
2015-01-06,6,102.00,17646.00,175.00,172.00,175.00
2015-01-07,3,31.00,5373.00,174.00,173.00,173.00
2015-01-08,60,3610.00,683965.00,190.00,175.00,190.00
2015-01-11,36,2110.00,411645.00,198.00,190.00,190.00
2015-01-12,13,324.00,61781.00,193.00,186.00,190.00
2015-01-13,6,115.00,21684.00,190.00,187.00,187.00
2015-01-14,44,3376.00,669338.00,205.00,190.00,205.00
2015-01-18,45,2937.00,581319.00,209.00,190.00,199.00
2015-01-19,22,4675.00,928419.00,208.00,194.00,199.00
2015-01-20,33,1389.00,281607.00,213.00,198.00,209.00
2015-01-22,50,1187.00,237275.00,205.00,196.00,200.00
2015-01-25,28,700.00,146297.00,215.00,196.00,210.00
2015-01-26,35,6368.00,1393847.00,224.00,210.00,211.00
2015-01-27,18,1155.00,248330.00,218.00,211.00,216.00
2015-01-28,22,676.00,145748.00,220.00,213.00,216.00
2015-01-29,40,1474.00,321932.00,221.00,210.00,212.00
2015-02-01,33,1060.00,231854.00,221.00,215.00,216.00
2015-02-02,34,1141.00,242443.00,218.00,210.00,216.00
2015-02-03,50,2108.00,474918.00,229.00,219.00,229.00
2015-02-04,18,652.00,145765.00,225.00,222.00,223.00
2015-02-05,34,1367.00,298935.00,223.00,209.00,214.00
2015-02-08,54,2605.00,550619.00,218.00,208.00,218.00
2015-02-09,85,8871.00,1955823.00,226.00,217.00,224.00
2015-02-10,49,790.00,178817.00,228.00,220.00,222.00
2015-02-11,24,1518.00,353179.00,240.00,215.00,240.00
2015-02-12,45,6876.00,1733328.00,259.00,244.00,259.00
2015-02-15,54,4109.00,1081874.00,282.00,248.00,260.00
2015-02-16,47,6148.00,1553339.00,260.00,246.00,255.00
2015-02-18,37,4655.00,1145256.00,260.00,241.00,260.00
2015-02-22,64,2184.00,546537.00,270.00,244.00,270.00
2015-02-23,57,4990.00,1307234.00,285.00,248.00,251.00
2015-02-24,27,1661.00,405073.00,247.00,240.00,247.00
2015-02-25,95,3049.00,734012.00,247.00,237.00,247.00
2015-02-26,16,278.00,68228.00,253.00,240.00,248.00
2015-03-01,3,539.00,130809.00,244.00,240.00,243.00
2015-03-02,9,820.00,203101.00,249.00,242.00,246.00
2015-03-03,40,1850.00,466279.00,260.00,246.00,260.00
2015-03-04,30,1660.00,434650.00,268.00,250.00,250.00
2015-03-09,19,2104.00,539171.00,262.00,246.00,260.00
2015-03-10,22,382.00,98227.00,260.00,253.00,253.00
2015-03-11,9,401.00,100392.00,253.00,250.00,250.00
2015-03-12,20,4601.00,1148956.00,255.00,245.00,252.00
2015-03-15,15,315.00,79833.00,255.00,250.00,255.00
2015-03-16,12,669.00,166573.00,253.00,246.00,251.00
2015-03-17,33,1529.00,395824.00,263.00,250.00,259.00
2015-03-18,15,909.00,230761.00,255.00,249.00,253.00
2015-03-19,6,291.00,74153.00,260.00,250.00,255.00
2015-03-22,8,570.00,142761.00,251.00,248.00,248.00
2015-03-23,10,170.00,41276.00,244.00,240.00,244.00
2015-03-24,53,894.00,208366.00,240.00,230.00,232.00
2015-03-25,73,1227.00,282901.00,239.00,228.00,239.00
2015-03-26,11,220.00,51717.00,236.00,235.00,235.00
2015-03-29,11,187.00,42959.00,231.00,228.00,229.00
2015-03-30,1,17.00,3825.00,225.00,225.00,225.00
2015-03-31,11,467.00,108966.00,235.00,223.00,235.00
2015-04-01,20,530.00,123539.00,239.00,223.00,235.00
2015-04-02,10,228.00,54476.00,243.00,235.00,243.00
2015-04-06,37,557.00,132303.00,240.00,221.00,221.00
2015-04-08,1,17.00,3944.00,232.00,232.00,232.00
