Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-10,33,970.00,277050.00,308.00,278.00,278.00
2010-06-13,1,10.00,2730.00,273.00,273.00,273.00
2010-06-14,27,1050.00,262040.00,268.00,246.00,246.00
2010-06-15,107,3470.00,833260.00,244.00,238.00,244.00
2010-06-16,49,1680.00,392800.00,243.00,230.00,235.00
2010-06-17,66,2270.00,533140.00,239.00,231.00,236.00
2010-06-20,41,1490.00,354480.00,241.00,234.00,240.00
2010-06-21,84,3130.00,748120.00,243.00,236.00,243.00
2010-06-22,85,1400.00,340330.00,249.00,240.00,247.00
2010-06-23,167,7470.00,1999740.00,271.00,251.00,267.00
2010-06-24,257,9260.00,2359000.00,262.00,246.00,250.00
2010-06-28,45,1510.00,365410.00,246.00,235.00,235.00
2010-06-29,54,1850.00,433220.00,237.00,231.00,231.00
2010-06-30,56,1810.00,422390.00,240.00,230.00,240.00
2010-07-01,61,3010.00,751960.00,255.00,241.00,254.00
2010-07-04,21,630.00,154030.00,250.00,240.00,240.00
2010-07-05,48,1330.00,309370.00,239.00,230.00,233.00
2010-07-06,33,1450.00,337550.00,237.00,230.00,234.00
2010-07-07,45,1240.00,291750.00,238.00,231.00,236.00
2010-07-08,24,770.00,182280.00,240.00,234.00,237.00
2010-07-11,51,850.00,204930.00,244.00,239.00,240.00
2010-07-12,41,1480.00,348480.00,241.00,228.00,231.00
2010-07-13,17,610.00,140960.00,235.00,230.00,231.00
2010-07-14,25,710.00,164330.00,235.00,229.00,235.00
2010-07-15,32,1200.00,282530.00,239.00,232.00,235.00
2010-07-18,42,1100.00,255580.00,236.00,230.00,231.00
2010-07-19,32,990.00,223910.00,231.00,223.00,230.00
2010-07-20,36,860.00,205650.00,248.00,231.00,244.00
2010-07-21,20,520.00,126620.00,249.00,240.00,249.00
2010-07-22,64,1760.00,432870.00,250.00,245.00,245.00
2010-07-25,137,6210.00,1497910.00,246.00,236.00,236.00
2010-07-26,69,3590.00,863190.00,241.00,234.00,238.00
2010-07-27,80,3510.00,840910.00,240.00,235.00,240.00
2010-07-28,8,190.00,45000.00,240.00,236.00,236.00
2010-07-29,9,320.00,75120.00,236.00,234.00,234.00
2010-08-01,84,3310.00,777110.00,238.00,230.00,237.00
2010-08-02,82,2590.00,606310.00,240.00,230.00,230.00
2010-08-03,71,2730.00,633190.00,238.00,227.00,228.00
2010-08-04,46,1560.00,352600.00,229.00,224.00,225.00
2010-08-05,29,850.00,191930.00,229.00,224.00,225.00
2010-08-08,35,860.00,192330.00,225.00,221.00,222.00
2010-08-09,29,880.00,193590.00,222.00,218.00,221.00
2010-08-10,99,3720.00,829790.00,226.00,220.00,225.00
2010-08-11,48,1720.00,390650.00,229.00,223.00,226.00
2010-08-12,120,3270.00,742030.00,228.00,223.00,227.00
2010-08-15,17,690.00,156660.00,228.00,226.00,227.00
2010-08-16,44,1320.00,297480.00,227.00,225.00,225.00
2010-08-17,35,1130.00,251140.00,226.00,220.00,226.00
2010-08-18,64,2160.00,489720.00,229.00,225.00,229.00
2010-08-19,47,1730.00,391880.00,229.00,222.00,222.00
2010-08-22,31,840.00,183650.00,224.00,216.00,217.00
2010-08-23,56,2140.00,449550.00,218.00,200.00,214.00
2010-08-26,60,2270.00,478900.00,217.00,209.00,209.00
2010-08-29,92,3270.00,667590.00,210.00,200.00,200.00
2010-08-30,31,860.00,168760.00,202.00,192.00,193.00
2010-08-31,20,1050.00,198170.00,191.00,187.00,190.00
2010-09-02,17,440.00,84980.00,194.00,190.00,191.00
2010-09-05,15,340.00,62820.00,191.00,179.00,182.00
