Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-02-08,4,40.00,8520.00,219.00,207.00,207.00
2011-02-09,4,40.00,8720.00,224.00,212.00,224.00
2011-02-15,34,340.00,74800.00,220.00,220.00,220.00
2011-02-16,16,160.00,38040.00,242.00,224.00,242.00
2011-02-17,6,70.00,18080.00,266.00,246.00,266.00
2011-02-20,46,620.00,176660.00,292.00,274.00,292.00
2011-02-21,30,610.00,187570.00,321.00,293.00,321.00
2011-02-22,23,260.00,90270.00,353.00,327.00,353.00
2011-02-23,53,670.00,258510.00,388.00,360.00,388.00
2011-02-24,114,1740.00,697780.00,426.00,350.00,350.00
2011-02-27,2,20.00,6800.00,343.00,337.00,337.00
2011-02-28,2,60.00,19260.00,321.00,321.00,321.00
2011-03-03,30,500.00,145640.00,315.00,289.00,289.00
2011-03-07,37,460.00,126060.00,284.00,261.00,261.00
2011-03-09,95,990.00,244450.00,262.00,236.00,262.00
2011-03-10,25,370.00,98600.00,272.00,260.00,272.00
2011-03-13,44,590.00,156830.00,272.00,260.00,260.00
2011-03-14,41,440.00,113490.00,260.00,256.00,258.00
2011-03-15,38,390.00,99500.00,258.00,248.00,249.00
2011-03-16,28,370.00,94310.00,260.00,250.00,260.00
2011-03-17,6,110.00,28650.00,265.00,260.00,265.00
2011-03-20,19,190.00,49960.00,265.00,260.00,260.00
2011-03-21,17,190.00,50200.00,265.00,260.00,265.00
2011-03-22,29,340.00,90100.00,265.00,265.00,265.00
2011-03-23,4,40.00,10630.00,266.00,265.00,265.00
2011-03-24,18,240.00,61250.00,260.00,250.00,250.00
2011-03-28,4,40.00,9870.00,249.00,244.00,244.00
2011-03-29,1,10.00,2400.00,240.00,240.00,240.00
2011-03-30,15,190.00,42880.00,236.00,216.00,216.00
2011-03-31,8,170.00,37070.00,221.00,216.00,221.00
2011-04-04,2,20.00,4380.00,221.00,217.00,221.00
2011-04-05,20,320.00,72040.00,227.00,218.00,227.00
2011-04-06,6,80.00,17820.00,227.00,217.00,227.00
2011-04-07,2,40.00,9090.00,228.00,227.00,228.00
2011-04-10,17,220.00,51950.00,240.00,232.00,235.00
2011-04-11,2,60.00,14100.00,235.00,235.00,235.00
2011-04-13,2,40.00,9480.00,240.00,236.00,240.00
2011-04-17,3,30.00,7290.00,243.00,243.00,243.00
2011-04-18,9,170.00,40880.00,241.00,240.00,240.00
2011-04-19,11,120.00,29280.00,244.00,244.00,244.00
2011-04-20,12,120.00,29150.00,246.00,240.00,246.00
2011-04-21,24,270.00,65340.00,242.00,242.00,242.00
2011-04-25,2,20.00,4960.00,250.00,246.00,250.00
2011-05-02,2,60.00,15000.00,250.00,250.00,250.00
2011-05-03,4,100.00,24840.00,250.00,248.00,248.00
2011-05-04,9,120.00,29780.00,250.00,248.00,248.00
2011-05-05,10,100.00,24500.00,245.00,245.00,245.00
2011-05-10,8,100.00,24500.00,245.00,245.00,245.00
2011-05-12,7,100.00,24200.00,242.00,242.00,242.00
2011-05-15,1,10.00,2420.00,242.00,242.00,242.00
2011-05-16,10,100.00,24000.00,240.00,240.00,240.00
2011-05-18,1,90.00,21960.00,244.00,244.00,244.00
2011-05-19,7,290.00,71400.00,248.00,240.00,248.00
2011-05-22,9,90.00,22160.00,248.00,244.00,248.00
2011-05-25,1,10.00,2480.00,248.00,248.00,248.00
2011-06-06,1,30.00,7320.00,244.00,244.00,244.00
2011-06-15,4,40.00,9400.00,235.00,235.00,235.00
2011-06-20,6,60.00,14020.00,235.00,231.00,235.00
2011-07-10,13,130.00,29550.00,231.00,227.00,227.00
2011-07-11,3,30.00,6690.00,223.00,223.00,223.00
2011-07-19,3,90.00,19710.00,219.00,219.00,219.00
2011-08-09,7,150.00,32250.00,215.00,215.00,215.00
2011-08-18,7,70.00,14570.00,211.00,207.00,207.00
2011-08-23,5,50.00,10510.00,211.00,207.00,211.00
2011-08-30,6,60.00,12460.00,211.00,207.00,207.00
2011-09-06,7,130.00,25610.00,203.00,196.00,196.00
2011-09-19,19,190.00,36640.00,193.00,190.00,193.00
2011-10-17,1,10.00,1900.00,190.00,190.00,190.00
2011-11-10,5,50.00,9230.00,187.00,184.00,184.00
2011-11-14,2,60.00,10860.00,181.00,181.00,181.00
2011-11-16,17,190.00,32620.00,178.00,163.00,163.00
2011-11-17,2,20.00,3200.00,160.00,160.00,160.00
2011-11-20,26,270.00,41960.00,157.00,153.00,153.00
2011-11-21,8,80.00,12000.00,150.00,150.00,150.00
2011-11-22,7,70.00,10500.00,150.00,150.00,150.00
2011-11-24,21,210.00,31080.00,148.00,148.00,148.00
2011-11-27,9,150.00,20970.00,146.00,138.00,138.00
2011-12-04,3,30.00,4060.00,136.00,135.00,135.00
2011-12-06,15,150.00,20310.00,137.00,135.00,135.00
2011-12-07,1,30.00,3990.00,133.00,133.00,133.00
2011-12-22,2,20.00,2660.00,133.00,133.00,133.00
2012-01-05,1,10.00,1330.00,133.00,133.00,133.00
2012-01-11,4,90.00,11970.00,133.00,133.00,133.00
2012-01-12,2,60.00,8100.00,135.00,135.00,135.00
2012-01-16,51,510.00,67830.00,133.00,133.00,133.00
2012-01-17,3,30.00,3930.00,131.00,131.00,131.00
2012-01-22,37,370.00,49210.00,133.00,133.00,133.00
2012-01-29,1,10.00,1320.00,132.00,132.00,132.00
2012-02-05,1,10.00,1320.00,132.00,132.00,132.00
2012-02-16,1,20.00,2680.00,134.00,134.00,134.00
2012-02-21,1,10.00,1330.00,133.00,133.00,133.00
2012-03-06,2,60.00,8100.00,135.00,135.00,135.00
2012-03-13,3,90.00,12330.00,137.00,137.00,137.00
2012-03-14,5,90.00,12150.00,135.00,135.00,135.00
2012-03-25,5,50.00,6650.00,133.00,133.00,133.00
2012-03-27,1,10.00,1350.00,135.00,135.00,135.00
2012-03-29,3,30.00,3970.00,133.00,132.00,132.00
2012-04-02,1,10.00,1340.00,134.00,134.00,134.00
2012-04-04,1,10.00,1340.00,134.00,134.00,134.00
2012-04-09,1,20.00,2640.00,132.00,132.00,132.00
2012-05-17,3,370.00,49580.00,134.00,134.00,134.00
2012-05-20,3,90.00,11880.00,132.00,132.00,132.00
2012-05-21,9,130.00,16940.00,132.00,130.00,132.00
2012-06-11,1,20.00,2640.00,132.00,132.00,132.00
2012-06-12,6,110.00,14340.00,132.00,130.00,130.00
2012-06-13,4,40.00,5360.00,134.00,134.00,134.00
2012-06-18,1,20.00,2680.00,134.00,134.00,134.00
2012-06-19,1,20.00,2680.00,134.00,134.00,134.00
2012-06-26,1,20.00,2680.00,134.00,134.00,134.00
2012-06-27,1,20.00,2680.00,134.00,134.00,134.00
2012-07-22,2,70.00,9240.00,132.00,132.00,132.00
2012-07-23,1,10.00,1340.00,134.00,134.00,134.00
2012-07-24,1,10.00,1350.00,135.00,135.00,135.00
2012-07-25,2,70.00,9450.00,135.00,135.00,135.00
2012-07-31,2,40.00,5400.00,135.00,135.00,135.00
2012-08-01,1,30.00,4110.00,137.00,137.00,137.00
2012-08-07,2,20.00,2780.00,139.00,139.00,139.00
2012-08-27,3,30.00,4110.00,137.00,137.00,137.00
2012-09-03,1,10.00,1350.00,135.00,135.00,135.00
2012-09-09,1,30.00,3990.00,133.00,133.00,133.00
2012-09-10,11,180.00,23780.00,133.00,131.00,133.00
2012-09-11,1,30.00,3930.00,131.00,131.00,131.00
2012-09-13,5,110.00,14180.00,131.00,127.00,127.00
2012-09-16,1,10.00,1250.00,125.00,125.00,125.00
2012-09-17,2,20.00,2480.00,125.00,123.00,125.00
2012-09-19,1,10.00,1230.00,123.00,123.00,123.00
2012-09-27,4,40.00,4890.00,123.00,122.00,122.00
2012-09-30,3,70.00,8500.00,122.00,121.00,122.00
2012-10-02,1,370.00,44400.00,120.00,120.00,120.00
2012-10-04,5,60.00,7320.00,122.00,122.00,122.00
2012-10-10,1,30.00,3600.00,120.00,120.00,120.00
2012-10-11,6,60.00,7080.00,118.00,118.00,118.00
2012-10-14,4,40.00,4780.00,120.00,118.00,118.00
2012-11-05,1,30.00,3510.00,117.00,117.00,117.00
2012-11-26,7,80.00,9340.00,117.00,115.00,117.00
2012-12-26,6,80.00,9520.00,119.00,119.00,119.00
2013-01-07,2,20.00,2380.00,119.00,119.00,119.00
2013-01-31,2,40.00,4840.00,121.00,121.00,121.00
2013-02-03,1,30.00,3630.00,121.00,121.00,121.00
2013-02-04,2,40.00,4840.00,121.00,121.00,121.00
2013-02-06,1,100.00,12300.00,123.00,123.00,123.00
2013-04-28,1,20.00,2280.00,114.00,114.00,114.00
2013-08-14,2,22.00,2486.00,114.00,112.00,114.00
2013-08-20,1,33.00,3762.00,114.00,114.00,114.00
2013-08-25,7,99.00,11440.00,118.00,114.00,116.00
2013-08-26,2,22.00,2552.00,116.00,116.00,116.00
2013-08-27,5,88.00,10032.00,114.00,114.00,114.00
2013-08-29,1,11.00,1276.00,116.00,116.00,116.00
2013-09-01,4,99.00,11462.00,116.00,114.00,116.00
2013-09-02,7,287.00,33806.00,119.00,116.00,119.00
2013-09-03,4,55.00,6655.00,123.00,119.00,119.00
2013-09-04,4,64.00,7554.00,119.00,117.00,119.00
2013-09-05,5,77.00,8855.00,117.00,113.00,115.00
2013-09-10,5,99.00,11473.00,117.00,115.00,117.00
2013-09-15,2,22.00,2530.00,115.00,115.00,115.00
2013-09-16,3,33.00,3773.00,115.00,114.00,114.00
2013-09-22,2,22.00,2552.00,116.00,116.00,116.00
2013-09-24,4,44.00,5027.00,115.00,113.00,113.00
2013-09-25,1,11.00,1243.00,113.00,113.00,113.00
2013-09-26,6,66.00,7546.00,115.00,113.00,115.00
2013-09-29,2,22.00,2486.00,113.00,113.00,113.00
2013-10-08,2,50.00,5810.00,117.00,115.00,117.00
2013-10-10,1,22.00,2530.00,115.00,115.00,115.00
2013-10-20,2,22.00,2530.00,115.00,115.00,115.00
2013-10-29,9,99.00,11583.00,117.00,117.00,117.00
2013-11-07,1,10.00,1150.00,115.00,115.00,115.00
2013-11-12,1,11.00,1243.00,113.00,113.00,113.00
2013-11-26,1,33.00,3795.00,115.00,115.00,115.00
2013-11-27,1,22.00,2486.00,113.00,113.00,113.00
2013-12-09,2,88.00,9944.00,113.00,113.00,113.00
2013-12-10,3,216.00,25140.00,117.00,115.00,117.00
2013-12-12,3,77.00,9405.00,123.00,119.00,123.00
2013-12-15,3,82.00,10392.00,127.00,125.00,127.00
2013-12-19,1,11.00,1419.00,129.00,129.00,129.00
2014-01-06,2,44.00,4752.00,108.00,108.00,108.00
2014-01-09,1,11.00,1210.00,110.00,110.00,110.00
2014-01-12,1,10.00,1120.00,112.00,112.00,112.00
2014-01-13,1,44.00,5016.00,114.00,114.00,114.00
2014-01-16,1,10.00,1160.00,116.00,116.00,116.00
2014-01-20,1,11.00,1298.00,118.00,118.00,118.00
2014-01-21,7,176.00,21692.00,128.00,120.00,128.00
2014-01-23,4,44.00,5808.00,134.00,130.00,134.00
2014-01-26,3,54.00,7428.00,140.00,136.00,140.00
2014-01-27,1,66.00,9372.00,142.00,142.00,142.00
2014-02-02,6,234.00,37860.00,165.00,153.00,165.00
2014-01-29,4,42.00,6170.00,150.00,144.00,150.00
2014-02-03,3,31.00,5304.00,174.00,168.00,174.00
2014-02-09,5,70.00,12840.00,189.00,177.00,189.00
2014-02-10,1,10.00,1920.00,192.00,192.00,192.00
2014-02-11,2,20.00,3930.00,198.00,195.00,198.00
2014-02-12,6,128.00,27076.00,217.00,201.00,217.00
2014-02-13,2,20.00,4460.00,225.00,221.00,225.00
2014-02-16,3,30.00,6990.00,237.00,229.00,237.00
2014-02-17,2,22.00,5346.00,245.00,241.00,245.00
2014-02-18,2,22.00,5522.00,253.00,249.00,253.00
2014-02-20,6,65.00,17570.00,278.00,258.00,278.00
2014-02-23,1,11.00,3113.00,283.00,283.00,283.00
