Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-02-27,1,20.00,3200.00,160.00,160.00,160.00
2013-02-28,19,4592.00,663362.00,157.00,144.00,144.00
2013-03-03,20,4063.00,540783.00,142.00,130.00,132.00
2013-03-05,2,301.00,39130.00,130.00,130.00,130.00
2013-03-07,5,430.00,55414.00,129.00,127.00,127.00
2013-03-11,3,387.00,48611.00,127.00,125.00,127.00
2013-04-23,5,1520.00,192560.00,129.00,125.00,125.00
2013-05-26,12,3091.00,374033.00,123.00,121.00,121.00
2013-07-08,2,1118.00,135042.00,121.00,119.00,121.00
2013-08-06,2,477.00,57605.00,121.00,119.00,121.00
2013-08-19,1,28.00,3332.00,119.00,119.00,119.00
2013-12-15,1,140.00,16940.00,121.00,121.00,121.00
2014-02-16,1,2000.00,246000.00,123.00,123.00,123.00
2014-02-17,6,4040.00,420400.00,113.00,103.00,113.00
2014-03-05,2,1940.00,226958.00,117.00,115.00,117.00
2014-03-06,2,20.00,2400.00,121.00,119.00,121.00
2014-03-10,4,1134.00,144540.00,129.00,123.00,129.00
2014-03-20,3,301.00,40575.00,135.00,131.00,135.00
2014-03-23,1,10.00,1370.00,137.00,137.00,137.00
2014-04-02,4,40.00,5680.00,145.00,139.00,145.00
2014-04-03,3,220.00,32780.00,151.00,147.00,151.00
2014-04-06,2,20.00,3110.00,157.00,154.00,157.00
2014-04-07,2,20.00,3230.00,163.00,160.00,163.00
2014-04-09,7,1090.00,189925.00,178.00,166.00,178.00
2014-04-10,1,10.00,1810.00,181.00,181.00,181.00
2014-04-13,5,815.00,156140.00,196.00,184.00,196.00
2014-04-15,1,10.00,1990.00,199.00,199.00,199.00
2014-04-16,4,40.00,8320.00,214.00,202.00,214.00
2014-04-17,4,40.00,8960.00,230.00,218.00,230.00
2014-04-21,8,630.00,158840.00,253.00,234.00,253.00
2014-04-22,5,60.00,16130.00,278.00,258.00,278.00
2014-04-23,7,800.00,236800.00,305.00,283.00,305.00
2014-04-27,1,10.00,3110.00,311.00,311.00,311.00
2014-04-28,6,652.00,221732.00,341.00,317.00,341.00
2014-04-29,6,1317.00,461364.00,355.00,341.00,341.00
2014-05-18,3,245.00,81955.00,335.00,329.00,329.00
2014-06-01,1,10.00,3230.00,323.00,323.00,323.00
2014-06-02,6,126.00,37618.00,317.00,291.00,291.00
2014-06-03,3,74.00,20794.00,286.00,276.00,276.00
2014-06-11,6,1130.00,306680.00,276.00,271.00,271.00
2014-06-12,7,460.00,129544.00,286.00,276.00,281.00
2014-06-17,3,710.00,224910.00,321.00,315.00,0.00
2014-06-15,8,2009.00,612919.00,309.00,286.00,309.00
2014-06-25,1,45.00,14715.00,327.00,327.00,327.00
2014-06-26,3,71.00,24309.00,345.00,333.00,345.00
2014-07-02,3,192.00,66240.00,345.00,345.00,345.00
2014-07-07,1,291.00,101850.00,350.00,350.00,350.00
2014-07-09,1,10.00,3430.00,343.00,343.00,343.00
2014-07-10,3,223.00,75880.00,346.00,340.00,346.00
2014-07-13,2,20.00,7110.00,359.00,352.00,359.00
2014-07-14,1,10.00,3660.00,366.00,366.00,366.00
2014-07-17,1,11.00,4103.00,373.00,373.00,373.00
2014-07-23,2,88.00,33664.00,387.00,380.00,387.00
2014-08-06,2,60.00,23780.00,401.00,394.00,401.00
2014-09-04,1,29.00,11745.00,405.00,405.00,405.00
2014-09-10,1,32.00,13216.00,413.00,413.00,413.00
2014-11-12,6,60.00,23230.00,405.00,372.00,372.00
2014-11-13,3,30.00,10740.00,365.00,351.00,351.00
2014-11-16,3,30.00,10140.00,344.00,332.00,332.00
2014-11-17,1,560.00,184800.00,330.00,330.00,330.00
2014-12-07,2,40.00,12810.00,324.00,319.00,319.00
