Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-18,4,40.00,10200.00,260.00,250.00,250.00
2010-05-20,2,40.00,9800.00,245.00,245.00,245.00
2010-05-23,3,70.00,16850.00,241.00,240.00,240.00
2010-05-24,10,200.00,48000.00,240.00,240.00,240.00
2010-05-25,5,250.00,61070.00,245.00,243.00,245.00
2010-05-26,4,90.00,22690.00,255.00,249.00,250.00
2010-05-30,1,20.00,5100.00,255.00,255.00,255.00
2010-06-03,1,80.00,20000.00,250.00,250.00,250.00
2010-06-07,5,150.00,37350.00,249.00,249.00,249.00
2010-06-08,2,70.00,17430.00,249.00,249.00,249.00
2010-06-20,1,30.00,7470.00,249.00,249.00,249.00
2010-06-29,5,330.00,80850.00,245.00,245.00,245.00
2010-07-08,1,120.00,29400.00,245.00,245.00,245.00
2010-07-12,3,90.00,22050.00,245.00,245.00,245.00
2010-07-14,37,370.00,89970.00,245.00,241.00,241.00
2010-07-18,12,120.00,28330.00,237.00,236.00,236.00
2010-07-20,2,20.00,4620.00,232.00,230.00,230.00
2010-08-02,3,50.00,11180.00,226.00,222.00,222.00
2010-08-22,8,240.00,53280.00,222.00,222.00,222.00
2010-08-23,5,330.00,73260.00,222.00,222.00,222.00
2010-09-02,1,10.00,2180.00,218.00,218.00,218.00
2010-09-05,3,90.00,19260.00,214.00,214.00,214.00
2010-09-06,7,260.00,53000.00,210.00,198.00,198.00
2010-09-07,2,60.00,11700.00,195.00,195.00,195.00
2010-09-19,1,90.00,17550.00,195.00,195.00,195.00
2010-09-30,6,60.00,11280.00,192.00,186.00,186.00
2010-10-05,1,90.00,16740.00,186.00,186.00,186.00
2010-10-10,1,30.00,5490.00,183.00,183.00,183.00
2010-10-11,6,270.00,46320.00,180.00,165.00,165.00
2010-10-21,4,180.00,30240.00,168.00,168.00,168.00
2010-11-03,2,60.00,10240.00,171.00,170.00,170.00
2010-11-10,3,120.00,20400.00,170.00,170.00,170.00
2010-11-11,40,2340.00,397800.00,170.00,170.00,170.00
2010-11-15,13,630.00,106200.00,170.00,161.00,161.00
2010-11-16,3,90.00,14310.00,159.00,159.00,159.00
2010-11-24,6,570.00,87300.00,156.00,153.00,153.00
2010-11-25,11,450.00,66280.00,150.00,145.00,145.00
2010-11-29,1,90.00,12870.00,143.00,143.00,143.00
2010-11-30,2,150.00,21450.00,143.00,143.00,143.00
2010-12-05,2,240.00,33840.00,141.00,141.00,141.00
2010-12-08,21,1420.00,194040.00,139.00,133.00,133.00
2010-12-09,2,100.00,13100.00,131.00,131.00,131.00
2010-12-12,6,340.00,44560.00,133.00,131.00,133.00
2010-12-14,2,100.00,13100.00,131.00,131.00,131.00
2010-12-15,5,150.00,19500.00,130.00,130.00,130.00
2010-12-23,4,210.00,27620.00,134.00,130.00,134.00
2010-12-26,2,150.00,20400.00,136.00,136.00,136.00
2010-12-27,2,60.00,7980.00,134.00,132.00,132.00
2010-12-29,2,70.00,9240.00,132.00,132.00,132.00
2011-01-02,6,410.00,54150.00,133.00,130.00,130.00
2011-01-03,1,30.00,3900.00,130.00,130.00,130.00
2011-01-04,5,130.00,16640.00,128.00,128.00,128.00
2011-01-09,1,200.00,25200.00,126.00,126.00,126.00
2011-01-10,5,300.00,38400.00,128.00,128.00,128.00
2011-01-12,3,220.00,27160.00,126.00,122.00,122.00
2011-01-13,4,450.00,53430.00,120.00,118.00,118.00
2011-01-18,17,870.00,103320.00,121.00,117.00,121.00
2011-01-19,6,3440.00,428660.00,133.00,123.00,133.00
2011-01-20,2,530.00,71050.00,135.00,134.00,135.00
2011-01-23,4,360.00,47280.00,133.00,131.00,131.00
2011-02-01,5,150.00,20130.00,135.00,133.00,135.00
2011-02-02,5,270.00,36990.00,137.00,137.00,137.00
2011-02-03,2,240.00,33360.00,139.00,139.00,139.00
2011-02-06,3,210.00,30050.00,145.00,141.00,145.00
2011-02-13,3,1160.00,167200.00,145.00,143.00,143.00
2011-02-14,2,360.00,52530.00,146.00,145.00,146.00
2011-02-15,3,220.00,33200.00,153.00,148.00,153.00
2011-02-16,5,890.00,136230.00,156.00,153.00,156.00
2011-02-20,1,30.00,4680.00,156.00,156.00,156.00
2011-02-22,1,30.00,4590.00,153.00,153.00,153.00
2011-02-23,4,1320.00,202920.00,156.00,153.00,156.00
2011-02-24,10,570.00,88350.00,155.00,155.00,155.00
2011-02-27,1,60.00,9300.00,155.00,155.00,155.00
2011-02-28,2,120.00,18240.00,152.00,152.00,152.00
2011-03-01,39,670.00,101620.00,152.00,150.00,152.00
2011-03-03,1,10.00,1550.00,155.00,155.00,155.00
2011-03-13,2,800.00,124400.00,157.00,155.00,155.00
2011-03-14,4,40.00,5950.00,152.00,147.00,147.00
2011-03-15,3,1430.00,207350.00,145.00,145.00,145.00
2011-03-16,13,5440.00,764900.00,143.00,140.00,140.00
2011-03-17,12,740.00,104080.00,142.00,140.00,140.00
2011-03-23,4,170.00,22520.00,134.00,130.00,130.00
2011-03-24,4,170.00,21760.00,128.00,128.00,128.00
2011-03-31,5,230.00,28980.00,126.00,126.00,126.00
2011-04-05,19,1500.00,189000.00,126.00,126.00,126.00
2011-04-19,2,120.00,15120.00,126.00,126.00,126.00
2011-04-20,1,90.00,11340.00,126.00,126.00,126.00
2011-04-27,1,90.00,11160.00,124.00,124.00,124.00
2011-05-02,1,80.00,9760.00,122.00,122.00,122.00
2011-05-03,2,20.00,2400.00,120.00,120.00,120.00
2011-05-05,37,1110.00,130980.00,118.00,118.00,118.00
2011-05-10,2,120.00,13980.00,118.00,116.00,116.00
2011-05-18,2,30.00,3420.00,114.00,114.00,114.00
2011-05-25,3,90.00,10260.00,114.00,114.00,114.00
2011-05-31,10,340.00,38380.00,114.00,112.00,114.00
2011-06-08,3,90.00,10350.00,115.00,115.00,115.00
2011-06-09,3,90.00,10440.00,116.00,116.00,116.00
2011-06-26,3,40.00,4800.00,122.00,118.00,122.00
2011-07-07,5,270.00,32940.00,122.00,122.00,122.00
2011-07-13,2,20.00,2500.00,126.00,124.00,126.00
2011-07-20,1,500.00,63500.00,127.00,127.00,127.00
2011-08-03,2,60.00,7500.00,125.00,125.00,125.00
2011-08-07,4,240.00,29160.00,123.00,121.00,121.00
2011-08-24,2,110.00,12910.00,119.00,117.00,117.00
2011-08-28,1,30.00,3450.00,115.00,115.00,115.00
2011-09-05,1,70.00,7910.00,113.00,113.00,113.00
2011-09-06,6,60.00,6710.00,112.00,111.00,112.00
2011-09-12,45,1770.00,194700.00,110.00,110.00,110.00
2011-09-19,1,30.00,3240.00,108.00,108.00,108.00
2011-09-22,2,20.00,2220.00,112.00,110.00,112.00
2011-09-26,1,660.00,75240.00,114.00,114.00,114.00
2011-10-13,4,140.00,15220.00,112.00,108.00,108.00
2011-11-02,1,200.00,21200.00,106.00,106.00,106.00
2011-11-03,1,50.00,5400.00,108.00,108.00,108.00
2011-11-06,2,110.00,12070.00,110.00,109.00,109.00
2011-11-08,9,170.00,18070.00,107.00,105.00,107.00
2011-11-22,6,60.00,6420.00,107.00,107.00,107.00
2011-12-12,1,120.00,12600.00,105.00,105.00,105.00
2011-12-13,1,50.00,5250.00,105.00,105.00,105.00
2012-01-03,1,90.00,9270.00,103.00,103.00,103.00
2012-01-09,1,10.00,1030.00,103.00,103.00,103.00
2012-01-11,7,100.00,10140.00,103.00,101.00,101.00
2012-01-12,2,300.00,30000.00,100.00,100.00,100.00
2012-01-16,3,250.00,24260.00,98.00,97.00,97.00
