Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-12-08,5,50.00,16350.00,339.00,315.00,339.00
2015-12-09,9,90.00,32790.00,372.00,345.00,372.00
2015-12-14,2,20.00,7650.00,386.00,379.00,386.00
2015-12-21,5,50.00,20410.00,424.00,393.00,424.00
2016-01-10,44,440.00,204150.00,466.00,432.00,466.00
2016-01-11,6,60.00,29780.00,512.00,475.00,512.00
2016-01-12,17,170.00,94670.00,563.00,522.00,563.00
2016-01-13,6,60.00,36000.00,619.00,574.00,619.00
2016-01-14,9,90.00,59970.00,680.00,631.00,680.00
2016-04-12,1,10.00,7140.00,714.00,714.00,714.00
2016-05-03,1,10.00,7280.00,728.00,728.00,728.00
2016-05-11,1,10.00,7640.00,764.00,764.00,764.00
2016-05-16,1,10.00,7790.00,779.00,779.00,779.00
2016-05-25,1,10.00,8170.00,817.00,817.00,817.00
2016-05-26,1,10.00,8570.00,857.00,857.00,857.00
2016-05-31,3,30.00,26730.00,908.00,874.00,908.00
2016-06-02,2,20.00,18700.00,944.00,926.00,944.00
2016-06-05,3,30.00,29430.00,1000.00,962.00,1000.00
2016-06-08,1,10.00,10050.00,1005.00,1005.00,1005.00
2016-06-13,2,20.00,20700.00,1045.00,1025.00,1045.00
2016-06-16,3,30.00,32580.00,1107.00,1065.00,1107.00
2016-06-28,2,800.00,903990.00,1130.00,1129.00,1130.00
2016-06-30,2,20.00,23270.00,1175.00,1152.00,1175.00
2016-07-03,2,20.00,24190.00,1221.00,1198.00,1221.00
2016-07-04,2,50.00,62970.00,1269.00,1245.00,1269.00
