Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2011-02-10,8,160.00,56960.00,356.00,356.00,356.00
2011-02-14,4,40.00,13200.00,339.00,321.00,321.00
2011-02-15,4,40.00,11870.00,305.00,289.00,289.00
2011-02-17,4,40.00,10710.00,275.00,261.00,261.00
2011-02-20,3,30.00,7530.00,256.00,246.00,246.00
2011-02-21,2,20.00,4800.00,242.00,238.00,238.00
2011-02-22,1,10.00,2270.00,227.00,227.00,227.00
2011-02-28,6,70.00,15010.00,220.00,205.00,205.00
2011-03-03,1,10.00,1950.00,195.00,195.00,195.00
2011-03-09,6,60.00,11130.00,192.00,180.00,180.00
2011-03-13,4,60.00,10350.00,177.00,168.00,168.00
2011-03-16,74,800.00,123290.00,160.00,152.00,152.00
2011-03-17,87,3290.00,458270.00,151.00,137.00,137.00
2011-03-20,14,230.00,29870.00,135.00,124.00,124.00
2011-03-21,54,710.00,83590.00,123.00,116.00,117.00
2011-03-22,63,670.00,78190.00,119.00,115.00,119.00
2011-03-23,4,70.00,8430.00,121.00,119.00,121.00
2011-03-24,6,80.00,9470.00,119.00,118.00,118.00
2011-03-27,2,40.00,4640.00,116.00,116.00,116.00
2011-03-28,12,180.00,20590.00,116.00,112.00,112.00
2011-03-30,27,310.00,33200.00,110.00,106.00,106.00
2011-03-31,2,30.00,3160.00,106.00,104.00,106.00
2011-04-04,4,50.00,5340.00,108.00,106.00,108.00
2011-04-05,23,300.00,32680.00,112.00,106.00,112.00
2011-04-06,19,200.00,22860.00,116.00,113.00,115.00
2011-04-07,9,110.00,12930.00,119.00,117.00,119.00
2011-04-10,18,320.00,36400.00,117.00,113.00,113.00
2011-04-11,31,390.00,43010.00,112.00,107.00,109.00
2011-04-13,4,60.00,6600.00,110.00,110.00,110.00
2011-04-17,1,10.00,1080.00,108.00,108.00,108.00
2011-04-19,4,60.00,6680.00,112.00,110.00,112.00
2011-04-20,3,30.00,3330.00,111.00,111.00,111.00
2011-04-21,9,90.00,9810.00,110.00,108.00,109.00
2011-05-02,3,90.00,9870.00,110.00,109.00,110.00
2011-05-03,26,270.00,28880.00,108.00,106.00,107.00
2011-05-04,11,110.00,11550.00,105.00,105.00,105.00
2011-05-05,2,20.00,2100.00,105.00,105.00,105.00
2011-05-08,1,10.00,1030.00,103.00,103.00,103.00
2011-05-09,11,120.00,12130.00,102.00,101.00,101.00
2011-05-10,1,20.00,2000.00,100.00,100.00,100.00
2011-05-11,18,180.00,17950.00,100.00,99.00,100.00
2011-05-12,2,20.00,2020.00,101.00,101.00,101.00
2011-05-15,5,90.00,9040.00,101.00,100.00,100.00
2011-05-16,4,40.00,4030.00,102.00,100.00,101.00
2011-05-19,5,50.00,5050.00,101.00,101.00,101.00
2011-05-22,16,190.00,19310.00,103.00,101.00,101.00
2011-05-23,12,140.00,14220.00,103.00,101.00,101.00
2011-05-24,13,190.00,18830.00,100.00,98.00,99.00
2011-05-25,1,10.00,990.00,99.00,99.00,99.00
2011-05-26,3,30.00,3000.00,100.00,100.00,100.00
2011-05-30,10,100.00,10020.00,101.00,99.00,99.00
2011-05-31,8,80.00,8000.00,100.00,100.00,100.00
2011-06-01,13,150.00,15000.00,100.00,100.00,100.00
2011-06-02,5,170.00,16670.00,99.00,98.00,99.00
2011-06-05,8,80.00,8000.00,100.00,100.00,100.00
2011-06-06,10,200.00,19890.00,100.00,99.00,99.00
2011-06-07,1,10.00,1000.00,100.00,100.00,100.00
2011-06-08,7,160.00,15820.00,99.00,98.00,99.00
2011-06-09,40,1660.00,170640.00,104.00,100.00,104.00
2011-06-15,1,10.00,1020.00,102.00,102.00,102.00
2011-06-16,1,20.00,2000.00,100.00,100.00,100.00
2011-06-21,2,50.00,4900.00,98.00,98.00,98.00
2011-06-29,5,50.00,4900.00,98.00,98.00,98.00
2011-06-30,35,1390.00,138460.00,102.00,98.00,102.00
2011-07-03,20,330.00,33000.00,100.00,100.00,100.00
2011-07-04,2,20.00,2000.00,100.00,100.00,100.00
2011-07-05,4,70.00,6940.00,100.00,99.00,99.00
2011-07-06,5,50.00,4950.00,99.00,99.00,99.00
2011-07-11,4,70.00,6810.00,98.00,97.00,97.00
2011-07-12,1,60.00,5760.00,96.00,96.00,96.00
2011-07-13,11,290.00,28880.00,100.00,98.00,98.00
2011-07-19,4,180.00,18040.00,102.00,99.00,102.00
2011-07-20,4,40.00,4080.00,102.00,102.00,102.00
2011-07-21,17,200.00,19880.00,100.00,98.00,98.00
2011-07-24,1,70.00,6930.00,99.00,99.00,99.00
2011-07-26,6,60.00,6180.00,104.00,100.00,104.00
2011-07-27,15,420.00,43400.00,108.00,101.00,108.00
2011-07-28,122,1680.00,185960.00,112.00,106.00,110.00
2011-07-31,1,30.00,3240.00,108.00,108.00,108.00
2011-08-01,1,10.00,1060.00,106.00,106.00,106.00
2011-08-02,2,20.00,2120.00,106.00,106.00,106.00
2011-08-04,58,580.00,62620.00,108.00,106.00,108.00
2011-08-07,2,20.00,2180.00,109.00,109.00,109.00
2011-08-09,4,70.00,7490.00,107.00,107.00,107.00
2011-08-10,2,40.00,4200.00,105.00,105.00,105.00
2011-08-17,123,1340.00,143360.00,107.00,105.00,107.00
2011-08-18,123,1400.00,152420.00,110.00,105.00,110.00
2011-08-22,6,60.00,6540.00,109.00,109.00,109.00
2011-08-24,4,80.00,8720.00,109.00,109.00,109.00
2011-08-25,112,1270.00,139660.00,110.00,107.00,110.00
2011-09-04,80,800.00,85610.00,108.00,107.00,107.00
2011-09-08,7,140.00,14700.00,105.00,105.00,105.00
2011-09-13,74,1160.00,123400.00,107.00,105.00,105.00
2011-09-14,26,320.00,33640.00,107.00,103.00,103.00
2011-09-15,44,460.00,46820.00,102.00,100.00,102.00
2011-09-19,107,1070.00,107080.00,102.00,99.00,99.00
2011-09-20,12,160.00,15820.00,100.00,98.00,99.00
2011-09-21,1,20.00,1980.00,99.00,99.00,99.00
2011-09-22,9,230.00,22350.00,98.00,96.00,98.00
2011-09-25,2,60.00,5840.00,98.00,97.00,97.00
2011-09-29,10,100.00,9800.00,98.00,98.00,98.00
2011-10-10,38,380.00,37240.00,98.00,98.00,98.00
2011-10-12,263,2710.00,268290.00,100.00,98.00,98.00
2011-10-13,115,1160.00,114740.00,99.00,98.00,98.00
2011-10-17,3,60.00,5820.00,97.00,97.00,97.00
2011-10-18,5,50.00,4770.00,96.00,95.00,96.00
2011-10-23,1,10.00,970.00,97.00,97.00,97.00
2011-10-24,3,30.00,2880.00,96.00,96.00,96.00
2011-10-25,3,30.00,2880.00,96.00,96.00,96.00
2011-11-03,1,20.00,1940.00,97.00,97.00,97.00
2011-11-10,2,20.00,1920.00,96.00,96.00,96.00
2011-11-13,6,60.00,5660.00,95.00,94.00,94.00
2011-11-15,2,50.00,4650.00,93.00,93.00,93.00
2011-11-21,1,30.00,2760.00,92.00,92.00,92.00
2011-11-22,10,200.00,18600.00,93.00,93.00,93.00
2011-11-23,11,110.00,10230.00,93.00,93.00,93.00
2011-11-29,7,70.00,6440.00,92.00,92.00,92.00
2011-12-01,1,10.00,910.00,91.00,91.00,91.00
2012-01-01,5,50.00,4470.00,90.00,89.00,89.00
2012-01-02,7,70.00,6140.00,88.00,87.00,87.00
2012-01-03,109,2170.00,189790.00,88.00,87.00,88.00
2012-01-04,5,230.00,19960.00,88.00,86.00,86.00
2012-01-05,2,40.00,3480.00,87.00,87.00,87.00
2012-01-17,4,90.00,7740.00,86.00,86.00,86.00
2012-01-18,1,2280.00,196080.00,86.00,86.00,86.00
2012-01-19,1,50.00,4250.00,85.00,85.00,85.00
2012-01-22,10,220.00,18180.00,84.00,82.00,82.00
2012-01-23,5,50.00,4150.00,83.00,83.00,83.00
2012-01-29,6,110.00,8930.00,82.00,81.00,81.00
2012-01-31,4,40.00,3200.00,80.00,80.00,80.00
2012-02-02,5,90.00,7320.00,82.00,81.00,82.00
2012-02-06,1,10.00,810.00,81.00,81.00,81.00
2012-02-07,10,100.00,8000.00,80.00,80.00,80.00
2012-02-12,7,140.00,11200.00,80.00,80.00,80.00
2012-02-13,1,20.00,1580.00,79.00,79.00,79.00
2012-02-16,9,120.00,9390.00,79.00,78.00,78.00
2012-02-21,10,100.00,7890.00,79.00,78.00,79.00
2012-02-26,1,30.00,2340.00,78.00,78.00,78.00
2012-02-27,17,170.00,13090.00,77.00,77.00,77.00
2012-02-28,1,50.00,3800.00,76.00,76.00,76.00
2012-02-29,1,10.00,770.00,77.00,77.00,77.00
2012-03-01,2,20.00,1570.00,79.00,78.00,79.00
2012-03-04,1,10.00,800.00,80.00,80.00,80.00
2012-03-05,6,60.00,4830.00,82.00,80.00,82.00
2012-03-06,14,190.00,16260.00,88.00,83.00,88.00
2012-03-11,1,10.00,890.00,89.00,89.00,89.00
2012-03-15,4,40.00,3600.00,90.00,90.00,90.00
2012-03-19,2,20.00,1770.00,89.00,88.00,89.00
2012-03-21,3,30.00,2680.00,90.00,89.00,89.00
2012-03-25,6,100.00,8800.00,88.00,88.00,88.00
2012-03-27,12,180.00,15590.00,89.00,86.00,89.00
2012-04-01,3,30.00,2730.00,92.00,90.00,92.00
2012-04-03,2,60.00,5630.00,94.00,93.00,94.00
2012-04-05,3,70.00,6580.00,94.00,94.00,94.00
2012-04-08,3,50.00,4670.00,94.00,93.00,94.00
2012-04-16,3,30.00,2790.00,93.00,93.00,93.00
2012-04-17,1,50.00,4700.00,94.00,94.00,94.00
2012-04-18,5,100.00,9500.00,95.00,95.00,95.00
2012-04-30,1,10.00,960.00,96.00,96.00,96.00
2012-05-09,2,20.00,1950.00,98.00,97.00,98.00
2012-05-10,1,10.00,990.00,99.00,99.00,99.00
2012-05-13,3,150.00,15300.00,104.00,100.00,104.00
2012-05-14,4,70.00,7460.00,108.00,106.00,108.00
2012-05-15,4,50.00,5620.00,114.00,110.00,114.00
2012-05-20,3,120.00,14100.00,120.00,116.00,120.00
2012-05-22,3,120.00,14820.00,126.00,122.00,126.00
2012-05-23,5,170.00,21660.00,130.00,124.00,130.00
2012-05-24,9,150.00,19440.00,132.00,128.00,132.00
2012-05-27,3,150.00,20400.00,138.00,134.00,138.00
2012-05-30,2,100.00,14100.00,142.00,140.00,142.00
2012-06-05,3,30.00,4170.00,139.00,139.00,139.00
2012-06-07,1,30.00,4320.00,144.00,144.00,144.00
2012-07-16,6,60.00,6860.00,116.00,114.00,114.00
2012-09-05,1,40.00,4360.00,109.00,109.00,109.00
2012-10-09,8,140.00,14740.00,107.00,105.00,105.00
2012-11-01,3,90.00,9450.00,105.00,105.00,105.00
2012-11-04,8,210.00,21410.00,103.00,98.00,98.00
2012-11-22,7,130.00,12540.00,97.00,96.00,96.00
2012-12-09,5,70.00,6720.00,97.00,95.00,95.00
2012-12-26,6,140.00,12980.00,93.00,91.00,91.00
2013-01-27,15,150.00,13350.00,89.00,89.00,89.00
2013-02-27,3,30.00,2620.00,88.00,87.00,87.00
