Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-27,1,100.00,34500.00,345.00,345.00,345.00
2010-05-11,6,708.00,229576.00,339.00,311.00,311.00
2010-05-12,22,1329.00,375190.00,311.00,280.00,280.00
2010-05-13,7,1566.00,403800.00,275.00,255.00,255.00
2010-05-16,19,2534.00,600170.00,255.00,232.00,232.00
2010-05-17,13,1390.00,333848.00,243.00,236.00,243.00
2010-05-18,5,635.00,154925.00,245.00,239.00,245.00
2010-05-19,3,268.00,67532.00,253.00,249.00,253.00
2010-05-20,8,775.00,212950.00,278.00,258.00,278.00
2010-05-23,4,231.00,65623.00,288.00,283.00,288.00
2010-05-24,4,265.00,74885.00,285.00,278.00,278.00
2010-05-25,12,1249.00,373373.00,305.00,283.00,301.00
2010-05-26,2,296.00,87393.00,296.00,295.00,295.00
2010-05-30,5,320.00,99120.00,312.00,300.00,306.00
2010-05-31,1,30.00,9360.00,312.00,312.00,312.00
2010-06-02,1,35.00,10710.00,306.00,306.00,306.00
2010-06-03,22,3796.00,1059211.00,300.00,276.00,276.00
2010-06-06,7,487.00,128681.00,271.00,261.00,262.00
2010-06-07,3,490.00,125330.00,257.00,255.00,255.00
2010-06-08,8,666.00,181356.00,280.00,256.00,280.00
2010-06-10,1,100.00,27500.00,275.00,275.00,275.00
2010-06-13,5,228.00,62236.00,275.00,270.00,275.00
2010-06-14,7,552.00,151905.00,278.00,275.00,278.00
2010-06-15,1,49.00,13475.00,275.00,275.00,275.00
2010-06-20,1,12.00,3300.00,275.00,275.00,275.00
2010-06-21,2,205.00,54665.00,270.00,265.00,265.00
2010-06-22,2,136.00,36040.00,265.00,265.00,265.00
2010-06-23,4,440.00,113150.00,260.00,255.00,255.00
2010-06-24,1,137.00,34935.00,255.00,255.00,255.00
2010-06-29,1,50.00,12550.00,251.00,251.00,251.00
2010-06-30,1,313.00,76998.00,246.00,246.00,246.00
2010-07-01,6,491.00,125355.00,260.00,250.00,255.00
2010-07-04,8,1286.00,319600.00,251.00,246.00,246.00
2010-07-05,6,373.00,90998.00,246.00,242.00,246.00
2010-07-07,4,435.00,110285.00,255.00,250.00,255.00
2010-07-11,1,25.00,6375.00,255.00,255.00,255.00
2010-07-14,1,105.00,26250.00,250.00,250.00,250.00
2010-07-15,1,68.00,17000.00,250.00,250.00,250.00
2010-07-19,1,68.00,17068.00,251.00,251.00,251.00
2010-07-20,2,103.00,26333.00,256.00,255.00,256.00
2010-07-21,3,98.00,24598.00,251.00,251.00,251.00
2010-07-22,8,301.00,75050.00,250.00,246.00,250.00
2010-07-25,2,251.00,64005.00,255.00,255.00,255.00
2010-07-26,2,323.00,81396.00,252.00,252.00,252.00
2010-07-28,17,845.00,208791.00,257.00,240.00,246.00
2010-08-01,1,70.00,17500.00,250.00,250.00,250.00
2010-08-02,4,130.00,32850.00,255.00,250.00,255.00
