Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,3,328.00,77608.00,240.00,236.00,236.00
2010-04-20,5,660.00,154080.00,235.00,232.00,232.00
2010-04-21,10,860.00,191388.00,228.00,216.00,224.00
2010-04-22,12,2169.00,475537.00,225.00,217.00,221.00
2010-04-25,5,886.00,195757.00,222.00,219.00,219.00
2010-04-26,8,1283.00,284745.00,224.00,221.00,222.00
2010-04-27,14,2520.00,556346.00,224.00,220.00,220.00
2010-04-28,1,100.00,22400.00,224.00,224.00,224.00
2010-04-29,1,1362.00,302364.00,222.00,222.00,222.00
2010-04-15,1,249.00,61005.00,245.00,245.00,245.00
2010-05-10,11,3366.00,732334.00,223.00,216.00,220.00
2010-05-11,5,420.00,94386.00,235.00,222.00,235.00
2010-05-12,15,1745.00,431647.00,253.00,239.00,249.00
2010-05-13,16,3176.00,804123.00,260.00,250.00,260.00
2010-05-16,6,658.00,162240.00,255.00,241.00,241.00
2010-05-17,5,436.00,103332.00,241.00,233.00,241.00
2010-05-18,1,16.00,3856.00,241.00,241.00,241.00
2010-05-19,4,344.00,86772.00,258.00,245.00,258.00
2010-05-20,10,783.00,214179.00,283.00,263.00,273.00
2010-05-23,14,1495.00,412877.00,285.00,272.00,285.00
2010-05-24,8,878.00,254825.00,295.00,285.00,285.00
2010-05-25,20,3912.00,1176236.00,306.00,290.00,305.00
2010-05-26,12,1350.00,402629.00,306.00,290.00,290.00
2010-05-30,5,76.00,23269.00,312.00,295.00,312.00
2010-05-31,22,2346.00,723776.00,325.00,300.00,306.00
2010-06-01,22,2756.00,781714.00,300.00,276.00,296.00
2010-06-02,17,1883.00,558628.00,305.00,290.00,300.00
2010-06-03,33,4571.00,1390379.00,312.00,300.00,304.00
2010-06-06,26,2826.00,812395.00,304.00,282.00,291.00
2010-06-07,1,146.00,42924.00,294.00,294.00,294.00
2010-06-08,7,706.00,212949.00,304.00,299.00,303.00
2010-06-09,32,5379.00,1619367.00,305.00,299.00,304.00
2010-06-10,15,3820.00,1149420.00,304.00,299.00,300.00
2010-06-13,14,1744.00,520287.00,301.00,295.00,298.00
2010-06-14,9,1006.00,296017.00,300.00,290.00,290.00
2010-06-15,9,1602.00,467722.00,295.00,290.00,293.00
2010-06-16,7,1440.00,414850.00,292.00,287.00,287.00
2010-06-17,3,1504.00,429680.00,290.00,285.00,285.00
2010-06-20,13,923.00,265661.00,292.00,285.00,292.00
2010-06-21,11,11802.00,3385673.00,295.00,285.00,295.00
2010-06-22,14,11860.00,3391890.00,300.00,285.00,300.00
2010-06-23,25,18604.00,5425495.00,302.00,286.00,300.00
2010-06-24,13,2246.00,666852.00,303.00,295.00,303.00
2010-06-28,3,1924.00,568890.00,297.00,294.00,295.00
2010-06-29,13,3811.00,1092035.00,295.00,284.00,285.00
2010-06-30,20,5379.00,1536060.00,292.00,283.00,283.00
2010-07-01,34,6705.00,1956508.00,306.00,288.00,290.00
2010-07-04,16,10205.00,2894893.00,290.00,281.00,286.00
2010-07-05,7,836.00,237664.00,290.00,281.00,290.00
2010-07-06,9,2003.00,576258.00,291.00,286.00,289.00
2010-07-07,18,5222.00,1504910.00,290.00,280.00,285.00
2010-07-08,7,749.00,216994.00,290.00,285.00,290.00
2010-07-11,4,414.00,119982.00,293.00,289.00,289.00
2010-07-12,4,358.00,102890.00,294.00,284.00,294.00
2010-07-13,4,1257.00,372216.00,299.00,294.00,294.00
2010-07-14,1,94.00,27636.00,294.00,294.00,294.00
2010-07-15,8,1473.00,424057.00,303.00,285.00,303.00
2010-07-18,6,437.00,127179.00,297.00,287.00,287.00
2010-07-19,10,3579.00,1034574.00,292.00,286.00,286.00
2010-07-20,14,3344.00,980755.00,296.00,290.00,294.00
2010-07-21,10,1104.00,328824.00,303.00,294.00,299.00
2010-07-22,6,1047.00,307445.00,300.00,290.00,290.00
2010-07-25,9,1378.00,399174.00,295.00,288.00,289.00
2010-07-26,2,450.00,128250.00,285.00,285.00,285.00
2010-07-27,8,1687.00,480385.00,288.00,283.00,283.00
2010-07-28,5,458.00,133014.00,296.00,288.00,296.00
2010-08-01,1,100.00,30100.00,301.00,301.00,301.00
2010-08-02,27,6832.00,1991313.00,298.00,290.00,290.00
2010-08-03,9,2664.00,772830.00,295.00,290.00,290.00
2010-08-04,3,820.00,238320.00,292.00,290.00,292.00
2010-08-05,7,2300.00,669360.00,295.00,290.00,295.00
2010-08-08,5,344.00,101423.00,300.00,290.00,290.00
2010-08-10,13,3416.00,988970.00,290.00,285.00,290.00
2010-08-11,3,276.00,81420.00,295.00,295.00,295.00
2010-08-12,13,1089.00,314379.00,290.00,285.00,290.00
2010-08-15,3,132.00,37820.00,287.00,285.00,287.00
2010-08-16,6,644.00,183875.00,290.00,280.00,280.00
2010-08-17,8,1570.00,433633.00,280.00,275.00,279.00
2010-08-18,12,1007.00,281106.00,285.00,275.00,285.00
2010-08-19,6,1104.00,306360.00,280.00,275.00,280.00
2010-08-22,4,313.00,84692.00,275.00,266.00,266.00
2010-08-23,2,156.00,42064.00,270.00,269.00,270.00
2010-08-26,3,278.00,76729.00,278.00,275.00,278.00
2010-08-29,8,1323.00,357581.00,279.00,268.00,270.00
2010-08-30,4,1686.00,451567.00,270.00,265.00,265.00
2010-08-31,15,1146.00,302951.00,265.00,264.00,264.00
2010-09-02,12,2939.00,773449.00,269.00,262.00,265.00
2010-09-05,7,807.00,205827.00,260.00,251.00,251.00
2010-09-06,3,839.00,215759.00,261.00,256.00,261.00
2010-09-07,15,4475.00,1172278.00,271.00,255.00,268.00
2010-09-08,6,1102.00,295074.00,272.00,265.00,265.00
2010-09-09,10,1664.00,421150.00,261.00,250.00,255.00
2010-09-12,2,81.00,20412.00,252.00,252.00,252.00
2010-09-13,7,332.00,84450.00,255.00,254.00,255.00
2010-09-15,4,516.00,131652.00,257.00,255.00,255.00
2010-09-16,3,563.00,141020.00,253.00,250.00,250.00
2010-09-19,1,404.00,98980.00,245.00,245.00,245.00
2010-09-20,2,213.00,53089.00,250.00,249.00,250.00
2010-09-21,1,30.00,7620.00,254.00,254.00,254.00
2010-09-23,3,775.00,193650.00,250.00,249.00,250.00
2010-09-26,2,117.00,29250.00,250.00,250.00,250.00
2010-09-27,6,744.00,186280.00,255.00,250.00,250.00
2010-09-28,18,2117.00,522086.00,250.00,244.00,248.00
2010-09-29,6,468.00,116064.00,248.00,248.00,248.00
2010-09-30,8,1105.00,271837.00,249.00,244.00,244.00
2010-10-03,4,280.00,70340.00,255.00,248.00,255.00
2010-10-05,3,256.00,64712.00,254.00,252.00,252.00
2010-10-06,4,377.00,94303.00,252.00,249.00,249.00
2010-10-07,3,304.00,76512.00,253.00,250.00,253.00
2010-10-10,1,100.00,25700.00,257.00,257.00,257.00
2010-10-12,2,120.00,31540.00,267.00,262.00,267.00
2010-10-13,8,2476.00,620636.00,266.00,245.00,245.00
2010-10-20,1,225.00,56025.00,249.00,249.00,249.00
2010-10-21,3,345.00,88495.00,263.00,253.00,263.00
2010-10-24,8,694.00,184120.00,268.00,263.00,265.00
2010-10-25,1,53.00,13780.00,260.00,260.00,260.00
2010-10-26,2,158.00,40440.00,258.00,255.00,258.00
2010-10-27,10,1209.00,303430.00,255.00,249.00,250.00
2010-10-28,3,702.00,181350.00,260.00,255.00,260.00
2010-10-31,3,166.00,43160.00,260.00,260.00,260.00
2010-11-02,4,211.00,54862.00,264.00,259.00,260.00
2010-11-03,8,1215.00,308696.00,255.00,250.00,255.00
2010-11-04,1,48.00,12240.00,255.00,255.00,255.00
2010-11-11,6,1380.00,352236.00,260.00,251.00,260.00
2010-11-16,3,358.00,89890.00,255.00,250.00,250.00
2010-11-18,11,2290.00,555990.00,250.00,241.00,245.00
2010-11-21,4,413.00,100885.00,249.00,241.00,249.00
2010-11-22,2,120.00,30450.00,254.00,253.00,254.00
2010-11-25,1,16.00,4048.00,253.00,253.00,253.00
2010-11-28,8,4501.00,1081644.00,248.00,240.00,244.00
2010-11-29,1,30.00,7440.00,248.00,248.00,248.00
2010-12-01,8,980.00,233626.00,252.00,235.00,235.00
2010-12-05,9,1655.00,366794.00,231.00,216.00,220.00
2010-12-06,11,1887.00,409697.00,221.00,212.00,221.00
2010-12-07,7,4227.00,888282.00,218.00,210.00,212.00
2010-12-08,7,443.00,98272.00,224.00,216.00,224.00
2010-12-09,8,3629.00,823138.00,230.00,218.00,229.00
2010-12-12,9,3039.00,667685.00,225.00,215.00,215.00
2010-12-13,2,470.00,99920.00,214.00,212.00,212.00
2010-12-14,1,110.00,23210.00,211.00,211.00,211.00
2010-12-15,7,3852.00,816390.00,213.00,209.00,211.00
2010-12-16,4,302.00,63805.00,214.00,210.00,211.00
2010-12-19,2,2892.00,615318.00,214.00,211.00,214.00
2010-12-20,3,313.00,66903.00,215.00,211.00,215.00
2010-12-22,6,4238.00,901830.00,219.00,211.00,218.00
