Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-20,1,360.00,70560.00,196.00,196.00,196.00
2010-04-21,2,270.00,52170.00,195.00,193.00,195.00
2010-04-26,29,2274.00,410274.00,192.00,176.00,179.00
2010-04-27,4,362.00,62746.00,176.00,170.00,170.00
2010-04-28,4,240.00,39960.00,168.00,165.00,165.00
2010-04-15,3,126.00,25452.00,206.00,198.00,198.00
2010-05-20,4,46.00,7764.00,169.00,168.00,169.00
2010-05-24,5,140.00,25130.00,184.00,172.00,184.00
2010-05-25,8,490.00,95020.00,199.00,187.00,193.00
2010-05-26,7,776.00,152490.00,198.00,195.00,198.00
2010-05-31,55,940.00,190594.00,213.00,198.00,210.00
2010-06-01,4,180.00,36760.00,206.00,202.00,202.00
2010-06-02,46,552.00,111504.00,202.00,202.00,202.00
2010-06-03,4,240.00,47856.00,206.00,198.00,198.00
2010-06-14,10,420.00,81900.00,195.00,195.00,195.00
2010-06-15,6,252.00,48594.00,196.00,187.00,187.00
2010-06-16,23,1404.00,256896.00,184.00,181.00,181.00
2010-07-06,53,1104.00,199572.00,181.00,178.00,181.00
2010-07-08,3,442.00,78676.00,178.00,178.00,178.00
2010-07-11,3,106.00,18262.00,175.00,169.00,169.00
2010-07-12,1,1600.00,273600.00,171.00,171.00,171.00
2010-07-13,1,832.00,139776.00,168.00,168.00,168.00
2010-07-15,1,200.00,33600.00,168.00,168.00,168.00
2010-07-18,1,32.00,5440.00,170.00,170.00,170.00
2010-07-19,1,12.00,2040.00,170.00,170.00,170.00
2010-07-20,15,180.00,30600.00,170.00,170.00,170.00
2010-07-22,1,32.00,5440.00,170.00,170.00,170.00
2010-07-26,4,422.00,74496.00,177.00,173.00,177.00
2010-07-27,1,270.00,46980.00,174.00,174.00,174.00
2010-07-28,1,42.00,7434.00,177.00,177.00,177.00
2010-07-29,9,378.00,65772.00,177.00,171.00,171.00
2010-08-01,9,730.00,126180.00,175.00,172.00,172.00
2010-08-02,3,1084.00,188616.00,174.00,174.00,174.00
2010-08-03,13,952.00,166568.00,177.00,174.00,174.00
2010-08-04,2,144.00,25380.00,178.00,175.00,178.00
2010-08-10,1,180.00,31500.00,175.00,175.00,175.00
2010-08-22,5,1632.00,286562.00,176.00,172.00,174.00
2010-08-23,3,256.00,43750.00,171.00,170.00,170.00
2010-08-30,2,84.00,14448.00,172.00,172.00,172.00
2010-08-31,6,174.00,29976.00,173.00,172.00,173.00
2010-09-02,10,498.00,84660.00,170.00,170.00,170.00
2010-09-08,4,684.00,115344.00,169.00,166.00,166.00
2010-09-12,1,20.00,3280.00,164.00,164.00,164.00
2010-09-14,1,336.00,55440.00,165.00,165.00,165.00
2010-09-15,39,468.00,73764.00,162.00,153.00,153.00
2010-09-16,6,294.00,44982.00,153.00,153.00,153.00
2010-09-20,3,284.00,43704.00,156.00,153.00,156.00
2010-09-23,1,42.00,6552.00,156.00,156.00,156.00
2010-10-03,8,252.00,39312.00,156.00,156.00,156.00
2010-10-07,39,1624.00,258066.00,159.00,156.00,156.00
2010-10-11,1,42.00,6552.00,156.00,156.00,156.00
2010-10-24,2,84.00,13356.00,159.00,159.00,159.00
