Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-09-08,490,44339.00,8061987.00,188.00,178.00,181.00
2013-09-09,626,63530.00,11463333.00,183.00,175.00,181.00
2013-09-10,612,35018.00,6313429.00,182.00,179.00,181.00
2013-09-11,706,39660.00,7141354.00,181.00,179.00,180.00
2013-09-12,400,31083.00,5602536.00,183.00,179.00,182.00
2013-09-15,417,23167.00,4199434.00,182.00,180.00,181.00
2013-09-16,343,29516.00,5330273.00,182.00,179.00,180.00
2013-09-17,356,18344.00,3299788.00,181.00,177.00,179.00
2013-09-19,297,16703.00,2973813.00,180.00,176.00,178.00
2013-09-22,375,25713.00,4482759.00,178.00,170.00,172.00
2013-09-23,250,14340.00,2480650.00,174.00,171.00,173.00
2013-09-24,315,13037.00,2271889.00,179.00,172.00,176.00
2013-09-25,230,11867.00,2100822.00,179.00,175.00,178.00
2013-09-26,317,16191.00,2862251.00,179.00,175.00,177.00
2013-09-29,306,14539.00,2571542.00,178.00,176.00,177.00
2013-09-30,267,11224.00,1987407.00,179.00,176.00,176.00
2013-10-01,315,13501.00,2378186.00,177.00,174.00,177.00
2013-10-02,266,22389.00,3949048.00,178.00,175.00,177.00
2013-10-03,219,12343.00,2170516.00,177.00,173.00,176.00
2013-10-06,254,31043.00,5533089.00,179.00,175.00,178.00
2013-10-07,366,23385.00,4201516.00,180.00,177.00,180.00
2013-10-08,294,12717.00,2281923.00,180.00,178.00,180.00
2013-10-09,196,9847.00,1792258.00,184.00,180.00,183.00
2013-10-10,167,12824.00,2338824.00,186.00,180.00,182.00
2013-10-17,195,7117.00,1310440.00,188.00,180.00,185.00
2013-10-20,210,15767.00,3066236.00,199.00,184.00,195.00
2013-10-21,483,42569.00,8627105.00,209.00,195.00,204.00
2013-10-22,428,28193.00,5686079.00,204.00,199.00,202.00
2013-10-23,287,29883.00,6015186.00,204.00,200.00,203.00
2013-10-24,296,32429.00,6526015.00,204.00,200.00,201.00
2013-10-27,285,18437.00,3679833.00,201.00,198.00,200.00
2013-10-28,341,22167.00,4421321.00,204.00,198.00,204.00
2013-10-29,358,23127.00,4612110.00,204.00,198.00,200.00
2013-10-30,249,17704.00,3538286.00,206.00,198.00,204.00
2013-10-31,202,31586.00,6377446.00,205.00,200.00,202.00
2013-11-06,101,9339.00,1874412.00,202.00,199.00,201.00
2013-11-07,339,23282.00,5020286.00,221.00,202.00,218.00
2013-11-10,239,27899.00,6434876.00,239.00,218.00,235.00
2013-11-11,441,47417.00,11499880.00,251.00,234.00,251.00
2013-11-12,297,39464.00,10306401.00,270.00,252.00,260.00
2013-11-13,274,28781.00,7503621.00,265.00,250.00,261.00
2013-11-14,428,65668.00,16785784.00,260.00,250.00,259.00
2013-11-21,16,1437.00,379848.00,274.00,264.00,274.00
2013-11-24,113,24087.00,7246246.00,301.00,279.00,301.00
2013-11-25,454,61999.00,18700028.00,307.00,295.00,304.00
2013-11-26,364,38528.00,11812492.00,310.00,298.00,306.00
2013-11-27,230,26979.00,8084019.00,305.00,295.00,300.00
2013-11-28,229,19902.00,5962169.00,301.00,298.00,300.00
2013-12-01,178,15636.00,4704686.00,303.00,297.00,302.00
2013-12-02,230,16796.00,5081885.00,308.00,300.00,308.00
2013-12-03,210,30335.00,9327087.00,314.00,300.00,307.00
2013-12-04,142,28739.00,9545355.00,337.00,307.00,336.00
2013-12-05,167,37078.00,13377597.00,369.00,336.00,355.00
2013-12-08,273,54814.00,19516923.00,365.00,350.00,360.00
2013-12-09,238,18088.00,6480445.00,361.00,352.00,361.00
2013-12-10,273,23291.00,8280574.00,360.00,351.00,355.00
2013-12-11,215,25732.00,9278448.00,370.00,351.00,365.00
2013-12-12,198,24316.00,8945819.00,372.00,358.00,370.00
2013-12-15,179,44716.00,16702891.00,397.00,363.00,387.00
2013-12-16,21,4060.00,1671270.00,425.00,390.00,425.00
2013-12-18,110,19071.00,8511318.00,466.00,417.00,466.00
2013-12-19,181,30840.00,14068644.00,475.00,436.00,458.00
2013-12-22,247,29746.00,13309546.00,459.00,439.00,445.00
2013-12-23,133,24224.00,10118345.00,440.00,401.00,407.00
2013-12-24,319,26755.00,10755498.00,420.00,367.00,401.00
2013-12-26,246,38063.00,15972322.00,435.00,401.00,411.00
2013-12-29,526,50394.00,20090799.00,413.00,386.00,400.00
2013-12-31,125,10016.00,3973638.00,399.00,390.00,399.00
2014-01-01,142,10235.00,3964553.00,397.00,378.00,395.00
2014-01-02,155,9280.00,3617588.00,400.00,380.00,395.00
2014-01-05,88,11798.00,4657186.00,409.00,390.00,400.00
2014-01-06,60,8382.00,3284350.00,395.00,389.00,394.00
