Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-10-17,6,188.00,32414.00,175.00,163.00,163.00
2012-10-18,5,69.00,10569.00,160.00,148.00,148.00
2012-10-30,38,2013.00,282342.00,146.00,138.00,139.00
2012-10-31,83,8519.00,1187805.00,145.00,135.00,145.00
2012-11-01,40,2884.00,422956.00,151.00,141.00,150.00
2012-11-04,27,3391.00,513762.00,158.00,147.00,158.00
2012-11-05,21,2113.00,344209.00,168.00,157.00,157.00
2012-11-06,23,3537.00,565561.00,162.00,158.00,158.00
2012-11-07,31,2986.00,483021.00,166.00,157.00,166.00
2012-11-08,32,2597.00,416736.00,169.00,157.00,163.00
2012-11-11,66,6097.00,986067.00,166.00,157.00,163.00
2012-11-18,1,114.00,18924.00,166.00,166.00,166.00
2012-12-11,1,112.00,17248.00,154.00,154.00,154.00
2012-12-23,1,670.00,101170.00,151.00,151.00,151.00
2012-12-24,8,7928.00,1189200.00,150.00,150.00,150.00
2013-01-01,4,2439.00,353244.00,147.00,143.00,144.00
2013-01-09,1,135.00,18900.00,140.00,140.00,140.00
2013-01-10,1,400.00,55200.00,138.00,138.00,138.00
2013-01-27,5,560.00,74592.00,136.00,130.00,130.00
2013-01-30,2,217.00,28022.00,130.00,128.00,128.00
2013-01-31,3,159.00,19896.00,126.00,124.00,124.00
2013-02-03,1,16.00,2016.00,126.00,126.00,126.00
2013-02-07,1,72.00,8928.00,124.00,124.00,124.00
2013-02-10,3,1589.00,196590.00,124.00,122.00,124.00
2013-02-12,2,581.00,72268.00,126.00,124.00,126.00
2013-02-14,1,13.00,1625.00,125.00,125.00,125.00
2013-02-19,3,1271.00,165011.00,130.00,127.00,130.00
2013-02-28,2,101.00,12928.00,128.00,128.00,128.00
2013-03-03,1,1693.00,216704.00,128.00,128.00,128.00
2013-03-11,5,465.00,58886.00,128.00,126.00,126.00
2013-03-13,3,336.00,41664.00,124.00,124.00,124.00
2013-03-14,2,1066.00,136208.00,128.00,126.00,128.00
2013-03-17,1,112.00,14336.00,128.00,128.00,128.00
2013-03-19,1,335.00,42210.00,126.00,126.00,126.00
2013-03-21,6,1186.00,147643.00,126.00,121.00,121.00
2013-03-24,4,443.00,53796.00,122.00,118.00,118.00
2013-03-25,1,112.00,13104.00,117.00,117.00,117.00
2013-03-27,2,22.00,2596.00,119.00,117.00,119.00
2013-04-03,4,152.00,18369.00,124.00,120.00,124.00
