Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-20,1,20.00,6860.00,343.00,343.00,343.00
2010-06-15,2,70.00,23470.00,337.00,331.00,331.00
2010-07-07,3,110.00,35210.00,325.00,319.00,319.00
2010-07-11,7,168.00,50876.00,313.00,288.00,288.00
2010-07-20,1,40.00,11520.00,288.00,288.00,288.00
2010-08-03,1,21.00,5943.00,283.00,283.00,283.00
2010-08-05,1,96.00,26688.00,278.00,278.00,278.00
2010-08-09,1,30.00,8220.00,274.00,274.00,274.00
2010-08-11,2,200.00,53500.00,270.00,265.00,265.00
2010-08-18,3,300.00,77000.00,260.00,255.00,255.00
2010-09-08,3,1846.00,461500.00,250.00,250.00,250.00
2010-09-13,6,1309.00,314365.00,245.00,229.00,229.00
2010-09-20,2,206.00,47380.00,230.00,230.00,230.00
2010-09-21,2,172.00,38528.00,226.00,222.00,222.00
2010-10-25,3,823.00,182706.00,222.00,222.00,222.00
2010-11-23,1,260.00,58760.00,226.00,226.00,226.00
2010-12-15,1,50.00,11100.00,222.00,222.00,222.00
2010-12-16,1,10.00,2180.00,218.00,218.00,218.00
2010-12-19,1,200.00,42800.00,214.00,214.00,214.00
2011-01-06,1,260.00,54600.00,210.00,210.00,210.00
2011-01-17,1,230.00,47380.00,206.00,206.00,206.00
2011-01-18,1,51.00,10659.00,209.00,209.00,209.00
2011-02-28,1,117.00,23985.00,205.00,205.00,205.00
2011-03-22,1,179.00,35979.00,201.00,201.00,201.00
2011-03-24,5,307.00,59675.00,197.00,191.00,191.00
2011-05-19,1,60.00,11280.00,188.00,188.00,188.00
2011-05-24,3,314.00,59032.00,188.00,188.00,188.00
2011-05-25,2,53.00,9682.00,185.00,182.00,182.00
2011-05-31,1,120.00,21480.00,179.00,179.00,179.00
2011-06-13,1,26.00,4654.00,179.00,179.00,179.00
2011-06-20,1,145.00,26100.00,180.00,180.00,180.00
2011-08-10,1,20.00,3620.00,181.00,181.00,181.00
2011-08-15,2,999.00,180342.00,181.00,178.00,178.00
2011-10-12,2,924.00,165396.00,179.00,179.00,179.00
2011-12-20,1,320.00,56320.00,176.00,176.00,176.00
2011-12-21,1,192.00,33216.00,173.00,173.00,173.00
2011-12-27,2,196.00,34784.00,179.00,176.00,179.00
2012-01-05,1,403.00,72137.00,179.00,179.00,179.00
2012-01-23,1,224.00,39424.00,176.00,176.00,176.00
2012-03-04,2,154.00,26411.00,173.00,170.00,170.00
2012-03-27,2,5442.00,900651.00,167.00,164.00,164.00
2012-05-09,1,538.00,86618.00,161.00,161.00,161.00
2012-05-31,3,923.00,151372.00,164.00,164.00,164.00
2012-06-04,1,1142.00,187288.00,164.00,164.00,164.00
2012-09-04,1,300.00,48300.00,161.00,161.00,161.00
2012-12-06,1,50.00,8050.00,161.00,161.00,161.00
2013-03-13,1,596.00,95956.00,161.00,161.00,161.00
2013-03-24,1,200.00,32800.00,164.00,164.00,164.00
2013-04-03,1,431.00,71115.00,165.00,165.00,165.00
2013-04-04,1,10000.00,1620000.00,162.00,162.00,162.00
2013-05-05,1,804.00,132660.00,165.00,165.00,165.00
2013-05-20,1,200.00,33600.00,168.00,168.00,168.00
2013-05-21,6,10722.00,1829564.00,171.00,160.00,160.00
2013-05-22,2,2417.00,393458.00,163.00,160.00,160.00
2013-06-25,2,28473.00,4556691.00,163.00,160.00,160.00
2013-06-27,1,192.00,31296.00,163.00,163.00,163.00
2013-06-30,1,804.00,133464.00,166.00,166.00,166.00
2013-09-02,2,1897.00,314902.00,166.00,166.00,166.00
2013-09-08,1,346.00,56398.00,163.00,163.00,163.00
2014-01-05,3,795.00,129267.00,166.00,162.00,166.00
2014-01-07,1,28.00,4620.00,165.00,165.00,165.00
2014-01-13,1,335.00,56280.00,168.00,168.00,168.00
2014-01-14,5,1321.00,230583.00,180.00,171.00,180.00
2014-01-23,1,10.00,1830.00,183.00,183.00,183.00
2014-01-26,1,10.00,1860.00,186.00,186.00,186.00
2014-01-27,2,20.00,3810.00,192.00,189.00,192.00
2014-01-28,2,20.00,3930.00,198.00,195.00,198.00
2014-02-02,2,3250.00,666290.00,209.00,205.00,209.00
2014-01-29,5,1058.00,219002.00,209.00,201.00,205.00
2014-02-03,1,89.00,18334.00,206.00,206.00,206.00
2014-02-04,3,30.00,6420.00,218.00,210.00,218.00
2014-02-05,5,500.00,115000.00,238.00,222.00,238.00
2014-02-06,6,716.00,174942.00,260.00,242.00,260.00
2014-02-09,3,2425.00,654555.00,270.00,265.00,270.00
2014-02-10,2,916.00,247900.00,275.00,270.00,270.00
2014-02-12,1,100.00,26500.00,265.00,265.00,265.00
2014-02-24,1,200.00,52000.00,260.00,260.00,260.00
2014-03-05,4,1298.00,328990.00,255.00,245.00,245.00
2014-04-06,1,3451.00,831691.00,241.00,241.00,241.00
2014-04-13,1,538.00,127506.00,237.00,237.00,237.00
2014-04-23,2,3750.00,873750.00,233.00,233.00,233.00
2014-05-07,1,500.00,114500.00,229.00,229.00,229.00
2014-05-19,1,307.00,69075.00,225.00,225.00,225.00
2014-05-22,4,5139.00,1132123.00,221.00,217.00,217.00
2014-05-25,1,986.00,213962.00,217.00,217.00,217.00
2014-05-26,1,346.00,73698.00,213.00,213.00,213.00
2014-05-28,1,346.00,75082.00,217.00,217.00,217.00
2014-06-02,2,184.00,40764.00,225.00,221.00,225.00
2014-06-08,5,1063.00,232008.00,220.00,216.00,216.00
2014-06-05,3,807.00,178885.00,224.00,220.00,224.00
2014-06-10,1,89.00,19135.00,215.00,215.00,215.00
2014-06-15,1,20.00,4380.00,219.00,219.00,219.00
2014-06-25,3,220.00,50364.00,231.00,223.00,231.00
2014-06-26,2,269.00,64251.00,239.00,235.00,239.00
2014-07-01,6,677.00,175769.00,262.00,243.00,262.00
2014-07-02,4,283.00,77051.00,282.00,267.00,282.00
2014-07-03,3,1325.00,391635.00,297.00,287.00,297.00
2014-07-07,2,538.00,164090.00,308.00,302.00,308.00
2014-07-08,3,1038.00,329392.00,320.00,314.00,320.00
2014-07-09,8,4076.00,1312194.00,340.00,314.00,340.00
2014-07-10,6,3326.00,1165133.00,366.00,346.00,366.00
2014-07-17,2,181.00,67583.00,380.00,373.00,380.00
2014-07-20,4,419.00,163289.00,394.00,387.00,394.00
2014-07-21,6,1062.00,422212.00,401.00,393.00,395.00
2014-07-22,9,2467.00,1009454.00,418.00,402.00,410.00
2014-07-23,2,200.00,81200.00,410.00,402.00,410.00
2014-07-24,5,1839.00,736150.00,402.00,392.00,400.00
2014-07-27,7,15776.00,6273876.00,400.00,385.00,385.00
2014-07-30,1,269.00,105448.00,392.00,392.00,392.00
2014-07-31,3,1547.00,581413.00,385.00,371.00,371.00
2014-08-03,3,385.00,140525.00,365.00,365.00,365.00
2014-08-05,2,768.00,272256.00,358.00,351.00,351.00
2014-08-06,1,269.00,92805.00,345.00,345.00,345.00
2014-08-07,5,1912.00,650643.00,345.00,334.00,334.00
2014-08-12,3,3017.00,1006238.00,340.00,328.00,340.00
2014-08-13,1,17.00,5678.00,334.00,334.00,334.00
2014-08-18,8,3125.00,1039084.00,340.00,323.00,323.00
2014-08-19,1,14.00,4438.00,317.00,317.00,317.00
2014-08-21,1,38.00,12046.00,317.00,317.00,317.00
2014-08-27,1,460.00,147200.00,320.00,320.00,320.00
2014-08-31,1,335.00,109210.00,326.00,326.00,326.00
2014-09-03,1,6902.00,2208640.00,320.00,320.00,320.00
2014-09-09,3,414.00,133489.00,331.00,320.00,331.00
2014-09-10,7,1532.00,522484.00,349.00,337.00,345.00
2014-09-11,4,800.00,266000.00,339.00,328.00,328.00
2014-09-16,1,200.00,66000.00,330.00,330.00,330.00
2014-09-21,1,133.00,43092.00,324.00,324.00,324.00
2014-09-22,1,38.00,12084.00,318.00,318.00,318.00
2014-09-23,2,229.00,71118.00,312.00,307.00,307.00
2014-09-24,5,1846.00,585720.00,322.00,312.00,322.00
2014-09-28,1,500.00,160000.00,320.00,320.00,320.00
2014-09-29,2,848.00,267120.00,315.00,315.00,315.00
2014-10-09,1,100.00,32000.00,320.00,320.00,320.00
2014-11-02,1,100.00,31400.00,314.00,314.00,314.00
2014-11-12,1,134.00,41272.00,308.00,308.00,308.00
2014-12-02,1,200.00,61600.00,308.00,308.00,308.00
2014-12-03,1,200.00,61600.00,308.00,308.00,308.00
2014-12-09,3,598.00,184184.00,308.00,308.00,308.00
2014-12-21,1,1177.00,355454.00,302.00,302.00,302.00
2014-12-22,3,3354.00,985899.00,296.00,291.00,295.00
2014-12-24,1,100.00,30000.00,300.00,300.00,300.00
2015-01-26,1,10.00,3060.00,306.00,306.00,306.00
2015-01-27,2,30.00,9420.00,318.00,312.00,318.00
2015-02-05,1,50.00,16200.00,324.00,324.00,324.00
2015-02-12,1,20.00,6600.00,330.00,330.00,330.00
2015-03-04,1,10.00,3360.00,336.00,336.00,336.00
