Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-02-12,1,10.00,4150.00,415.00,415.00,415.00
2012-02-21,3,30.00,11840.00,400.00,392.00,392.00
2012-03-06,1,10.00,3750.00,375.00,375.00,375.00
2012-04-08,2,20.00,7090.00,358.00,351.00,351.00
2012-04-11,4,50.00,16210.00,335.00,317.00,317.00
2012-06-06,1,10.00,3110.00,311.00,311.00,311.00
2012-06-17,20,200.00,59200.00,296.00,296.00,296.00
2012-07-25,1,10.00,2820.00,282.00,282.00,282.00
2012-08-16,1,10.00,2680.00,268.00,268.00,268.00
2012-08-22,1,10.00,2550.00,255.00,255.00,255.00
2012-08-27,1,10.00,2430.00,243.00,243.00,243.00
2012-09-12,3,40.00,9120.00,231.00,223.00,223.00
2012-09-13,3,30.00,6450.00,219.00,211.00,211.00
2012-09-18,4,70.00,13650.00,201.00,191.00,191.00
2012-09-20,5,80.00,14200.00,182.00,173.00,173.00
2012-09-24,3,50.00,8320.00,170.00,164.00,164.00
2012-09-30,4,80.00,12140.00,156.00,148.00,148.00
2012-10-07,6,100.00,13720.00,141.00,134.00,134.00
2012-10-08,2,30.00,3920.00,132.00,130.00,130.00
2012-10-09,2,40.00,4920.00,124.00,122.00,122.00
2012-10-11,4,40.00,4520.00,116.00,110.00,110.00
2012-10-14,38,620.00,61730.00,108.00,99.00,99.00
2012-10-15,116,1260.00,114130.00,95.00,90.00,90.00
2012-10-18,65,1020.00,88460.00,90.00,83.00,83.00
2012-10-30,81,1480.00,128800.00,89.00,84.00,88.00
2012-10-31,72,1030.00,91570.00,91.00,88.00,88.00
2012-11-01,124,1500.00,133270.00,89.00,88.00,88.00
2012-11-04,88,1280.00,111680.00,88.00,87.00,87.00
2012-11-05,38,460.00,40140.00,88.00,87.00,87.00
2012-11-06,78,1540.00,133850.00,87.00,86.00,87.00
2012-11-07,22,800.00,69600.00,87.00,87.00,87.00
2012-11-08,25,550.00,47850.00,87.00,87.00,87.00
2012-11-11,57,2230.00,194010.00,87.00,87.00,87.00
2012-11-12,23,300.00,25510.00,86.00,85.00,85.00
2012-11-18,33,590.00,50660.00,87.00,85.00,86.00
2012-11-20,78,1390.00,123060.00,89.00,87.00,89.00
2012-11-22,41,1020.00,89760.00,88.00,88.00,88.00
2012-11-25,6,60.00,5280.00,88.00,88.00,88.00
2012-11-26,63,630.00,54810.00,87.00,87.00,87.00
2012-11-28,39,830.00,71580.00,87.00,85.00,87.00
2012-12-03,11,410.00,36080.00,88.00,88.00,88.00
2012-12-04,15,600.00,53400.00,89.00,89.00,89.00
2012-12-05,2,20.00,1760.00,88.00,88.00,88.00
2012-12-06,13,390.00,34680.00,89.00,88.00,89.00
2012-12-09,16,320.00,28800.00,90.00,90.00,90.00
2012-12-11,42,530.00,47170.00,89.00,89.00,89.00
2012-12-12,19,190.00,16530.00,87.00,87.00,87.00
2012-12-13,24,500.00,43500.00,87.00,87.00,87.00
2012-12-16,20,400.00,34800.00,87.00,87.00,87.00
2012-12-17,8,80.00,6900.00,87.00,86.00,87.00
2012-12-18,14,280.00,24080.00,86.00,86.00,86.00
2012-12-23,2,20.00,1700.00,85.00,85.00,85.00
2012-12-26,17,500.00,42000.00,84.00,84.00,84.00
2012-12-27,3,60.00,5040.00,84.00,84.00,84.00
2012-12-31,15,300.00,25200.00,84.00,84.00,84.00
2013-01-01,4,100.00,8580.00,86.00,85.00,86.00
2013-01-02,1,40.00,3480.00,87.00,87.00,87.00
2013-01-07,32,320.00,27210.00,86.00,85.00,85.00
2013-01-09,30,300.00,25800.00,86.00,86.00,86.00
2013-01-10,32,320.00,27500.00,86.00,85.00,86.00
2013-01-20,5,90.00,7600.00,85.00,84.00,84.00
2013-01-23,23,230.00,19280.00,87.00,83.00,87.00
2013-01-24,1,10.00,870.00,87.00,87.00,87.00
2013-02-04,10,200.00,17400.00,87.00,87.00,87.00
2013-02-27,9,120.00,10500.00,88.00,87.00,87.00
2013-03-25,10,100.00,8600.00,86.00,86.00,86.00
2013-03-28,24,240.00,19920.00,83.00,83.00,83.00
