Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-03-19,2,58.00,6844.00,118.00,118.00,118.00
2014-03-31,5,321.00,40647.00,129.00,123.00,129.00
2014-04-01,6,460.00,62100.00,135.00,135.00,135.00
2014-04-06,7,197.00,28544.00,148.00,137.00,148.00
2014-04-13,1,48.00,7200.00,150.00,150.00,150.00
2014-04-16,5,538.00,84678.00,165.00,153.00,165.00
2014-04-17,31,2079.00,372507.00,181.00,168.00,181.00
2014-04-20,1,17.00,3026.00,178.00,178.00,178.00
2014-04-21,4,397.00,69475.00,175.00,175.00,175.00
2014-04-23,7,745.00,126436.00,172.00,160.00,160.00
2014-04-28,11,767.00,118105.00,157.00,147.00,147.00
2014-04-29,1,68.00,10132.00,149.00,149.00,149.00
2014-04-30,3,204.00,30503.00,151.00,148.00,150.00
2014-05-04,3,291.00,42195.00,147.00,143.00,143.00
2014-05-05,1,964.00,139780.00,145.00,145.00,145.00
2014-05-07,1,97.00,13968.00,144.00,144.00,144.00
2014-05-11,17,1649.00,235807.00,148.00,134.00,134.00
2014-05-13,1,20.00,2720.00,136.00,136.00,136.00
2014-05-15,1,48.00,6624.00,138.00,138.00,138.00
2014-05-20,1,60.00,8400.00,140.00,140.00,140.00
2014-05-21,6,1958.00,286522.00,150.00,142.00,147.00
2014-05-22,3,1067.00,159381.00,154.00,149.00,154.00
2014-05-25,6,1061.00,175622.00,169.00,157.00,169.00
2014-05-26,12,757.00,130314.00,175.00,169.00,172.00
2014-05-27,7,739.00,130069.00,178.00,172.00,172.00
2014-05-28,3,899.00,150337.00,170.00,167.00,167.00
2014-06-01,1,97.00,15908.00,164.00,164.00,164.00
2014-06-02,6,1653.00,284583.00,173.00,167.00,173.00
2014-06-03,1,160.00,27680.00,173.00,173.00,173.00
2014-06-08,1,48.00,8448.00,176.00,176.00,176.00
2014-06-04,3,1141.00,203948.00,179.00,176.00,179.00
2014-06-12,1,195.00,33735.00,173.00,173.00,173.00
2014-06-18,7,1942.00,334037.00,174.00,170.00,173.00
2014-06-19,1,12.00,2088.00,174.00,174.00,174.00
2014-07-03,5,117.00,19669.00,171.00,165.00,168.00
2014-07-06,2,29.00,4989.00,174.00,171.00,174.00
2014-07-07,2,46.00,7957.00,175.00,172.00,172.00
2014-07-08,13,730.00,131664.00,185.00,172.00,185.00
2014-07-09,2,600.00,110937.00,185.00,182.00,185.00
2014-07-10,3,235.00,44273.00,191.00,188.00,191.00
2014-07-13,7,300.00,57936.00,194.00,189.00,194.00
2014-07-14,2,114.00,22420.00,197.00,195.00,195.00
2014-07-15,3,706.00,137670.00,195.00,195.00,195.00
2014-07-16,9,654.00,124036.00,192.00,186.00,192.00
2014-07-17,1,338.00,64896.00,192.00,192.00,192.00
2014-07-21,10,176.00,34735.00,200.00,195.00,200.00
2014-07-22,16,847.00,175743.00,220.00,202.00,220.00
2014-07-23,2,1014.00,230992.00,228.00,224.00,228.00
2014-07-24,7,240.00,59218.00,250.00,232.00,250.00
2014-07-28,6,2549.00,618337.00,249.00,241.00,249.00
2014-07-30,5,144.00,37827.00,268.00,253.00,263.00
2014-07-31,3,30.00,8190.00,278.00,268.00,278.00
2014-08-03,2,147.00,41704.00,287.00,282.00,287.00
2014-08-05,13,2369.00,637712.00,287.00,265.00,265.00
2014-08-06,2,1081.00,278550.00,260.00,255.00,255.00
2014-08-07,9,2764.00,726680.00,265.00,255.00,265.00
2014-08-12,3,442.00,117130.00,265.00,265.00,265.00
2014-08-14,9,1809.00,483216.00,280.00,260.00,273.00
