Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-18,3,195.00,52210.00,268.00,263.00,263.00
2010-06-09,1,13.00,3354.00,258.00,258.00,258.00
2010-09-06,1,50.00,12900.00,258.00,258.00,258.00
2010-10-03,1,37.00,9361.00,253.00,253.00,253.00
2010-10-07,1,214.00,54142.00,253.00,253.00,253.00
2010-12-05,1,10.00,2480.00,248.00,248.00,248.00
2011-01-11,1,38.00,9234.00,243.00,243.00,243.00
2011-01-16,2,39.00,9340.00,240.00,239.00,240.00
2011-02-03,1,20.00,4800.00,240.00,240.00,240.00
2011-03-17,2,74.00,17464.00,236.00,236.00,236.00
2011-03-30,3,534.00,123888.00,232.00,232.00,232.00
2011-04-04,2,68.00,15368.00,228.00,224.00,224.00
2011-04-07,2,83.00,17968.00,220.00,216.00,216.00
2011-08-22,1,355.00,75260.00,212.00,212.00,212.00
2011-08-29,1,73.00,15184.00,208.00,208.00,208.00
2011-10-23,8,296.00,61568.00,208.00,208.00,208.00
2011-10-24,1,37.00,7548.00,204.00,204.00,204.00
2011-11-13,1,20.00,4000.00,200.00,200.00,200.00
2012-07-01,2,300.00,55800.00,187.00,184.00,184.00
2012-07-12,1,40.00,7240.00,181.00,181.00,181.00
2012-07-26,2,414.00,72564.00,178.00,175.00,175.00
2012-07-30,8,385.00,62315.00,172.00,158.00,158.00
2012-07-31,7,364.00,53240.00,155.00,143.00,143.00
2012-08-01,8,492.00,64428.00,141.00,129.00,129.00
2012-08-05,15,898.00,105919.00,127.00,117.00,117.00
2012-08-06,4,247.00,28899.00,117.00,117.00,117.00
2012-08-07,4,156.00,18018.00,117.00,115.00,115.00
2012-08-08,6,460.00,52078.00,114.00,110.00,110.00
2012-08-12,1,24.00,2688.00,112.00,112.00,112.00
2012-08-13,2,78.00,8970.00,116.00,114.00,116.00
2012-08-14,2,265.00,30575.00,116.00,115.00,115.00
2012-08-19,1,10.00,1150.00,115.00,115.00,115.00
2012-08-26,2,364.00,41345.00,114.00,113.00,113.00
2012-08-27,1,39.00,4407.00,113.00,113.00,113.00
2012-08-28,2,373.00,41549.00,113.00,111.00,113.00
2012-08-30,2,36.00,4140.00,115.00,115.00,115.00
2012-09-05,1,30.00,3450.00,115.00,115.00,115.00
2012-09-06,12,1048.00,115710.00,113.00,110.00,112.00
2012-09-09,6,401.00,44458.00,114.00,110.00,114.00
2012-09-13,2,110.00,12386.00,114.00,112.00,114.00
2012-09-17,1,12.00,1344.00,112.00,112.00,112.00
2012-09-23,1,39.00,4368.00,112.00,112.00,112.00
2012-09-24,4,479.00,53459.00,112.00,111.00,112.00
2012-09-25,1,44.00,4928.00,112.00,112.00,112.00
2012-09-27,2,143.00,15916.00,112.00,111.00,111.00
2012-09-30,1,77.00,8393.00,109.00,109.00,109.00
2012-10-01,1,23.00,2461.00,107.00,107.00,107.00
2012-10-02,2,471.00,49455.00,105.00,105.00,105.00
2012-10-09,1,77.00,7931.00,103.00,103.00,103.00
2012-10-10,1,44.00,4620.00,105.00,105.00,105.00
2012-10-11,1,17.00,1819.00,107.00,107.00,107.00
2012-10-17,1,35.00,3815.00,109.00,109.00,109.00
2012-11-06,1,167.00,17869.00,107.00,107.00,107.00
2012-11-07,1,207.00,21735.00,105.00,105.00,105.00
2012-11-08,3,1226.00,130921.00,108.00,106.00,108.00
2012-11-21,1,10.00,1060.00,106.00,106.00,106.00
2012-11-22,2,576.00,62208.00,108.00,108.00,108.00
2012-11-26,1,100.00,10600.00,106.00,106.00,106.00
2012-12-10,1,130.00,13520.00,104.00,104.00,104.00
2013-01-27,3,200.00,20600.00,104.00,102.00,104.00
2013-01-31,6,470.00,49170.00,106.00,104.00,106.00
2013-02-10,1,40.00,4200.00,105.00,105.00,105.00
2013-02-19,1,146.00,15330.00,105.00,105.00,105.00
2013-03-05,2,74.00,7770.00,105.00,105.00,105.00
2013-03-07,1,48.00,5040.00,105.00,105.00,105.00
2013-03-18,2,99.00,10119.00,103.00,101.00,101.00
2013-03-24,5,188.00,18378.00,99.00,97.00,99.00
2013-03-27,1,161.00,15778.00,98.00,98.00,98.00
2013-04-29,2,154.00,15092.00,98.00,98.00,98.00
2013-05-05,13,2699.00,273423.00,106.00,99.00,100.00
2013-05-06,1,50.00,5100.00,102.00,102.00,102.00
2013-05-07,1,100.00,10400.00,104.00,104.00,104.00
2013-05-12,3,738.00,73992.00,102.00,100.00,100.00
2013-05-13,1,60.00,6000.00,100.00,100.00,100.00
2013-05-14,1,200.00,19600.00,98.00,98.00,98.00
2013-05-19,1,100.00,9700.00,97.00,97.00,97.00
2013-06-04,2,97.00,9409.00,97.00,97.00,97.00
2013-06-18,1,53.00,5194.00,98.00,98.00,98.00
2013-09-30,4,1466.00,140002.00,97.00,95.00,95.00
2013-10-29,2,1414.00,135550.00,96.00,95.00,95.00
2013-12-08,1,908.00,87168.00,96.00,96.00,96.00
2013-12-11,3,60.00,5880.00,99.00,97.00,99.00
2013-12-12,5,295.00,30660.00,108.00,100.00,108.00
2014-01-20,2,1440.00,152640.00,106.00,106.00,106.00
2014-01-21,1,156.00,16224.00,104.00,104.00,104.00
2014-02-02,5,75.00,8190.00,114.00,106.00,114.00
2014-02-03,6,120.00,14530.00,125.00,116.00,125.00
2014-02-04,16,2810.00,370476.00,135.00,127.00,133.00
2014-02-05,22,2573.00,371268.00,146.00,135.00,146.00
2014-02-06,15,3168.00,497645.00,160.00,148.00,160.00
2014-02-09,9,807.00,138301.00,176.00,163.00,176.00
2014-02-10,4,200.00,35800.00,179.00,179.00,179.00
2014-02-12,6,797.00,139687.00,179.00,170.00,170.00
2014-02-16,2,50.00,8350.00,167.00,167.00,167.00
2014-02-18,4,1212.00,197268.00,164.00,161.00,161.00
2014-02-23,1,178.00,28124.00,158.00,158.00,158.00
2014-04-15,5,153.00,23355.00,155.00,152.00,152.00
2014-04-28,3,243.00,35395.00,149.00,145.00,145.00
2014-04-30,1,256.00,37632.00,147.00,147.00,147.00
2014-05-06,1,192.00,27840.00,145.00,145.00,145.00
2014-05-07,1,83.00,11869.00,143.00,143.00,143.00
2014-05-11,1,509.00,73805.00,145.00,145.00,145.00
2014-05-20,1,100.00,14300.00,143.00,143.00,143.00
2014-06-11,2,677.00,94395.00,141.00,139.00,139.00
2014-06-12,1,187.00,25619.00,137.00,137.00,137.00
2014-06-18,1,146.00,19418.00,133.00,133.00,135.00
2014-06-17,1,14.00,1890.00,135.00,135.00,0.00
2014-06-19,3,1013.00,132949.00,133.00,131.00,131.00
2014-06-26,4,541.00,70902.00,132.00,130.00,130.00
2014-06-30,7,317.00,41374.00,132.00,130.00,130.00
2014-06-29,1,82.00,10824.00,132.00,132.00,132.00
2014-07-01,4,301.00,40272.00,138.00,132.00,138.00
2014-07-06,1,401.00,54536.00,136.00,136.00,136.00
2014-07-07,2,901.00,122742.00,138.00,136.00,136.00
2014-07-08,1,201.00,27738.00,138.00,138.00,138.00
2014-07-14,1,18.00,2520.00,140.00,140.00,140.00
2014-07-15,2,164.00,23452.00,144.00,142.00,144.00
2014-07-20,2,135.00,19960.00,148.00,146.00,148.00
2014-07-22,5,80.00,12450.00,162.00,150.00,162.00
2014-07-23,2,20.00,3330.00,168.00,165.00,168.00
2014-07-24,2,817.00,139764.00,174.00,171.00,174.00
2014-07-27,3,109.00,19620.00,183.00,177.00,183.00
2014-07-28,2,319.00,60060.00,189.00,186.00,189.00
2014-07-30,5,306.00,60179.00,201.00,192.00,201.00
2014-07-31,14,2160.00,460209.00,221.00,203.00,221.00
2014-08-03,6,1631.00,358468.00,225.00,218.00,218.00
2014-08-04,9,1820.00,383033.00,218.00,207.00,207.00
2014-08-05,4,585.00,121543.00,211.00,207.00,207.00
2014-08-06,4,176.00,35053.00,203.00,197.00,197.00
2014-08-07,2,190.00,37350.00,197.00,195.00,195.00
2014-08-14,5,1127.00,223146.00,198.00,198.00,198.00
2014-08-18,1,809.00,157755.00,195.00,195.00,195.00
2014-08-19,5,651.00,130316.00,201.00,198.00,200.00
2014-08-20,1,35.00,6860.00,196.00,196.00,196.00
2014-09-11,2,100.00,19500.00,195.00,195.00,195.00
2014-10-13,1,27.00,5265.00,195.00,195.00,195.00
2014-10-15,5,367.00,68262.00,192.00,180.00,180.00
2014-10-30,1,12.00,1920.00,160.00,160.00,160.00
2014-10-28,10,430.00,72818.00,177.00,163.00,163.00
2014-11-02,1,50.00,7850.00,157.00,157.00,157.00
2014-11-03,1,82.00,12628.00,154.00,154.00,154.00
2014-11-04,4,780.00,119655.00,157.00,151.00,151.00
2014-12-18,4,164.00,23124.00,141.00,141.00,141.00
2015-01-19,1,73.00,10147.00,139.00,139.00,139.00
2015-01-28,1,32.00,4384.00,137.00,137.00,137.00
2015-02-01,2,398.00,53882.00,137.00,135.00,137.00
2015-02-02,4,164.00,23288.00,145.00,139.00,145.00
2015-02-03,6,446.00,67955.00,159.00,147.00,159.00
2015-02-04,5,1006.00,162648.00,165.00,159.00,159.00
2015-03-03,6,890.00,132951.00,156.00,144.00,144.00
2015-03-09,15,5489.00,851751.00,158.00,146.00,158.00
2015-03-10,22,2791.00,479609.00,173.00,161.00,173.00
2015-03-11,9,2612.00,421058.00,170.00,158.00,159.00
2015-03-12,6,2160.00,358260.00,168.00,162.00,167.00
2015-03-16,1,755.00,127595.00,169.00,169.00,169.00
2015-03-18,5,1899.00,319232.00,169.00,166.00,168.00
2015-03-19,5,781.00,128535.00,168.00,162.00,162.00
2015-03-23,2,101.00,15941.00,160.00,157.00,157.00
2015-03-25,1,147.00,22638.00,154.00,154.00,154.00
2015-03-29,3,1500.00,223500.00,151.00,148.00,148.00
2015-03-30,3,241.00,35099.00,146.00,145.00,145.00
2015-03-31,6,1750.00,261650.00,151.00,147.00,151.00
2015-04-08,1,500.00,74000.00,148.00,148.00,148.00
2015-04-15,2,483.00,70471.00,146.00,145.00,145.00
2015-04-19,9,1171.00,165726.00,143.00,139.00,141.00
2015-05-31,1,27.00,3753.00,139.00,139.00,139.00
2015-06-01,4,456.00,62129.00,138.00,134.00,134.00
2015-06-22,5,1306.00,172149.00,134.00,131.00,132.00
2015-06-23,3,193.00,24996.00,130.00,128.00,130.00
2015-06-25,1,87.00,11136.00,128.00,128.00,128.00
2015-06-28,2,78.00,10276.00,132.00,130.00,132.00
2015-07-09,4,1240.00,165514.00,134.00,133.00,134.00
2015-07-13,2,166.00,22489.00,136.00,135.00,136.00
2015-07-16,1,44.00,5896.00,134.00,134.00,134.00
2015-07-23,1,198.00,26928.00,136.00,136.00,136.00
2015-07-26,1,51.00,7038.00,138.00,138.00,138.00
2015-07-27,3,319.00,44748.00,142.00,140.00,140.00
2015-07-29,4,330.00,46464.00,142.00,140.00,140.00
2015-07-30,1,64.00,8896.00,139.00,139.00,139.00
2015-08-06,3,608.00,82276.00,137.00,135.00,137.00
2015-08-09,1,87.00,11919.00,137.00,137.00,137.00
2015-08-10,6,767.00,100521.00,135.00,129.00,131.00
2015-08-11,1,45.00,5850.00,130.00,130.00,130.00
2015-08-12,3,360.00,45558.00,128.00,124.00,124.00
2015-08-13,6,1206.00,152538.00,128.00,126.00,128.00
2015-08-20,6,1323.00,171902.00,132.00,128.00,128.00
2015-08-23,5,1526.00,196047.00,130.00,125.00,125.00
2015-09-16,1,60.00,7620.00,127.00,127.00,127.00
