Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-07-12,2,538.00,203674.00,383.00,376.00,376.00
2010-09-13,1,10.00,3780.00,378.00,378.00,378.00
2010-09-14,1,10.00,3960.00,396.00,396.00,396.00
2010-09-21,1,20.00,8060.00,403.00,403.00,403.00
2010-09-30,1,135.00,54405.00,403.00,403.00,403.00
2010-10-03,1,10.00,4110.00,411.00,411.00,411.00
2010-10-26,2,42.00,17774.00,427.00,419.00,427.00
2010-11-14,1,20.00,8700.00,435.00,435.00,435.00
2010-11-24,1,20.00,8860.00,443.00,443.00,443.00
2010-11-29,2,132.00,59532.00,451.00,451.00,451.00
2010-12-01,2,86.00,39890.00,465.00,460.00,465.00
2010-12-19,1,70.00,33180.00,474.00,474.00,474.00
2011-01-06,1,84.00,40572.00,483.00,483.00,483.00
2011-01-10,1,200.00,94800.00,474.00,474.00,474.00
2011-01-11,2,181.00,85794.00,474.00,474.00,474.00
2011-01-17,1,160.00,76800.00,480.00,480.00,480.00
2011-03-14,1,243.00,114453.00,471.00,471.00,471.00
2011-03-15,2,142.00,66542.00,470.00,461.00,461.00
2011-04-07,1,920.00,424120.00,461.00,461.00,461.00
2011-05-08,7,455.00,205660.00,452.00,452.00,452.00
2011-06-23,2,44.00,19316.00,443.00,435.00,435.00
2013-11-28,1,340.00,145180.00,427.00,427.00,427.00
2013-12-26,2,510.00,223890.00,443.00,435.00,443.00
2014-01-06,1,219.00,95265.00,435.00,435.00,435.00
