Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,18,1774.00,3549542.00,2039.00,2000.00,2001.00
2010-04-20,18,1212.00,2369304.00,1975.00,1945.00,1945.00
2010-04-21,35,1916.00,3531917.00,1908.00,1800.00,1810.00
2010-04-22,17,1197.00,2156607.00,1831.00,1775.00,1831.00
2010-04-25,16,1365.00,2440702.00,1804.00,1770.00,1786.00
2010-04-26,14,920.00,1625754.00,1785.00,1750.00,1760.00
2010-04-27,17,1418.00,2413719.00,1730.00,1695.00,1696.00
2010-04-28,5,293.00,491761.00,1729.00,1665.00,1671.00
2010-04-29,12,622.00,1132280.00,1838.00,1704.00,1838.00
2010-04-15,40,3464.00,6935470.00,2040.00,2000.00,2000.00
2010-05-09,1,60.00,110400.00,1840.00,1840.00,1840.00
2010-05-10,7,208.00,395608.00,1930.00,1876.00,1927.00
2010-05-11,15,826.00,1617502.00,2005.00,1900.00,2005.00
2010-05-12,20,953.00,1987601.00,2150.00,2010.00,2100.00
2010-05-13,27,1750.00,3878050.00,2310.00,2142.00,2200.00
2010-05-16,24,1664.00,3492793.00,2194.00,2039.00,2075.00
2010-05-17,16,1032.00,2071515.00,2040.00,2000.00,2040.00
2010-05-18,14,840.00,1756506.00,2140.00,2000.00,2100.00
2010-05-19,19,1278.00,2708832.00,2172.00,2100.00,2172.00
2010-05-20,14,964.00,2091434.00,2200.00,2120.00,2150.00
2010-05-23,8,805.00,1736215.00,2180.00,2145.00,2180.00
2010-05-24,18,1274.00,2757712.00,2185.00,2150.00,2180.00
2010-05-25,31,2243.00,5133389.00,2315.00,2223.00,2300.00
2010-05-26,25,1420.00,3331650.00,2392.00,2299.00,2320.00
2010-05-30,23,1443.00,3648600.00,2542.00,2366.00,2540.00
2010-05-31,42,2755.00,6729356.00,2600.00,2343.00,2356.00
2010-06-01,26,2319.00,5223035.00,2345.00,2200.00,2305.00
2010-06-02,10,625.00,1422585.00,2295.00,2252.00,2285.00
2010-06-03,14,928.00,2157740.00,2350.00,2250.00,2330.00
2010-06-06,13,653.00,1497765.00,2300.00,2290.00,2290.00
2010-06-07,19,1757.00,3928202.00,2296.00,2200.00,2270.00
2010-06-08,4,318.00,733440.00,2315.00,2300.00,2300.00
