Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-04-30,2,22.00,9790.00,449.00,441.00,449.00
2014-05-18,1,10.00,4660.00,466.00,466.00,466.00
2014-05-15,1,10.00,4570.00,457.00,457.00,457.00
2014-05-19,3,33.00,15972.00,493.00,475.00,493.00
2014-05-20,1,11.00,5522.00,502.00,502.00,502.00
2014-06-05,4,44.00,23628.00,552.00,522.00,552.00
2014-06-04,1,10.00,5120.00,512.00,512.00,512.00
2014-06-18,1,10.00,5630.00,563.00,563.00,552.00
2014-06-23,1,11.00,6314.00,574.00,574.00,574.00
2014-06-30,2,21.00,12406.00,596.00,585.00,596.00
2014-07-02,1,10.00,6250.00,625.00,625.00,625.00
2014-07-07,2,20.00,12860.00,649.00,637.00,649.00
2014-07-22,1,11.00,7271.00,661.00,661.00,661.00
2014-07-24,1,10.00,6740.00,674.00,674.00,674.00
2014-08-04,1,10.00,6870.00,687.00,687.00,687.00
2014-08-12,11,112.00,83187.00,755.00,700.00,755.00
2014-08-14,1,10.00,7700.00,770.00,770.00,770.00
2014-08-20,1,10.00,7850.00,785.00,785.00,785.00
2014-08-21,4,40.00,32960.00,848.00,800.00,848.00
2014-08-24,7,71.00,64472.00,932.00,864.00,932.00
2014-08-25,36,384.00,391036.00,1025.00,952.00,1025.00
2014-08-26,77,812.00,903862.00,1127.00,1045.00,1127.00
2014-08-27,41,441.00,543144.00,1239.00,1149.00,1239.00
2014-08-28,90,3036.00,4006321.00,1362.00,1263.00,1362.00
2014-08-31,119,1497.00,1985015.00,1416.00,1300.00,1300.00
2014-09-01,32,355.00,445716.00,1280.00,1235.00,1270.00
2014-09-03,31,369.00,467537.00,1295.00,1250.00,1281.00
2014-09-04,18,184.00,237070.00,1300.00,1280.00,1300.00
2014-09-07,18,222.00,281289.00,1280.00,1245.00,1245.00
2014-09-09,8,82.00,100934.00,1237.00,1226.00,1237.00
2014-09-10,26,264.00,337600.00,1310.00,1230.00,1285.00
2014-09-11,41,923.00,1232643.00,1350.00,1274.00,1325.00
2014-09-14,27,287.00,390984.00,1400.00,1323.00,1400.00
2014-09-15,20,222.00,314384.00,1450.00,1395.00,1450.00
2014-09-16,47,1435.00,2214501.00,1595.00,1430.00,1595.00
2014-09-17,46,479.00,812890.00,1754.00,1626.00,1660.00
2014-09-18,26,276.00,440549.00,1661.00,1532.00,1532.00
2014-09-21,10,103.00,151930.00,1510.00,1442.00,1445.00
2014-09-22,39,417.00,601694.00,1501.00,1387.00,1470.00
2014-09-23,33,345.00,518488.00,1545.00,1470.00,1545.00
2014-09-24,35,370.00,571664.00,1575.00,1530.00,1530.00
2014-09-28,4,41.00,62590.00,1549.00,1500.00,1549.00
2014-09-29,14,427.00,677753.00,1641.00,1461.00,1461.00
2014-09-30,23,511.00,815819.00,1607.00,1490.00,1590.00
2014-10-08,4,60.00,94800.00,1600.00,1570.00,1570.00
2014-10-09,8,83.00,126720.00,1540.00,1480.00,1480.00
2014-10-12,28,758.00,1218263.00,1628.00,1509.00,1628.00
2014-10-13,23,435.00,708344.00,1657.00,1600.00,1624.00
2014-10-14,4,40.00,63470.00,1592.00,1585.00,1585.00
2014-10-15,8,110.00,176230.00,1616.00,1585.00,1616.00
2014-10-16,49,561.00,899489.00,1630.00,1580.00,1581.00
2014-10-19,2,44.00,70906.00,1612.00,1610.00,1612.00
2014-10-20,14,237.00,383066.00,1619.00,1610.00,1610.00
2014-10-21,5,235.00,382125.00,1630.00,1610.00,1630.00
2014-10-22,8,82.00,130670.00,1605.00,1571.00,1571.00
2014-10-26,8,129.00,204844.00,1618.00,1551.00,1618.00
2014-10-27,10,337.00,557821.00,1675.00,1640.00,1650.00
2014-10-30,15,639.00,1082303.00,1700.00,1650.00,1700.00
2014-10-28,16,256.00,428261.00,1715.00,1651.00,1681.00
2014-11-02,8,143.00,243290.00,1734.00,1690.00,1700.00
2014-11-03,1,11.00,18326.00,1666.00,1666.00,1666.00
2014-11-04,2,20.00,32660.00,1633.00,1633.00,1633.00
2014-11-05,18,231.00,377032.00,1664.00,1600.00,1664.00
2014-11-06,5,61.00,100790.00,1670.00,1635.00,1670.00
2014-11-09,37,576.00,954736.00,1670.00,1650.00,1650.00
2014-11-10,3,30.00,49200.00,1650.00,1635.00,1650.00
2014-11-11,19,257.00,443011.00,1815.00,1650.00,1815.00
2014-11-12,16,170.00,303560.00,1815.00,1740.00,1740.00
2014-11-13,12,353.00,613502.00,1799.00,1730.00,1795.00
2014-11-16,7,233.00,418858.00,1830.00,1793.00,1828.00
2014-11-17,13,262.00,471010.00,1864.00,1725.00,1759.00
2014-11-18,7,73.00,128080.00,1809.00,1724.00,1809.00
2014-11-19,18,363.00,648710.00,1840.00,1735.00,1840.00
2014-11-20,6,93.00,168492.00,1840.00,1804.00,1804.00
2014-11-23,6,180.00,310070.00,1768.00,1711.00,1711.00
2014-11-24,14,526.00,899785.00,1754.00,1671.00,1704.00
2014-11-25,7,133.00,225707.00,1730.00,1660.00,1660.00
2014-11-30,4,130.00,213122.00,1641.00,1631.00,1631.00
2014-12-01,3,120.00,199200.00,1660.00,1660.00,1660.00
2014-12-02,6,234.00,384420.00,1672.00,1640.00,1672.00
2014-12-03,1,44.00,72116.00,1639.00,1639.00,1639.00
2014-12-04,7,76.00,122328.00,1620.00,1601.00,1610.00
2014-12-07,4,150.00,242050.00,1615.00,1610.00,1615.00
2014-12-08,9,672.00,1089200.00,1652.00,1600.00,1645.00
2014-12-09,2,42.00,67878.00,1625.00,1613.00,1625.00
2014-12-10,6,201.00,327320.00,1640.00,1610.00,1616.00
2014-12-11,8,293.00,475622.00,1634.00,1616.00,1616.00
2014-12-14,2,20.00,32320.00,1616.00,1616.00,1616.00
2014-12-15,6,500.00,807830.00,1625.00,1606.00,1625.00
2014-12-16,6,462.00,748880.00,1625.00,1615.00,1620.00
2014-12-17,17,302.00,492600.00,1650.00,1619.00,1650.00
2014-12-18,13,348.00,602346.00,1760.00,1660.00,1760.00
2014-12-21,7,113.00,192729.00,1759.00,1690.00,1690.00
2014-12-22,9,270.00,448070.00,1700.00,1650.00,1700.00
2014-12-23,41,1121.00,1997980.00,1795.00,1700.00,1795.00
2014-12-24,42,810.00,1477622.00,1850.00,1760.00,1840.00
2014-12-28,40,724.00,1435335.00,2024.00,1840.00,2024.00
2014-12-29,55,900.00,1884083.00,2205.00,2040.00,2205.00
2014-12-31,1,21.00,33768.00,1608.00,1608.00,1608.00
2015-01-01,6,90.00,155960.00,1768.00,1640.00,1768.00
2015-01-04,7,77.00,139370.00,1842.00,1771.00,1842.00
2015-01-05,2,22.00,41305.00,1878.00,1877.00,1878.00
2015-01-06,2,55.00,101695.00,1850.00,1845.00,1845.00
2015-01-07,4,100.00,189990.00,1950.00,1870.00,1950.00
2015-01-08,8,228.00,484727.00,2145.00,1989.00,2145.00
2015-01-11,5,65.00,136842.00,2142.00,2070.00,2100.00
2015-01-12,4,43.00,86020.00,2060.00,1941.00,1941.00
2015-01-13,2,55.00,102993.00,1903.00,1865.00,1865.00
2015-01-18,6,96.00,192859.00,2051.00,1902.00,2051.00
2015-01-19,6,64.00,139890.00,2256.00,2092.00,2256.00
2015-01-20,5,82.00,190146.00,2350.00,2300.00,2350.00
2015-01-22,5,51.00,120920.00,2397.00,2350.00,2397.00
2015-01-26,2,20.00,47900.00,2400.00,2390.00,2400.00
2015-01-27,1,11.00,26730.00,2430.00,2430.00,2430.00
2015-02-05,1,10.00,24050.00,2405.00,2405.00,2405.00
2015-02-09,3,33.00,76241.00,2357.00,2264.00,2264.00
2015-02-10,7,85.00,178247.00,2219.00,2038.00,2038.00
2015-02-11,6,105.00,211979.00,2030.00,1998.00,2020.00
2015-02-12,4,76.00,153200.00,2020.00,2010.00,2020.00
2015-02-15,1,22.00,44660.00,2030.00,2030.00,2030.00
2015-02-16,21,250.00,510721.00,2174.00,2025.00,2174.00
2015-02-22,1,10.00,21310.00,2131.00,2131.00,2131.00
2015-02-23,3,72.00,147257.00,2089.00,2035.00,2035.00
2015-02-24,3,50.00,100000.00,2000.00,2000.00,2000.00
2015-02-26,4,210.00,421500.00,2010.00,2000.00,2010.00
2015-03-02,2,100.00,200250.00,2005.00,2000.00,2000.00
2015-03-03,6,125.00,250000.00,2000.00,2000.00,2000.00
2015-03-09,5,236.00,465407.00,2000.00,1966.00,1972.00
2015-03-10,1,11.00,21285.00,1935.00,1935.00,1935.00
2015-03-11,4,42.00,83494.00,2012.00,1950.00,2012.00
2015-03-12,5,161.00,321059.00,2020.00,1980.00,1990.00
2015-03-15,5,61.00,117421.00,1951.00,1911.00,1911.00
2015-03-16,4,173.00,324775.00,1881.00,1875.00,1875.00
2015-03-17,18,848.00,1548698.00,1912.00,1800.00,1816.00
2015-03-18,3,40.00,75410.00,1900.00,1852.00,1900.00
2015-03-24,1,30.00,57900.00,1930.00,1930.00,1930.00
2015-03-25,3,120.00,225390.00,1895.00,1856.00,1856.00
2015-03-26,4,270.00,495440.00,1893.00,1819.00,1819.00
2015-03-29,7,340.00,596250.00,1783.00,1740.00,1740.00
2015-03-30,1,40.00,70000.00,1750.00,1750.00,1750.00
2015-03-31,5,66.00,118745.00,1830.00,1750.00,1830.00
2015-04-01,4,657.00,1227960.00,1870.00,1850.00,1870.00
2015-04-02,3,72.00,132408.00,1850.00,1813.00,1815.00
2015-04-05,6,107.00,193677.00,1815.00,1800.00,1810.00
2015-04-09,2,88.00,160204.00,1821.00,1820.00,1821.00
2015-04-12,3,42.00,77950.00,1903.00,1830.00,1903.00
2015-04-13,2,51.00,97155.00,1905.00,1905.00,1905.00
2015-04-16,3,73.00,139065.00,1905.00,1905.00,1905.00
2015-04-22,2,85.00,161100.00,1900.00,1880.00,1900.00
2015-05-24,6,61.00,108379.00,1862.00,1710.00,1710.00
2015-05-25,10,130.00,208120.00,1676.00,1575.00,1575.00
2015-05-26,1,13.00,20072.00,1544.00,1544.00,1544.00
2015-05-27,2,20.00,29980.00,1514.00,1484.00,1484.00
2015-05-31,2,42.00,64506.00,1543.00,1513.00,1543.00
2015-06-09,1,15.00,23595.00,1573.00,1573.00,1573.00
2015-06-10,1,10.00,16040.00,1604.00,1604.00,1604.00
2015-06-11,6,154.00,268180.00,1764.00,1636.00,1764.00
2015-06-15,7,193.00,361847.00,1940.00,1799.00,1940.00
2015-06-16,13,322.00,644415.00,2056.00,1939.00,2056.00
2015-06-17,5,89.00,177930.00,2015.00,1975.00,2000.00
2015-06-18,3,51.00,98998.00,1961.00,1921.00,1921.00
2015-06-21,2,88.00,164039.00,1883.00,1846.00,1846.00
2015-06-22,6,85.00,159450.00,1882.00,1870.00,1882.00
2015-06-23,3,49.00,92980.00,1919.00,1881.00,1919.00
2015-06-24,1,13.00,25220.00,1940.00,1940.00,1940.00
2015-06-25,1,13.00,24726.00,1902.00,1902.00,1902.00
2015-06-30,3,39.00,71266.00,1864.00,1791.00,1791.00
2015-07-01,6,85.00,156474.00,1905.00,1790.00,1905.00
2015-07-05,2,35.00,66478.00,1900.00,1899.00,1900.00
2015-07-06,2,33.00,61840.00,1880.00,1870.00,1870.00
2015-07-07,1,20.00,37800.00,1890.00,1890.00,1890.00
2015-07-08,7,193.00,372741.00,2015.00,1900.00,2015.00
2015-07-09,4,51.00,102765.00,2015.00,2015.00,2015.00
2015-07-14,5,249.00,483000.00,1975.00,1920.00,1950.00
2015-07-15,3,161.00,318437.00,1989.00,1975.00,1989.00
2015-07-16,3,36.00,72124.00,2028.00,1988.00,2000.00
2015-07-22,8,281.00,583115.00,2121.00,2020.00,2121.00
2015-07-23,5,141.00,307685.00,2195.00,2152.00,2152.00
2015-07-27,3,95.00,202226.00,2152.00,2109.00,2152.00
2015-07-28,8,161.00,346498.00,2210.00,2110.00,2210.00
2015-07-29,19,385.00,847355.00,2250.00,2123.00,2170.00
2015-07-30,13,335.00,736586.00,2210.00,2191.00,2191.00
2015-08-02,3,33.00,72270.00,2190.00,2190.00,2190.00
2015-08-03,6,120.00,259930.00,2185.00,2145.00,2155.00
2015-08-04,4,61.00,132466.00,2198.00,2155.00,2198.00
2015-08-05,5,68.00,149460.00,2200.00,2195.00,2195.00
2015-08-06,3,36.00,79982.00,2234.00,2200.00,2234.00
2015-08-09,6,78.00,177204.00,2323.00,2191.00,2191.00
2015-08-10,2,28.00,62440.00,2230.00,2230.00,2230.00
2015-08-12,2,26.00,57200.00,2200.00,2200.00,2200.00
2015-08-13,2,23.00,49601.00,2157.00,2156.00,2157.00
2015-08-16,3,39.00,81965.00,2115.00,2090.00,2100.00
2015-08-17,4,49.00,100567.00,2058.00,2050.00,2050.00
2015-08-18,9,134.00,279586.00,2132.00,2050.00,2090.00
2015-08-19,21,328.00,693550.00,2131.00,2090.00,2119.00
2015-08-20,11,141.00,301224.00,2150.00,2100.00,2100.00
2015-08-23,22,333.00,691211.00,2100.00,2035.00,2080.00
2015-08-27,1,13.00,27573.00,2121.00,2121.00,2121.00
2015-09-02,1,13.00,28119.00,2163.00,2163.00,2163.00
2015-09-13,2,325.00,730810.00,2250.00,2206.00,2250.00
2015-09-22,3,30.00,56790.00,1930.00,1856.00,1930.00
2015-10-18,1,10.00,19680.00,1968.00,1968.00,1968.00
2015-11-09,2,20.00,40540.00,2047.00,2007.00,2047.00
2015-11-15,6,62.00,120440.00,2007.00,1870.00,1870.00
2015-11-16,2,20.00,36300.00,1833.00,1797.00,1797.00
2015-11-25,1,24.00,43968.00,1832.00,1832.00,1832.00
2015-12-06,5,50.00,97120.00,2015.00,1868.00,2015.00
2015-12-07,7,144.00,315023.00,2216.00,2055.00,2216.00
2015-12-08,4,109.00,250795.00,2305.00,2260.00,2305.00
2015-12-09,5,50.00,122220.00,2535.00,2351.00,2535.00
2015-12-10,13,763.00,1985497.00,2703.00,2500.00,2703.00
2015-12-13,10,453.00,1219011.00,2701.00,2649.00,2666.00
2015-12-14,4,40.00,101440.00,2613.00,2460.00,2460.00
