Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-05-06,6,8896.00,97353.00,11.00,10.20,11.00
2013-05-07,147,516949.00,5855661.00,11.90,11.17,11.31
2013-05-08,57,136304.00,1527571.00,11.30,11.17,11.20
2013-05-09,101,491576.00,5454102.00,11.40,11.00,11.09
2013-05-12,56,215316.00,2370726.00,11.05,11.00,11.02
2013-05-13,58,126574.00,1392362.00,11.03,10.99,11.00
2013-05-14,21,51514.00,566096.00,11.00,10.98,11.00
2013-05-15,48,129726.00,1427482.00,11.04,10.99,11.01
2013-05-16,38,128650.00,1416488.00,11.08,11.00,11.01
2013-05-19,63,89294.00,976632.00,11.00,10.86,10.87
2013-05-20,60,76972.00,836598.00,11.05,10.75,10.75
2013-05-21,29,92977.00,992403.00,10.76,10.62,10.70
2013-05-22,35,68620.00,743131.00,10.94,10.75,10.94
2013-05-23,30,94920.00,1017473.00,11.00,10.65,11.00
2013-05-26,15,94406.00,1001624.00,10.85,10.60,10.61
2013-05-27,12,55648.00,598411.00,10.80,10.71,10.75
2013-05-28,21,99256.00,1058975.00,10.75,10.62,10.62
2013-05-30,24,98037.00,1036924.00,10.63,10.50,10.50
2013-06-02,32,66728.00,700309.00,10.78,10.41,10.41
2013-06-03,15,40616.00,425754.00,10.55,10.41,10.50
2013-06-04,21,38056.00,396679.00,10.50,10.39,10.42
2013-06-05,11,49547.00,513211.00,10.45,10.30,10.43
2013-06-06,11,92760.00,959798.00,10.44,10.30,10.40
2013-06-09,6,12545.00,130469.00,10.40,10.40,10.40
2013-06-10,16,44075.00,453051.00,10.35,10.22,10.30
2013-06-11,27,61729.00,636346.00,10.36,10.28,10.34
2013-06-12,12,35160.00,366475.00,10.54,10.30,10.30
2013-06-13,6,124398.00,1267512.00,10.30,10.17,10.17
2013-06-16,21,53312.00,542254.00,10.21,10.15,10.18
2013-06-17,5,14777.00,150314.00,10.29,10.16,10.25
2013-06-18,12,45705.00,462686.00,10.25,10.10,10.15
2013-06-19,27,85203.00,857184.00,10.13,10.00,10.05
2013-06-20,23,180204.00,1812066.00,10.10,10.03,10.05
2013-06-23,31,268589.00,2690498.00,10.20,10.00,10.02
2013-06-24,16,93360.00,927524.00,10.00,9.90,9.90
2013-06-25,10,180314.00,1793344.00,10.02,9.90,9.95
2013-06-26,26,147316.00,1480468.00,10.15,10.00,10.05
2013-06-27,31,168313.00,1675508.00,10.00,9.80,9.98
2013-06-30,21,112306.00,1116905.00,10.00,9.90,9.93
2013-07-01,22,55313.00,548592.00,9.95,9.90,9.95
2013-07-02,42,115424.00,1152930.00,10.10,9.95,10.00
2013-07-03,30,94016.00,935976.00,9.99,9.93,9.95
2013-07-04,16,42317.00,420521.00,9.97,9.85,9.93
2013-07-07,19,49072.00,485635.00,9.94,9.86,9.86
2013-07-08,49,150397.00,1475195.00,9.85,9.78,9.80
2013-07-09,45,146231.00,1442834.00,10.00,9.80,9.85
2013-07-10,7,13188.00,131620.00,10.05,9.94,9.94
2013-07-11,11,36123.00,357191.00,9.90,9.85,9.90
2013-07-14,7,16523.00,164764.00,10.02,9.91,9.95
2013-07-15,5,10623.00,106095.00,10.09,9.86,10.06
2013-07-16,22,79251.00,790723.00,10.10,9.90,10.02
2013-07-17,20,74628.00,746409.00,10.20,10.00,10.00
2013-07-18,16,16669.00,168353.00,10.22,10.00,10.12
2013-07-21,32,96604.00,983207.00,10.24,10.13,10.24
2013-07-22,31,71083.00,715875.00,10.20,10.00,10.05
2013-07-23,7,5874.00,58934.00,10.15,10.00,10.02
2013-07-24,9,269094.00,2691805.00,10.09,10.00,10.09
2013-07-25,24,63238.00,637138.00,10.11,10.00,10.10
2013-07-28,12,34752.00,348061.00,10.10,10.00,10.03
2013-07-29,3,22084.00,220945.00,10.10,10.00,10.00
2013-07-30,31,80819.00,818028.00,10.15,10.06,10.15
2013-07-31,32,99109.00,1005329.00,10.30,10.10,10.10
2013-08-01,26,155584.00,1561856.00,10.18,10.00,10.10
2013-08-04,9,33733.00,340735.00,10.12,10.09,10.12
2013-08-05,23,111668.00,1120761.00,10.19,10.00,10.05
2013-08-06,7,27631.00,277233.00,10.09,10.00,10.04
2013-08-07,14,29071.00,290884.00,10.03,10.00,10.00
2013-08-08,11,23993.00,240419.00,10.05,10.00,10.03
2013-08-11,8,15824.00,158645.00,10.07,10.00,10.07
2013-08-12,9,28988.00,290027.00,10.05,10.00,10.05
2013-08-13,5,9889.00,98974.00,10.02,10.00,10.02
2013-08-14,6,42449.00,424917.00,10.03,10.00,10.00
2013-08-15,14,47345.00,473519.00,10.05,10.00,10.00
2013-08-18,17,36952.00,369573.00,10.02,10.00,10.00
2013-08-19,17,50311.00,502681.00,10.10,9.95,10.00
2013-08-20,31,178735.00,1785116.00,10.10,9.90,9.95
2013-08-25,6,72559.00,724824.00,10.00,9.96,9.99
2013-08-26,21,123416.00,1233928.00,10.00,9.98,10.00
2013-08-27,17,57567.00,576308.00,10.05,10.00,10.00
2013-08-29,18,63149.00,631468.00,10.05,9.99,10.04
2013-09-01,21,47359.00,471956.00,10.00,9.94,9.96
2013-09-02,13,39057.00,388188.00,9.97,9.90,9.90
2013-09-03,4,31204.00,305641.00,9.96,9.76,9.76
2013-09-04,6,17682.00,172641.00,9.80,9.75,9.80
2013-09-05,9,26214.00,255075.00,9.80,9.69,9.80
2013-09-08,1,9149.00,90118.00,9.85,9.85,9.85
2013-09-09,13,35664.00,345668.00,9.80,9.68,9.70
2013-09-10,24,83311.00,802899.00,9.70,9.58,9.60
2013-09-11,26,62266.00,593600.00,9.60,9.50,9.50
2013-09-12,15,29618.00,281035.00,9.50,9.46,9.48
2013-09-15,14,29968.00,282286.00,9.45,9.31,9.45
2013-09-16,24,54193.00,515946.00,9.60,9.50,9.51
2013-09-17,14,33310.00,317438.00,9.69,9.45,9.53
2013-09-19,12,28478.00,271060.00,9.60,9.50,9.50
2013-09-22,13,69613.00,654657.00,9.45,9.40,9.40
2013-09-23,12,35084.00,327837.00,9.45,9.30,9.45
2013-09-24,8,17778.00,167692.00,9.50,9.35,9.50
2013-09-25,3,13787.00,130277.00,9.59,9.40,9.43
2013-09-26,5,8511.00,81329.00,9.62,9.45,9.45
2013-09-29,7,14204.00,131937.00,9.30,9.26,9.30
2013-09-30,9,20199.00,189439.00,9.54,9.30,9.54
2013-10-01,9,7193.00,67507.00,9.45,9.35,9.45
2013-10-02,1,599.00,5685.00,9.49,9.49,9.49
2013-10-03,5,10788.00,101434.00,9.45,9.30,9.40
2013-10-06,14,49693.00,470441.00,9.50,9.44,9.44
2013-10-07,4,9592.00,90548.00,9.44,9.44,9.44
2013-10-08,4,26471.00,247685.00,9.40,9.35,9.40
2013-10-09,6,21058.00,199360.00,9.50,9.35,9.50
2013-10-21,12,22777.00,221569.00,9.88,9.50,9.50
2013-10-22,27,69225.00,669355.00,9.90,9.60,9.90
2013-10-23,4,9291.00,90483.00,9.90,9.70,9.70
2013-10-24,12,35113.00,330653.00,9.55,9.34,9.55
2013-10-27,9,18627.00,176541.00,9.50,9.39,9.39
2013-10-28,14,24726.00,230293.00,9.35,9.30,9.30
2013-10-29,6,10220.00,95610.00,9.40,9.32,9.40
2013-10-30,9,32868.00,309515.00,9.50,9.30,9.45
2013-10-31,4,9180.00,86293.00,9.40,9.40,9.40
2013-11-06,7,37349.00,356986.00,9.74,9.50,9.55
2013-11-07,19,51362.00,489996.00,9.59,9.50,9.59
2013-11-10,7,19196.00,183949.00,9.77,9.40,9.65
2013-11-11,24,98582.00,962694.00,9.90,9.50,9.90
2013-11-12,1,2937.00,29076.00,9.90,9.90,9.90
2013-11-13,2,1139.00,11219.00,9.89,9.70,9.89
2013-11-14,22,74000.00,737809.00,10.01,9.80,9.90
2013-11-21,2,5056.00,51665.00,10.30,10.10,10.30
2013-11-24,23,84214.00,903524.00,10.94,10.51,10.79
2013-11-25,14,43588.00,451571.00,10.58,10.20,10.45
2013-11-26,21,65078.00,680907.00,10.66,10.24,10.45
2013-11-27,24,112073.00,1166926.00,10.59,10.30,10.31
