Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-09,1,50.00,14100.00,282.00,282.00,282.00
2010-05-10,11,710.00,185150.00,277.00,254.00,254.00
2010-05-11,20,1470.00,338050.00,249.00,229.00,229.00
2010-05-12,15,1370.00,302740.00,242.00,214.00,242.00
2010-05-13,14,2510.00,634000.00,255.00,242.00,250.00
2010-05-16,2,200.00,49000.00,245.00,245.00,245.00
2010-05-17,18,1580.00,365690.00,241.00,224.00,241.00
2010-05-18,9,2700.00,617150.00,237.00,224.00,230.00
2010-05-19,11,1890.00,436270.00,245.00,225.00,245.00
2010-05-20,5,290.00,71670.00,252.00,241.00,252.00
2010-05-23,3,120.00,29640.00,247.00,247.00,247.00
2010-05-24,3,120.00,28840.00,243.00,239.00,239.00
2010-05-25,22,6130.00,1533820.00,256.00,243.00,255.00
2010-05-26,20,3760.00,956060.00,264.00,236.00,236.00
2010-05-30,9,1800.00,442980.00,259.00,240.00,259.00
2010-05-31,8,2090.00,528640.00,264.00,245.00,251.00
2010-06-03,16,2970.00,720540.00,246.00,238.00,240.00
2010-06-06,4,920.00,217320.00,240.00,235.00,235.00
2010-06-07,3,700.00,160960.00,232.00,229.00,229.00
2010-06-08,9,880.00,209540.00,246.00,233.00,246.00
2010-06-09,3,300.00,73660.00,249.00,245.00,245.00
2010-06-10,11,1600.00,388300.00,250.00,240.00,250.00
2010-06-13,2,300.00,74000.00,248.00,246.00,246.00
2010-06-14,1,100.00,24200.00,242.00,242.00,242.00
2010-06-15,9,2900.00,697480.00,242.00,234.00,242.00
2010-06-16,5,420.00,102900.00,255.00,242.00,255.00
2010-06-20,3,80.00,21040.00,267.00,260.00,267.00
2010-06-21,1,40.00,10720.00,268.00,268.00,268.00
2010-06-23,2,420.00,109960.00,263.00,258.00,258.00
2010-06-29,2,320.00,82560.00,258.00,258.00,258.00
2010-07-01,27,3390.00,841360.00,262.00,244.00,262.00
2010-07-08,1,20.00,5140.00,257.00,257.00,257.00
2010-07-11,5,310.00,79270.00,262.00,252.00,257.00
2010-07-12,22,3800.00,918480.00,252.00,237.00,252.00
2010-07-14,6,2060.00,514120.00,257.00,247.00,257.00
2010-07-15,14,1660.00,441400.00,280.00,257.00,275.00
2010-07-18,3,60.00,15900.00,270.00,260.00,260.00
2010-07-19,11,1380.00,331900.00,255.00,234.00,240.00
2010-07-20,7,2350.00,561250.00,240.00,236.00,240.00
2010-07-21,7,890.00,213310.00,243.00,237.00,241.00
2010-07-22,13,1610.00,385750.00,245.00,237.00,240.00
2010-07-25,2,500.00,118800.00,238.00,237.00,237.00
2010-07-26,7,2280.00,546680.00,249.00,233.00,241.00
