Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-03-17,1,115.00,18975.00,165.00,165.00,165.00
2014-03-18,5,364.00,61887.00,174.00,168.00,174.00
2014-03-25,3,98.00,16350.00,171.00,165.00,165.00
2014-04-16,5,957.00,153660.00,162.00,159.00,159.00
2014-04-20,7,112.00,17184.00,156.00,153.00,153.00
2014-04-22,8,1266.00,188659.00,150.00,149.00,149.00
2014-04-27,2,127.00,18669.00,147.00,147.00,147.00
2014-04-28,13,890.00,122432.00,145.00,133.00,133.00
2014-05-13,3,333.00,44289.00,133.00,133.00,133.00
2014-05-19,3,40.00,5320.00,133.00,133.00,133.00
2014-05-21,24,230.00,30590.00,133.00,133.00,133.00
2014-05-22,15,1645.00,221845.00,135.00,133.00,133.00
2014-05-25,29,2954.00,389624.00,133.00,131.00,131.00
2014-05-26,23,1952.00,250571.00,132.00,120.00,132.00
2014-05-27,13,1364.00,179914.00,136.00,130.00,136.00
2014-05-28,2,108.00,14472.00,134.00,134.00,134.00
2014-06-01,16,1704.00,233580.00,142.00,134.00,142.00
2014-06-03,1,110.00,15840.00,144.00,144.00,144.00
2014-06-08,2,230.00,33350.00,146.00,144.00,146.00
2014-06-04,3,196.00,27832.00,142.00,142.00,142.00
2014-07-07,1,115.00,17020.00,148.00,148.00,148.00
2014-07-08,4,614.00,90774.00,150.00,146.00,150.00
2014-07-09,3,726.00,111909.00,159.00,153.00,159.00
2014-07-10,22,1695.00,290847.00,174.00,162.00,174.00
2014-07-13,10,584.00,106586.00,187.00,177.00,183.00
2014-07-14,5,166.00,31386.00,195.00,186.00,192.00
2014-07-15,1,23.00,4347.00,189.00,189.00,189.00
2014-07-17,1,120.00,22680.00,189.00,189.00,189.00
2014-07-20,5,280.00,53204.00,191.00,188.00,191.00
2014-07-22,3,365.00,71500.00,197.00,194.00,197.00
2014-07-23,4,265.00,51845.00,197.00,194.00,194.00
2014-07-24,1,414.00,79074.00,191.00,191.00,191.00
2014-07-27,1,113.00,21696.00,192.00,192.00,192.00
2014-07-28,2,125.00,23714.00,190.00,187.00,187.00
2014-07-30,4,233.00,41576.00,184.00,175.00,175.00
2014-07-31,9,1200.00,209054.00,177.00,172.00,177.00
2014-08-03,5,575.00,102120.00,180.00,174.00,177.00
2014-08-12,9,841.00,141364.00,180.00,161.00,161.00
2014-08-14,2,513.00,80964.00,158.00,155.00,155.00
2014-08-18,4,277.00,42602.00,156.00,152.00,152.00
2014-08-19,2,241.00,35921.00,150.00,149.00,150.00
2014-08-20,11,930.00,137240.00,150.00,145.00,145.00
2014-08-24,5,799.00,117806.00,149.00,147.00,148.00
2014-08-25,1,115.00,16790.00,146.00,146.00,146.00
2014-08-26,1,229.00,32976.00,144.00,144.00,144.00
2014-08-28,3,253.00,37054.00,148.00,146.00,146.00
2014-08-31,3,130.00,18720.00,144.00,144.00,144.00
2014-09-01,1,115.00,16790.00,146.00,146.00,146.00
2014-09-03,2,154.00,22098.00,144.00,142.00,142.00
2014-09-04,4,382.00,53834.00,141.00,140.00,140.00
2014-09-10,1,776.00,107088.00,138.00,138.00,138.00
2014-09-14,1,23.00,3128.00,136.00,136.00,136.00
2014-09-15,2,24.00,3240.00,136.00,134.00,134.00
2014-09-16,3,402.00,52606.00,132.00,130.00,132.00
2014-09-17,3,105.00,14280.00,138.00,134.00,138.00
2014-09-28,5,1358.00,187362.00,138.00,136.00,136.00
2014-10-08,1,113.00,15142.00,134.00,134.00,134.00
2014-10-13,1,23.00,3128.00,136.00,136.00,136.00
2014-10-26,2,344.00,46554.00,136.00,134.00,136.00
2014-10-28,4,110.00,15490.00,144.00,138.00,144.00
2014-11-02,3,139.00,20664.00,150.00,146.00,150.00
2014-11-03,1,115.00,17595.00,153.00,153.00,153.00
2014-11-04,3,242.00,37752.00,156.00,156.00,156.00
2014-11-05,2,185.00,29160.00,159.00,156.00,156.00
2014-11-06,3,142.00,22470.00,159.00,153.00,153.00
2014-11-09,7,751.00,112835.00,154.00,147.00,147.00
2014-11-10,2,230.00,34155.00,149.00,148.00,148.00
2014-11-11,1,115.00,17250.00,150.00,150.00,150.00
2014-11-19,20,1204.00,182477.00,157.00,147.00,157.00
2014-11-25,1,60.00,9600.00,160.00,160.00,160.00
2014-11-30,1,96.00,15648.00,163.00,163.00,163.00
2014-12-03,14,612.00,97074.00,161.00,157.00,157.00
2014-12-04,4,466.00,71422.00,155.00,152.00,152.00
2014-12-09,5,408.00,60325.00,149.00,145.00,145.00
2014-12-17,1,69.00,10143.00,147.00,147.00,147.00
2014-12-18,6,60.00,9320.00,161.00,149.00,161.00
2014-12-21,5,50.00,8500.00,176.00,164.00,176.00
2014-12-22,27,3632.00,679064.00,193.00,179.00,193.00
2014-12-23,12,1181.00,216576.00,191.00,174.00,174.00
