Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-29,2,35.00,14815.00,425.00,422.00,422.00
2010-05-09,2,358.00,148212.00,414.00,414.00,414.00
2010-05-24,1,60.00,25080.00,418.00,418.00,418.00
2010-05-26,3,374.00,158006.00,426.00,418.00,418.00
2010-05-31,9,1000.00,428720.00,442.00,426.00,442.00
2010-06-02,7,977.00,449695.00,464.00,450.00,464.00
2010-06-03,7,877.00,418337.00,490.00,472.00,490.00
2010-06-07,2,400.00,191600.00,481.00,477.00,477.00
2010-06-08,1,100.00,47600.00,476.00,476.00,476.00
2010-06-09,1,210.00,100800.00,480.00,480.00,480.00
2010-06-10,1,65.00,30615.00,471.00,471.00,471.00
2010-06-14,1,74.00,34188.00,462.00,462.00,462.00
2010-06-15,1,100.00,46100.00,461.00,461.00,461.00
2010-06-20,3,358.00,167960.00,470.00,465.00,465.00
2010-06-21,2,227.00,106555.00,470.00,465.00,470.00
2010-06-22,2,424.00,201828.00,477.00,472.00,472.00
2010-06-23,1,115.00,53475.00,465.00,465.00,465.00
2010-07-01,1,78.00,35568.00,456.00,456.00,456.00
2010-07-05,1,40.00,17920.00,448.00,448.00,448.00
2010-07-06,3,317.00,142584.00,450.00,448.00,450.00
2010-07-07,1,200.00,90200.00,451.00,451.00,451.00
2010-07-12,2,54.00,24705.00,460.00,455.00,460.00
2010-07-15,7,800.00,346900.00,451.00,430.00,430.00
2010-07-18,1,32.00,13920.00,435.00,435.00,435.00
2010-07-19,1,202.00,87870.00,435.00,435.00,435.00
2010-07-21,2,131.00,58733.00,450.00,443.00,450.00
2010-07-22,1,87.00,39933.00,459.00,459.00,459.00
2010-07-25,3,500.00,222700.00,450.00,442.00,443.00
2010-07-26,1,100.00,44300.00,443.00,443.00,443.00
2010-08-08,1,100.00,45100.00,451.00,451.00,451.00
2010-08-10,1,198.00,88110.00,445.00,445.00,445.00
2010-08-11,1,100.00,45000.00,450.00,450.00,450.00
2010-08-15,6,812.00,385428.00,488.00,459.00,487.00
2010-08-16,3,400.00,191700.00,481.00,478.00,478.00
2010-08-17,2,301.00,144480.00,480.00,480.00,480.00
2010-08-18,5,773.00,370030.00,480.00,478.00,480.00
2010-08-19,2,200.00,97000.00,485.00,485.00,485.00
2010-08-22,5,497.00,237242.00,480.00,471.00,471.00
2010-08-23,8,1211.00,556934.00,462.00,455.00,460.00
2010-08-29,3,187.00,83053.00,451.00,442.00,443.00
2010-08-30,11,1510.00,657840.00,450.00,421.00,421.00
2010-08-31,1,27.00,11583.00,429.00,429.00,429.00
2010-09-02,3,230.00,96996.00,428.00,420.00,420.00
2010-09-06,7,838.00,361300.00,444.00,428.00,444.00
2010-09-08,1,50.00,22600.00,452.00,452.00,452.00
2010-09-09,2,150.00,67750.00,455.00,450.00,450.00
2010-09-13,1,60.00,27540.00,459.00,459.00,459.00
2010-09-14,8,450.00,206876.00,469.00,455.00,460.00
2010-09-16,1,100.00,46200.00,462.00,462.00,462.00
2010-09-19,3,304.00,143068.00,472.00,469.00,472.00
2010-09-21,1,100.00,47000.00,470.00,470.00,470.00
2010-09-23,2,207.00,97067.00,472.00,465.00,472.00
2010-09-27,6,607.00,284859.00,479.00,467.00,471.00
2010-09-28,1,134.00,63248.00,472.00,472.00,472.00
2010-09-29,1,100.00,47200.00,472.00,472.00,472.00
2010-10-03,1,100.00,47500.00,475.00,475.00,475.00
2010-10-07,1,100.00,48400.00,484.00,484.00,484.00
2010-10-28,2,300.00,145800.00,489.00,480.00,489.00
2010-10-31,3,577.00,278779.00,490.00,480.00,490.00
2010-11-02,1,131.00,65500.00,500.00,500.00,500.00
2010-11-04,1,233.00,116500.00,500.00,500.00,500.00
2010-11-14,1,100.00,49100.00,491.00,491.00,491.00
2010-11-16,1,69.00,33810.00,490.00,490.00,490.00
2010-11-18,1,900.00,432900.00,481.00,481.00,481.00
2010-11-21,1,200.00,95000.00,475.00,475.00,475.00
2010-11-22,1,27.00,12825.00,475.00,475.00,475.00
2010-11-29,2,226.00,106350.00,475.00,470.00,475.00
2010-12-01,1,43.00,20081.00,467.00,467.00,467.00
2010-12-05,5,5054.00,2326185.00,467.00,450.00,450.00
2010-12-06,1,219.00,98550.00,450.00,450.00,450.00
2010-12-12,2,538.00,243342.00,459.00,450.00,450.00
2010-12-19,1,58.00,26100.00,450.00,450.00,450.00
2010-12-20,2,227.00,101150.00,450.00,445.00,445.00
2010-12-23,2,33.00,14421.00,437.00,437.00,437.00
2010-12-26,3,270.00,116530.00,435.00,429.00,435.00
2010-12-28,1,200.00,87000.00,435.00,435.00,435.00
2010-12-29,1,400.00,174000.00,435.00,435.00,435.00
2011-01-04,3,228.00,99180.00,435.00,435.00,435.00
2011-01-06,4,670.00,289250.00,435.00,429.00,429.00
2011-01-09,5,420.00,180100.00,430.00,427.00,430.00
2011-01-10,6,557.00,239052.00,435.00,426.00,426.00
2011-01-12,1,279.00,116622.00,418.00,418.00,418.00
2011-01-13,3,619.00,258637.00,423.00,415.00,423.00
2011-01-17,1,210.00,87570.00,417.00,417.00,417.00
2011-01-18,1,44.00,18260.00,415.00,415.00,415.00
2011-01-19,4,266.00,111874.00,423.00,420.00,420.00
2011-01-20,9,1120.00,463336.00,415.00,407.00,415.00
2011-01-24,6,3603.00,1447549.00,413.00,399.00,410.00
2011-02-01,1,494.00,202540.00,410.00,410.00,410.00
2011-02-02,2,300.00,123500.00,412.00,411.00,412.00
2011-02-03,7,1085.00,446481.00,412.00,410.00,410.00
2011-02-13,1,100.00,40200.00,402.00,402.00,402.00
2011-02-14,1,200.00,79000.00,395.00,395.00,395.00
2011-02-15,1,50.00,20100.00,402.00,402.00,402.00
2011-02-16,2,138.00,56970.00,415.00,410.00,415.00
2011-02-17,1,98.00,41454.00,423.00,423.00,423.00
2011-02-21,1,39.00,16575.00,425.00,425.00,425.00
2011-02-24,1,118.00,49206.00,417.00,417.00,417.00
2011-03-15,4,130.00,53950.00,415.00,415.00,415.00
2011-03-17,6,474.00,188538.00,407.00,386.00,386.00
2011-03-20,4,419.00,158639.00,381.00,375.00,375.00
2011-03-21,9,523.00,195807.00,380.00,368.00,380.00
2011-03-22,4,497.00,186225.00,380.00,374.00,375.00
2011-03-23,1,224.00,84000.00,375.00,375.00,375.00
2011-03-24,9,661.00,246432.00,376.00,371.00,371.00
2011-05-26,2,766.00,211795.00,280.00,275.00,275.00
2011-05-31,2,3292.00,873380.00,270.00,265.00,265.00
2011-06-01,1,100.00,26000.00,260.00,260.00,260.00
2011-06-05,1,12.00,3060.00,255.00,255.00,255.00
2011-06-19,4,290.00,72500.00,250.00,250.00,250.00
2011-06-20,6,1020.00,243540.00,245.00,234.00,237.00
2011-06-21,7,2120.00,498040.00,239.00,231.00,231.00
2011-06-23,7,1193.00,279675.00,239.00,231.00,239.00
2011-06-27,3,540.00,124820.00,235.00,231.00,231.00
2011-06-30,9,250.00,55810.00,227.00,219.00,221.00
2011-07-03,2,30.00,6830.00,229.00,225.00,229.00
2011-07-04,1,30.00,7080.00,236.00,236.00,236.00
2011-07-05,3,215.00,48745.00,232.00,225.00,225.00
2011-07-06,4,420.00,92020.00,221.00,217.00,217.00
