Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-08,1,100.00,2856.00,28.56,28.56,28.56
2010-06-13,4,500.00,14565.00,29.13,29.13,29.13
2010-07-05,1,700.00,20797.00,29.71,29.71,29.71
2010-07-06,1,300.00,8913.00,29.71,29.71,29.71
2010-07-07,2,700.00,21000.00,30.00,30.00,30.00
2010-07-12,1,400.00,12240.00,30.60,30.60,30.60
2010-07-13,2,1200.00,38010.00,31.83,31.21,31.83
2010-08-01,1,2000.00,64940.00,32.47,32.47,32.47
2010-08-02,2,5000.00,166360.00,33.50,33.12,33.50
2010-08-03,1,3000.00,99000.00,33.00,33.00,33.00
2010-08-29,1,600.00,19800.00,33.00,33.00,33.00
2010-10-28,1,3000.00,99000.00,33.00,33.00,33.00
2011-01-19,1,500.00,16830.00,33.66,33.66,33.66
2011-01-20,1,200.00,6800.00,34.00,34.00,34.00
2011-02-01,1,300.00,10404.00,34.68,34.68,34.68
2011-02-06,1,500.00,17000.00,34.00,34.00,34.00
2011-02-07,1,750.00,26010.00,34.68,34.68,34.68
2011-02-13,1,1000.00,33990.00,33.99,33.99,33.99
2011-02-21,1,10000.00,339900.00,33.99,33.99,33.99
2011-03-15,2,2800.00,98939.00,35.36,34.67,35.36
2011-03-24,2,1000.00,35050.00,35.10,35.00,35.00
2011-03-27,1,4000.00,142000.00,35.50,35.50,35.50
2011-05-03,1,500.00,17550.00,35.10,35.10,35.10
2011-06-08,5,145000.00,4881939.00,34.40,33.04,34.37
2011-06-09,2,2100.00,72108.00,34.37,33.68,33.68
2011-06-23,4,103150.00,3337002.00,33.01,32.35,32.35
2011-06-26,1,100.00,3170.00,31.70,31.70,31.70
2011-06-27,2,32900.00,1019907.00,31.07,31.00,31.00
2011-06-29,2,100100.00,3003038.00,30.38,30.00,30.00
2011-07-03,6,34050.00,986569.00,29.40,27.00,27.00
2011-07-04,5,4300.00,111553.00,26.46,25.41,25.41
2011-07-05,7,700.00,18977.00,27.95,25.92,27.95
2011-07-06,3,300.00,8725.00,29.66,28.51,29.66
2011-07-10,6,700.00,22142.00,32.63,30.25,32.63
2011-07-11,1,100.00,3328.00,33.28,33.28,33.28
2011-07-12,1,100.00,3395.00,33.95,33.95,33.95
2011-07-24,2,23600.00,800917.00,33.94,33.27,33.94
2011-08-10,9,23200.00,755640.00,33.26,31.94,32.90
2011-08-11,2,3100.00,99824.00,32.24,32.20,32.20
2011-12-07,1,100.00,3200.00,32.00,32.00,32.00
2011-12-11,1,200.00,6272.00,31.36,31.36,31.36
2011-12-12,2,400.00,12170.00,30.73,30.12,30.12
2012-02-01,1,100.00,2952.00,29.52,29.52,29.52
2012-03-21,1,500.00,14465.00,28.93,28.93,28.93
2012-03-26,1,200.00,5670.00,28.35,28.35,28.35
2012-03-29,1,500.00,13890.00,27.78,27.78,27.78
2012-04-19,1,100.00,2722.00,27.22,27.22,27.22
2012-04-26,1,3100.00,86056.00,27.76,27.76,27.76
2012-06-26,1,100.00,2720.00,27.20,27.20,27.20
2012-09-19,1,4200.00,115500.00,27.50,27.50,27.50
2012-09-30,1,5000.00,134750.00,26.95,26.95,26.95
2012-10-01,1,5000.00,134750.00,26.95,26.95,26.95
2012-10-17,5,650.00,16692.00,26.41,25.36,25.36
2012-11-04,4,400000.00,10200000.00,25.50,25.50,25.50
2012-11-11,1,1800.00,46800.00,26.00,26.00,26.00
2012-11-18,1,100.00,2652.00,26.52,26.52,26.52
2012-11-22,2,1000.00,27000.00,27.00,27.00,27.00
