Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-21,1,48.00,11664.00,243.00,243.00,243.00
2010-05-16,5,144.00,34560.00,240.00,240.00,240.00
2010-06-06,9,189.00,45360.00,240.00,240.00,240.00
2010-06-16,1,21.00,4956.00,236.00,236.00,236.00
2010-06-20,1,42.00,9912.00,236.00,236.00,236.00
2010-06-23,2,42.00,9828.00,236.00,232.00,232.00
2010-06-24,17,357.00,81396.00,228.00,228.00,228.00
2010-06-28,1,240.00,54720.00,228.00,228.00,228.00
2010-06-29,1,16.00,3648.00,228.00,228.00,228.00
2010-07-08,3,210.00,47040.00,224.00,224.00,224.00
2010-07-20,1,16.00,3520.00,220.00,220.00,220.00
2010-07-21,1,16.00,3456.00,216.00,216.00,216.00
2010-08-22,1,84.00,18144.00,216.00,216.00,216.00
2010-08-31,5,105.00,23100.00,220.00,220.00,220.00
2010-09-08,1,21.00,4620.00,220.00,220.00,220.00
2010-10-27,1,26.00,5538.00,213.00,213.00,213.00
2010-12-05,2,42.00,8526.00,205.00,201.00,201.00
2010-12-28,12,504.00,95760.00,190.00,190.00,190.00
2011-01-04,1,10.00,1730.00,173.00,173.00,173.00
2011-01-05,4,194.00,32740.00,173.00,167.00,173.00
2011-03-10,2,29.00,5074.00,176.00,173.00,176.00
2011-03-16,1,21.00,3759.00,179.00,179.00,179.00
2011-03-17,2,40.00,7310.00,185.00,182.00,185.00
2011-03-20,2,32.00,6076.00,191.00,188.00,191.00
2011-03-21,3,62.00,12310.00,200.00,194.00,200.00
2011-03-22,2,22.00,4528.00,208.00,204.00,208.00
2011-06-08,9,459.00,90876.00,204.00,193.00,193.00
2011-10-23,8,184.00,34546.00,190.00,181.00,181.00
2011-11-21,1,21.00,3738.00,178.00,178.00,178.00
2011-12-07,6,125.00,20951.00,175.00,161.00,161.00
2011-12-08,10,210.00,31206.00,158.00,145.00,145.00
2011-12-12,1,10.00,1430.00,143.00,143.00,143.00
2011-12-13,1,20.00,2820.00,141.00,141.00,141.00
2011-12-15,3,67.00,9175.00,139.00,135.00,135.00
2011-12-18,7,168.00,21345.00,133.00,122.00,122.00
2011-12-19,14,322.00,37168.00,120.00,112.00,112.00
2011-12-21,10,210.00,22071.00,110.00,101.00,101.00
2011-12-22,44,1012.00,100188.00,99.00,99.00,99.00
2011-12-26,94,2364.00,236100.00,102.00,98.00,102.00
2011-12-27,122,2971.00,297435.00,102.00,97.00,99.00
2011-12-28,96,2136.00,208867.00,99.00,96.00,96.00
2012-01-02,2,674.00,59728.00,89.00,88.00,89.00
2012-01-04,3,69.00,6279.00,92.00,90.00,92.00
2012-01-05,6,118.00,11208.00,98.00,93.00,98.00
2012-01-08,21,470.00,46530.00,99.00,99.00,99.00
2012-01-09,48,1056.00,105462.00,101.00,99.00,100.00
2012-01-10,45,1035.00,105455.00,103.00,101.00,103.00
2012-01-11,57,1302.00,134276.00,104.00,102.00,102.00
2012-01-12,72,2500.00,257242.00,103.00,102.00,103.00
2012-01-16,49,1171.00,122602.00,106.00,103.00,106.00
2012-01-17,56,1288.00,140300.00,110.00,106.00,110.00
2012-01-18,30,690.00,77280.00,112.00,112.00,112.00
2012-01-19,35,805.00,90160.00,112.00,112.00,112.00
2012-01-22,61,1398.00,156540.00,112.00,110.00,112.00
2012-01-23,64,1412.00,157143.00,112.00,109.00,111.00
2012-01-25,47,1081.00,119991.00,111.00,111.00,111.00
2012-01-26,75,1726.00,189674.00,110.00,108.00,110.00
2012-01-29,31,734.00,80652.00,110.00,108.00,110.00
2012-01-31,52,1201.00,130674.00,110.00,107.00,107.00
2012-02-01,53,1246.00,136559.00,111.00,108.00,110.00
2012-02-02,85,1955.00,214360.00,110.00,109.00,110.00
