Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-29,1,125.00,37000.00,296.00,296.00,296.00
2010-06-30,1,12.00,3552.00,296.00,296.00,296.00
2010-07-08,3,63.00,18585.00,295.00,295.00,295.00
2010-07-20,1,280.00,82600.00,295.00,295.00,295.00
2010-07-29,1,60.00,17400.00,290.00,290.00,290.00
2010-08-15,7,459.00,133389.00,295.00,284.00,284.00
2010-10-03,1,211.00,59080.00,280.00,280.00,280.00
2010-10-05,5,640.00,164681.00,269.00,250.00,250.00
2010-10-06,2,195.00,48525.00,250.00,245.00,245.00
2010-10-07,2,465.00,116035.00,250.00,249.00,250.00
2010-10-10,4,335.00,83750.00,250.00,250.00,250.00
2010-10-11,1,150.00,37500.00,250.00,250.00,250.00
2010-10-12,1,250.00,62500.00,250.00,250.00,250.00
2010-10-21,1,45.00,11475.00,255.00,255.00,255.00
2010-10-24,2,165.00,41727.00,255.00,251.00,251.00
2010-10-26,1,15.00,3840.00,256.00,256.00,256.00
2010-10-31,3,440.00,111915.00,256.00,251.00,251.00
2010-11-14,1,60.00,15360.00,256.00,256.00,256.00
2010-11-15,2,134.00,34756.00,260.00,259.00,260.00
2010-11-16,1,107.00,28034.00,262.00,262.00,262.00
2010-11-18,4,295.00,80015.00,272.00,267.00,272.00
2010-11-21,5,572.00,153520.00,270.00,267.00,270.00
2010-11-22,1,94.00,24910.00,265.00,265.00,265.00
2010-11-23,8,558.00,148090.00,275.00,260.00,260.00
2010-11-24,7,1882.00,507430.00,270.00,265.00,270.00
2010-11-25,3,529.00,143080.00,275.00,270.00,270.00
2010-11-28,3,1116.00,295740.00,265.00,265.00,265.00
2010-11-29,1,152.00,40280.00,265.00,265.00,265.00
2010-11-30,4,1607.00,433890.00,270.00,270.00,270.00
2010-12-01,3,575.00,153483.00,274.00,265.00,265.00
2010-12-02,2,29.00,7615.00,265.00,260.00,260.00
2010-12-06,1,17.00,4505.00,265.00,265.00,265.00
2010-12-07,1,60.00,15900.00,265.00,265.00,265.00
2010-12-08,1,310.00,80910.00,261.00,261.00,261.00
2010-12-12,6,6495.00,1669720.00,261.00,256.00,256.00
2010-12-14,4,570.00,144820.00,259.00,249.00,249.00
2010-12-15,2,350.00,87500.00,250.00,250.00,250.00
2010-12-22,1,225.00,55125.00,245.00,245.00,245.00
2010-12-23,5,1089.00,274152.00,252.00,248.00,252.00
2010-12-26,6,1593.00,409130.00,257.00,255.00,257.00
2010-12-27,8,6040.00,1545372.00,257.00,255.00,257.00
2010-12-28,1,13.00,3341.00,257.00,257.00,257.00
2010-12-29,1,526.00,132552.00,252.00,252.00,252.00
2011-02-02,1,77.00,15015.00,195.00,195.00,195.00
2011-03-23,1,47.00,9165.00,195.00,195.00,195.00
2011-05-05,1,56.00,11088.00,198.00,198.00,198.00
2011-05-08,2,49.00,9525.00,195.00,192.00,192.00
2011-05-31,2,53.00,10070.00,190.00,190.00,190.00
2011-06-26,1,162.00,30294.00,187.00,187.00,187.00
2011-07-26,2,68.00,12572.00,187.00,184.00,187.00
2011-07-28,3,80.00,14630.00,184.00,181.00,181.00
2011-08-22,1,112.00,19936.00,178.00,178.00,178.00
2011-08-23,3,243.00,41625.00,175.00,169.00,169.00
2011-08-24,3,253.00,41279.00,166.00,161.00,161.00
2011-08-25,8,604.00,96212.00,164.00,158.00,161.00
2011-08-28,2,133.00,20714.00,158.00,155.00,155.00
2011-09-04,1,90.00,14220.00,158.00,158.00,158.00
2011-09-06,3,319.00,49493.00,158.00,155.00,158.00
2011-09-07,2,2335.00,355220.00,155.00,152.00,152.00
2011-09-08,1,27.00,4185.00,155.00,155.00,155.00
2011-09-12,1,27.00,4266.00,158.00,158.00,158.00
2011-09-15,1,10.00,1610.00,161.00,161.00,161.00
2011-09-18,1,20.00,3260.00,163.00,163.00,163.00
2011-09-19,1,22.00,3520.00,160.00,160.00,160.00
2011-09-20,1,30.00,4890.00,163.00,163.00,163.00
2011-10-17,1,50.00,8150.00,163.00,163.00,163.00
2011-12-12,1,43.00,7009.00,163.00,163.00,163.00
2012-01-18,1,315.00,42210.00,134.00,134.00,134.00
2012-02-08,1,71.00,9372.00,132.00,132.00,132.00
2012-04-19,1,50.00,6700.00,134.00,134.00,134.00
2012-04-29,4,2151.00,284132.00,133.00,132.00,132.00
2012-04-30,1,100.00,13000.00,130.00,130.00,130.00
2012-05-09,1,2000.00,256000.00,128.00,128.00,128.00
2012-05-10,3,248.00,31248.00,126.00,126.00,126.00
2012-05-13,1,100.00,12400.00,124.00,124.00,124.00
2012-05-14,1,100.00,12200.00,122.00,122.00,122.00
2012-05-21,2,340.00,41000.00,121.00,120.00,121.00
2012-05-27,1,1000.00,119000.00,119.00,119.00,119.00
2012-05-30,1,18.00,2106.00,117.00,117.00,117.00
2012-05-31,1,50.00,5750.00,115.00,115.00,115.00
2012-06-04,1,100.00,11500.00,115.00,115.00,115.00
2012-06-06,1,10.00,1170.00,117.00,117.00,117.00
2012-06-07,1,10.00,1190.00,119.00,119.00,119.00
2012-06-10,2,30.00,3530.00,119.00,117.00,119.00
2012-07-01,1,50.00,5850.00,117.00,117.00,117.00
2012-07-12,1,593.00,68195.00,115.00,115.00,115.00
2012-07-26,1,123.00,13899.00,113.00,113.00,113.00
2012-07-30,4,148.00,16008.00,111.00,107.00,107.00
2012-08-01,2,70.00,7250.00,105.00,103.00,103.00
2012-08-06,3,400.00,40100.00,101.00,100.00,100.00
2012-08-12,3,230.00,22540.00,98.00,98.00,98.00
2012-08-13,3,500.00,48200.00,97.00,96.00,96.00
2012-08-14,4,358.00,34516.00,97.00,96.00,97.00
2012-08-22,3,937.00,89507.00,96.00,95.00,95.00
