Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,9,6733.00,341050.00,51.00,50.00,50.00
2010-04-20,13,11200.00,562700.00,51.00,50.00,50.00
2010-04-21,7,5500.00,270500.00,50.00,49.00,49.00
2010-04-25,6,2300.00,113004.00,51.00,48.02,51.00
2010-04-26,3,2500.00,125500.00,51.00,50.00,50.00
2010-04-27,12,10000.00,484670.00,49.98,47.06,47.06
2010-04-28,10,5350.00,251236.00,49.00,46.12,46.12
2010-04-29,14,28510.00,1372143.00,49.88,47.00,47.10
2010-04-15,4,1200.00,62200.00,52.00,51.00,51.00
2010-05-09,4,3140.00,145650.00,47.00,46.01,46.01
2010-05-10,31,12160.00,552547.00,47.86,44.00,45.00
2010-05-11,15,4550.00,213715.00,48.72,44.10,48.72
2010-05-12,8,3400.00,168525.00,51.00,48.90,50.00
2010-05-13,16,8200.00,413296.00,52.00,49.00,52.00
2010-05-16,15,10300.00,502846.00,51.00,47.02,48.96
2010-05-17,6,3780.00,185412.00,49.98,49.00,49.00
2010-05-18,3,4000.00,196300.00,49.50,48.90,48.90
2010-05-19,5,3100.00,149658.00,48.88,47.92,48.88
2010-05-20,9,3070.00,156615.00,52.00,49.85,51.00
2010-05-23,10,8920.00,438746.00,50.00,49.00,49.50
2010-05-24,8,3800.00,187500.00,50.00,49.00,49.00
2010-05-25,18,14100.00,709238.00,51.50,49.00,50.00
2010-05-26,13,7200.00,379600.00,54.00,51.00,52.00
2010-05-30,6,4200.00,228100.00,56.00,53.00,55.00
2010-05-31,20,13530.00,721200.00,56.00,50.00,50.00
2010-06-01,4,2010.00,98995.00,50.00,49.00,50.00
2010-06-02,4,3500.00,178000.00,51.00,50.00,51.00
2010-06-03,10,6533.00,335816.00,53.00,51.00,51.00
2010-06-06,11,2460.00,125090.00,53.00,50.00,52.00
2010-06-07,4,2100.00,108200.00,52.00,51.00,52.00
2010-06-08,3,2500.00,127500.00,51.00,51.00,51.00
2010-06-09,3,2500.00,131500.00,53.00,52.00,53.00
2010-06-10,3,1900.00,99500.00,53.00,52.00,52.00
2010-06-13,7,5000.00,253000.00,51.00,50.00,51.00
2010-06-14,3,2500.00,125500.00,51.00,50.00,51.00
2010-06-15,3,5500.00,271990.00,50.00,49.00,49.98
2010-06-16,3,2200.00,107996.00,49.98,49.00,49.98
2010-06-17,2,1100.00,55100.00,51.00,50.00,51.00
2010-06-20,1,1000.00,50000.00,50.00,50.00,50.00
2010-06-21,2,1500.00,74000.00,50.00,49.00,49.00
2010-06-22,1,1000.00,48500.00,48.50,48.50,48.50
2010-06-23,3,4000.00,199470.00,50.00,49.47,50.00
2010-06-24,4,4000.00,200000.00,51.00,49.00,49.00
2010-06-28,1,1000.00,49000.00,49.00,49.00,49.00
2010-06-29,5,460.00,23800.00,53.00,49.98,53.00
2010-06-30,2,1000.00,53500.00,54.00,53.00,54.00
2010-07-01,1,1000.00,53000.00,53.00,53.00,53.00
2010-07-04,1,140.00,7280.00,52.00,52.00,52.00
2010-07-05,1,500.00,25500.00,51.00,51.00,51.00
2010-07-06,3,530.00,27540.00,52.00,51.00,52.00
2010-07-07,2,320.00,16960.00,53.00,53.00,53.00
2010-07-08,1,200.00,10400.00,52.00,52.00,52.00
2010-07-11,7,3800.00,196900.00,53.00,51.00,51.00
2010-07-12,6,970.00,48680.00,52.00,49.00,49.00
2010-07-13,7,1010.00,50904.00,52.00,49.00,52.00
2010-07-15,8,5150.00,279450.00,55.00,52.00,55.00
2010-07-18,15,10400.00,534500.00,54.00,50.00,50.00
2010-07-19,3,3000.00,151000.00,51.00,50.00,51.00
2010-07-22,3,2000.00,101000.00,51.00,50.00,50.00
2010-07-25,1,1000.00,50000.00,50.00,50.00,50.00
2010-07-26,3,3200.00,160000.00,50.00,50.00,50.00
2010-07-27,1,1000.00,50000.00,50.00,50.00,50.00
2010-07-28,6,2910.00,144500.00,50.00,49.00,50.00
2010-07-29,2,2500.00,125000.00,50.00,50.00,50.00
2010-08-01,1,500.00,24500.00,49.00,49.00,49.00
2010-08-02,1,200.00,9996.00,49.98,49.98,49.98
2010-08-03,4,1850.00,91000.00,50.00,49.00,49.50
2010-08-04,2,300.00,15100.00,51.00,50.00,51.00
2010-08-05,3,1000.00,50000.00,50.00,50.00,50.00
2010-08-08,1,2000.00,98000.00,49.00,49.00,49.00
2010-08-09,7,5700.00,280300.00,50.00,49.00,50.00
2010-08-10,2,2000.00,98000.00,49.00,49.00,49.00
2010-08-12,9,8300.00,402448.00,49.00,48.00,48.98
2010-08-19,3,3000.00,142460.00,48.00,47.21,47.21
2010-08-22,1,100.00,4815.00,48.15,48.15,48.15
2010-08-23,2,600.00,29911.00,50.00,49.11,50.00
2010-08-26,2,2000.00,97020.00,49.00,48.02,48.02
2010-08-29,4,1700.00,79120.00,47.10,46.16,47.10
2010-08-30,2,110.00,5376.00,48.96,48.00,48.96
2010-09-05,4,1750.00,85730.00,49.00,48.98,48.98
2010-09-06,2,520.00,24960.00,48.00,48.00,48.00
2010-09-07,1,300.00,14220.00,47.40,47.40,47.40
2010-09-08,4,450.00,21867.00,50.00,48.00,50.00
2010-09-09,2,200.00,10100.00,51.00,50.00,50.00
2010-09-13,18,12600.00,568311.00,49.00,45.00,45.00
2010-09-14,18,17600.00,787892.00,46.82,43.50,44.00
2010-09-15,10,11700.00,511388.00,44.88,43.00,43.00
2010-09-16,8,8800.00,365282.00,42.50,41.00,42.00
2010-09-19,9,2700.00,119593.00,45.45,42.83,45.00
2010-09-20,1,100.00,4590.00,45.90,45.90,45.90
2010-09-21,7,2200.00,101423.00,47.63,45.75,45.75
2010-09-23,1,200.00,9000.00,45.00,45.00,45.00
2010-09-26,1,500.00,22500.00,45.00,45.00,45.00
2010-09-27,1,1000.00,44800.00,44.80,44.80,44.80
2010-09-28,4,3000.00,133890.00,45.00,44.10,44.98
2010-09-29,3,1200.00,53670.00,45.00,44.70,44.70
2010-09-30,2,200.00,9184.00,46.25,45.59,46.25
2010-10-05,1,1000.00,45320.00,45.32,45.32,45.32
2010-10-06,6,5300.00,230286.00,44.41,42.26,42.26
2010-10-07,6,1000.00,44688.00,45.75,43.11,45.00
2010-10-10,3,3100.00,139570.00,45.90,44.98,44.98
2010-10-12,2,2000.00,88080.00,44.08,44.00,44.00
2010-10-13,1,2000.00,87000.00,43.50,43.50,43.50
2010-10-27,2,2200.00,93616.00,42.63,41.78,41.78
2010-10-28,6,2600.00,106109.00,42.62,40.30,42.62
2010-10-31,3,1400.00,58984.00,43.46,41.77,43.46
2010-11-03,1,500.00,22165.00,44.33,44.33,44.33
2010-11-04,3,2500.00,110435.00,44.87,44.00,44.87
2010-11-09,1,2000.00,90000.00,45.00,45.00,45.00
2010-11-11,6,7000.00,303970.00,44.10,43.00,43.00
2010-11-15,1,1000.00,43000.00,43.00,43.00,43.00
2010-11-16,5,3750.00,160836.00,43.86,42.50,43.00
2010-11-18,2,7220.00,310360.00,43.00,42.90,42.90
2010-11-21,3,5600.00,242126.00,43.76,43.00,43.00
2010-11-23,1,1000.00,43000.00,43.00,43.00,43.00
2010-11-24,2,1000.00,43000.00,43.00,43.00,43.00
2010-11-25,1,1000.00,42500.00,42.50,42.50,42.50
2010-11-28,16,10200.00,409323.00,42.48,39.22,40.00
2010-11-29,3,5000.00,200800.00,40.80,40.00,40.80
2010-11-30,6,1500.00,60080.00,40.80,40.00,40.80
2010-12-01,2,200.00,8402.00,42.40,41.62,42.40
2010-12-05,5,3100.00,128235.00,42.50,40.72,40.72
2010-12-06,3,2100.00,83981.00,40.71,39.91,40.71
2010-12-07,7,7100.00,286370.00,41.50,39.90,41.50
2010-12-08,3,1100.00,46562.00,42.33,42.32,42.33
2010-12-09,5,6000.00,252840.00,43.18,42.00,42.00
2010-12-12,1,5000.00,205800.00,41.16,41.16,41.16
2010-12-13,1,100.00,4198.00,41.98,41.98,41.98
2010-12-15,3,1600.00,66400.00,42.80,41.14,42.80
2010-12-16,5,4400.00,185232.00,42.50,41.94,42.50
2010-12-19,7,7100.00,301400.00,43.00,41.65,42.50
2010-12-20,5,6900.00,293290.00,43.00,42.14,42.50
2010-12-22,5,12000.00,513900.00,43.20,42.50,43.20
2010-12-23,3,1200.00,51170.00,43.35,42.50,43.35
2010-12-26,2,1500.00,65535.00,44.27,43.40,44.27
2010-12-27,2,600.00,26646.00,45.16,44.26,44.26
2010-12-28,3,5000.00,215500.00,43.50,43.00,43.00
2010-12-29,2,4000.00,168300.00,42.14,42.01,42.01
2011-01-02,6,6000.00,253050.00,42.85,41.50,42.00
2011-01-04,7,10100.00,417720.00,42.00,41.16,42.00
2011-01-06,3,5250.00,220500.00,42.00,42.00,42.00
2011-01-09,5,1840.00,78430.00,43.86,41.50,43.86
2011-01-10,4,2200.00,99037.00,45.63,44.74,45.63
2011-01-11,10,7600.00,335618.00,46.54,42.93,44.66
2011-01-12,10,3100.00,141798.00,48.75,44.64,48.75
2011-01-13,16,9400.00,437831.00,50.69,45.00,50.69
2011-01-16,6,1650.00,85621.00,53.78,51.65,51.65
2011-01-17,1,100.00,5062.00,50.62,50.62,50.62
2011-01-18,20,22900.00,1055531.00,49.61,45.56,47.10
2011-01-19,9,4300.00,200543.00,47.94,46.15,47.08
2011-01-20,2,3500.00,169500.00,48.50,48.00,48.50
2011-01-23,2,1100.00,53947.00,49.47,49.00,49.00
2011-01-24,7,2400.00,117144.00,50.98,48.05,50.98
2011-02-01,5,2200.00,106936.00,50.00,48.02,48.02
2011-02-02,5,2300.00,102338.00,47.06,44.00,44.00
2011-02-03,3,3000.00,132840.00,44.88,43.98,43.98
2011-02-06,1,1000.00,43500.00,43.50,43.50,43.50
2011-02-08,1,1000.00,43550.00,43.55,43.55,43.55
2011-02-13,1,1000.00,44420.00,44.42,44.42,44.42
2011-02-15,3,1020.00,47915.00,47.00,45.31,47.00
2011-02-16,1,1000.00,46060.00,46.06,46.06,46.06
2011-02-17,1,1000.00,45200.00,45.20,45.20,45.20
2011-02-23,1,1000.00,44300.00,44.30,44.30,44.30
2011-02-24,1,1000.00,43410.00,43.41,43.41,43.41
2011-03-01,3,1300.00,55290.00,42.54,42.50,42.50
2011-03-07,2,2000.00,84150.00,42.50,41.65,41.65
2011-03-09,3,4000.00,166770.00,42.45,41.16,41.16
2011-03-13,1,2000.00,81800.00,40.90,40.90,40.90
2011-03-14,1,2000.00,81800.00,40.90,40.90,40.90
2011-03-15,3,1390.00,56940.00,41.00,40.90,41.00
2011-03-17,3,2100.00,84249.00,40.50,39.70,40.49
2011-03-20,1,100.00,4100.00,41.00,41.00,41.00
2011-03-21,2,1500.00,60670.00,40.98,40.18,40.98
2011-03-22,1,10.00,402.00,40.16,40.16,40.16
2011-03-23,2,2500.00,100385.00,40.16,40.15,40.16
2011-03-27,3,5000.00,200320.00,40.16,40.00,40.00
2011-03-28,3,6100.00,244980.00,40.80,40.15,40.80
2011-03-29,6,17910.00,716491.00,40.10,39.98,40.00
2011-03-30,2,2000.00,80000.00,40.00,40.00,40.00
2011-03-31,1,100.00,4080.00,40.80,40.80,40.80
2011-04-04,3,1419.00,57762.00,40.90,40.10,40.10
2011-04-05,5,4100.00,164340.00,40.20,40.01,40.10
2011-04-06,6,5700.00,230320.00,40.90,40.11,40.16
2011-04-10,7,7000.00,281700.00,40.96,40.07,40.07
2011-04-11,4,4800.00,193576.00,41.69,40.18,40.18
2011-04-13,8,2400.00,98443.00,42.00,40.15,42.00
2011-04-19,5,3440.00,144480.00,42.00,42.00,42.00
2011-04-20,3,2500.00,101930.00,41.16,40.35,41.00
2011-04-21,2,5800.00,232400.00,40.20,40.00,40.00
2011-04-25,1,1000.00,40500.00,40.50,40.50,40.50
2011-04-27,6,7920.00,318260.00,41.30,39.20,39.20
2011-04-28,6,16740.00,640930.00,39.01,37.65,37.65
2011-05-02,7,18600.00,692690.00,38.00,36.90,37.90
2011-05-03,4,2700.00,102800.00,39.64,37.90,39.64
2011-05-04,3,4500.00,182030.00,40.50,40.42,40.50
2011-05-05,3,8000.00,326190.00,41.30,40.47,40.47
2011-05-08,3,7100.00,293188.00,41.30,41.28,41.30
2011-05-09,4,11700.00,473904.00,41.28,40.47,41.28
2011-05-10,5,47770.00,1932162.00,41.30,40.00,40.00
2011-05-11,3,5000.00,201630.00,40.81,40.00,40.81
2011-05-12,1,2000.00,81600.00,40.80,40.80,40.80
2011-05-15,5,12260.00,494440.00,41.00,40.18,40.98
2011-05-16,4,450.00,19062.00,43.83,41.80,43.83
2011-05-18,1,1000.00,42950.00,42.95,42.95,42.95
2011-05-23,2,1900.00,81655.00,43.81,42.93,42.93
2011-05-24,1,1000.00,42070.00,42.07,42.07,42.07
2011-05-25,6,16400.00,668966.00,41.23,40.00,40.00
2011-05-26,2,2900.00,113680.00,39.20,39.20,39.20
2011-05-31,1,1000.00,39200.00,39.20,39.20,39.20
2011-06-01,1,1000.00,39980.00,39.98,39.98,39.98
2011-06-02,3,2600.00,104083.00,40.78,40.00,40.00
2011-06-06,6,9000.00,360055.00,40.05,40.00,40.00
2011-06-07,1,2000.00,79000.00,39.50,39.50,39.50
