Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,7,709.00,469072.00,670.00,658.00,659.00
2010-04-20,7,433.00,282991.00,658.00,652.00,655.00
2010-04-21,21,1557.00,976385.00,647.00,615.00,617.00
2010-04-22,16,1679.00,1017233.00,632.00,598.00,624.00
2010-04-25,18,1035.00,623700.00,612.00,600.00,602.00
2010-04-26,5,403.00,243189.00,609.00,601.00,601.00
2010-04-27,12,1633.00,952250.00,600.00,570.00,580.00
2010-04-28,9,1078.00,626655.00,586.00,570.00,581.00
2010-04-29,1,42.00,24864.00,592.00,592.00,592.00
2010-04-15,5,484.00,328884.00,693.00,671.00,671.00
2010-05-09,7,339.00,199855.00,595.00,586.00,586.00
2010-05-10,4,183.00,109910.00,605.00,596.00,600.00
2010-05-11,15,1231.00,802127.00,660.00,612.00,660.00
2010-05-12,19,1588.00,1103573.00,714.00,673.00,714.00
2010-05-13,40,3036.00,2215111.00,771.00,710.00,720.00
2010-05-16,11,1114.00,765840.00,729.00,649.00,661.00
2010-05-17,12,1450.00,976980.00,687.00,661.00,687.00
2010-05-18,9,1100.00,769245.00,735.00,675.00,735.00
2010-05-19,13,1299.00,944563.00,738.00,716.00,730.00
2010-05-20,21,1821.00,1351456.00,747.00,730.00,741.00
2010-05-23,16,1397.00,1026033.00,740.00,730.00,740.00
2010-05-24,15,1899.00,1394217.00,742.00,728.00,740.00
2010-05-25,13,1035.00,791426.00,790.00,735.00,766.00
2010-05-26,18,1433.00,1130922.00,810.00,750.00,750.00
2010-05-30,24,3084.00,2503022.00,825.00,765.00,825.00
2010-05-31,27,1771.00,1426121.00,874.00,772.00,783.00
2010-06-01,25,2640.00,1994600.00,780.00,746.00,780.00
2010-06-02,4,407.00,313210.00,780.00,765.00,775.00
2010-06-03,15,1228.00,947222.00,790.00,765.00,775.00
2010-06-06,10,1234.00,918450.00,775.00,735.00,735.00
2010-06-07,4,706.00,528530.00,755.00,740.00,755.00
2010-06-08,25,3363.00,2545467.00,775.00,748.00,775.00
2010-06-09,22,2879.00,2225383.00,782.00,759.00,782.00
2010-06-10,9,1003.00,780660.00,785.00,775.00,780.00
2010-06-13,15,2253.00,1750312.00,783.00,771.00,771.00
