Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,5,334.00,169336.00,510.00,502.00,502.00
2010-04-20,16,2345.00,1173081.00,522.00,492.00,493.00
2010-04-21,16,1831.00,879456.00,486.00,478.00,478.00
2010-04-22,6,450.00,210465.00,471.00,461.00,470.00
2010-04-25,2,292.00,136304.00,470.00,461.00,470.00
2010-04-26,4,217.00,102502.00,475.00,465.00,475.00
2010-04-27,9,847.00,392717.00,470.00,461.00,465.00
2010-04-28,4,519.00,246034.00,484.00,470.00,484.00
2010-04-29,3,350.00,176300.00,512.00,493.00,512.00
2010-04-15,3,629.00,334950.00,535.00,530.00,530.00
2010-05-09,8,1094.00,532910.00,502.00,481.00,484.00
2010-05-10,3,412.00,198406.00,488.00,480.00,481.00
2010-05-12,2,20.00,9890.00,499.00,490.00,499.00
2010-05-13,18,2519.00,1378182.00,548.00,508.00,548.00
2010-05-16,34,3010.00,1590630.00,555.00,510.00,525.00
2010-05-17,29,3039.00,1623947.00,550.00,507.00,548.00
2010-05-18,13,2295.00,1271792.00,571.00,540.00,571.00
2010-05-19,26,3115.00,1811867.00,594.00,570.00,580.00
2010-05-20,35,4217.00,2547057.00,615.00,589.00,609.00
2010-05-23,26,2340.00,1410742.00,621.00,590.00,600.00
2010-05-24,13,1227.00,729625.00,610.00,590.00,600.00
2010-05-25,33,2896.00,1866434.00,660.00,600.00,660.00
2010-05-26,33,3896.00,2555032.00,680.00,620.00,636.00
2010-05-30,10,1101.00,767691.00,699.00,648.00,699.00
2010-05-31,45,4674.00,3131058.00,754.00,640.00,645.00
2010-06-01,19,1644.00,1028251.00,667.00,597.00,655.00
2010-06-02,9,756.00,494713.00,664.00,644.00,660.00
2010-06-03,24,2066.00,1392495.00,696.00,660.00,675.00
2010-06-06,15,1195.00,790025.00,670.00,655.00,655.00
2010-06-07,16,3024.00,1975599.00,668.00,645.00,660.00
2010-06-08,19,1222.00,822527.00,683.00,655.00,672.00
2010-06-09,21,2255.00,1533154.00,687.00,670.00,674.00
2010-06-10,27,2248.00,1511222.00,679.00,670.00,674.00
2010-06-13,19,1540.00,1025882.00,670.00,663.00,669.00
2010-06-14,11,1059.00,702006.00,665.00,658.00,665.00
2010-06-15,11,1128.00,746316.00,665.00,659.00,659.00
2010-06-16,6,471.00,307705.00,655.00,652.00,655.00
2010-06-17,18,2752.00,1787570.00,652.00,642.00,650.00
2010-06-20,11,771.00,503244.00,659.00,648.00,659.00
2010-06-21,9,1245.00,815908.00,664.00,650.00,660.00
2010-06-22,3,470.00,309245.00,660.00,655.00,660.00
2010-06-23,6,743.00,486406.00,660.00,651.00,655.00
2010-06-24,7,419.00,273378.00,655.00,650.00,650.00
