Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2013-07-17,1,10.00,2750.00,275.00,275.00,275.00
2013-07-18,14,1218.00,367236.00,302.00,280.00,302.00
2013-07-21,14,1168.00,386996.00,332.00,308.00,332.00
2013-07-22,59,2762.00,1007410.00,365.00,338.00,365.00
2013-07-23,94,3481.00,1393201.00,401.00,372.00,401.00
2013-07-24,146,9005.00,3969605.00,441.00,409.00,441.00
2013-07-25,513,27206.00,11774216.00,475.00,418.00,435.00
2013-07-28,175,10677.00,4687269.00,443.00,430.00,440.00
2013-07-29,159,7786.00,3568538.00,475.00,443.00,474.00
2013-07-30,58,2727.00,1267472.00,470.00,460.00,465.00
2013-07-31,94,6706.00,3054994.00,458.00,452.00,453.00
2013-08-01,57,2588.00,1127761.00,444.00,432.00,438.00
2013-08-04,103,4454.00,1963172.00,444.00,437.00,440.00
2013-08-05,76,3101.00,1342111.00,440.00,429.00,430.00
2013-08-06,92,2674.00,1158518.00,438.00,422.00,435.00
2013-08-07,90,1924.00,834894.00,436.00,429.00,435.00
2013-08-08,42,1791.00,768724.00,430.00,427.00,429.00
2013-08-11,19,380.00,163940.00,433.00,430.00,433.00
2013-08-12,67,1664.00,713926.00,435.00,428.00,435.00
2013-08-13,66,6482.00,2805780.00,436.00,430.00,432.00
2013-08-14,32,632.00,273264.00,443.00,426.00,443.00
2013-08-15,139,10711.00,4895614.00,465.00,435.00,460.00
2013-08-18,101,9047.00,4510321.00,506.00,465.00,506.00
2013-08-19,76,9860.00,4876508.00,509.00,471.00,500.00
2013-08-20,48,6659.00,3340733.00,507.00,490.00,494.00
2013-08-25,41,2469.00,1218103.00,498.00,488.00,491.00
2013-08-26,49,2481.00,1218462.00,500.00,485.00,490.00
2013-08-27,36,2491.00,1218402.00,490.00,480.00,487.00
2013-08-29,28,4159.00,2019067.00,495.00,480.00,485.00
2013-09-01,35,1349.00,638429.00,480.00,471.00,477.00
2013-09-02,23,2933.00,1378836.00,475.00,470.00,470.00
2013-09-03,23,4348.00,2004184.00,470.00,452.00,466.00
2013-09-04,13,1086.00,511120.00,473.00,466.00,466.00
2013-09-05,31,2687.00,1266514.00,474.00,469.00,474.00
2013-09-08,2,107.00,49755.00,465.00,465.00,465.00
2013-09-09,7,1003.00,462675.00,470.00,460.00,465.00
2013-09-10,13,1883.00,880191.00,470.00,465.00,466.00
2013-09-11,32,1510.00,708624.00,471.00,466.00,471.00
2013-09-12,12,273.00,127986.00,470.00,465.00,470.00
2013-09-15,29,3111.00,1470017.00,480.00,470.00,470.00
2013-09-16,6,200.00,94625.00,479.00,471.00,476.00
2013-09-17,5,514.00,245234.00,480.00,475.00,480.00
2013-09-19,38,3347.00,1621632.00,490.00,475.00,478.00
2013-09-22,36,1341.00,643286.00,485.00,475.00,475.00
2013-09-23,11,1787.00,825281.00,470.00,452.00,461.00
2013-09-24,12,1305.00,595606.00,467.00,452.00,460.00
2013-09-25,9,200.00,92500.00,465.00,460.00,465.00
2013-09-26,5,881.00,412329.00,469.00,467.00,469.00
2013-09-29,9,2527.00,1185203.00,470.00,469.00,470.00
2013-09-30,14,3758.00,1730702.00,470.00,448.00,448.00
2013-10-01,13,2025.00,920469.00,460.00,450.00,460.00
2013-10-02,8,1230.00,566080.00,465.00,458.00,460.00
2013-10-03,14,890.00,414512.00,470.00,460.00,470.00
2013-10-06,6,3193.00,1496615.00,470.00,461.00,470.00
2013-10-09,13,412.00,191400.00,472.00,463.00,472.00
2013-10-10,7,320.00,152000.00,478.00,470.00,470.00
2013-10-17,5,397.00,187412.00,474.00,470.00,474.00
2013-10-20,7,1754.00,839335.00,483.00,474.00,474.00
