Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-23,1,12.00,11532.00,961.00,961.00,961.00
2010-06-03,1,300.00,282600.00,942.00,942.00,942.00
2010-06-14,4,142.00,128204.00,924.00,871.00,871.00
2010-07-12,6,87.00,73998.00,854.00,850.00,850.00
2010-07-25,8,117.00,93351.00,833.00,770.00,770.00
2010-07-26,9,297.00,219160.00,755.00,726.00,752.00
2010-07-27,11,436.00,331844.00,770.00,754.00,765.00
2010-07-28,4,2095.00,1568215.00,750.00,707.00,707.00
2010-07-29,9,4111.00,2678300.00,693.00,650.00,655.00
2010-08-01,9,4136.00,2693889.00,667.00,650.00,665.00
2010-08-02,5,183.00,123078.00,678.00,671.00,678.00
2010-08-03,3,45.00,30825.00,690.00,680.00,690.00
2010-08-04,4,134.00,92453.00,703.00,677.00,703.00
2010-08-05,2,290.00,203000.00,700.00,700.00,700.00
2010-08-10,17,1049.00,717510.00,693.00,680.00,680.00
2010-08-11,1,60.00,40020.00,667.00,667.00,667.00
2010-08-12,2,132.00,86460.00,655.00,655.00,655.00
2010-08-16,1,15.00,9825.00,655.00,655.00,655.00
2010-08-17,3,306.00,196650.00,643.00,642.00,642.00
2010-08-18,3,54.00,33552.00,630.00,618.00,618.00
2010-08-19,3,154.00,94710.00,615.00,615.00,615.00
2010-08-23,1,15.00,9045.00,603.00,603.00,603.00
2010-08-26,2,30.00,17730.00,591.00,591.00,591.00
2010-08-29,7,765.00,451815.00,601.00,590.00,601.00
2010-08-30,1,10.00,6130.00,613.00,613.00,613.00
2010-08-31,4,315.00,192895.00,615.00,611.00,615.00
2010-09-02,2,200.00,120700.00,604.00,603.00,603.00
2010-09-05,3,515.00,304480.00,592.00,591.00,592.00
2010-09-06,7,723.00,430965.00,605.00,595.00,598.00
2010-09-09,2,30.00,17625.00,588.00,587.00,587.00
2010-09-12,4,145.00,85090.00,592.00,581.00,592.00
2010-09-13,3,328.00,197186.00,603.00,595.00,603.00
2010-09-14,2,60.00,35700.00,595.00,595.00,595.00
2010-09-15,7,180.00,108405.00,606.00,595.00,606.00
2010-09-16,2,215.00,129200.00,601.00,600.00,601.00
2010-09-20,2,96.00,56340.00,590.00,580.00,580.00
2010-09-27,1,15.00,8550.00,570.00,570.00,570.00
2010-09-28,5,115.00,66030.00,581.00,570.00,576.00
2010-09-29,2,30.00,17610.00,587.00,587.00,587.00
2010-09-30,3,80.00,48270.00,608.00,597.00,608.00
2010-10-03,6,2088.00,1313813.00,630.00,596.00,630.00
2010-10-05,6,1050.00,645895.00,629.00,605.00,629.00
2010-10-06,2,435.00,266295.00,617.00,610.00,610.00
2010-10-10,2,35.00,21350.00,610.00,610.00,610.00
2010-10-12,4,60.00,37320.00,622.00,622.00,622.00
2010-10-28,2,192.00,121752.00,635.00,634.00,635.00
2010-10-31,3,265.00,169475.00,647.00,635.00,635.00
2010-11-02,2,200.00,130600.00,659.00,647.00,659.00
2010-11-03,8,635.00,441400.00,710.00,660.00,710.00
2010-11-04,2,300.00,214400.00,724.00,710.00,724.00
2010-11-09,3,417.00,299143.00,725.00,710.00,725.00
2010-11-11,4,322.00,242540.00,755.00,739.00,755.00
2010-11-14,1,24.00,18240.00,760.00,760.00,760.00
