Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-12-21,3,30.00,9930.00,337.00,325.00,337.00
2015-12-23,6,60.00,21480.00,370.00,343.00,370.00
2015-12-24,5,50.00,19480.00,398.00,377.00,398.00
2015-12-27,5,50.00,21050.00,437.00,405.00,437.00
2015-12-28,5,50.00,23110.00,480.00,445.00,480.00
2015-12-29,6,60.00,30660.00,528.00,489.00,528.00
2015-12-31,5,50.00,27930.00,580.00,538.00,580.00
2016-01-03,34,340.00,187360.00,554.00,514.00,554.00
2016-01-11,5,50.00,29350.00,609.00,565.00,609.00
2016-01-12,70,700.00,467100.00,669.00,621.00,669.00
2016-01-13,12,120.00,86870.00,735.00,682.00,735.00
2016-01-14,8,80.00,63150.00,808.00,749.00,808.00
2016-03-29,2,20.00,16640.00,840.00,824.00,840.00
2016-04-03,4,40.00,35260.00,907.00,856.00,907.00
2016-04-04,1,10.00,9250.00,925.00,925.00,925.00
2016-04-11,1,10.00,9710.00,971.00,971.00,971.00
2016-04-12,1,10.00,10190.00,1019.00,1019.00,1019.00
2016-04-21,1,10.00,10390.00,1039.00,1039.00,1039.00
2016-04-26,1,10.00,10900.00,1090.00,1090.00,1090.00
2016-05-08,4,40.00,45760.00,1144.00,1144.00,1144.00
2016-05-11,1,10.00,11660.00,1166.00,1166.00,1166.00
2016-05-17,1,10.00,12240.00,1224.00,1224.00,1224.00
2016-05-18,1,10.00,12850.00,1285.00,1285.00,1285.00
2016-05-22,2,20.00,27240.00,1375.00,1349.00,1375.00
2016-05-23,4,40.00,59140.00,1500.00,1443.00,1500.00
2016-05-24,4,40.00,63940.00,1638.00,1575.00,1638.00
2016-05-25,3,30.00,50760.00,1703.00,1670.00,1703.00
2016-05-31,3,30.00,53140.00,1806.00,1737.00,1806.00
2016-06-02,1,10.00,18420.00,1842.00,1842.00,1842.00
2016-06-08,1,10.00,18550.00,1855.00,1855.00,1855.00
2016-06-13,3,30.00,59560.00,2024.00,1947.00,2024.00
2016-06-14,2,20.00,41690.00,2105.00,2064.00,2105.00
2016-06-15,7,70.00,157890.00,2315.00,2147.00,2315.00
2016-06-16,1,10.00,23610.00,2361.00,2361.00,2361.00
2016-06-19,3,30.00,75850.00,2578.00,2479.00,2578.00
2016-06-20,6,60.00,160340.00,2681.00,2629.00,2681.00
2016-06-21,5,50.00,142130.00,2949.00,2734.00,2949.00
2016-06-22,16,160.00,513080.00,3243.00,3007.00,3243.00
2016-06-23,63,950.00,3379650.00,3567.00,3307.00,3567.00
2016-06-26,219,2847.00,10686681.00,3923.00,3540.00,3600.00
2016-06-27,21,210.00,737220.00,3550.00,3500.00,3500.00
2016-06-28,57,1740.00,6101190.00,3551.00,3450.00,3551.00
2016-06-29,49,960.00,3476300.00,3695.00,3536.00,3635.00
2016-06-30,43,500.00,1875500.00,3835.00,3650.00,3790.00
2016-07-03,76,1655.00,6684830.00,4130.00,3781.00,4130.00
2016-07-04,79,980.00,3995840.00,4136.00,4025.00,4136.00
2016-07-05,31,320.00,1312010.00,4145.00,4070.00,4108.00
2016-07-06,47,470.00,1934070.00,4180.00,4000.00,4151.00
2016-07-10,33,720.00,2996780.00,4220.00,4140.00,4152.00
2016-07-11,21,380.00,1535850.00,4070.00,4015.00,4040.00
