Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,2,731.00,205180.00,285.00,280.00,280.00
2010-04-20,4,474.00,128810.00,275.00,270.00,270.00
2010-04-21,2,341.00,90365.00,265.00,265.00,265.00
2010-04-26,8,1180.00,298010.00,260.00,245.00,245.00
2010-04-27,6,350.00,81500.00,242.00,222.00,222.00
2010-04-15,2,87.00,25615.00,295.00,294.00,294.00
2010-05-10,2,449.00,102353.00,229.00,225.00,229.00
2010-05-11,1,30.00,6750.00,225.00,225.00,225.00
2010-05-12,5,970.00,225968.00,241.00,229.00,241.00
2010-05-23,1,10.00,2450.00,245.00,245.00,245.00
2010-05-25,3,124.00,31024.00,258.00,249.00,258.00
2010-05-30,2,402.00,106766.00,268.00,263.00,268.00
2010-05-31,1,10.00,2730.00,273.00,273.00,273.00
2010-06-01,3,150.00,41750.00,283.00,278.00,283.00
2010-06-03,3,380.00,110025.00,293.00,288.00,293.00
2010-06-06,1,180.00,53100.00,295.00,295.00,295.00
2010-06-07,2,631.00,189300.00,300.00,300.00,300.00
2010-06-08,2,568.00,172104.00,303.00,303.00,303.00
2010-06-09,1,52.00,15600.00,300.00,300.00,300.00
2010-06-13,1,40.00,11760.00,294.00,294.00,294.00
2010-06-16,3,956.00,271504.00,290.00,283.00,283.00
2010-06-17,5,1890.00,512898.00,283.00,270.00,270.00
2010-06-23,1,100.00,26500.00,265.00,265.00,265.00
2010-06-24,12,6410.00,1697595.00,265.00,260.00,265.00
2010-06-28,1,325.00,86125.00,265.00,265.00,265.00
2010-06-30,1,112.00,29120.00,260.00,260.00,260.00
2010-07-04,2,1100.00,281500.00,256.00,255.00,256.00
2010-07-05,2,777.00,195132.00,252.00,251.00,252.00
2010-07-06,3,287.00,71750.00,250.00,250.00,250.00
2010-07-07,1,735.00,183750.00,250.00,250.00,250.00
2010-07-08,9,1374.00,344260.00,255.00,249.00,250.00
2010-07-12,2,800.00,196000.00,245.00,245.00,245.00
2010-07-13,3,550.00,134950.00,246.00,241.00,241.00
2010-07-14,11,2842.00,685922.00,245.00,241.00,241.00
2010-07-15,1,400.00,96400.00,241.00,241.00,241.00
2010-07-18,2,346.00,84770.00,245.00,245.00,245.00
2010-07-19,9,3122.00,759698.00,250.00,238.00,238.00
2010-07-20,4,715.00,174972.00,252.00,240.00,252.00
2010-07-21,9,1194.00,302652.00,258.00,252.00,254.00
2010-07-22,9,1805.00,460362.00,257.00,254.00,254.00
2010-07-25,8,794.00,192285.00,250.00,240.00,241.00
2010-07-26,6,1408.00,328837.00,237.00,230.00,231.00
2010-07-27,7,1241.00,290327.00,239.00,231.00,235.00
2010-07-28,26,4412.00,1016242.00,235.00,226.00,229.00
2010-07-29,5,782.00,178372.00,230.00,226.00,230.00
2010-08-01,1,30.00,6990.00,233.00,233.00,233.00
2010-10-06,1,192.00,36480.00,190.00,190.00,190.00
2010-10-07,1,100.00,19300.00,193.00,193.00,193.00
2010-10-11,1,100.00,19600.00,196.00,196.00,196.00
2010-10-12,1,130.00,25090.00,193.00,193.00,193.00
2010-10-26,4,300.00,57000.00,190.00,190.00,190.00
2010-10-27,4,741.00,140679.00,190.00,187.00,187.00
2010-10-28,1,100.00,18400.00,184.00,184.00,184.00
2010-10-31,1,100.00,18100.00,181.00,181.00,181.00
2010-11-03,2,410.00,71439.00,177.00,174.00,174.00
2010-11-09,3,263.00,45394.00,174.00,171.00,174.00
2010-11-14,1,50.00,8750.00,175.00,175.00,175.00
2010-11-15,1,40.00,7000.00,175.00,175.00,175.00
2010-11-18,1,100.00,17800.00,178.00,178.00,178.00
2010-11-21,1,37.00,6697.00,181.00,181.00,181.00
2010-11-23,1,50.00,9200.00,184.00,184.00,184.00
2010-11-28,1,50.00,9350.00,187.00,187.00,187.00
2010-11-29,1,50.00,9350.00,187.00,187.00,187.00
2010-11-30,2,100.00,19000.00,190.00,190.00,190.00
2010-12-01,3,333.00,61705.00,187.00,184.00,185.00
2010-12-09,2,133.00,24118.00,182.00,180.00,180.00
2010-12-14,2,508.00,90324.00,178.00,177.00,177.00
2010-12-16,2,150.00,25950.00,175.00,172.00,172.00
2010-12-19,2,150.00,26250.00,175.00,175.00,175.00
2010-12-20,1,200.00,35000.00,175.00,175.00,175.00
2010-12-23,3,1100.00,184700.00,172.00,166.00,166.00
2010-12-26,1,500.00,84500.00,169.00,169.00,169.00
2010-12-27,2,400.00,67800.00,170.00,169.00,170.00
