Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-19,3,400.00,177500.00,445.00,441.00,441.00
2010-04-20,7,3870.00,1708480.00,445.00,440.00,444.00
2010-04-21,10,2000.00,882540.00,444.00,438.00,443.00
2010-04-22,5,1250.00,542850.00,440.00,433.00,440.00
2010-04-25,10,2310.00,1035190.00,455.00,440.00,455.00
2010-04-26,3,1200.00,534700.00,448.00,441.00,445.00
2010-04-27,11,3030.00,1335440.00,448.00,433.00,445.00
2010-04-28,7,1200.00,527800.00,440.00,438.00,440.00
2010-04-29,4,2400.00,1070600.00,448.00,444.00,445.00
2010-04-15,13,3300.00,1464600.00,455.00,422.00,455.00
2010-05-09,5,940.00,409780.00,437.00,435.00,437.00
2010-05-10,4,870.00,382800.00,440.00,440.00,440.00
2010-05-11,7,2330.00,1032360.00,455.00,432.00,454.00
2010-05-12,8,2040.00,953400.00,480.00,459.00,480.00
2010-05-13,11,1760.00,837500.00,483.00,465.00,474.00
2010-05-16,15,2310.00,1053020.00,465.00,450.00,450.00
2010-05-17,8,2170.00,967890.00,450.00,437.00,450.00
2010-05-18,4,910.00,414000.00,459.00,450.00,459.00
2010-05-19,4,1450.00,657100.00,461.00,450.00,461.00
2010-05-20,4,500.00,236700.00,479.00,468.00,479.00
2010-05-23,12,3060.00,1440940.00,479.00,461.00,479.00
2010-05-24,5,1560.00,726800.00,470.00,465.00,465.00
2010-05-25,9,2400.00,1133900.00,484.00,465.00,480.00
2010-05-26,8,1800.00,849700.00,480.00,470.00,470.00
2010-05-30,2,100.00,48350.00,488.00,479.00,488.00
2010-05-31,16,4220.00,2052850.00,509.00,470.00,479.00
2010-06-01,4,2550.00,1200900.00,479.00,457.00,457.00
2010-06-02,5,550.00,256780.00,475.00,451.00,475.00
2010-06-03,6,1550.00,721600.00,480.00,462.00,462.00
2010-06-06,1,100.00,47100.00,471.00,471.00,471.00
2010-06-07,1,100.00,47000.00,470.00,470.00,470.00
2010-06-08,4,1430.00,672150.00,475.00,465.00,470.00
2010-06-09,6,720.00,343090.00,479.00,472.00,472.00
2010-06-10,8,1190.00,563460.00,477.00,470.00,471.00
2010-06-13,1,100.00,46700.00,467.00,467.00,467.00
2010-06-14,12,2840.00,1307950.00,467.00,455.00,464.00
2010-06-15,8,1780.00,820150.00,465.00,456.00,465.00
2010-06-16,1,150.00,69450.00,463.00,463.00,463.00
2010-06-17,4,1020.00,467260.00,464.00,455.00,464.00
2010-06-20,6,950.00,436400.00,463.00,456.00,460.00
2010-06-21,5,3150.00,1400400.00,455.00,440.00,440.00
2010-06-22,8,1140.00,517750.00,461.00,448.00,458.00
2010-06-23,4,860.00,391500.00,456.00,455.00,455.00
2010-06-24,4,400.00,181900.00,460.00,451.00,451.00
2010-06-28,2,500.00,221800.00,450.00,442.00,442.00
2010-06-29,7,1280.00,574750.00,450.00,445.00,450.00
2010-06-30,4,500.00,225200.00,452.00,450.00,450.00
2010-07-01,5,500.00,235340.00,477.00,459.00,477.00
2010-07-04,6,1100.00,503900.00,468.00,455.00,460.00
2010-07-05,5,470.00,214000.00,458.00,452.00,455.00
2010-07-06,1,100.00,45300.00,453.00,453.00,453.00
2010-07-07,7,960.00,436660.00,460.00,451.00,458.00
2010-07-08,16,2600.00,1176970.00,468.00,450.00,450.00
2010-07-12,3,700.00,315800.00,456.00,450.00,456.00
2010-07-13,2,1000.00,456000.00,456.00,456.00,456.00
2010-07-14,2,360.00,164880.00,458.00,458.00,458.00
2010-07-15,2,400.00,181300.00,460.00,451.00,460.00
2010-07-18,3,600.00,273400.00,458.00,451.00,458.00
2010-07-20,5,2550.00,1173300.00,463.00,460.00,460.00
2010-07-21,17,3000.00,1392250.00,468.00,460.00,468.00
2010-07-25,3,510.00,236650.00,465.00,460.00,465.00
2010-07-26,5,1250.00,580350.00,465.00,461.00,465.00
2010-07-27,3,300.00,139000.00,465.00,460.00,465.00
2010-07-28,3,900.00,412500.00,460.00,455.00,460.00
2010-07-29,6,1100.00,506900.00,461.00,460.00,460.00
2010-08-01,4,1000.00,458200.00,462.00,457.00,462.00
2010-08-02,13,2800.00,1287270.00,463.00,457.00,460.00
2010-08-03,11,2070.00,950310.00,463.00,455.00,458.00
2010-08-04,9,950.00,439000.00,465.00,460.00,465.00
2010-08-05,1,150.00,69750.00,465.00,465.00,465.00
2010-08-08,1,140.00,65800.00,470.00,470.00,470.00
2010-08-09,8,1300.00,606800.00,470.00,461.00,464.00
2010-08-10,2,230.00,106030.00,461.00,461.00,461.00
2010-08-11,9,1060.00,493040.00,472.00,463.00,464.00
2010-08-12,3,1010.00,465200.00,464.00,460.00,461.00
2010-08-15,1,200.00,92000.00,460.00,460.00,460.00
2010-08-16,5,1560.00,716520.00,460.00,457.00,460.00
2010-08-17,5,1200.00,551250.00,460.00,457.00,457.00
2010-08-18,13,2380.00,1089020.00,459.00,456.00,459.00
2010-08-19,2,200.00,91500.00,460.00,455.00,460.00
2010-08-22,11,1620.00,731420.00,459.00,451.00,451.00
2010-08-23,7,3000.00,1335300.00,450.00,444.00,450.00
2010-08-26,5,5250.00,2320490.00,455.00,441.00,455.00
2010-08-29,2,550.00,247600.00,451.00,448.00,448.00
2010-08-30,6,1800.00,810900.00,453.00,450.00,451.00
2010-08-31,4,350.00,156950.00,459.00,445.00,445.00
2010-09-02,7,2430.00,1082450.00,450.00,445.00,445.00
2010-09-05,8,2740.00,1217420.00,450.00,438.00,450.00
2010-09-06,3,250.00,112650.00,451.00,450.00,451.00
2010-09-07,1,110.00,49390.00,449.00,449.00,449.00
2010-09-08,12,1500.00,661640.00,446.00,439.00,443.00
2010-09-09,9,1760.00,774430.00,441.00,439.00,440.00
2010-09-12,4,500.00,220600.00,442.00,440.00,442.00
2010-09-13,7,1900.00,832800.00,440.00,432.00,432.00
2010-09-14,10,3070.00,1334210.00,440.00,433.00,440.00
2010-09-15,5,1100.00,476200.00,436.00,430.00,430.00
2010-09-16,20,2370.00,1011750.00,430.00,422.00,425.00
2010-09-19,3,400.00,169800.00,430.00,420.00,430.00
2010-09-20,4,640.00,276120.00,435.00,428.00,435.00
2010-09-21,3,400.00,174800.00,439.00,435.00,439.00
2010-09-23,7,1270.00,550500.00,435.00,430.00,435.00
2010-09-26,9,1740.00,756300.00,443.00,430.00,435.00
2010-09-27,6,1070.00,462110.00,436.00,428.00,436.00
