Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2012-10-17,1,306.00,35190.00,115.00,115.00,115.00
2012-10-18,1,131.00,15327.00,117.00,117.00,117.00
2012-11-05,6,664.00,81602.00,125.00,119.00,123.00
2012-11-26,1,59.00,7257.00,123.00,123.00,123.00
2012-11-28,1,59.00,7257.00,123.00,123.00,123.00
2013-02-19,2,1186.00,141372.00,121.00,119.00,119.00
2013-02-20,1,306.00,36414.00,119.00,119.00,119.00
2013-02-27,2,101.00,11733.00,117.00,115.00,115.00
2013-03-03,1,59.00,6903.00,117.00,117.00,117.00
2013-03-04,10,2970.00,355212.00,121.00,119.00,119.00
2013-03-07,1,30.00,3630.00,121.00,121.00,121.00
2013-03-11,1,42.00,5166.00,123.00,123.00,123.00
2013-03-13,4,297.00,36887.00,125.00,123.00,125.00
2013-03-14,1,30.00,3810.00,127.00,127.00,127.00
2013-03-19,6,1801.00,223967.00,125.00,123.00,125.00
2013-05-09,1,297.00,36531.00,123.00,123.00,123.00
2013-05-12,1,30.00,3630.00,121.00,121.00,121.00
2013-05-15,1,297.00,36531.00,123.00,123.00,123.00
2013-05-20,1,65.00,7865.00,121.00,121.00,121.00
2013-05-22,2,368.00,45080.00,123.00,122.00,123.00
2013-05-27,1,900.00,112500.00,125.00,125.00,125.00
2013-06-05,2,676.00,85722.00,127.00,125.00,125.00
2013-10-02,2,488.00,61060.00,127.00,125.00,125.00
2013-10-03,2,244.00,30988.00,127.00,127.00,127.00
2013-10-21,1,178.00,22606.00,127.00,127.00,127.00
2013-10-28,1,156.00,20124.00,129.00,129.00,129.00
2013-10-29,8,436.00,59872.00,141.00,131.00,141.00
2013-10-30,3,571.00,80740.00,143.00,140.00,140.00
2013-11-10,4,587.00,86264.00,148.00,142.00,148.00
2013-11-11,6,2924.00,446514.00,158.00,150.00,158.00
2013-11-12,3,2213.00,350315.00,160.00,155.00,160.00
2013-11-13,9,2766.00,445495.00,163.00,160.00,160.00
2013-11-14,13,7420.00,1237847.00,176.00,160.00,176.00
2013-11-27,4,80.00,11940.00,153.00,146.00,153.00
2013-11-28,5,377.00,62736.00,168.00,156.00,168.00
2013-12-02,2,121.00,20590.00,171.00,170.00,171.00
2013-12-03,3,60.00,10620.00,180.00,174.00,180.00
2013-12-05,1,148.00,27084.00,183.00,183.00,183.00
2013-12-08,1,20.00,3720.00,186.00,186.00,186.00
2013-12-10,1,1220.00,230580.00,189.00,189.00,189.00
2013-12-12,2,40.00,7740.00,195.00,192.00,195.00
2013-12-15,1,20.00,3960.00,198.00,198.00,198.00
2014-01-02,1,611.00,122811.00,201.00,201.00,201.00
2014-01-21,5,588.00,125164.00,221.00,205.00,221.00
2014-01-23,3,60.00,14700.00,249.00,241.00,249.00
2014-01-22,5,127.00,29619.00,237.00,225.00,237.00
2014-01-26,2,72.00,18216.00,253.00,253.00,253.00
2014-01-27,3,60.00,15780.00,268.00,258.00,268.00
2014-01-28,2,215.00,58302.00,273.00,270.00,273.00
2014-02-02,1,1000.00,264000.00,264.00,264.00,264.00
2014-01-29,2,377.00,101036.00,268.00,268.00,268.00
2014-02-03,1,20.00,5300.00,265.00,265.00,265.00
2014-02-09,3,329.00,86340.00,265.00,260.00,260.00
2014-02-16,6,2513.00,637710.00,270.00,250.00,270.00
2014-02-17,8,1179.00,343359.00,297.00,275.00,297.00
2014-02-18,6,625.00,195711.00,320.00,302.00,320.00
2014-02-20,9,1827.00,618422.00,352.00,326.00,352.00
2014-02-25,1,495.00,177705.00,359.00,359.00,359.00
2014-02-26,2,20.00,7390.00,373.00,366.00,373.00
2014-03-03,1,65.00,23985.00,369.00,369.00,369.00
2014-03-06,2,317.00,112675.00,362.00,355.00,355.00
2014-03-09,2,309.00,107750.00,350.00,348.00,348.00
2014-03-11,1,200.00,68400.00,342.00,342.00,342.00
2014-04-20,6,880.00,296424.00,348.00,330.00,330.00
2014-04-23,1,297.00,96228.00,324.00,324.00,324.00
2014-04-27,1,100.00,32500.00,325.00,325.00,325.00
2014-04-28,1,200.00,63800.00,319.00,319.00,319.00
2014-04-29,2,445.00,141067.00,319.00,313.00,313.00
2014-04-30,3,1383.00,420663.00,307.00,301.00,303.00
2014-05-07,3,1148.00,359508.00,321.00,309.00,321.00
2014-05-08,2,200.00,62400.00,315.00,309.00,309.00
2014-05-12,1,32.00,10080.00,315.00,315.00,315.00
2014-05-13,1,20.00,6300.00,315.00,315.00,315.00
2014-05-18,17,1937.00,730926.00,380.00,352.00,380.00
2014-05-15,16,3244.00,1064400.00,346.00,321.00,346.00
2014-05-19,6,1088.00,404732.00,378.00,368.00,368.00
2014-05-22,1,59.00,22125.00,375.00,375.00,375.00
2014-05-26,1,150.00,55200.00,368.00,368.00,368.00
2014-05-27,1,32.00,11552.00,361.00,361.00,361.00
2014-05-28,8,1254.00,434780.00,355.00,339.00,339.00
2014-06-02,1,50.00,17250.00,345.00,345.00,345.00
2014-06-03,2,1094.00,388114.00,355.00,351.00,355.00
2014-06-08,3,406.00,147462.00,369.00,362.00,369.00
2014-06-05,2,89.00,31359.00,355.00,351.00,355.00
2014-06-04,2,731.00,256350.00,351.00,350.00,351.00
2014-06-10,1,250.00,93000.00,372.00,372.00,372.00
2014-06-11,3,892.00,324004.00,366.00,362.00,362.00
2014-06-12,3,290.00,103600.00,360.00,355.00,355.00
2014-06-16,1,306.00,106488.00,348.00,348.00,348.00
2014-06-23,2,2200.00,753000.00,345.00,342.00,342.00
2014-06-26,3,801.00,283821.00,361.00,348.00,361.00
2014-06-30,3,132.00,49066.00,375.00,368.00,375.00
2014-07-01,1,51.00,19125.00,375.00,375.00,375.00
2014-07-02,1,30.00,11040.00,368.00,368.00,368.00
2014-07-06,2,80.00,28880.00,361.00,361.00,361.00
2014-07-08,1,51.00,18360.00,360.00,360.00,360.00
2014-07-09,3,1400.00,501515.00,362.00,355.00,355.00
2014-07-16,5,1182.00,434835.00,375.00,362.00,375.00
2014-07-17,1,150.00,56250.00,375.00,375.00,375.00
2014-07-21,3,69.00,26778.00,396.00,382.00,396.00
2014-07-22,6,380.00,157280.00,418.00,403.00,418.00
2014-07-23,4,321.00,136704.00,442.00,424.00,442.00
2014-07-24,2,264.00,118800.00,450.00,450.00,450.00
2014-07-27,4,367.00,168813.00,477.00,459.00,477.00
2014-07-30,6,812.00,399410.00,496.00,486.00,495.00
2014-07-31,2,593.00,296500.00,500.00,500.00,500.00
2014-08-03,3,931.00,458190.00,494.00,490.00,494.00
2014-08-04,2,227.00,110046.00,485.00,484.00,484.00
2014-08-06,2,57.00,26895.00,475.00,466.00,466.00
2014-08-07,1,1220.00,579500.00,475.00,475.00,475.00
2014-08-12,5,185.00,87875.00,475.00,475.00,475.00
2014-08-14,1,100.00,47000.00,470.00,470.00,470.00
2014-08-18,3,406.00,186460.00,461.00,455.00,455.00
2014-08-19,4,492.00,220112.00,452.00,442.00,442.00
2014-08-20,8,1359.00,573498.00,440.00,402.00,410.00
2014-08-21,3,877.00,357530.00,410.00,402.00,410.00
2014-08-24,2,104.00,41512.00,402.00,394.00,394.00
2014-08-26,4,191.00,72503.00,387.00,366.00,366.00
2014-08-27,3,700.00,257967.00,373.00,366.00,373.00
2014-08-28,3,451.00,173137.00,387.00,380.00,387.00
2014-08-31,1,235.00,89300.00,380.00,380.00,380.00
2014-09-04,1,148.00,55204.00,373.00,373.00,373.00
2014-09-11,2,70.00,25620.00,366.00,366.00,359.00
2014-09-14,6,649.00,228040.00,360.00,345.00,345.00
2014-09-15,2,123.00,41741.00,340.00,339.00,340.00
2014-09-16,2,506.00,173040.00,345.00,340.00,340.00
2014-09-17,2,57.00,19722.00,346.00,346.00,346.00
2014-09-18,4,667.00,227182.00,346.00,340.00,346.00
2014-09-24,1,200.00,70400.00,352.00,352.00,352.00
2014-10-08,1,200.00,69000.00,345.00,345.00,345.00
2014-10-14,1,94.00,31960.00,340.00,340.00,340.00
2014-10-15,1,200.00,69200.00,346.00,346.00,346.00
2014-10-16,2,110.00,38780.00,358.00,352.00,358.00
2014-11-03,1,10.00,3650.00,365.00,365.00,365.00
2014-11-06,1,44.00,15752.00,358.00,358.00,358.00
2014-11-11,5,1009.00,345734.00,351.00,340.00,350.00
2014-11-12,1,51.00,17595.00,345.00,345.00,345.00
2014-11-13,1,336.00,117936.00,351.00,351.00,351.00
2014-11-17,3,593.00,201796.00,344.00,332.00,332.00
2014-11-20,2,121.00,39110.00,326.00,320.00,320.00
2014-11-23,1,37.00,11618.00,314.00,314.00,314.00
2014-11-25,1,32.00,9856.00,308.00,308.00,308.00
2014-11-30,3,820.00,259280.00,320.00,314.00,320.00
2014-12-01,1,10.00,3260.00,326.00,326.00,326.00
2014-12-07,2,158.00,42976.00,272.00,272.00,272.00
2014-12-10,1,53.00,14681.00,277.00,277.00,277.00
2014-12-14,1,30.00,8460.00,282.00,282.00,282.00
2014-12-15,6,397.00,122420.00,310.00,287.00,310.00
2014-12-16,4,141.00,45786.00,328.00,316.00,328.00
2014-12-17,3,605.00,204081.00,340.00,334.00,340.00
2014-12-18,2,533.00,184347.00,351.00,345.00,351.00
2014-12-21,1,77.00,27566.00,358.00,358.00,358.00
2014-12-22,2,94.00,34310.00,365.00,365.00,365.00
2014-12-24,4,410.00,149184.00,365.00,363.00,365.00
2014-12-28,2,45.00,16110.00,358.00,358.00,358.00
2014-12-29,1,53.00,19239.00,363.00,363.00,363.00
2014-12-31,3,647.00,236155.00,365.00,365.00,365.00
2015-01-05,1,26.00,9308.00,358.00,358.00,358.00
2015-01-06,1,30.00,10950.00,365.00,365.00,365.00
2015-01-19,1,36.00,13320.00,370.00,370.00,370.00
2015-01-25,11,1815.00,685094.00,387.00,365.00,385.00
2015-01-26,17,3102.00,1270422.00,423.00,392.00,409.00
2015-01-27,7,1560.00,637100.00,412.00,405.00,412.00
2015-02-01,1,300.00,121200.00,404.00,404.00,404.00
2015-02-02,2,900.00,360000.00,400.00,400.00,400.00
2015-02-03,4,1072.00,422300.00,400.00,392.00,392.00
2015-02-04,6,1340.00,530129.00,399.00,392.00,399.00
2015-02-05,1,416.00,163072.00,392.00,392.00,392.00
2015-02-08,2,1693.00,675795.00,400.00,399.00,400.00
2015-02-09,2,246.00,100460.00,410.00,408.00,410.00
2015-02-10,4,1275.00,517960.00,410.00,402.00,407.00
2015-02-11,1,449.00,179151.00,399.00,399.00,399.00
2015-02-12,14,2786.00,1124585.00,415.00,393.00,407.00
2015-02-16,3,494.00,202540.00,410.00,410.00,410.00
2015-02-18,2,797.00,332552.00,418.00,416.00,416.00
2015-02-22,1,1405.00,573240.00,408.00,408.00,408.00
2015-02-23,1,90.00,36000.00,400.00,400.00,400.00
2015-02-24,1,260.00,106080.00,408.00,408.00,408.00
2015-02-25,13,2271.00,972295.00,444.00,412.00,444.00
2015-02-26,1,89.00,39160.00,440.00,440.00,440.00
2015-03-02,14,3584.00,1570552.00,451.00,424.00,451.00
2015-03-03,3,240.00,109152.00,460.00,454.00,454.00
2015-03-04,1,32.00,14240.00,445.00,445.00,445.00
2015-03-09,9,2597.00,1176813.00,455.00,450.00,455.00
2015-03-11,2,137.00,61102.00,446.00,446.00,446.00
2015-03-12,18,2547.00,1148964.00,476.00,438.00,476.00
2015-03-15,8,599.00,287889.00,485.00,475.00,484.00
2015-06-09,1,100.00,49300.00,493.00,493.00,493.00
2015-06-21,2,80.00,38270.00,484.00,475.00,475.00
2015-06-22,4,102.00,45942.00,466.00,441.00,441.00
2015-06-25,9,706.00,293059.00,433.00,409.00,417.00
2015-06-28,1,100.00,40900.00,409.00,409.00,409.00
2015-06-29,1,59.00,23659.00,401.00,401.00,401.00
2015-06-30,4,828.00,328058.00,399.00,394.00,399.00
2015-07-01,1,740.00,290080.00,392.00,392.00,392.00
2015-07-02,2,230.00,89360.00,392.00,387.00,392.00
2015-07-06,1,120.00,47880.00,399.00,399.00,399.00
2015-07-07,2,528.00,211700.00,405.00,400.00,405.00
2015-07-12,1,100.00,40200.00,402.00,402.00,402.00
2015-07-13,3,4502.00,1800835.00,408.00,395.00,408.00
2015-07-14,4,1490.00,619177.00,420.00,415.00,416.00
2015-07-15,5,686.00,301482.00,448.00,424.00,448.00
2015-07-16,9,969.00,440825.00,458.00,446.00,458.00
2015-07-22,3,325.00,153876.00,483.00,467.00,483.00
2015-07-23,15,2239.00,1118628.00,511.00,490.00,511.00
2015-07-29,2,126.00,63126.00,501.00,501.00,501.00
2015-07-30,3,705.00,336210.00,491.00,473.00,473.00
2015-08-02,2,799.00,373427.00,473.00,464.00,473.00
2015-08-09,4,493.00,225914.00,464.00,451.00,451.00
2015-08-10,9,2934.00,1318206.00,455.00,442.00,442.00
2015-08-16,2,270.00,116620.00,434.00,426.00,426.00
2015-08-20,2,308.00,132440.00,430.00,430.00,430.00
2015-08-24,1,33.00,13926.00,422.00,422.00,422.00
2015-08-25,1,356.00,147384.00,414.00,414.00,414.00
2015-08-31,2,1017.00,421998.00,415.00,414.00,415.00
2015-09-02,6,1189.00,493435.00,415.00,415.00,415.00
2015-09-03,1,198.00,82170.00,415.00,415.00,415.00
2015-09-06,1,44.00,18040.00,410.00,410.00,410.00
2015-09-07,2,220.00,91460.00,423.00,415.00,423.00
2015-09-08,5,162.00,72670.00,460.00,430.00,460.00
2015-09-09,9,1497.00,710080.00,486.00,468.00,477.00
2015-09-14,1,59.00,27612.00,468.00,468.00,468.00
2015-09-15,5,1174.00,531828.00,468.00,441.00,441.00
2015-09-16,2,1000.00,452000.00,455.00,449.00,455.00
2015-09-29,4,460.00,204100.00,455.00,438.00,438.00
2015-09-30,3,803.00,343846.00,432.00,425.00,432.00
2015-10-04,6,891.00,378762.00,432.00,423.00,432.00
2015-10-05,1,200.00,88000.00,440.00,440.00,440.00
2015-10-14,5,265.00,118720.00,448.00,448.00,448.00
2015-10-15,4,304.00,131240.00,440.00,426.00,426.00
2015-11-08,9,746.00,331715.00,459.00,434.00,459.00
2015-11-09,4,622.00,280321.00,455.00,448.00,448.00
2015-11-15,2,597.00,277434.00,465.00,456.00,465.00
2015-11-16,1,30.00,13800.00,460.00,460.00,460.00
2015-11-22,1,100.00,45100.00,451.00,451.00,451.00
2015-11-23,1,100.00,36000.00,360.00,360.00,360.00
2015-11-24,1,200.00,70600.00,353.00,353.00,353.00
2015-11-25,1,100.00,34600.00,346.00,346.00,346.00
2015-11-26,2,161.00,54740.00,340.00,340.00,340.00
2015-11-29,1,100.00,33400.00,334.00,334.00,334.00
2015-11-30,2,220.00,72040.00,328.00,322.00,322.00
2015-12-01,2,1000.00,313000.00,316.00,310.00,310.00
2015-12-02,3,1100.00,332000.00,304.00,300.00,300.00
2015-12-03,3,1539.00,461081.00,300.00,295.00,300.00
2015-12-06,5,800.00,245136.00,310.00,306.00,306.00
2015-12-07,5,427.00,128880.00,318.00,300.00,318.00
2015-12-08,4,716.00,230868.00,324.00,320.00,322.00
2015-12-09,1,20.00,6560.00,328.00,328.00,328.00
2015-12-10,1,296.00,98864.00,334.00,334.00,334.00
2015-12-17,2,529.00,179850.00,340.00,339.00,340.00
2015-12-20,1,20.00,6920.00,346.00,346.00,346.00
2015-12-21,1,20.00,7040.00,352.00,352.00,352.00
2015-12-22,4,786.00,269725.00,346.00,334.00,334.00
2015-12-23,1,80.00,26720.00,334.00,334.00,334.00
2015-12-24,2,30.00,10320.00,346.00,340.00,346.00
2015-12-27,2,915.00,308610.00,340.00,334.00,334.00
2015-12-28,2,311.00,102167.00,329.00,328.00,329.00
2015-12-29,1,500.00,166500.00,333.00,333.00,333.00
2016-01-03,1,61.00,20679.00,339.00,339.00,339.00
2016-01-04,1,53.00,17649.00,333.00,333.00,333.00
2016-01-06,2,914.00,298878.00,327.00,327.00,327.00
2016-01-10,1,143.00,46475.00,325.00,325.00,325.00
2016-01-11,1,86.00,27950.00,325.00,325.00,325.00
2016-01-12,1,137.00,43840.00,320.00,320.00,320.00
2016-01-13,1,20.00,6520.00,326.00,326.00,326.00
2016-01-14,6,1406.00,453144.00,325.00,320.00,321.00
2016-05-17,3,30.00,9990.00,339.00,327.00,339.00
2016-05-18,6,60.00,21360.00,372.00,345.00,372.00
2016-05-19,5,50.00,19660.00,408.00,379.00,408.00
2016-05-22,5,50.00,21600.00,448.00,416.00,448.00
2016-05-23,12,1450.00,710820.00,492.00,456.00,492.00
2016-05-24,26,8003.00,4292405.00,541.00,501.00,541.00
2016-05-25,10,1080.00,604140.00,563.00,540.00,540.00
