Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-04-22,1,80.00,14480.00,181.00,181.00,181.00
2010-04-25,2,427.00,78874.00,187.00,184.00,187.00
2010-04-26,1,80.00,15200.00,190.00,190.00,190.00
2010-04-15,4,220.00,38665.00,178.00,172.00,178.00
2010-05-10,1,2285.00,436435.00,191.00,191.00,191.00
2010-05-11,1,376.00,70688.00,188.00,188.00,188.00
2010-05-16,4,742.00,147062.00,200.00,191.00,200.00
2010-05-26,2,752.00,146264.00,196.00,193.00,193.00
2010-06-06,1,376.00,71440.00,190.00,190.00,190.00
2010-06-08,2,15995.00,3039050.00,190.00,190.00,190.00
2010-06-24,1,36.00,6948.00,193.00,193.00,193.00
2010-08-01,5,4778.00,944574.00,199.00,196.00,198.00
2010-08-02,1,652.00,130400.00,200.00,200.00,200.00
2010-09-27,1,184.00,37536.00,204.00,204.00,204.00
2010-10-26,3,159.00,33072.00,208.00,208.00,208.00
2010-10-31,3,1251.00,266468.00,220.00,212.00,220.00
2010-11-02,1,50.00,11750.00,235.00,235.00,235.00
2010-11-03,2,196.00,47148.00,243.00,239.00,243.00
2010-11-09,1,31.00,7440.00,240.00,240.00,240.00
2010-11-10,1,31.00,7440.00,240.00,240.00,240.00
2010-11-14,2,406.00,99064.00,244.00,244.00,244.00
2010-11-16,5,837.00,208186.00,250.00,248.00,250.00
2010-11-23,3,488.00,128120.00,265.00,255.00,265.00
2010-12-12,11,3351.00,913910.00,275.00,270.00,275.00
2011-01-02,3,818.00,229040.00,280.00,280.00,280.00
2011-01-03,1,36.00,10260.00,285.00,285.00,285.00
2011-01-05,1,1040.00,301600.00,290.00,290.00,290.00
2011-01-10,5,374.00,111580.00,300.00,295.00,300.00
2011-01-16,1,395.00,120870.00,306.00,306.00,306.00
2011-02-03,3,262.00,81744.00,312.00,312.00,312.00
2011-04-27,1,400.00,102000.00,255.00,255.00,255.00
2011-07-20,3,4165.00,1041250.00,250.00,250.00,250.00
2011-08-02,1,650.00,162500.00,250.00,250.00,250.00
2011-09-07,1,86.00,21070.00,245.00,245.00,245.00
2011-10-24,3,3476.00,851620.00,245.00,245.00,245.00
2010-04-15,4,220.00,38665.00,178.00,172.00,178.00
2010-04-15,4,220.00,38665.00,178.00,172.00,178.00
