Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-05-18,1,56.00,16520.00,295.00,295.00,295.00
2010-09-09,1,38.00,11020.00,290.00,290.00,290.00
2010-11-02,2,112.00,32322.00,291.00,286.00,286.00
2010-11-10,4,454.00,127574.00,281.00,281.00,281.00
2010-11-16,1,500.00,138000.00,276.00,276.00,276.00
2010-12-19,4,224.00,61656.00,276.00,275.00,275.00
2010-12-20,3,214.00,57490.00,270.00,265.00,265.00
2010-12-28,1,43.00,9890.00,230.00,230.00,230.00
2011-01-06,3,82.00,18860.00,230.00,230.00,230.00
2011-02-09,1,20.00,4520.00,226.00,226.00,226.00
2011-04-28,2,23.00,5106.00,222.00,222.00,222.00
2011-05-18,1,35.00,7770.00,222.00,222.00,222.00
2011-10-02,4,898.00,199356.00,222.00,222.00,222.00
2011-10-09,1,11.00,2442.00,222.00,222.00,222.00
2012-01-16,4,268.00,58424.00,218.00,218.00,218.00
2012-01-25,1,67.00,14338.00,214.00,214.00,214.00
2012-02-27,4,212.00,42728.00,210.00,198.00,198.00
2012-03-19,3,1347.00,258624.00,195.00,189.00,189.00
2012-03-25,1,10.00,1860.00,186.00,186.00,186.00
2012-03-27,1,10.00,1830.00,183.00,183.00,183.00
2012-03-29,2,48.00,8100.00,171.00,168.00,168.00
2014-07-14,2,91.00,15015.00,165.00,165.00,165.00
2014-07-15,4,659.00,107916.00,168.00,162.00,168.00
2014-07-16,2,977.00,159405.00,165.00,162.00,162.00
2014-07-17,2,1278.00,200202.00,159.00,156.00,156.00
2014-07-20,5,3136.00,489821.00,159.00,154.00,154.00
2014-07-21,2,1136.00,173144.00,154.00,151.00,154.00
2014-07-22,4,797.00,121103.00,157.00,151.00,151.00
2014-07-23,7,712.00,106900.00,151.00,150.00,151.00
2014-07-24,8,3200.00,502082.00,166.00,151.00,166.00
2014-07-27,42,16807.00,2935491.00,182.00,166.00,182.00
2014-07-28,7,5739.00,1060115.00,186.00,182.00,185.00
2014-07-30,25,14026.00,2454809.00,185.00,167.00,177.00
2014-07-31,7,3945.00,691812.00,180.00,174.00,176.00
2014-08-03,2,250.00,43300.00,174.00,173.00,173.00
2014-08-05,2,202.00,34139.00,170.00,167.00,167.00
2014-08-07,1,830.00,136950.00,165.00,165.00,165.00
2014-08-14,2,81.00,12915.00,162.00,159.00,159.00
2014-08-18,3,1235.00,189060.00,156.00,150.00,150.00
2014-08-19,14,6210.00,880186.00,147.00,137.00,137.00
2014-08-20,14,2534.00,344009.00,138.00,134.00,136.00
2014-08-21,4,1275.00,166306.00,134.00,130.00,130.00
2014-08-27,2,34.00,4520.00,134.00,132.00,134.00
2014-08-28,1,179.00,23807.00,133.00,133.00,133.00
2014-08-31,4,850.00,117850.00,139.00,135.00,139.00
2014-09-03,5,4660.00,629180.00,137.00,135.00,135.00
2014-09-04,6,605.00,84397.00,143.00,137.00,143.00
2014-09-09,1,100.00,14500.00,145.00,145.00,145.00
2014-09-10,1,552.00,78936.00,143.00,143.00,143.00
2014-09-28,7,1218.00,178564.00,149.00,145.00,146.00
2014-09-29,5,1291.00,185969.00,145.00,143.00,145.00
2014-10-21,2,40.00,5880.00,147.00,147.00,147.00
2014-10-27,3,187.00,28399.00,154.00,149.00,154.00
2014-11-16,1,70.00,10570.00,151.00,151.00,151.00
2014-11-20,2,108.00,15908.00,148.00,146.00,146.00
2014-12-01,3,142.00,21185.00,150.00,147.00,150.00
2014-12-03,1,100.00,14700.00,147.00,147.00,147.00
2014-12-04,1,17.00,2465.00,145.00,145.00,145.00
2014-12-16,8,280.00,38220.00,143.00,131.00,131.00
2014-12-17,8,349.00,42369.00,129.00,118.00,118.00
2014-12-18,31,9590.00,1040397.00,116.00,107.00,113.00
2014-12-21,7,412.00,45654.00,111.00,109.00,111.00
2014-12-22,8,3668.00,415220.00,115.00,112.00,114.00
2014-12-23,1,1000.00,112000.00,112.00,112.00,112.00
2014-12-24,2,98.00,11172.00,114.00,114.00,114.00
2014-12-28,1,71.00,8023.00,113.00,113.00,113.00
2014-12-31,1,162.00,17982.00,111.00,111.00,111.00
2015-01-01,2,97.00,10425.00,109.00,107.00,107.00
